Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Gruppe A,Sun May 21 2023,16:00,-0300,Águia de Marabá PA,2-0,1-0,Humaitá AC,,2023-05-21T19:00Z
Gruppe B,Sun May 21 2023,17:00,-0300,Ferroviário CE,1-0,0-0,Tocantinópolis TO,,2023-05-21T20:00Z
Gruppe B,Sun May 21 2023,16:00,-0300,Caucaia CE,1-3,0-2,Atlético Cearense CE,,2023-05-21T19:00Z
Gruppe C,Sun May 21 2023,16:00,-0300,Santa Cruz PE,1-0,1-0,Campinense PB,,2023-05-21T19:00Z
Gruppe D,Sun May 21 2023,16:00,-0300,Jacuipense BA,3-3,1-2,Atlético de Alagoinhas BA,,2023-05-21T19:00Z
Gruppe A,Sun May 21 2023,18:00,-0300,São Francisco AC,0-1,0-0,Tuna Luso PA,,2023-05-21T21:00Z
Gruppe F,Mon May 22 2023,20:30,-0300,Democrata Gov. Valadares MG,1-0,1-0,Athletic MG,,2023-05-22T23:30Z
Gruppe D,Sat May 27 2023,17:00,-0300,Bahia de Feira BA,2-2,0-1,Jacuipense BA,,2023-05-27T20:00Z
Gruppe D,Sat May 27 2023,17:00,-0300,Retrô PE,2-1,1-0,Atlético de Alagoinhas BA,,2023-05-27T20:00Z
Gruppe F,Sat May 27 2023,15:00,-0300,Vitória ES,3-1,1-0,Democrata Gov. Valadares MG,,2023-05-27T18:00Z
Gruppe F,Sat May 27 2023,15:00,-0300,Nova Iguaçu RJ,1-1,1-0,Portuguesa RJ,,2023-05-27T18:00Z
Gruppe E,Sat May 27 2023,15:30,-0300,Ceilândia DF,4-0,2-0,Interporto TO,,2023-05-27T18:30Z
Gruppe E,Sat May 27 2023,16:00,-0300,Operário MT,1-1,0-0,Anápolis FC GO,,2023-05-27T19:00Z
Gruppe F,Sat May 27 2023,15:00,-0300,Santo André SP,1-1,1-0,Resende FC RJ,,2023-05-27T18:00Z
Gruppe C,Sat May 27 2023,19:00,-0300,Pacajus CE,3-0,0-0,Globo RN,,2023-05-27T22:00Z
Gruppe B,Sat May 27 2023,16:00,-0300,Maranhão MA,4-0,2-0,Parnahyba PI,,2023-05-27T19:00Z
Gruppe F,Sat May 27 2023,16:00,-0300,Athletic MG,1-0,0-0,Real Noroeste ES,,2023-05-27T19:00Z
Gruppe H,Sat May 27 2023,15:00,-0300,Hercílio Luz SC,2-1,1-1,Camboriú SC,,2023-05-27T18:00Z
Gruppe G,Sat May 27 2023,17:00,-0300,XV de Piracicaba SP,1-1,1-0,Ferroviária SP,,2023-05-27T20:00Z
Gruppe G,Sat May 27 2023,18:00,-0300,Atlético Patrocinense MG,1-0,0-0,Cascavel FC PR,,2023-05-27T21:00Z
Gruppe G,Sat May 27 2023,18:00,-0300,CRAC GO,2-2,0-0,Inter de Limeira SP,,2023-05-27T21:00Z
Gruppe H,Sat May 27 2023,15:00,-0300,S.E.R. Caxias RS,2-1,2-1,Brasil de Pelotas RS,,2023-05-27T18:00Z
