Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,5,Sat Jan 28 2023,15:30,-0300,Rio Branco PR,0-1,0-0,Cascavel FC PR,,2023-01-28T18:30Z
,5,Sun Jan 29 2023,18:30,-0300,Operário Ferroviário PR,2-2,1-0,Maringá PR,,2023-01-29T21:30Z
,5,Sun Jan 29 2023,18:30,-0300,Aruko PR,0-0,0-0,Londrina PR,,2023-01-29T21:30Z
,5,Sun Jan 29 2023,16:00,-0300,Coritiba PR,2-2,1-1,Azuriz PR,,2023-01-29T19:00Z
,6,Tue Jan 31 2023,20:00,-0300,Foz do Iguaçu PR,2-5,2-1,Independente PR,,2023-01-31T23:00Z
,6,Wed Feb 1 2023,21:30,-0300,Maringá PR,4-2,2-0,Cascavel FC PR,,2023-02-02T00:30Z
,6,Wed Feb 1 2023,21:30,-0300,Operário Ferroviário PR,2-1,0-0,Aruko PR,,2023-02-02T00:30Z
,6,Wed Feb 1 2023,19:15,-0300,Athletico Paranaense,5-0,2-0,Azuriz PR,,2023-02-01T22:15Z
,6,Thu Feb 2 2023,19:15,-0300,Londrina PR,1-1,0-0,Rio Branco PR,,2023-02-02T22:15Z
,6,Thu Feb 2 2023,19:15,-0300,Coritiba PR,3-1,0-1,Cianorte PR,,2023-02-02T22:15Z
,7,Sat Feb 4 2023,18:30,-0300,Aruko PR,1-1,0-0,Maringá PR,,2023-02-04T21:30Z
,7,Sat Feb 4 2023,18:30,-0300,Cascavel FC PR,0-1,0-1,Operário Ferroviário PR,,2023-02-04T21:30Z
,7,Sun Feb 5 2023,15:30,-0300,Rio Branco PR,2-1,2-1,Foz do Iguaçu PR,,2023-02-05T18:30Z
,7,Sun Feb 5 2023,15:30,-0300,Independente PR,1-0,0-0,Londrina PR,,2023-02-05T18:30Z
,7,Sun Feb 5 2023,18:30,-0300,Azuriz PR,0-3,0-0,Cianorte PR,,2023-02-05T21:30Z
,7,Sun Feb 5 2023,18:30,-0300,Athletico Paranaense,1-1,1-1,Coritiba PR,,2023-02-05T21:30Z
,8,Wed Feb 8 2023,19:15,-0300,Operário Ferroviário PR,2-0,2-0,Rio Branco PR,,2023-02-08T22:15Z
,8,Wed Feb 8 2023,19:15,-0300,Maringá PR,3-0,2-0,Azuriz PR,,2023-02-08T22:15Z
,8,Wed Feb 8 2023,20:00,-0300,Cianorte PR,0-1,0-1,Athletico Paranaense,,2023-02-08T23:00Z
,8,Wed Feb 8 2023,15:30,-0300,Independente PR,1-1,1-0,Aruko PR,,2023-02-08T18:30Z
,8,Thu Feb 9 2023,19:15,-0300,Foz do Iguaçu PR,1-3,1-3,Londrina PR,,2023-02-09T22:15Z
,9,Sat Feb 11 2023,18:30,-0300,Athletico Paranaense,3-1,1-1,Operário Ferroviário PR,,2023-02-11T21:30Z
,9,Sun Feb 12 2023,18:30,-0300,Aruko PR,2-1,2-0,Cascavel FC PR,,2023-02-12T21:30Z
,9,Sun Feb 12 2023,15:30,-0300,Rio Branco PR,0-3,0-2,Cianorte PR,,2023-02-12T18:30Z
,9,Sun Feb 12 2023,16:00,-0300,Londrina PR,1-1,0-0,Maringá PR,,2023-02-12T19:00Z
,9,Sun Feb 12 2023,18:30,-0300,Azuriz PR,2-0,1-0,Foz do Iguaçu PR,,2023-02-12T21:30Z
,9,Sun Feb 12 2023,18:30,-0300,Coritiba PR,0-0,0-0,Independente PR,,2023-02-12T21:30Z
,10,Wed Feb 15 2023,19:15,-0300,Aruko PR,1-1,0-1,Azuriz PR,,2023-02-15T22:15Z
,10,Wed Feb 15 2023,20:00,-0300,Coritiba PR,1-0,0-0,Londrina PR,,2023-02-15T23:00Z
,10,Wed Feb 15 2023,21:30,-0300,Foz do Iguaçu PR,0-2,0-0,Operário Ferroviário PR,,2023-02-16T00:30Z
,10,Thu Feb 16 2023,15:30,-0300,Independente PR,2-0,1-0,Rio Branco PR,,2023-02-16T18:30Z
,10,Thu Feb 16 2023,19:15,-0300,Athletico Paranaense,1-0,0-0,Cascavel FC PR,,2023-02-16T22:15Z
,10,Thu Feb 16 2023,19:15,-0300,Cianorte PR,0-3,0-2,Maringá PR,,2023-02-16T22:15Z
,8,Sun Feb 19 2023,16:00,-0300,Cascavel FC PR,0-0,0-0,Coritiba PR,,2023-02-19T19:00Z
,11,Sun Feb 26 2023,16:00,-0300,Operário Ferroviário PR,3-0,1-0,Coritiba PR,,2023-02-26T19:00Z
,11,Sun Feb 26 2023,16:00,-0300,Londrina PR,0-1,0-0,Athletico Paranaense,,2023-02-26T19:00Z
,11,Sun Feb 26 2023,16:00,-0300,Cascavel FC PR,3-0,1-0,Foz do Iguaçu PR,,2023-02-26T19:00Z
,11,Sun Feb 26 2023,16:00,-0300,Cianorte PR,0-2,0-1,Aruko PR,,2023-02-26T19:00Z
,11,Sun Feb 26 2023,16:00,-0300,Azuriz PR,4-0,3-0,Rio Branco PR,,2023-02-26T19:00Z
,11,Sun Feb 26 2023,16:00,-0300,Maringá PR,3-1,1-1,Independente PR,,2023-02-26T19:00Z
Fase final,Quarterfinals,Sat Mar 4 2023,16:00,-0300,Independente PR,2-5,1-2,Athletico Paranaense,,2023-03-04T19:00Z
Fase final,Quarterfinals,Sun Mar 5 2023,17:00,-0300,Aruko PR,1-2,0-0,Operário Ferroviário PR,,2023-03-05T20:00Z
Fase final,Quarterfinals,Sun Mar 5 2023,19:00,-0300,Cianorte PR,1-0,1-0,Maringá PR,,2023-03-05T22:00Z
Fase final,Quarterfinals,Sun Mar 5 2023,16:00,-0300,Cascavel FC PR,3-1,1-0,Coritiba PR,,2023-03-05T19:00Z
Fase final,Quarterfinals,Sat Mar 11 2023,19:30,-0300,Maringá PR,2-0,1-0,Cianorte PR,,2023-03-11T22:30Z
Fase final,Quarterfinals,Sat Mar 11 2023,18:00,-0300,Coritiba PR,0-0,0-0,Cascavel FC PR,,2023-03-11T21:00Z
Fase final,Quarterfinals,Sun Mar 12 2023,17:00,-0300,Operário Ferroviário PR,3-0,2-0,Aruko PR,,2023-03-12T20:00Z
Fase final,Quarterfinals,Sun Mar 12 2023,19:30,-0300,Athletico Paranaense,4-0,2-0,Independente PR,,2023-03-12T22:30Z
Fase final,Semifinals,Sat Mar 18 2023,19:00,-0300,Maringá PR,0-2,0-0,Athletico Paranaense,,2023-03-18T22:00Z
Fase final,Semifinals,Sun Mar 19 2023,16:00,-0300,Cascavel FC PR,2-1,1-1,Operário Ferroviário PR,,2023-03-19T19:00Z
Fase final,Semifinals,Sat Mar 25 2023,19:00,-0300,Operário Ferroviário PR,1-0,0-0,Cascavel FC PR,5-6,2023-03-25T22:00Z
Fase final,Semifinals,Sun Mar 26 2023,16:00,-0300,Athletico Paranaense,1-0,0-0,Maringá PR,,2023-03-26T19:00Z
Fase final,Final,Sat Apr 1 2023,18:00,-0300,Cascavel FC PR,1-2,0-0,Athletico Paranaense,,2023-04-01T21:00Z
Fase final,Final,Sun Apr 9 2023,17:00,-0300,Athletico Paranaense,0-0,0-0,Cascavel FC PR,,2023-04-09T20:00Z
