Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
Fase final,Semifinals,Sun Mar 19 2023,18:00,-0300,América MG,2-1,1-0,Cruzeiro,,2023-03-19T21:00Z
Troféu Inconfidência,Semifinals,Sun Mar 19 2023,16:00,-0300,Villa Nova MG,2-0,0-0,Democrata Gov. Valadares MG,,2023-03-19T19:00Z
Descenso,3,Wed Mar 22 2023,20:00,-0300,Caldense MG,1-1,0-0,Atlético Patrocinense MG,,2023-03-22T23:00Z
Troféu Inconfidência,Final,Sun Mar 26 2023,16:00,-0300,Villa Nova MG,1-2,1-2,Tombense MG,,2023-03-26T19:00Z
Descenso,4,Sun Mar 26 2023,10:00,-0300,Atlético Patrocinense MG,1-0,0-0,Caldense MG,,2023-03-26T13:00Z
Troféu Inconfidência,Final,Sat Apr 1 2023,18:00,-0300,Tombense MG,3-2,1-2,Villa Nova MG,,2023-04-01T21:00Z
Fase final,Final,Sat Apr 1 2023,16:30,-0300,América MG,2-3,1-2,Atlético Mineiro,,2023-04-01T19:30Z
Descenso,5,Sun Apr 2 2023,16:00,-0300,Caldense MG,2-0,1-0,Democrata de Sete Lagoas MG,,2023-04-02T19:00Z
Descenso,6,Sun Apr 9 2023,,,Democrata de Sete Lagoas MG,(*),,Atlético Patrocinense MG,cancelled,
Fase final,Final,Sun Apr 9 2023,16:30,-0300,Atlético Mineiro,2-0,1-0,América MG,,2023-04-09T19:30Z
