Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,9,Mon Feb 27 2023,19:00,-0300,São José RS,1-0,0-0,São Luiz RS,,2023-02-27T22:00Z
,9,Tue Feb 28 2023,20:00,-0300,Esportivo RS,0-3,0-0,Ypiranga RS,,2023-02-28T23:00Z
,10,Sat Mar 4 2023,16:30,-0300,S.E.R. Caxias RS,3-0,0-0,Ypiranga RS,,2023-03-04T19:30Z
,10,Sat Mar 4 2023,19:00,-0300,São José RS,2-2,0-1,Avenida RS,,2023-03-04T22:00Z
,10,Sat Mar 4 2023,19:00,-0300,Esportivo RS,1-3,1-2,Juventude RS,,2023-03-04T22:00Z
,10,Sat Mar 4 2023,21:00,-0300,Brasil de Pelotas RS,1-0,1-0,São Luiz RS,,2023-03-05T00:00Z
,10,Sun Mar 5 2023,20:00,-0300,Grêmio Porto Alegre,2-1,1-0,Internacional,,2023-03-05T23:00Z
,10,Sun Mar 5 2023,16:00,-0300,Aimoré RS,0-1,0-1,Novo Hamburgo RS,,2023-03-05T19:00Z
,11,Sat Mar 11 2023,16:30,-0300,Ypiranga RS,0-0,0-0,Grêmio Porto Alegre,,2023-03-11T19:30Z
,11,Sat Mar 11 2023,16:30,-0300,Internacional,4-1,2-1,Esportivo RS,,2023-03-11T19:30Z
,11,Sat Mar 11 2023,16:30,-0300,São Luiz RS,2-1,1-1,Aimoré RS,,2023-03-11T19:30Z
,11,Sat Mar 11 2023,16:30,-0300,Novo Hamburgo RS,1-2,1-2,São José RS,,2023-03-11T19:30Z
,11,Sat Mar 11 2023,16:30,-0300,Juventude RS,1-0,1-0,Brasil de Pelotas RS,,2023-03-11T19:30Z
,11,Sat Mar 11 2023,16:30,-0300,Avenida RS,0-1,0-1,S.E.R. Caxias RS,,2023-03-11T19:30Z
Playoffs,Semifinals,Sat Mar 18 2023,16:30,-0300,S.E.R. Caxias RS,1-1,1-1,Internacional,,2023-03-18T19:30Z
Playoffs,Semifinals,Sun Mar 19 2023,16:00,-0300,Ypiranga RS,2-1,0-1,Grêmio Porto Alegre,,2023-03-19T19:00Z
Playoffs,Semifinals,Sat Mar 25 2023,16:30,-0300,Grêmio Porto Alegre,2-1,0-0,Ypiranga RS,5-4,2023-03-25T19:30Z
Playoffs,Semifinals,Sun Mar 26 2023,18:00,-0300,Internacional,1-1,1-1,S.E.R. Caxias RS,4-5,2023-03-26T21:00Z
Playoffs,Final,Sat Apr 1 2023,16:30,-0300,S.E.R. Caxias RS,1-1,1-1,Grêmio Porto Alegre,,2023-04-01T19:30Z
Playoffs,Final,Sat Apr 8 2023,16:30,-0300,Grêmio Porto Alegre,1-0,0-0,S.E.R. Caxias RS,,2023-04-08T19:30Z
