Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,UTC
Taça Guanabara,5,Sat Feb 3 2018,19:00,-0200,Botafogo RJ,0-0,,Madureira RJ,,2018-02-03T21:00Z
Taça Guanabara,5,Sat Feb 3 2018,19:00,-0200,Portuguesa RJ,0-1,,Boavista RJ,,2018-02-03T21:00Z
Taça Guanabara,5,Sat Feb 3 2018,19:00,-0200,Fluminense RJ,1-0,,Macaé Esporte RJ,,2018-02-03T21:00Z
Taça Guanabara,5,Sun Feb 4 2018,17:00,-0200,Cabofriense RJ,0-2,,Bangu RJ,,2018-02-04T19:00Z
Taça Guanabara,5,Sun Feb 4 2018,17:00,-0200,Nova Iguaçu RJ,0-1,,Flamengo RJ,,2018-02-04T19:00Z
Taça Guanabara,5,Sun Feb 4 2018,17:00,-0200,Vasco da Gama RJ,3-1,,Volta Redonda RJ,,2018-02-04T19:00Z
Taça Guanabara Finals,Semifinals,Thu Feb 8 2018,17:00,-0200,Boavista RJ,2-2,,Bangu RJ,,2018-02-08T19:00Z
Taça Guanabara Finals,Semifinals,Sat Feb 10 2018,16:30,-0200,Flamengo RJ,3-1,,Botafogo RJ,,2018-02-10T18:30Z
Taça Guanabara Finals,Final,Sun Feb 18 2018,17:00,-0300,Boavista RJ,0-2,,Flamengo RJ,,2018-02-18T20:00Z
Taça Rio,1,Mon Feb 19 2018,19:30,-0300,Volta Redonda RJ,0-2,,Portuguesa RJ,,2018-02-19T22:30Z
Taça Rio,1,Wed Feb 21 2018,19:30,-0300,Flamengo RJ,4-0,,Madureira RJ,,2018-02-21T22:30Z
Taça Rio,1,Wed Feb 21 2018,16:30,-0300,Bangu RJ,0-4,,Fluminense RJ,,2018-02-21T19:30Z
Taça Rio,1,Thu Feb 22 2018,17:00,-0300,Cabofriense RJ,2-3,,Boavista RJ,,2018-02-22T20:00Z
Taça Rio,1,Thu Feb 22 2018,19:30,-0300,Nova Iguaçu RJ,1-2,,Botafogo RJ,,2018-02-22T22:30Z
Taça Rio,2,Sat Feb 24 2018,16:30,-0300,Macaé Esporte RJ,2-2,,Bangu RJ,,2018-02-24T19:30Z
Taça Rio,2,Sat Feb 24 2018,17:00,-0300,Fluminense RJ,4-0,,Flamengo RJ,,2018-02-24T20:00Z
Taça Rio,2,Sun Feb 25 2018,17:00,-0300,Portuguesa RJ,1-0,,Vasco da Gama RJ,,2018-02-25T20:00Z
Taça Rio,2,Sun Feb 25 2018,15:30,-0300,Boavista RJ,2-1,,Nova Iguaçu RJ,,2018-02-25T18:30Z
Taça Rio,2,Sun Feb 25 2018,19:30,-0300,Botafogo RJ,1-0,,Cabofriense RJ,,2018-02-25T22:30Z
Taça Rio,2,Mon Feb 26 2018,15:45,-0300,Madureira RJ,0-0,,Volta Redonda RJ,,2018-02-26T18:45Z
Taça Rio,1,Thu Mar 1 2018,19:30,-0300,Vasco da Gama RJ,2-1,,Macaé Esporte RJ,,2018-03-01T22:30Z
Taça Rio,3,Sat Mar 3 2018,16:30,-0300,Bangu RJ,1-1,,Portuguesa RJ,,2018-03-03T19:30Z
Taça Rio,3,Sat Mar 3 2018,17:00,-0300,Flamengo RJ,1-0,,Botafogo RJ,,2018-03-03T20:00Z
Taça Rio,3,Sun Mar 4 2018,17:00,-0300,Fluminense RJ,2-1,,Volta Redonda RJ,,2018-03-04T20:00Z
Taça Rio,3,Sun Mar 4 2018,17:00,-0300,Cabofriense RJ,1-0,,Macaé Esporte RJ,,2018-03-04T20:00Z
Taça Rio,3,Sun Mar 4 2018,19:30,-0300,Vasco da Gama RJ,4-3,,Boavista RJ,,2018-03-04T22:30Z
Taça Rio,3,Sun Mar 4 2018,15:45,-0300,Nova Iguaçu RJ,1-1,,Madureira RJ,,2018-03-04T18:45Z
Taça Rio,4,Tue Mar 6 2018,21:30,-0300,Botafogo RJ,1-0,,Bangu RJ,,2018-03-07T00:30Z
Taça Rio,4,Wed Mar 7 2018,16:00,-0300,Macaé Esporte RJ,1-1,,Volta Redonda RJ,,2018-03-07T19:00Z
Taça Rio,4,Wed Mar 7 2018,16:00,-0300,Portuguesa RJ,2-1,,Nova Iguaçu RJ,,2018-03-07T19:00Z
Taça Rio,4,Wed Mar 7 2018,21:45,-0300,Boavista RJ,0-3,,Flamengo RJ,,2018-03-08T00:45Z
Taça Rio,4,Wed Mar 7 2018,19:30,-0300,Vasco da Gama RJ,0-0,,Fluminense RJ,,2018-03-07T22:30Z
Taça Rio,4,Wed Mar 7 2018,15:45,-0300,Madureira RJ,0-2,,Cabofriense RJ,,2018-03-07T18:45Z
Taça Rio,5,Sat Mar 10 2018,16:00,-0300,Boavista RJ,0-2,,Bangu RJ,,2018-03-10T19:00Z
Taça Rio,5,Sat Mar 10 2018,15:45,-0300,Madureira RJ,1-3,,Vasco da Gama RJ,,2018-03-10T18:45Z
Taça Rio,5,Sat Mar 10 2018,19:30,-0300,Macaé Esporte RJ,1-0,,Flamengo RJ,,2018-03-10T22:30Z
Taça Rio,5,Sun Mar 11 2018,17:00,-0300,Volta Redonda RJ,1-1,,Botafogo RJ,,2018-03-11T20:00Z
Taça Rio,5,Sun Mar 11 2018,19:30,-0300,Fluminense RJ,2-1,,Nova Iguaçu RJ,,2018-03-11T22:30Z
Taça Rio,5,Sun Mar 11 2018,15:45,-0300,Portuguesa RJ,1-2,,Cabofriense RJ,,2018-03-11T18:45Z
Taça Rio,6,Sun Mar 18 2018,16:00,-0300,Flamengo RJ,4-0,,Portuguesa RJ,,2018-03-18T19:00Z
Taça Rio,6,Sun Mar 18 2018,16:00,-0300,Cabofriense RJ,1-1,,Fluminense RJ,,2018-03-18T19:00Z
Taça Rio,6,Sun Mar 18 2018,16:00,-0300,Botafogo RJ,2-3,,Vasco da Gama RJ,,2018-03-18T19:00Z
Taça Rio,6,Sun Mar 18 2018,16:00,-0300,Volta Redonda RJ,2-3,,Boavista RJ,,2018-03-18T19:00Z
Taça Rio,6,Sun Mar 18 2018,16:00,-0300,Bangu RJ,0-3,,Madureira RJ,,2018-03-18T19:00Z
Taça Rio,6,Sun Mar 18 2018,16:00,-0300,Nova Iguaçu RJ,0-2,,Macaé Esporte RJ,,2018-03-18T19:00Z
Taça Rio Finals,Semifinals,Wed Mar 21 2018,21:45,-0300,Vasco da Gama RJ,2-3,,Botafogo RJ,,2018-03-22T00:45Z
Taça Rio Finals,Semifinals,Thu Mar 22 2018,20:00,-0300,Fluminense RJ,1-1,,Flamengo RJ,,2018-03-22T23:00Z
Taça Rio Finals,Final,Sun Mar 25 2018,16:00,-0300,Fluminense RJ,3-0,,Botafogo RJ,,2018-03-25T19:00Z
Finals,Semifinals,Wed Mar 28 2018,21:45,-0300,Flamengo RJ,0-1,0-1,Botafogo RJ,,2018-03-29T00:45Z
Finals,Semifinals,Thu Mar 29 2018,21:00,-0300,Fluminense RJ,2-3,1-1,Vasco da Gama RJ,,2018-03-30T00:00Z
Finals,Final,Sun Apr 1 2018,16:00,-0300,Botafogo RJ,2-3,,Vasco da Gama RJ,,2018-04-01T19:00Z
Finals,Final,Sun Apr 8 2018,16:00,-0300,Vasco da Gama RJ,,,Botafogo RJ,3-4,2018-04-08T19:00Z
