Stage,Round,Date,Team 1,FT,Team 2
Apertura,10,Sat Sep 21 2019,CF Pachuca,4-1,Club Tijuana
Apertura,10,Sat Sep 21 2019,CF Monterrey,3-2,Club Puebla
Apertura,10,Sun Sep 22 2019,Pumas UNAM,1-1,Cruz Azul
Apertura,10,Sun Sep 22 2019,FC Juárez,2-0,Tiburones Rojos Veracruz
Apertura,11,Tue Sep 24 2019,Querétaro FC,1-2,Club Necaxa
Apertura,11,Tue Sep 24 2019,Tigres UANL,0-1,Club Puebla
Apertura,11,Tue Sep 24 2019,Club León,1-1,Club Atlas
Apertura,11,Tue Sep 24 2019,CD Guadalajara Chivas,2-4,CF Pachuca
Apertura,11,Wed Sep 25 2019,Club Tijuana,3-2,Monarcas Morelia
Apertura,11,Wed Sep 25 2019,Santos Laguna,5-0,Tiburones Rojos Veracruz
Apertura,11,Wed Sep 25 2019,Cruz Azul,1-1,CF Monterrey
Apertura,11,Wed Sep 25 2019,FC Juárez,1-1,Club América
Apertura,11,Thu Sep 26 2019,Deportivo Toluca FC,3-1,Atlético San Luis
Apertura,12,Fri Sep 27 2019,Club Puebla,2-1,Club León
Apertura,12,Fri Sep 27 2019,Club Atlas,2-0,Querétaro FC
Apertura,12,Sat Sep 28 2019,CF Pachuca,2-0,Cruz Azul
Apertura,12,Sat Sep 28 2019,Club Necaxa,0-0,FC Juárez
Apertura,12,Sat Sep 28 2019,CF Monterrey,0-2,Tigres UANL
Apertura,12,Sat Sep 28 2019,Club América,4-1,CD Guadalajara Chivas
Apertura,12,Sun Sep 29 2019,Pumas UNAM,2-0,Santos Laguna
Apertura,12,Sun Sep 29 2019,Atlético San Luis,2-3,Club Tijuana
Apertura,12,Sun Sep 29 2019,Tiburones Rojos Veracruz,1-1,Deportivo Toluca FC
Apertura,13,Fri Oct 4 2019,Monarcas Morelia,2-3,Club Necaxa
Apertura,13,Sat Oct 5 2019,Club Tijuana,2-2,Club Atlas
Apertura,13,Sat Oct 5 2019,Club León,1-1,Tiburones Rojos Veracruz
Apertura,13,Sat Oct 5 2019,Tigres UANL,4-0,Santos Laguna
Apertura,13,Sat Oct 5 2019,CD Guadalajara Chivas,1-1,Pumas UNAM
Apertura,13,Sat Oct 5 2019,Cruz Azul,5-2,Club América
Apertura,13,Sun Oct 6 2019,Deportivo Toluca FC,1-1,Club Puebla
Apertura,13,Sun Oct 6 2019,FC Juárez,1-2,Atlético San Luis
Apertura,13,Sun Oct 6 2019,Querétaro FC,2-1,CF Monterrey
Apertura,14,Fri Oct 18 2019,Club Puebla,0-1,Club Atlas
Apertura,14,Fri Oct 18 2019,Tiburones Rojos Veracruz,1-3,Tigres UANL
Apertura,14,Fri Oct 18 2019,Santos Laguna,4-1,Club Tijuana
Apertura,14,Sat Oct 19 2019,Cruz Azul,2-3,Monarcas Morelia
Apertura,14,Sat Oct 19 2019,CF Pachuca,0-1,FC Juárez
Apertura,14,Sat Oct 19 2019,Club Necaxa,2-2,Club América
Apertura,14,Sun Oct 20 2019,CF Monterrey,1-1,CD Guadalajara Chivas
Apertura,14,Sun Oct 20 2019,Atlético San Luis,0-2,Querétaro FC
Apertura,14,Sun Oct 20 2019,Pumas UNAM,1-2,Club León
Apertura,15,Fri Oct 25 2019,Monarcas Morelia,2-2,Santos Laguna
Apertura,15,Fri Oct 25 2019,Club Tijuana,2-0,Tiburones Rojos Veracruz
Apertura,15,Fri Oct 25 2019,Club Atlas,0-2,Club Necaxa
Apertura,15,Sat Oct 26 2019,Tigres UANL,1-1,Cruz Azul
Apertura,15,Sat Oct 26 2019,Club América,2-0,Club Puebla
Apertura,15,Sat Oct 26 2019,Club León,3-2,Atlético San Luis
Apertura,15,Sat Oct 26 2019,Querétaro FC,3-0,Pumas UNAM
Apertura,15,Sun Oct 27 2019,Deportivo Toluca FC,2-0,CF Pachuca
Apertura,15,Sun Oct 27 2019,FC Juárez,1-2,CD Guadalajara Chivas
Apertura,16,Tue Oct 29 2019,Santos Laguna,1-0,Querétaro FC
Apertura,16,Tue Oct 29 2019,Tiburones Rojos Veracruz,1-0,Club Puebla
Apertura,16,Tue Oct 29 2019,Atlético San Luis,0-1,Club América
Apertura,16,Tue Oct 29 2019,Pumas UNAM,5-1,Club Atlas
Apertura,16,Wed Oct 30 2019,CF Pachuca,2-3,CF Monterrey
Apertura,16,Wed Oct 30 2019,CD Guadalajara Chivas,0-1,Club Tijuana
Apertura,16,Wed Oct 30 2019,Tigres UANL,1-0,Deportivo Toluca FC
Apertura,16,Thu Oct 31 2019,Cruz Azul,1-0,Club León
Apertura,16,Thu Oct 31 2019,Monarcas Morelia,6-1,FC Juárez
Apertura,17,Fri Nov 1 2019,Club Puebla,1-1,Pumas UNAM
Apertura,17,Fri Nov 1 2019,Club Atlas,1-2,Atlético San Luis
Apertura,17,Sat Nov 2 2019,Querétaro FC,0-0,Tigres UANL
Apertura,17,Sat Nov 2 2019,Club América,1-2,Santos Laguna
Apertura,17,Sat Nov 2 2019,Club Necaxa,1-2,CF Pachuca
Apertura,17,Sat Nov 2 2019,CF Monterrey,1-1,Tiburones Rojos Veracruz
Apertura,17,Sun Nov 3 2019,Deportivo Toluca FC,1-3,CD Guadalajara Chivas
Apertura,17,Sun Nov 3 2019,Club León,1-1,Monarcas Morelia
Apertura,17,Sun Nov 3 2019,FC Juárez,3-0,Club Tijuana
Apertura,18,Fri Nov 8 2019,Monarcas Morelia,3-2,Club Puebla
Apertura,18,Fri Nov 8 2019,Tiburones Rojos Veracruz,0-5,Club América
Apertura,18,Fri Nov 8 2019,Club Tijuana,0-4,CF Monterrey
Apertura,18,Sat Nov 9 2019,Atlético San Luis,0-2,Club Necaxa
Apertura,18,Sat Nov 9 2019,Club León,4-0,Deportivo Toluca FC
Apertura,18,Sat Nov 9 2019,CD Guadalajara Chivas,3-2,Querétaro FC
Apertura,18,Sat Nov 9 2019,Tigres UANL,0-0,CF Pachuca
Apertura,18,Sun Nov 10 2019,Pumas UNAM,1-1,FC Juárez
Apertura,18,Sun Nov 10 2019,Santos Laguna,3-1,Cruz Azul
Apertura,19,Fri Nov 22 2019,Club Puebla,3-0,Club Necaxa
Apertura,19,Fri Nov 22 2019,Club Tijuana,1-2,Club León
Apertura,19,Sat Nov 23 2019,Cruz Azul,3-1,Atlético San Luis
Apertura,19,Sat Nov 23 2019,Querétaro FC,3-1,Monarcas Morelia
Apertura,19,Sat Nov 23 2019,CD Guadalajara Chivas,3-1,Tiburones Rojos Veracruz
Apertura,19,Sat Nov 23 2019,CF Pachuca,2-0,Pumas UNAM
Apertura,19,Sat Nov 23 2019,CF Monterrey,2-0,Club Atlas
Apertura,19,Sun Nov 24 2019,FC Juárez,1-2,Tigres UANL
Apertura,19,Sun Nov 24 2019,Deportivo Toluca FC,2-2,Santos Laguna
Apertura - Liguilla,Cuartos de Final,Wed Nov 27 2019,Monarcas Morelia,3-3,Club León
Apertura - Liguilla,Cuartos de Final,Wed Nov 27 2019,Club Necaxa,3-0,Querétaro FC
Apertura - Liguilla,Cuartos de Final,Thu Nov 28 2019,Club América,1-2,Tigres UANL
Apertura - Liguilla,Cuartos de Final,Thu Nov 28 2019,CF Monterrey,5-2,Santos Laguna
Apertura - Liguilla,Cuartos de Final,Sat Nov 30 2019,Querétaro FC,2-3,Club Necaxa
Apertura - Liguilla,Cuartos de Final,Sat Nov 30 2019,Club León,1-2,Monarcas Morelia
Apertura - Liguilla,Cuartos de Final,Sun Dec 1 2019,Santos Laguna,1-1,CF Monterrey
Apertura - Liguilla,Cuartos de Final,Sun Dec 1 2019,Tigres UANL,2-4,Club América
Apertura - Liguilla,Semifinales,Wed Dec 4 2019,CF Monterrey,2-1,Club Necaxa
Apertura - Liguilla,Semifinales,Sat Dec 7 2019,Club Necaxa,0-1,CF Monterrey
Apertura - Liguilla,Semifinales,Sun Dec 8 2019,Monarcas Morelia,0-2,Club América
Apertura - Liguilla,Semifinales,Sun Dec 8 2019,Club América,2-0,Monarcas Morelia
Apertura - Liguilla,Final,Thu Dec 26 2019,CF Monterrey,2-1,Club América
Apertura - Liguilla,Final,Sun Dec 29 2019,Club América,2-1,CF Monterrey
Clausura,1,Fri Jan 10 2020,Monarcas Morelia,0-1,Deportivo Toluca FC
Clausura,1,Fri Jan 10 2020,Club Tijuana,2-1,Santos Laguna
Clausura,1,Sat Jan 11 2020,Cruz Azul,1-2,Club Atlas
Clausura,1,Sat Jan 11 2020,CD Guadalajara Chivas,2-0,FC Juárez
Clausura,1,Sat Jan 11 2020,Club León,3-1,Querétaro FC
Clausura,1,Sat Jan 11 2020,Tigres UANL,0-0,Atlético San Luis
Clausura,1,Sun Jan 12 2020,Pumas UNAM,2-1,CF Pachuca
Clausura,2,Thu Jan 16 2020,FC Juárez,4-4,Pumas UNAM
Clausura,2,Fri Jan 17 2020,Club Atlas,0-1,Club Puebla
Clausura,2,Fri Jan 17 2020,Atlético San Luis,2-1,Cruz Azul
Clausura,2,Sat Jan 18 2020,CF Pachuca,0-0,CD Guadalajara Chivas
Clausura,2,Sat Jan 18 2020,CF Monterrey,2-2,Monarcas Morelia
Clausura,2,Sat Jan 18 2020,Club América,1-0,Tigres UANL
Clausura,2,Sun Jan 19 2020,Santos Laguna,3-2,Club León
Clausura,2,Sun Jan 19 2020,Querétaro FC,3-0,Club Tijuana
Clausura,2,Sun Jan 19 2020,Deportivo Toluca FC,2-3,Club Necaxa
Clausura,3,Fri Jan 24 2020,Club Puebla,0-1,Querétaro FC
Clausura,3,Fri Jan 24 2020,Club Tijuana,0-0,Club América
Clausura,3,Sat Jan 25 2020,CD Guadalajara Chivas,2-2,Deportivo Toluca FC
Clausura,3,Sat Jan 25 2020,Club León,3-0,CF Pachuca
Clausura,3,Sat Jan 25 2020,Tigres UANL,2-1,Club Atlas
Clausura,3,Sat Jan 25 2020,Cruz Azul,3-0,Santos Laguna
Clausura,3,Sun Jan 26 2020,FC Juárez,3-0,Monarcas Morelia
Clausura,3,Sun Jan 26 2020,Pumas UNAM,1-0,CF Monterrey
Clausura,3,Sun Jan 26 2020,Club Necaxa,1-1,Atlético San Luis
Clausura,4,Fri Jan 31 2020,Club Atlas,2-1,Club Tijuana
Clausura,4,Fri Jan 31 2020,Atlético San Luis,2-2,CD Guadalajara Chivas
Clausura,4,Sat Feb 1 2020,Santos Laguna,1-1,Pumas UNAM
Clausura,4,Sat Feb 1 2020,Club América,1-3,FC Juárez
Clausura,4,Sat Feb 1 2020,Monarcas Morelia,1-2,Club León
Clausura,4,Sat Feb 1 2020,CF Monterrey,1-2,Querétaro FC
Clausura,4,Sat Feb 1 2020,CF Pachuca,2-0,Tigres UANL
Clausura,4,Sat Feb 1 2020,Club Necaxa,2-0,Club Puebla
Clausura,4,Sun Feb 2 2020,Deportivo Toluca FC,3-3,Cruz Azul
Clausura,1,Tue Feb 4 2020,Club Puebla,0-1,Club América
Clausura,1,Wed Feb 5 2020,Club Necaxa,2-2,CF Monterrey
Clausura,5,Thu Feb 6 2020,Club Atlas,1-3,Monarcas Morelia
Clausura,5,Fri Feb 7 2020,Club Puebla,2-2,Santos Laguna
Clausura,5,Fri Feb 7 2020,Club Tijuana,1-1,Deportivo Toluca FC
Clausura,5,Sat Feb 8 2020,Club León,3-1,CF Monterrey
Clausura,5,Sat Feb 8 2020,Tigres UANL,3-0,CD Guadalajara Chivas
Clausura,5,Sat Feb 8 2020,Cruz Azul,3-1,CF Pachuca
Clausura,5,Sun Feb 9 2020,Pumas UNAM,4-0,Atlético San Luis
Clausura,5,Sun Feb 9 2020,Querétaro FC,1-2,Club América
Clausura,5,Sun Feb 9 2020,FC Juárez,2-1,Club Necaxa
Clausura,6,Fri Feb 14 2020,Atlético San Luis,3-1,Club León
Clausura,6,Fri Feb 14 2020,Monarcas Morelia,1-1,Club Tijuana
Clausura,6,Sat Feb 15 2020,CF Pachuca,1-0,Club Puebla
Clausura,6,Sat Feb 15 2020,CD Guadalajara Chivas,1-2,Cruz Azul
Clausura,6,Sat Feb 15 2020,Club América,2-0,Club Atlas
Clausura,6,Sat Feb 15 2020,CF Monterrey,1-1,FC Juárez
Clausura,6,Sat Feb 15 2020,Deportivo Toluca FC,2-3,Pumas UNAM
Clausura,6,Sun Feb 16 2020,Club Necaxa,2-3,Querétaro FC
Clausura,6,Sun Feb 16 2020,Santos Laguna,2-1,Tigres UANL
Clausura,7,Fri Feb 21 2020,Club Atlas,0-2,CF Pachuca
Clausura,7,Fri Feb 21 2020,Club Tijuana,0-1,CD Guadalajara Chivas
Clausura,7,Fri Feb 21 2020,Club Puebla,2-0,Deportivo Toluca FC
Clausura,7,Sat Feb 22 2020,CF Monterrey,0-1,Club América
Clausura,7,Sat Feb 22 2020,Cruz Azul,2-1,Tigres UANL
Clausura,7,Sat Feb 22 2020,Club León,2-1,Club Necaxa
Clausura,7,Sun Feb 23 2020,FC Juárez,1-2,Santos Laguna
Clausura,7,Sun Feb 23 2020,Querétaro FC,0-1,Atlético San Luis
Clausura,7,Sun Feb 23 2020,Pumas UNAM,1-2,Monarcas Morelia
Clausura,8,Fri Feb 28 2020,Atlético San Luis,0-3,FC Juárez
Clausura,8,Fri Feb 28 2020,Deportivo Toluca FC,2-0,CF Monterrey
Clausura,8,Fri Feb 28 2020,Monarcas Morelia,2-4,Cruz Azul
Clausura,8,Fri Feb 28 2020,Club Tijuana,0-1,Club Puebla
Clausura,8,Sat Feb 29 2020,CF Pachuca,1-1,Querétaro FC
Clausura,8,Sat Feb 29 2020,Club América,0-3,Club Necaxa
Clausura,8,Sat Feb 29 2020,Tigres UANL,3-0,Pumas UNAM
Clausura,8,Sun Mar 1 2020,CD Guadalajara Chivas,2-0,Club León
Clausura,8,Sun Mar 1 2020,Santos Laguna,1-0,Club Atlas
Clausura,9,Fri Mar 6 2020,Querétaro FC,1-1,Deportivo Toluca FC
Clausura,9,Fri Mar 6 2020,Pumas UNAM,3-3,Club América
Clausura,9,Fri Mar 6 2020,Club Puebla,0-0,Tigres UANL
Clausura,9,Sat Mar 7 2020,CF Monterrey,2-2,Atlético San Luis
Clausura,9,Sat Mar 7 2020,Cruz Azul,4-2,Club Tijuana
Clausura,9,Sat Mar 7 2020,CF Pachuca,1-0,Santos Laguna
Clausura,9,Sat Mar 7 2020,Club Atlas,1-2,CD Guadalajara Chivas
Clausura,9,Sun Mar 8 2020,Club Necaxa,1-2,Monarcas Morelia
Clausura,9,Sun Mar 8 2020,FC Juárez,1-4,Club León
Clausura,10,Fri Mar 13 2020,Monarcas Morelia,4-0,Querétaro FC
Clausura,10,Fri Mar 13 2020,Club Tijuana,3-2,CF Pachuca
Clausura,10,Sat Mar 14 2020,CD Guadalajara Chivas,1-1,CF Monterrey
Clausura,10,Sat Mar 14 2020,Tigres UANL,3-2,FC Juárez
Clausura,10,Sat Mar 14 2020,Club León,3-1,Pumas UNAM
Clausura,10,Sat Mar 14 2020,Atlético San Luis,0-1,Club Puebla
Clausura,10,Sun Mar 15 2020,Deportivo Toluca FC,2-3,Club Atlas
Clausura,10,Sun Mar 15 2020,Santos Laguna,2-1,Club Necaxa
Clausura,10,Sun Mar 15 2020,Club América,0-1,Cruz Azul
Clausura,11,Sat Mar 21 2020,Monarcas Morelia,,Atlético San Luis
Clausura,11,Sun Mar 22 2020,Club Puebla,,Cruz Azul
Clausura,11,Sun Mar 22 2020,Pumas UNAM,,Club Tijuana
Clausura,11,Sun Mar 22 2020,Club América,,Club León
Clausura,11,Sun Mar 22 2020,CF Pachuca,,Deportivo Toluca FC
Clausura,11,Sun Mar 22 2020,Club Necaxa,,Tigres UANL
Clausura,11,Sun Mar 22 2020,CF Monterrey,,Santos Laguna
Clausura,11,Mon Mar 23 2020,Querétaro FC,,CD Guadalajara Chivas
Clausura,11,Mon Mar 23 2020,FC Juárez,,Club Atlas
Clausura,12,Sat Apr 4 2020,Atlético San Luis,,CF Pachuca
Clausura,12,Sat Apr 4 2020,Club Atlas,,CF Monterrey
Clausura,12,Sun Apr 5 2020,Cruz Azul,,Pumas UNAM
Clausura,12,Sun Apr 5 2020,Tigres UANL,,Querétaro FC
Clausura,12,Sun Apr 5 2020,Club León,,Club Puebla
Clausura,12,Sun Apr 5 2020,CD Guadalajara Chivas,,Monarcas Morelia
Clausura,12,Sun Apr 5 2020,Deportivo Toluca FC,,FC Juárez
Clausura,12,Mon Apr 6 2020,Santos Laguna,,Club América
Clausura,12,Mon Apr 6 2020,Club Tijuana,,Club Necaxa
Clausura,13,Sat Apr 11 2020,Atlético San Luis,,Club Atlas
Clausura,13,Sat Apr 11 2020,Monarcas Morelia,,Tigres UANL
Clausura,13,Sun Apr 12 2020,Club América,,Deportivo Toluca FC
Clausura,13,Sun Apr 12 2020,Pumas UNAM,,Club Puebla
Clausura,13,Sun Apr 12 2020,Club Necaxa,,CD Guadalajara Chivas
Clausura,13,Sun Apr 12 2020,CF Monterrey,,Club Tijuana
Clausura,13,Sun Apr 12 2020,Club León,,Cruz Azul
Clausura,13,Mon Apr 13 2020,Querétaro FC,,Santos Laguna
Clausura,13,Mon Apr 13 2020,FC Juárez,,CF Pachuca
Clausura,14,Fri Apr 17 2020,Club Tijuana,,FC Juárez
Clausura,14,Sat Apr 18 2020,Club Puebla,,Monarcas Morelia
Clausura,14,Sat Apr 18 2020,Club Atlas,,Pumas UNAM
Clausura,14,Sun Apr 19 2020,Deportivo Toluca FC,,Club León
Clausura,14,Sun Apr 19 2020,CF Pachuca,,Club Necaxa
Clausura,14,Sun Apr 19 2020,Tigres UANL,,CF Monterrey
Clausura,14,Sun Apr 19 2020,Cruz Azul,,Querétaro FC
Clausura,14,Mon Apr 20 2020,CD Guadalajara Chivas,,Club América
Clausura,14,Mon Apr 20 2020,Santos Laguna,,Atlético San Luis
Clausura,15,Sat Apr 25 2020,Querétaro FC,,Club Atlas
Clausura,15,Sat Apr 25 2020,Monarcas Morelia,,CF Pachuca
Clausura,15,Sun Apr 26 2020,CF Monterrey,,Cruz Azul
Clausura,15,Sun Apr 26 2020,Club América,,Atlético San Luis
Clausura,15,Sun Apr 26 2020,Deportivo Toluca FC,,Tigres UANL
Clausura,15,Sun Apr 26 2020,CD Guadalajara Chivas,,Santos Laguna
Clausura,15,Sun Apr 26 2020,Club León,,Club Tijuana
Clausura,15,Mon Apr 27 2020,Club Necaxa,,Pumas UNAM
Clausura,15,Mon Apr 27 2020,FC Juárez,,Club Puebla
Clausura,16,Fri May 1 2020,Atlético San Luis,,Deportivo Toluca FC
Clausura,16,Sat May 2 2020,Club Puebla,,CF Monterrey
Clausura,16,Sat May 2 2020,Club Atlas,,Club León
Clausura,16,Sun May 3 2020,Cruz Azul,,Club Necaxa
Clausura,16,Sun May 3 2020,Tigres UANL,,Club Tijuana
Clausura,16,Sun May 3 2020,Querétaro FC,,FC Juárez
Clausura,16,Sun May 3 2020,Pumas UNAM,,CD Guadalajara Chivas
Clausura,16,Sun May 3 2020,CF Pachuca,,Club América
Clausura,16,Mon May 4 2020,Santos Laguna,,Monarcas Morelia
Clausura,17,Sat May 9 2020,Club Tijuana,,Atlético San Luis
Clausura,17,Sat May 9 2020,Santos Laguna,,Deportivo Toluca FC
Clausura,17,Sun May 10 2020,Club León,,Tigres UANL
Clausura,17,Sun May 10 2020,Club Necaxa,,Club Atlas
Clausura,17,Sun May 10 2020,CF Monterrey,,CF Pachuca
Clausura,17,Sun May 10 2020,CD Guadalajara Chivas,,Club Puebla
Clausura,17,Sun May 10 2020,Pumas UNAM,,Querétaro FC
Clausura,17,Mon May 11 2020,FC Juárez,,Cruz Azul
Clausura,17,Mon May 11 2020,Monarcas Morelia,,Club América
