Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 2,Fri Sep 17 2010,18:30,CEST/+0200,FC Dornbirn,1-2,0-1,SV Mattersburg,,,2010-09-17T16:30Z
Round 2,Fri Sep 17 2010,19:00,CEST/+0200,FC Waidhofen/Ybbs,0-4,0-1,SV Ried,,,2010-09-17T17:00Z
Round 2,Fri Sep 17 2010,19:00,CEST/+0200,FC Kufstein,0-3,0-0,SV Grödig,,,2010-09-17T17:00Z
Round 2,Fri Sep 17 2010,19:00,CEST/+0200,SV Seekirchen,2-6,2-2,TSV Hartberg,,,2010-09-17T17:00Z
Round 2,Fri Sep 17 2010,19:00,CEST/+0200,Vorwärts Steyr,3-2,1-1,WAC/St. Andrä,,,2010-09-17T17:00Z
Round 2,Fri Sep 17 2010,19:00,CEST/+0200,KSV Superfund,3-1,2-1,FC Gratkorn,,,2010-09-17T17:00Z
Round 2,Fri Sep 17 2010,19:30,CEST/+0200,SC Sollenau,2-4,1-2,LASK Linz,,,2010-09-17T17:30Z
Round 2,Sat Sep 18 2010,16:00,CEST/+0200,ASK Voitsberg,0-1,0-0,First Vienna FC,,,2010-09-18T14:00Z
Round 2,Sat Sep 18 2010,16:00,CEST/+0200,FC Höchst,0-3,0-0,Austria Lustenau,,,2010-09-18T14:00Z
Round 2,Sat Sep 18 2010,16:00,CEST/+0200,SV Gaflenz,1-5,0-2,FC Wacker Innsbruck,,,2010-09-18T14:00Z
Round 2,Sat Sep 18 2010,18:00,CEST/+0200,SC/ESV Parndorf,1-2,0-0,Sturm Graz,,,2010-09-18T16:00Z
Round 2,Sat Sep 18 2010,16:00,CEST/+0200,Kapfenberger SV 1919 II,0-3,0-1,Austria Wien,,,2010-09-18T14:00Z
Round 2,Sun Sep 19 2010,15:30,CEST/+0200,Austria Wien II,1-1,1-1,Rapid Wien,1-1,3-4,2010-09-19T13:30Z
Round 2,Sun Sep 19 2010,15:00,CEST/+0200,FC Blau Weiß Linz,3-1,2-0,RB Salzburg,,,2010-09-19T13:00Z
Round 2,Mon Sep 20 2010,19:00,CEST/+0200,SV Gleinstätten,2-4,2-3,FC Lustenau,,,2010-09-20T17:00Z
Round of 16,Tue Nov 9 2010,19:00,CET/+0100,First Vienna FC,1-1,0-1,SCR Altach,2-1,,2010-11-09T18:00Z
Round of 16,Tue Nov 9 2010,19:00,CET/+0100,KSV Superfund,0-0,0-0,FC Lustenau,2-0,,2010-11-09T18:00Z
Round of 16,Tue Nov 9 2010,19:30,CET/+0100,LASK Linz,0-1,0-1,SV Ried,,,2010-11-09T18:30Z
Round of 16,Tue Nov 9 2010,18:30,CET/+0100,Austria Lustenau,0-0,0-0,SV Grödig,0-0,5-4,2010-11-09T17:30Z
Round of 16,Wed Nov 10 2010,18:00,CET/+0100,FC Blau Weiß Linz,0-1,0-0,SV Mattersburg,,,2010-11-10T17:00Z
Round of 16,Wed Nov 10 2010,19:30,CET/+0100,Rapid Wien,3-0,0-0,TSV Hartberg,,,2010-11-10T18:30Z
Round of 16,Wed Nov 10 2010,19:30,CET/+0100,Vorwärts Steyr,0-0,0-0,Sturm Graz,0-1,,2010-11-10T18:30Z
Round of 16,Wed Nov 10 2010,20:30,CET/+0100,Austria Wien,1-1,1-1,FC Wacker Innsbruck,2-1,,2010-11-10T19:30Z
Quarterfinals,Tue Apr 19 2011,20:30,CEST/+0200,First Vienna FC,0-2,0-0,KSV Superfund,,,2011-04-19T18:30Z
Quarterfinals,Tue Apr 19 2011,19:00,CEST/+0200,Austria Wien,0-4,0-2,Austria Lustenau,,,2011-04-19T17:00Z
Quarterfinals,Wed Apr 20 2011,20:30,CEST/+0200,Rapid Wien,2-0,1-0,SV Mattersburg,,,2011-04-20T18:30Z
Quarterfinals,Wed Apr 20 2011,18:15,CEST/+0200,SV Ried,2-1,1-0,Sturm Graz,,,2011-04-20T16:15Z
Semifinals,Tue May 3 2011,18:30,CEST/+0200,KSV Superfund,1-2,1-2,Austria Lustenau,,,2011-05-03T16:30Z
Semifinals,Wed May 4 2011,18:15,CEST/+0200,SV Ried,2-1,0-1,Rapid Wien,,,2011-05-04T16:15Z
Final,Sun May 29 2011,16:30,CEST/+0200,SV Ried,2-0,1-0,Austria Lustenau,,,2011-05-29T14:30Z
