Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
1. Runde,Sun Aug 7 2011,17:00,ASK Baumgarten,0-3,0-2,RB Salzburg,,
1. Runde,Sun Aug 7 2011,18:00,FC Admira Wacker II,1-3,1-1,Austria Wien,,
1. Runde,Sun Aug 7 2011,18:00,FC Gratkorn,0-3,0-2,SV Ried,,
1. Runde,Sun Aug 7 2011,19:00,Villacher SV,4-2,2-1,SC Retz,,
2. Runde,Tue Sep 20 2011,16:30,Union Innsbruck,0-7,0-3,Austria Lustenau,,
2. Runde,Tue Sep 20 2011,18:30,Rapid Wien II,4-2,2-0,WAC/St. Andrä,,
2. Runde,Tue Sep 20 2011,18:30,FC Dornbirn,0-2,0-1,SV Grödig,,
2. Runde,Tue Sep 20 2011,19:00,Union St. Florian,0-2,0-1,FC Blau Weiß Linz,,
2. Runde,Tue Sep 20 2011,19:00,SC/ESV Parndorf,0-1,0-0,FC Admira Wacker,,
2. Runde,Tue Sep 20 2011,19:00,Young Violets,0-5,0-2,LASK Linz,,
2. Runde,Tue Sep 20 2011,19:30,ASC Götzendorf,2-3,1-1,SV Ried,,
2. Runde,Tue Sep 20 2011,19:30,Villacher SV,1-1,0-1,TSV Hartberg,1-2,
2. Runde,Tue Sep 20 2011,19:30,SKU Amstetten,2-2,1-1,FC Lustenau,2-4,
2. Runde,Wed Sep 21 2011,16:00,ASK Bad Vöslau,1-4,0-3,Rapid Wien,,
2. Runde,Wed Sep 21 2011,16:15,SAK Klagenfurt,0-4,0-1,RB Salzburg,,
2. Runde,Wed Sep 21 2011,16:30,SVG Reichenau,1-1,1-0,Kapfenberger SV,2-1,
2. Runde,Wed Sep 21 2011,19:00,SC Weiz,0-4,0-1,Sturm Graz,,
2. Runde,Wed Sep 21 2011,19:00,RB Salzburg II,1-1,1-0,SV Mattersburg,1-1,5-4
2. Runde,Wed Sep 21 2011,19:00,USV Allerheiligen,1-3,1-1,Austria Wien,,
2. Runde,Wed Sep 21 2011,19:30,SV St. Margarethen,0-3,0-0,FC Wacker Innsbruck,,
Achtelfinale,Tue Oct 25 2011,18:30,Austria Lustenau,4-1,2-1,FC Lustenau,,
Achtelfinale,Tue Oct 25 2011,19:00,FC Wacker Innsbruck,0-1,0-1,SV Grödig,,
Achtelfinale,Tue Oct 25 2011,19:00,RB Salzburg II,3-1,2-1,FC Blau Weiß Linz,,
Achtelfinale,Tue Oct 25 2011,19:00,Rapid Wien II,0-2,0-0,TSV Hartberg,,
Achtelfinale,Wed Oct 26 2011,10:30,SVG Reichenau,0-2,0-0,Austria Wien,,
Achtelfinale,Wed Oct 26 2011,16:00,Rapid Wien,1-1,1-1,SV Ried,1-2,
Achtelfinale,Wed Oct 26 2011,16:00,RB Salzburg,2-1,0-0,LASK Linz,,
Achtelfinale,Wed Oct 26 2011,18:00,Sturm Graz,3-1,2-1,FC Admira Wacker,,
Viertelfinale,Tue Apr 10 2012,18:00,SV Grödig,2-3,2-1,SV Ried,,
Viertelfinale,Wed Apr 11 2012,18:00,Austria Lustenau,1-2,0-2,Austria Wien,,
Viertelfinale,Wed Apr 11 2012,19:00,Sturm Graz,2-2,1-2,TSV Hartberg,2-4,
Viertelfinale,Wed Apr 11 2012,19:00,RB Salzburg,4-1,1-1,RB Salzburg II,,
Halbfinale,Tue May 1 2012,18:00,TSV Hartberg,0-1,0-0,RB Salzburg,,
Halbfinale,Wed May 2 2012,20:30,SV Ried,2-0,1-0,Austria Wien,,
Finale,Sun May 20 2012,16:00,RB Salzburg,3-0,2-0,SV Ried,,
