Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,4,Wed Oct 4 2023,21:00,CEST/+0200,Lincoln Red Imps,3-1,1-0,Glacis United FC,2023-10-04T19:00Z
,4,Thu Oct 5 2023,21:00,CEST/+0200,Lions Gibraltar,0-2,0-1,FCB Magpies,2023-10-05T19:00Z
,4,Fri Oct 6 2023,21:00,CEST/+0200,Europa FC,1-3,0-1,Lynx FC,2023-10-06T19:00Z
,4,Sat Oct 7 2023,19:30,CEST/+0200,Mons Calpe S.C.,3-1,1-1,Europa Point FC,2023-10-07T17:30Z
,5,Fri Oct 20 2023,21:00,CEST/+0200,Manchester 62 FC,1-2,1-2,Mons Calpe S.C.,2023-10-20T19:00Z
,5,Sat Oct 21 2023,19:30,CEST/+0200,Europa Point FC,1-2,1-1,Lincoln Red Imps,2023-10-21T17:30Z
,5,Sat Oct 21 2023,16:30,CEST/+0200,FCB Magpies,3-1,1-1,Europa FC,2023-10-21T14:30Z
,5,Sun Oct 22 2023,16:30,CEST/+0200,Glacis United FC,3-1,0-1,Lions Gibraltar,2023-10-22T14:30Z
,5,Sun Oct 22 2023,19:30,CEST/+0200,Lynx FC,2-3,1-1,College 1975 FC,2023-10-22T17:30Z
,1,Wed Oct 25 2023,21:00,CEST/+0200,FCB Magpies,0-0,0-0,Lincoln Red Imps,2023-10-25T19:00Z
,6,Fri Oct 27 2023,21:00,CEST/+0200,St. Joseph's FC,2-0,1-0,Lynx FC,2023-10-27T19:00Z
,6,Sat Oct 28 2023,19:30,CEST/+0200,Lions Gibraltar,1-3,0-1,Europa Point FC,2023-10-28T17:30Z
,6,Sat Oct 28 2023,16:30,CEST/+0200,Europa FC,3-2,0-1,Glacis United FC,2023-10-28T14:30Z
,6,Sun Oct 29 2023,19:30,CET/+0100,Lincoln Red Imps,5-0,1-0,Manchester 62 FC,2023-10-29T18:30Z
,6,Sun Oct 29 2023,16:30,CET/+0100,College 1975 FC,2-6,0-2,FCB Magpies,2023-10-29T15:30Z
,7,Fri Nov 3 2023,21:00,CET/+0100,FCB Magpies,2-4,2-2,St. Joseph's FC,2023-11-03T20:00Z
,7,Sat Nov 4 2023,19:30,CET/+0100,Mons Calpe S.C.,0-2,0-0,Lincoln Red Imps,2023-11-04T18:30Z
,7,Sat Nov 4 2023,16:30,CET/+0100,Glacis United FC,1-0,1-0,College 1975 FC,2023-11-04T15:30Z
,7,Sun Nov 5 2023,19:30,CET/+0100,Europa Point FC,1-0,1-0,Europa FC,2023-11-05T18:30Z
,7,Sun Nov 5 2023,16:30,CET/+0100,Manchester 62 FC,7-0,5-0,Lions Gibraltar,2023-11-05T15:30Z
,8,Fri Nov 24 2023,21:00,CET/+0100,Lions Gibraltar,0-0,0-0,Mons Calpe S.C.,2023-11-24T20:00Z
,8,Sat Nov 25 2023,19:30,CET/+0100,St. Joseph's FC,4-0,1-0,Glacis United FC,2023-11-25T18:30Z
,8,Sat Nov 25 2023,16:30,CET/+0100,College 1975 FC,0-5,0-2,Europa Point FC,2023-11-25T15:30Z
,8,Sun Nov 26 2023,16:30,CET/+0100,Lynx FC,1-0,1-0,FCB Magpies,2023-11-26T15:30Z
,8,Sun Nov 26 2023,19:30,CET/+0100,Europa FC,0-1,0-0,Manchester 62 FC,2023-11-26T18:30Z
,9,Fri Dec 1 2023,21:00,CET/+0100,Lincoln Red Imps,2-0,1-0,Lions Gibraltar,2023-12-01T20:00Z
,9,Sat Dec 2 2023,19:30,CET/+0100,Glacis United FC,2-0,1-0,Lynx FC,2023-12-02T18:30Z
,9,Sat Dec 2 2023,16:30,CET/+0100,Mons Calpe S.C.,1-0,0-0,Europa FC,2023-12-02T15:30Z
,9,Sun Dec 3 2023,19:30,CET/+0100,Europa Point FC,1-0,0-0,St. Joseph's FC,2023-12-03T18:30Z
,9,Sun Dec 3 2023,16:30,CET/+0100,Manchester 62 FC,4-1,1-1,College 1975 FC,2023-12-03T15:30Z
,10,Fri Dec 8 2023,21:00,CET/+0100,FCB Magpies,3-0,3-0,Glacis United FC,2023-12-08T20:00Z
,10,Sat Dec 9 2023,16:30,CET/+0100,College 1975 FC,1-3,0-2,Mons Calpe S.C.,2023-12-09T15:30Z
,10,Sat Dec 9 2023,19:30,CET/+0100,Europa FC,1-4,1-3,Lincoln Red Imps,2023-12-09T18:30Z
,10,Sun Dec 10 2023,19:30,CET/+0100,Lynx FC,1-1,1-0,Europa Point FC,2023-12-10T18:30Z
,10,Sun Dec 10 2023,16:30,CET/+0100,St. Joseph's FC,4-0,0-0,Manchester 62 FC,2023-12-10T15:30Z
,11,Fri Dec 15 2023,21:00,CET/+0100,Manchester 62 FC,5-1,2-1,Lynx FC,2023-12-15T20:00Z
,11,Sat Dec 16 2023,19:30,CET/+0100,Lions Gibraltar,0-5,0-1,Europa FC,2023-12-16T18:30Z
,11,Sat Dec 16 2023,16:30,CET/+0100,Europa Point FC,0-1,0-1,FCB Magpies,2023-12-16T15:30Z
,11,Sun Dec 17 2023,19:30,CET/+0100,Lincoln Red Imps,7-0,4-0,College 1975 FC,2023-12-17T18:30Z
,12,Tue Dec 19 2023,21:00,CET/+0100,Manchester 62 FC,1-5,0-3,FCB Magpies,2023-12-19T20:00Z
,12,Thu Dec 21 2023,21:00,CET/+0100,Lincoln Red Imps,1-2,1-1,St. Joseph's FC,2023-12-21T20:00Z
,12,Fri Dec 22 2023,21:00,CET/+0100,Europa Point FC,2-0,1-0,Glacis United FC,2023-12-22T20:00Z
,12,Mon Jan 8 2024,21:00,CET/+0100,Lions Gibraltar,1-1,1-0,College 1975 FC,2024-01-08T20:00Z
,12,Tue Jan 9 2024,21:00,CET/+0100,Mons Calpe S.C.,1-1,0-0,Lynx FC,2024-01-09T20:00Z
,11,Tue Jan 16 2024,21:00,CET/+0100,Mons Calpe S.C.,1-1,1-1,St. Joseph's FC,2024-01-16T20:00Z
,13,Fri Jan 19 2024,21:00,CET/+0100,College 1975 FC,2-3,2-1,Europa FC,2024-01-19T20:00Z
,13,Sat Jan 20 2024,16:30,CET/+0100,Glacis United FC,0-1,0-0,Manchester 62 FC,2024-01-20T15:30Z
,13,Sat Jan 20 2024,19:30,CET/+0100,St. Joseph's FC,3-2,2-1,Lions Gibraltar,2024-01-20T18:30Z
,13,Sun Jan 21 2024,19:30,CET/+0100,Lynx FC,0-3,0-3,Lincoln Red Imps,2024-01-21T18:30Z
,13,Sun Jan 21 2024,16:30,CET/+0100,FCB Magpies,3-1,1-1,Mons Calpe S.C.,2024-01-21T15:30Z
,14,Fri Jan 26 2024,21:00,CET/+0100,Manchester 62 FC,0-2,0-1,Europa Point FC,2024-01-26T20:00Z
,14,Sat Jan 27 2024,19:30,CET/+0100,Europa FC,0-1,0-0,St. Joseph's FC,2024-01-27T18:30Z
,14,Sat Jan 27 2024,16:30,CET/+0100,Mons Calpe S.C.,5-1,3-1,Glacis United FC,2024-01-27T15:30Z
,14,Sun Jan 28 2024,19:30,CET/+0100,Lincoln Red Imps,3-0,1-0,FCB Magpies,2024-01-28T18:30Z
,14,Sun Jan 28 2024,16:30,CET/+0100,Lions Gibraltar,0-4,0-2,Lynx FC,2024-01-28T15:30Z
,15,Fri Feb 2 2024,21:00,CET/+0100,St. Joseph's FC,4-1,3-0,College 1975 FC,2024-02-02T20:00Z
,15,Sat Feb 3 2024,19:30,CET/+0100,Europa Point FC,1-1,0-1,Mons Calpe S.C.,2024-02-03T18:30Z
,15,Sat Feb 3 2024,16:30,CET/+0100,Lynx FC,0-0,0-0,Europa FC,2024-02-03T15:30Z
,15,Sun Feb 4 2024,19:30,CET/+0100,FCB Magpies,3-1,2-0,Lions Gibraltar,2024-02-04T18:30Z
,15,Sun Feb 4 2024,16:30,CET/+0100,Glacis United FC,2-8,0-5,Lincoln Red Imps,2024-02-04T15:30Z
,16,Fri Feb 9 2024,21:00,CET/+0100,Mons Calpe S.C.,2-0,1-0,Manchester 62 FC,2024-02-09T20:00Z
,16,Sat Feb 10 2024,19:30,CET/+0100,Lincoln Red Imps,1-0,0-0,Europa Point FC,2024-02-10T18:30Z
,16,Sat Feb 10 2024,16:30,CET/+0100,College 1975 FC,0-2,0-1,Lynx FC,2024-02-10T15:30Z
,16,Sun Feb 11 2024,16:30,CET/+0100,Europa FC,4-3,1-1,FCB Magpies,2024-02-11T15:30Z
,16,Sun Feb 11 2024,19:30,CET/+0100,Lions Gibraltar,1-0,0-0,Glacis United FC,2024-02-11T18:30Z
,17,Fri Feb 16 2024,21:00,CET/+0100,Lynx FC,1-2,0-2,St. Joseph's FC,2024-02-16T20:00Z
,17,Sat Feb 17 2024,19:30,CET/+0100,FCB Magpies,7-2,5-1,College 1975 FC,2024-02-17T18:30Z
,17,Sat Feb 17 2024,16:30,CET/+0100,Manchester 62 FC,0-7,0-4,Lincoln Red Imps,2024-02-17T15:30Z
,17,Sun Feb 18 2024,19:30,CET/+0100,Glacis United FC,0-1,0-0,Europa FC,2024-02-18T18:30Z
,17,Sun Feb 18 2024,16:30,CET/+0100,Europa Point FC,0-0,0-0,Lions Gibraltar,2024-02-18T15:30Z
,18,Fri Feb 23 2024,21:00,CET/+0100,Lincoln Red Imps,2-1,1-0,Mons Calpe S.C.,2024-02-23T20:00Z
,18,Sat Feb 24 2024,16:30,CET/+0100,St. Joseph's FC,2-2,1-0,FCB Magpies,2024-02-24T15:30Z
,18,Sat Feb 24 2024,19:30,CET/+0100,Lions Gibraltar,2-1,0-0,Manchester 62 FC,2024-02-24T18:30Z
,18,Sun Feb 25 2024,19:30,CET/+0100,Europa FC,0-1,0-0,Europa Point FC,2024-02-25T18:30Z
,18,Sun Feb 25 2024,16:30,CET/+0100,College 1975 FC,1-1,0-1,Glacis United FC,2024-02-25T15:30Z
,19,Fri Mar 1 2024,21:00,CET/+0100,FCB Magpies,2-1,1-0,Lynx FC,2024-03-01T20:00Z
,19,Sat Mar 2 2024,19:30,CET/+0100,Glacis United FC,1-3,0-1,St. Joseph's FC,2024-03-02T18:30Z
,19,Sat Mar 2 2024,16:30,CET/+0100,Mons Calpe S.C.,2-2,0-0,Lions Gibraltar,2024-03-02T15:30Z
,19,Sun Mar 3 2024,16:30,CET/+0100,Manchester 62 FC,1-1,1-0,Europa FC,2024-03-03T15:30Z
,19,Sun Mar 3 2024,19:30,CET/+0100,Europa Point FC,4-0,2-0,College 1975 FC,2024-03-03T18:30Z
,20,Fri Mar 8 2024,21:00,CET/+0100,Lions Gibraltar,0-2,0-1,Lincoln Red Imps,2024-03-08T20:00Z
,20,Sat Mar 9 2024,19:30,CET/+0100,Europa FC,3-1,2-1,Mons Calpe S.C.,2024-03-09T18:30Z
,20,Sat Mar 9 2024,16:30,CET/+0100,St. Joseph's FC,1-0,1-0,Europa Point FC,2024-03-09T15:30Z
,20,Sun Mar 10 2024,19:30,CET/+0100,College 1975 FC,2-4,2-2,Manchester 62 FC,2024-03-10T18:30Z
,20,Sun Mar 10 2024,16:30,CET/+0100,Lynx FC,2-1,0-0,Glacis United FC,2024-03-10T15:30Z
,21,Sat Mar 30 2024,19:30,CET/+0100,Glacis United FC,1-2,0-1,FCB Magpies,2024-03-30T18:30Z
,21,Sat Mar 30 2024,16:30,CET/+0100,Mons Calpe S.C.,1-0,0-0,College 1975 FC,2024-03-30T15:30Z
,21,Sun Mar 31 2024,16:30,CEST/+0200,Europa Point FC,0-1,0-0,Lynx FC,2024-03-31T14:30Z
,21,Sun Mar 31 2024,19:30,CEST/+0200,Lincoln Red Imps,2-1,0-1,Europa FC,2024-03-31T17:30Z
,21,Tue Apr 2 2024,21:00,CEST/+0200,Manchester 62 FC,0-3,0-2,St. Joseph's FC,2024-04-02T19:00Z
,22,Fri Apr 12 2024,21:00,CEST/+0200,FCB Magpies,2-2,1-1,Europa Point FC,2024-04-12T19:00Z
,22,Sat Apr 13 2024,19:30,CEST/+0200,College 1975 FC,0-6,0-3,Lincoln Red Imps,2024-04-13T17:30Z
,22,Sat Apr 13 2024,16:30,CEST/+0200,Europa FC,1-2,1-1,Lions Gibraltar,2024-04-13T14:30Z
,22,Sun Apr 14 2024,19:30,CEST/+0200,Lynx FC,1-3,1-3,Manchester 62 FC,2024-04-14T17:30Z
,22,Sun Apr 14 2024,16:30,CEST/+0200,St. Joseph's FC,1-2,1-1,Mons Calpe S.C.,2024-04-14T14:30Z
Championship,1,Fri Apr 19 2024,21:00,CEST/+0200,Europa Point FC,0-0,0-0,FCB Magpies,2024-04-19T19:00Z
Championship,1,Sat Apr 20 2024,19:30,CEST/+0200,Mons Calpe S.C.,0-2,0-2,St. Joseph's FC,2024-04-20T17:30Z
Championship,1,Sun Apr 21 2024,19:30,CEST/+0200,Manchester 62 FC,1-10,0-4,Lincoln Red Imps,2024-04-21T17:30Z
Championship,3,Wed Apr 24 2024,21:00,CEST/+0200,Europa Point FC,0-3,0-3,St. Joseph's FC,2024-04-24T19:00Z
Championship,2,Fri Apr 26 2024,21:00,CEST/+0200,Mons Calpe S.C.,2-2,1-2,Manchester 62 FC,2024-04-26T19:00Z
Championship,2,Sat Apr 27 2024,19:30,CEST/+0200,Lincoln Red Imps,4-0,1-0,Europa Point FC,2024-04-27T17:30Z
Championship,2,Sun Apr 28 2024,19:30,CEST/+0200,St. Joseph's FC,2-0,1-0,FCB Magpies,2024-04-28T17:30Z
Championship,3,Tue Apr 30 2024,21:00,CEST/+0200,Lincoln Red Imps,5-1,3-0,Mons Calpe S.C.,2024-04-30T19:00Z
Championship,4,Fri May 3 2024,21:00,CEST/+0200,Manchester 62 FC,0-5,0-1,St. Joseph's FC,2024-05-03T19:00Z
Championship,4,Sat May 4 2024,19:30,CEST/+0200,Mons Calpe S.C.,1-2,0-0,Europa Point FC,2024-05-04T17:30Z
Championship,4,Sun May 5 2024,19:30,CEST/+0200,FCB Magpies,0-3,0-2,Lincoln Red Imps,2024-05-05T17:30Z
Championship,3,Wed May 8 2024,21:00,CEST/+0200,FCB Magpies,3-1,3-0,Manchester 62 FC,2024-05-08T19:00Z
Championship,5,Fri May 10 2024,21:00,CEST/+0200,St. Joseph's FC,1-1,1-0,Lincoln Red Imps,2024-05-10T19:00Z
Championship,5,Sat May 11 2024,19:30,CEST/+0200,Manchester 62 FC,1-3,1-2,Europa Point FC,2024-05-11T17:30Z
Championship,5,Sun May 12 2024,19:30,CEST/+0200,Mons Calpe S.C.,2-0,0-0,FCB Magpies,2024-05-12T17:30Z
