Round,Date,Time,Team 1,FT,HT,Team 2,P
Round 7,Sat Nov 18 2023,15:45,ASC Le Geldar,3-0,3-0,ASC Agouado,
Round 7,Sat Nov 18 2023,16:00,FC Plessis Robinson,2-1,1-0,ESA Brissac,
Round 7,Sat Nov 18 2023,16:00,Thonon Évian FC,2-2,0-1,Aubagne FC,5-4
Round 7,Sat Nov 18 2023,17:00,Union Cosnoise,1-0,0-0,US Chantilly,
Round 7,Sat Nov 18 2023,17:00,FC Loon-Plage,0-3,0-1,SM Caen,
Round 7,Sat Nov 18 2023,17:00,US Sarre-Union,1-0,0-0,Metz APM,
Round 7,Sat Nov 18 2023,17:00,FC Limonest,0-0,0-0,AS Domérat,4-5
Round 7,Sat Nov 18 2023,17:00,Velay FC,1-3,0-2,FC Martigues,
Round 7,Sat Nov 18 2023,17:00,ES Fosséenne,1-2,1-1,FC Annecy,
Round 7,Sat Nov 18 2023,18:00,Stade Plabennec,1-1,1-1,FC Challans,5-6
Round 7,Sat Nov 18 2023,18:00,Dinan Léhon,3-1,0-1,TA Rennes,
Round 7,Sat Nov 18 2023,18:00,GSI Pontivy,2-0,2-0,Plougastel FC,
Round 7,Sat Nov 18 2023,18:00,US Saint-Malo,2-2,0-0,EA Guingamp,2-4
Round 7,Sat Nov 18 2023,18:00,AG Caennaise,2-1,0-1,US Fougères,
Round 7,Sat Nov 18 2023,18:00,UF Mâconnais,1-2,1-1,Louhans-Cuiseaux,
Round 7,Sat Nov 18 2023,18:00,Le Pays du Valois,0-0,0-0,AJ Auxerre,2-4
Round 7,Sat Nov 18 2023,18:00,Calais RUFC,2-1,0-0,ESC Longueau,
Round 7,Sat Nov 18 2023,18:00,SR Colmar,0-1,0-1,CA Pontarlier,
Round 7,Sat Nov 18 2023,18:00,St-Aubin Guérande,0-3,0-0,US Revel,
Round 7,Sat Nov 18 2023,18:00,Blagnac FC,1-0,0-0,Aviron Bayonnais,
Round 7,Sat Nov 18 2023,18:00,Stade Poitevin,0-3,0-0,US Castanet,
Round 7,Sat Nov 18 2023,18:00,Roche Saint-Genest,1-2,1-1,AS Saint-Priest,
Round 7,Sat Nov 18 2023,18:00,Chambéry SF,1-0,0-0,CS Volvic,
Round 7,Sat Nov 18 2023,18:00,AS Cannes,2-1,0-1,FC Bourgoin-Jallieu,
Round 7,Sat Nov 18 2023,18:00,Samaritaine,0-1,0-1,Golden Lion,
Round 7,Sat Nov 18 2023,18:00,La Tamponnaise,2-3,0-1,Saint-Denis FC,
Round 7,Sat Nov 18 2023,18:30,Montdidier AC,0-4,0-4,US Quevilly-Rouen,
Round 7,Sat Nov 18 2023,18:30,FC Mulhouse,2-1,1-1,Jura Dolois,
Round 7,Sat Nov 18 2023,18:30,France Aizenay,1-2,0-0,FC Libourne,
Round 7,Sat Nov 18 2023,18:30,Vierzon FC,0-1,0-1,Angoulême CFC,
Round 7,Sat Nov 18 2023,19:00,US Pays Saint-Omer,1-1,1-1,US Saint-Denis,5-4
Round 7,Sat Nov 18 2023,19:00,FC Chauray,0-1,0-1,Pau FC,
Round 7,Sat Nov 18 2023,19:00,FC Bassin Arcachon,2-1,1-1,Olympique Saumur,
Round 7,Sat Nov 18 2023,20:00,FC Montlouis,0-4,0-3,Bergerac Périgord FC,
Round 7,Sun Nov 19 2023,14:00,Stade Paimpolais,2-1,0-0,FC Flers,
Round 7,Sun Nov 19 2023,14:00,Châteaugiron,0-6,0-3,AS Vitré,
Round 7,Sun Nov 19 2023,14:00,SU Dives Cabourg,2-3,0-2,FC Dieppe,
Round 7,Sun Nov 19 2023,14:00,US Saint-Philbert-de-Grand-Lieu,2-0,0-0,Le Poiré-sur-Vie VF,
Round 7,Sun Nov 19 2023,14:00,US Noeux-les-Mines,2-2,1-1,Avoine OCC,7-8
Round 7,Sun Nov 19 2023,14:00,US Torcy,0-1,0-0,FC Fleury 91,
Round 7,Sun Nov 19 2023,14:00,JS Douvres,2-1,0-1,US Choisy-au-Bac,
Round 7,Sun Nov 19 2023,14:00,AS Villers Houlgate,4-0,2-0,FC Equeurdreville,
Round 7,Sun Nov 19 2023,14:00,Laon,1-2,0-0,Racing Club de France,
Round 7,Sun Nov 19 2023,14:00,Saint-Michel FC 91,0-2,0-0,Entente SSG,
Round 7,Sun Nov 19 2023,14:00,Noisy-le-Sec,0-2,0-1,AS Furiani-Agliani,
Round 7,Sun Nov 19 2023,14:00,SA Le Quesnoy,1-4,1-2,FCM Troyes,
Round 7,Sun Nov 19 2023,14:00,US Camon,2-5,0-2,FC Chambly,
Round 7,Sun Nov 19 2023,14:00,Reims Sainte-Anne,1-1,0-0,US Boulogne,5-4
Round 7,Sun Nov 19 2023,14:00,Jarville,2-4,0-2,Sarreguemines FC,
Round 7,Sun Nov 19 2023,14:00,Villerupt Thil,0-2,0-0,ASC Biesheim,
Round 7,Sun Nov 19 2023,14:00,US Forbach,0-0,0-0,FC Geispolsheim 01,4-5
Round 7,Sun Nov 19 2023,14:00,FC Schweighouse Sur Moder,2-3,0-0,ES Thaon,
Round 7,Sun Nov 19 2023,14:00,Jeunesse Villenavaise,1-0,0-0,JA Isle,
Round 7,Sun Nov 19 2023,14:00,Aunis Avenir,0-1,0-1,Stade Mayennais,
Round 7,Sun Nov 19 2023,14:00,FA Morlaas Est-Bearn,0-1,0-0,AS Panazol,
Round 7,Sun Nov 19 2023,14:00,Auch Football,0-4,0-1,SO Romorantin,
Round 7,Sun Nov 19 2023,14:00,US Feurs,2-1,1-0,FC Espaly,
Round 7,Sun Nov 19 2023,14:00,FC Seyssins,0-2,0-1,Le Puy Foot 43,
Round 7,Sun Nov 19 2023,14:00,Roannais Foot 42,1-3,1-1,Nîmes Olympique,
Round 7,Sun Nov 19 2023,14:00,AS Fabrègues,2-2,1-1,Squadra Valincu ARR,5-4
Round 7,Sun Nov 19 2023,15:00,Ergué-Gaberic,3-1,2-0,EA Saint-Renan,
Round 7,Sun Nov 19 2023,15:00,Stade Pontivyen,1-2,0-0,FC Rouen 1899,
Round 7,Sun Nov 19 2023,15:00,Toulouse Métropole,1-4,0-2,AC Ajaccio,
Round 7,Wed Nov 22 2023,20:00,CS Moulien,3-1,0-0,Sporting Baie-Mahault,
Round 7,Sun Nov 26 2023,14:00,US Blériot-Plage,0-0,0-0,ASPTT Dijon,3-1
Round 7,Sat Dec 2 2023,14:00,Étoile Maritime,2-2,1-1,Trélissac FC,2-4
Round 8,Sat Dec 9 2023,13:30,JS Douvres,1-5,0-2,LB Châteauroux,
Round 8,Sat Dec 9 2023,13:30,Reims Sainte-Anne,1-1,1-1,USL Dunkerque,4-3
Round 8,Sat Dec 9 2023,14:00,Avoine OCC,4-1,2-1,ASC Le Geldar,
Round 8,Sat Dec 9 2023,14:00,E. Itancourt-Neuville,2-3,0-2,Entente Feignies Aulnoye,
Round 8,Sat Dec 9 2023,14:00,FC Geispolsheim 01,0-4,0-2,FC Sochaux,
Round 8,Sat Dec 9 2023,14:00,ES Thaon,0-1,0-0,Amiens SC,
Round 8,Sat Dec 9 2023,14:00,JS Coulaines,1-5,0-2,Pau FC,
Round 8,Sat Dec 9 2023,14:00,AC Ajaccio,1-2,0-1,US Orléans,
Round 8,Sat Dec 9 2023,14:00,Angoulême CFC,0-1,0-1,Girondins Bordeaux,
Round 8,Sat Dec 9 2023,14:30,US Saint-Philbert-de-Grand-Lieu,1-2,1-0,Stade Lavallois,
Round 8,Sat Dec 9 2023,15:00,FC Plessis Robinson,1-2,1-1,Angers SCO,
Round 8,Sat Dec 9 2023,15:00,US Quevilly-Rouen,3-1,0-1,Dijon FCO,
Round 8,Sat Dec 9 2023,15:00,Stade Mayennais,0-9,0-3,Rodez AF,
Round 8,Sat Dec 9 2023,15:00,AS Saint-Étienne,0-1,0-1,Nîmes Olympique,
Round 8,Sat Dec 9 2023,16:00,Lyon-La Duchère,2-1,0-0,Thonon Évian FC,
Round 8,Sat Dec 9 2023,17:00,FC Saint-Méziéry,1-4,1-3,AJ Auxerre,
Round 8,Sat Dec 9 2023,17:00,Paris FC,3-1,0-0,Saint-Denis FC,
Round 8,Sat Dec 9 2023,17:00,Calais RUFC,1-4,1-0,SM Caen,
Round 8,Sat Dec 9 2023,17:00,US Sarre-Union,0-0,0-0,CA Pontarlier,1-3
Round 8,Sat Dec 9 2023,17:00,AS Saint-Priest,3-0,0-0,AS Domérat,
Round 8,Sat Dec 9 2023,17:00,US Thionville-Lusitanos,2-1,0-1,FC Annecy,
Round 8,Sat Dec 9 2023,18:00,Dinan Léhon,2-0,0-0,AS Vitré,
Round 8,Sat Dec 9 2023,18:00,FC Dieppe,2-0,0-0,Ergué-Gaberic,
Round 8,Sat Dec 9 2023,18:00,GSI Pontivy,0-1,0-0,FC Rouen 1899,
Round 8,Sat Dec 9 2023,18:00,US Pays Saint-Omer,1-1,1-0,SAS Épinal,4-2
Round 8,Sat Dec 9 2023,18:00,Sarreguemines FC,3-0,2-0,ASC Biesheim,
Round 8,Sat Dec 9 2023,18:00,US Revel,1-1,1-1,Blagnac FC,3-2
Round 8,Sat Dec 9 2023,18:00,US Castanet,0-3,0-0,SO Romorantin,
Round 8,Sat Dec 9 2023,18:00,FC Martigues,1-2,0-2,Olympique Alès,
Round 8,Sat Dec 9 2023,19:00,Stade Briochin,1-2,0-0,Vendée Les Herbiers,
Round 8,Sat Dec 9 2023,19:00,AG Caennaise,0-1,0-0,EA Guingamp,
Round 8,Sat Dec 9 2023,19:00,Chambéry SF,1-1,1-1,Grenoble Foot 38,5-4
Round 8,Sat Dec 9 2023,19:00,FC Bassin Arcachon,0-2,0-1,Trélissac FC,
Round 8,Sat Dec 9 2023,20:00,Jeunesse Villenavaise,2-4,2-0,FC Libourne,
Round 8,Sat Dec 9 2023,20:00,CS Moulien,1-1,0-1,FC Fleury 91,3-2
Round 8,Sat Dec 9 2023,22:00,Golden Lion,3-2,0-2,FCM Troyes,
Round 8,Sun Dec 10 2023,13:30,AS Villers Houlgate,1-3,1-2,Racing Club de France,
Round 8,Sun Dec 10 2023,13:30,US Blériot-Plage,0-3,0-2,FC Chambly,
Round 8,Sun Dec 10 2023,13:30,Bergerac Périgord FC,4-2,0-2,AS Panazol,
Round 8,Sun Dec 10 2023,13:30,Hauts Lyonnais,0-3,0-1,US Feurs,
Round 8,Sun Dec 10 2023,14:00,Stade Paimpolais,1-1,0-1,FC Challans,1-3
Round 8,Sun Dec 10 2023,14:00,FC Chaponnay-Marennes,0-3,0-3,Le Puy Foot 43,
Round 8,Sun Dec 10 2023,14:00,AS Fabrègues,2-2,1-1,AS Cannes,5-4
Round 8,Sun Dec 10 2023,15:00,Entente SSG,1-0,1-0,AS Furiani-Agliani,
Round 8,Sun Dec 10 2023,15:00,FC Mulhouse,1-1,0-1,Valenciennes FC,4-5
Round 8,Sat Dec 16 2023,18:00,Louhans-Cuiseaux,2-2,1-2,Union Cosnoise,4-3
Round 9,Fri Jan 5 2024,18:00,Sarreguemines FC,0-2,0-1,Valenciennes FC,
Round 9,Fri Jan 5 2024,18:00,Entente Feignies Aulnoye,1-0,1-0,US Quevilly-Rouen,
Round 9,Fri Jan 5 2024,18:00,FC Chambly,1-2,0-0,Racing Club de France,
Round 9,Fri Jan 5 2024,18:00,Pau FC,1-4,1-0,FC Nantes,
Round 9,Fri Jan 5 2024,18:00,FC Challans,0-4,0-2,Rodez AF,
Round 9,Fri Jan 5 2024,20:45,FC Metz,1-1,1-0,Clermont Foot 63,1-3
Round 9,Sat Jan 6 2024,13:00,AS Fabrègues,1-4,1-0,Trélissac FC,
Round 9,Sat Jan 6 2024,15:30,Lille OSC,12-0,7-0,Golden Lion,
Round 9,Sat Jan 6 2024,15:30,Lyon-La Duchère,1-2,0-2,Le Puy Foot 43,
Round 9,Sat Jan 6 2024,15:30,Stade Brestois 29,1-0,0-0,Angers SCO,
Round 9,Sat Jan 6 2024,15:30,SO Romorantin,4-0,2-0,CS Moulien,
Round 9,Sat Jan 6 2024,15:30,Olympique Alès,1-2,0-1,Paris FC,
Round 9,Sat Jan 6 2024,15:30,US Orléans,2-1,1-1,Nîmes Olympique,
Round 9,Sat Jan 6 2024,18:00,Amiens SC,1-2,0-1,Montpellier HSC,
Round 9,Sat Jan 6 2024,18:00,US Pays Saint-Omer,2-3,0-2,USL Dunkerque,
Round 9,Sat Jan 6 2024,18:00,FC Sochaux,2-1,0-1,FC Lorient,
Round 9,Sat Jan 6 2024,18:00,Entente SSG,1-1,1-0,Girondins Bordeaux,2-4
Round 9,Sat Jan 6 2024,18:00,Avoine OCC,0-4,0-2,RC Strasbourg,
Round 9,Sat Jan 6 2024,18:00,Vendée Les Herbiers,2-2,0-1,LB Châteauroux,3-4
Round 9,Sat Jan 6 2024,20:45,OGC Nice,0-0,0-0,AJ Auxerre,4-2
Round 9,Sun Jan 7 2024,14:30,US Thionville-Lusitanos,0-1,0-0,Olympique Marseille,
Round 9,Sun Jan 7 2024,14:30,EA Guingamp,0-2,0-1,Stade Rennais,
Round 9,Sun Jan 7 2024,14:30,CA Pontarlier,0-3,0-1,Olympique Lyonnais,
Round 9,Sun Jan 7 2024,14:30,RC Lens,2-2,1-2,AS Monaco,5-6
Round 9,Sun Jan 7 2024,14:30,Havre AC,2-1,2-1,SM Caen,
Round 9,Sun Jan 7 2024,17:30,Chambéry SF,0-3,0-2,Toulouse FC,
Round 9,Sun Jan 7 2024,17:30,US Feurs,3-5,1-2,AS Saint-Priest,
Round 9,Sun Jan 7 2024,17:30,Louhans-Cuiseaux,0-2,0-1,FC Rouen 1899,
Round 9,Sun Jan 7 2024,17:30,Bergerac Périgord FC,2-1,2-1,FC Libourne,
Round 9,Sun Jan 7 2024,17:30,FC Dieppe,0-4,0-1,Stade Lavallois,
Round 9,Sun Jan 7 2024,17:30,Dinan Léhon,0-3,0-2,Stade de Reims,
Round 9,Sun Jan 7 2024,20:45,US Revel,0-9,0-4,Paris Saint-Germain,
10. Runde,Fri Jan 19 2024,20:45,Bergerac Périgord FC,1-2,1-1,Olympique Lyonnais,
10. Runde,Sat Jan 20 2024,17:30,FC Nantes,0-1,0-0,Stade Lavallois,
10. Runde,Sat Jan 20 2024,17:30,Le Puy Foot 43,2-1,2-0,USL Dunkerque,
10. Runde,Sat Jan 20 2024,17:30,Trélissac FC,1-2,0-0,Stade Brestois 29,
10. Runde,Sat Jan 20 2024,17:30,Valenciennes FC,2-1,1-1,Paris FC,
10. Runde,Sat Jan 20 2024,17:30,Rodez AF,1-3,1-1,AS Monaco,
10. Runde,Sat Jan 20 2024,17:30,Girondins Bordeaux,2-3,0-1,OGC Nice,
10. Runde,Sat Jan 20 2024,20:45,US Orléans,1-4,0-1,Paris Saint-Germain,
10. Runde,Sun Jan 21 2024,17:30,Clermont Foot 63,1-3,0-1,RC Strasbourg,
10. Runde,Sun Jan 21 2024,17:30,FC Sochaux,2-2,2-1,Stade de Reims,5-4
10. Runde,Sun Jan 21 2024,17:30,FC Rouen 1899,3-3,2-2,Toulouse FC,12-11
10. Runde,Sun Jan 21 2024,17:30,LB Châteauroux,0-1,0-1,Havre AC,
10. Runde,Sun Jan 21 2024,17:30,AS Saint-Priest,4-1,2-0,SO Romorantin,
10. Runde,Sun Jan 21 2024,21:05,Stade Rennais,1-1,0-1,Olympique Marseille,9-8
10. Runde,Sun Jan 21 2024,17:30,Racing Club de France,0-1,0-1,Lille OSC,
10. Runde,Wed Jan 24 2024,18:00,Entente Feignies Aulnoye,0-4,0-0,Montpellier HSC,
Round of 16,Tue Feb 6 2024,20:45,FC Sochaux,1-6,0-4,Stade Rennais,
Round of 16,Wed Feb 7 2024,20:30,Montpellier HSC,1-4,0-3,OGC Nice,
Round of 16,Wed Feb 7 2024,20:30,Le Puy Foot 43,2-1,1-0,Stade Lavallois,
Round of 16,Wed Feb 7 2024,20:30,RC Strasbourg,3-1,2-1,Havre AC,
Round of 16,Wed Feb 7 2024,20:30,AS Saint-Priest,1-2,1-1,Valenciennes FC,
Round of 16,Wed Feb 7 2024,21:10,Paris Saint-Germain,3-1,2-0,Stade Brestois 29,
Round of 16,Wed Feb 7 2024,18:30,Olympique Lyonnais,2-1,1-0,Lille OSC,
Round of 16,Thu Feb 8 2024,20:45,FC Rouen 1899,1-1,1-1,AS Monaco,6-5
Quarterfinals,Tue Feb 27 2024,20:45,Olympique Lyonnais,0-0,0-0,RC Strasbourg,4-3
Quarterfinals,Wed Feb 28 2024,21:00,FC Rouen 1899,1-1,0-1,Valenciennes FC,2-4
Quarterfinals,Thu Feb 29 2024,20:45,Le Puy Foot 43,1-3,0-1,Stade Rennais,
Quarterfinals,Wed Mar 13 2024,21:10,Paris Saint-Germain,3-1,2-1,OGC Nice,
Semifinals,Tue Apr 2 2024,20:45,Olympique Lyonnais,3-0,0-0,Valenciennes FC,
Semifinals,Wed Apr 3 2024,21:10,Paris Saint-Germain,1-0,1-0,Stade Rennais,
Final,Sat May 25 2024,21:00,Olympique Lyonnais,1-2,0-2,Paris Saint-Germain,
