Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Gruppe G,Wed Oct 4 2023,21:00,CEST/+0200,Crvena Zvezda,2-2,1-0,BSC Young Boys,,,2023-10-04T19:00Z
Gruppe F,Wed Oct 4 2023,21:00,CEST/+0200,Borussia Dortmund,0-0,0-0,AC Milan,,,2023-10-04T19:00Z
Gruppe H,Wed Oct 4 2023,18:45,CEST/+0200,Royal Antwerp FC,2-3,2-0,Shakhtar Donetsk,,,2023-10-04T16:45Z
Gruppe H,Wed Oct 4 2023,21:00,CEST/+0200,FC Porto,0-1,0-1,FC Barcelona,,,2023-10-04T19:00Z
Gruppe F,Wed Oct 4 2023,21:00,CEST/+0200,Newcastle United,4-1,2-0,Paris Saint-Germain,,,2023-10-04T19:00Z
Gruppe B,Tue Oct 24 2023,21:00,CEST/+0200,Sevilla FC,1-2,0-1,Arsenal FC,,,2023-10-24T19:00Z
Gruppe B,Tue Oct 24 2023,21:00,CEST/+0200,RC Lens,1-1,0-0,PSV Eindhoven,,,2023-10-24T19:00Z
Gruppe D,Tue Oct 24 2023,21:00,CEST/+0200,SL Benfica,0-1,0-0,Real Sociedad,,,2023-10-24T19:00Z
Gruppe D,Tue Oct 24 2023,18:45,CEST/+0200,Inter,2-1,1-0,RB Salzburg,,,2023-10-24T16:45Z
Gruppe A,Tue Oct 24 2023,18:45,CEST/+0200,Galatasaray,1-3,1-1,Bayern München,,,2023-10-24T16:45Z
Gruppe C,Tue Oct 24 2023,21:00,CEST/+0200,1. FC Union Berlin,0-1,0-0,SSC Napoli,,,2023-10-24T19:00Z
Gruppe C,Tue Oct 24 2023,21:00,CEST/+0200,Sporting Braga,1-2,0-1,Real Madrid,,,2023-10-24T19:00Z
Gruppe A,Tue Oct 24 2023,21:00,CEST/+0200,Manchester United,1-0,0-0,FC København,,,2023-10-24T19:00Z
Gruppe G,Wed Oct 25 2023,21:00,CEST/+0200,BSC Young Boys,1-3,0-0,Manchester City,,,2023-10-25T19:00Z
Gruppe F,Wed Oct 25 2023,21:00,CEST/+0200,Paris Saint-Germain,3-0,1-0,AC Milan,,,2023-10-25T19:00Z
Gruppe E,Wed Oct 25 2023,21:00,CEST/+0200,Celtic FC,2-2,2-1,Atlético Madrid,,,2023-10-25T19:00Z
Gruppe G,Wed Oct 25 2023,21:00,CEST/+0200,RB Leipzig,3-1,1-0,Crvena Zvezda,,,2023-10-25T19:00Z
Gruppe E,Wed Oct 25 2023,18:45,CEST/+0200,Feyenoord,3-1,2-0,Lazio Roma,,,2023-10-25T16:45Z
Gruppe F,Wed Oct 25 2023,21:00,CEST/+0200,Newcastle United,0-1,0-1,Borussia Dortmund,,,2023-10-25T19:00Z
Gruppe H,Wed Oct 25 2023,18:45,CEST/+0200,FC Barcelona,2-1,2-0,Shakhtar Donetsk,,,2023-10-25T16:45Z
Gruppe H,Wed Oct 25 2023,21:00,CEST/+0200,Royal Antwerp FC,1-4,1-0,FC Porto,,,2023-10-25T19:00Z
Gruppe H,Tue Nov 7 2023,21:00,CET/+0100,FC Porto,2-0,1-0,Royal Antwerp FC,,,2023-11-07T20:00Z
Gruppe F,Tue Nov 7 2023,18:45,CET/+0100,Borussia Dortmund,2-0,1-0,Newcastle United,,,2023-11-07T17:45Z
Gruppe G,Tue Nov 7 2023,21:00,CET/+0100,Crvena Zvezda,1-2,0-1,RB Leipzig,,,2023-11-07T20:00Z
Gruppe F,Tue Nov 7 2023,21:00,CET/+0100,AC Milan,2-1,1-1,Paris Saint-Germain,,,2023-11-07T20:00Z
Gruppe G,Tue Nov 7 2023,21:00,CET/+0100,Manchester City,3-0,2-0,BSC Young Boys,,,2023-11-07T20:00Z
Gruppe H,Tue Nov 7 2023,18:45,CET/+0100,Shakhtar Donetsk,1-0,1-0,FC Barcelona,,,2023-11-07T17:45Z
Gruppe E,Tue Nov 7 2023,21:00,CET/+0100,Atlético Madrid,6-0,2-0,Celtic FC,,,2023-11-07T20:00Z
Gruppe E,Tue Nov 7 2023,21:00,CET/+0100,Lazio Roma,1-0,1-0,Feyenoord,,,2023-11-07T20:00Z
Gruppe D,Wed Nov 8 2023,18:45,CET/+0100,Real Sociedad,3-1,3-0,SL Benfica,,,2023-11-08T17:45Z
Gruppe A,Wed Nov 8 2023,21:00,CET/+0100,Bayern München,2-1,0-0,Galatasaray,,,2023-11-08T20:00Z
Gruppe C,Wed Nov 8 2023,21:00,CET/+0100,Real Madrid,3-0,1-0,Sporting Braga,,,2023-11-08T20:00Z
Gruppe C,Wed Nov 8 2023,18:45,CET/+0100,SSC Napoli,1-1,1-0,1. FC Union Berlin,,,2023-11-08T17:45Z
Gruppe B,Wed Nov 8 2023,21:00,CET/+0100,PSV Eindhoven,1-0,1-0,RC Lens,,,2023-11-08T20:00Z
Gruppe B,Wed Nov 8 2023,21:00,CET/+0100,Arsenal FC,2-0,1-0,Sevilla FC,,,2023-11-08T20:00Z
Gruppe A,Wed Nov 8 2023,21:00,CET/+0100,FC København,4-3,2-2,Manchester United,,,2023-11-08T20:00Z
Gruppe D,Wed Nov 8 2023,21:00,CET/+0100,RB Salzburg,0-1,0-0,Inter,,,2023-11-08T20:00Z
Gruppe G,Tue Nov 28 2023,21:00,CET/+0100,BSC Young Boys,2-0,2-0,Crvena Zvezda,,,2023-11-28T20:00Z
Gruppe H,Tue Nov 28 2023,21:00,CET/+0100,FC Barcelona,2-1,1-1,FC Porto,,,2023-11-28T20:00Z
Gruppe H,Tue Nov 28 2023,18:45,CET/+0100,Shakhtar Donetsk,1-0,1-0,Royal Antwerp FC,,,2023-11-28T17:45Z
Gruppe E,Tue Nov 28 2023,18:45,CET/+0100,Lazio Roma,2-0,0-0,Celtic FC,,,2023-11-28T17:45Z
Gruppe F,Tue Nov 28 2023,21:00,CET/+0100,Paris Saint-Germain,1-1,0-1,Newcastle United,,,2023-11-28T20:00Z
Gruppe E,Tue Nov 28 2023,21:00,CET/+0100,Feyenoord,1-3,0-1,Atlético Madrid,,,2023-11-28T20:00Z
Gruppe F,Tue Nov 28 2023,21:00,CET/+0100,AC Milan,1-3,1-1,Borussia Dortmund,,,2023-11-28T20:00Z
Gruppe G,Tue Nov 28 2023,21:00,CET/+0100,Manchester City,3-2,0-2,RB Leipzig,,,2023-11-28T20:00Z
Gruppe D,Wed Nov 29 2023,21:00,CET/+0100,Real Sociedad,0-0,0-0,RB Salzburg,,,2023-11-29T20:00Z
Gruppe A,Wed Nov 29 2023,21:00,CET/+0100,Bayern München,0-0,0-0,FC København,,,2023-11-29T20:00Z
Gruppe A,Wed Nov 29 2023,18:45,CET/+0100,Galatasaray,3-3,1-2,Manchester United,,,2023-11-29T17:45Z
Gruppe B,Wed Nov 29 2023,21:00,CET/+0100,Arsenal FC,6-0,5-0,RC Lens,,,2023-11-29T20:00Z
Gruppe C,Wed Nov 29 2023,21:00,CET/+0100,Real Madrid,4-2,2-1,SSC Napoli,,,2023-11-29T20:00Z
Gruppe C,Wed Nov 29 2023,21:00,CET/+0100,Sporting Braga,1-1,0-1,1. FC Union Berlin,,,2023-11-29T20:00Z
Gruppe B,Wed Nov 29 2023,18:45,CET/+0100,Sevilla FC,2-3,1-0,PSV Eindhoven,,,2023-11-29T17:45Z
Gruppe D,Wed Nov 29 2023,21:00,CET/+0100,SL Benfica,3-3,3-0,Inter,,,2023-11-29T20:00Z
Gruppe A,Tue Dec 12 2023,21:00,CET/+0100,Manchester United,0-1,0-0,Bayern München,,,2023-12-12T20:00Z
Gruppe A,Tue Dec 12 2023,21:00,CET/+0100,FC København,1-0,0-0,Galatasaray,,,2023-12-12T20:00Z
Gruppe C,Tue Dec 12 2023,21:00,CET/+0100,1. FC Union Berlin,2-3,1-0,Real Madrid,,,2023-12-12T20:00Z
Gruppe C,Tue Dec 12 2023,21:00,CET/+0100,SSC Napoli,2-0,2-0,Sporting Braga,,,2023-12-12T20:00Z
Gruppe D,Tue Dec 12 2023,21:00,CET/+0100,Inter,0-0,0-0,Real Sociedad,,,2023-12-12T20:00Z
Gruppe D,Tue Dec 12 2023,21:00,CET/+0100,RB Salzburg,1-3,0-2,SL Benfica,,,2023-12-12T20:00Z
Gruppe B,Tue Dec 12 2023,18:45,CET/+0100,RC Lens,2-1,0-0,Sevilla FC,,,2023-12-12T17:45Z
Gruppe B,Tue Dec 12 2023,18:45,CET/+0100,PSV Eindhoven,1-1,0-1,Arsenal FC,,,2023-12-12T17:45Z
Gruppe E,Wed Dec 13 2023,21:00,CET/+0100,Atlético Madrid,2-0,1-0,Lazio Roma,,,2023-12-13T20:00Z
Gruppe E,Wed Dec 13 2023,21:00,CET/+0100,Celtic FC,2-1,1-0,Feyenoord,,,2023-12-13T20:00Z
Gruppe F,Wed Dec 13 2023,21:00,CET/+0100,Newcastle United,1-2,1-0,AC Milan,,,2023-12-13T20:00Z
Gruppe F,Wed Dec 13 2023,21:00,CET/+0100,Borussia Dortmund,1-1,0-0,Paris Saint-Germain,,,2023-12-13T20:00Z
Gruppe G,Wed Dec 13 2023,18:45,CET/+0100,Crvena Zvezda,2-3,0-1,Manchester City,,,2023-12-13T17:45Z
Gruppe G,Wed Dec 13 2023,18:45,CET/+0100,RB Leipzig,2-1,0-0,BSC Young Boys,,,2023-12-13T17:45Z
Gruppe H,Wed Dec 13 2023,21:00,CET/+0100,Royal Antwerp FC,3-2,1-1,FC Barcelona,,,2023-12-13T20:00Z
Gruppe H,Wed Dec 13 2023,21:00,CET/+0100,FC Porto,5-3,2-1,Shakhtar Donetsk,,,2023-12-13T20:00Z
Round of 16,Tue Feb 13 2024,21:00,CET/+0100,RB Leipzig,0-1,0-0,Real Madrid,,,2024-02-13T20:00Z
Round of 16,Tue Feb 13 2024,21:00,CET/+0100,FC København,1-3,1-2,Manchester City,,,2024-02-13T20:00Z
Round of 16,Wed Feb 14 2024,21:00,CET/+0100,Lazio Roma,1-0,0-0,Bayern München,,,2024-02-14T20:00Z
Round of 16,Wed Feb 14 2024,21:00,CET/+0100,Paris Saint-Germain,2-0,0-0,Real Sociedad,,,2024-02-14T20:00Z
Round of 16,Tue Feb 20 2024,21:00,CET/+0100,PSV Eindhoven,1-1,0-1,Borussia Dortmund,,,2024-02-20T20:00Z
Round of 16,Tue Feb 20 2024,21:00,CET/+0100,Inter,1-0,0-0,Atlético Madrid,,,2024-02-20T20:00Z
Round of 16,Wed Feb 21 2024,21:00,CET/+0100,FC Porto,1-0,0-0,Arsenal FC,,,2024-02-21T20:00Z
Round of 16,Wed Feb 21 2024,21:00,CET/+0100,SSC Napoli,1-1,0-0,FC Barcelona,,,2024-02-21T20:00Z
Round of 16,Tue Mar 5 2024,21:00,CET/+0100,Bayern München,3-0,2-0,Lazio Roma,,,2024-03-05T20:00Z
Round of 16,Tue Mar 5 2024,21:00,CET/+0100,Real Sociedad,1-2,0-1,Paris Saint-Germain,,,2024-03-05T20:00Z
Round of 16,Wed Mar 6 2024,21:00,CET/+0100,Real Madrid,1-1,0-0,RB Leipzig,,,2024-03-06T20:00Z
Round of 16,Wed Mar 6 2024,21:00,CET/+0100,Manchester City,3-1,3-1,FC København,,,2024-03-06T20:00Z
Round of 16,Tue Mar 12 2024,21:00,CET/+0100,Arsenal FC,1-0,1-0,FC Porto,1-0,4-2,2024-03-12T20:00Z
Round of 16,Tue Mar 12 2024,21:00,CET/+0100,FC Barcelona,3-1,2-1,SSC Napoli,,,2024-03-12T20:00Z
Round of 16,Wed Mar 13 2024,21:00,CET/+0100,Borussia Dortmund,2-0,1-0,PSV Eindhoven,,,2024-03-13T20:00Z
Round of 16,Wed Mar 13 2024,21:00,CET/+0100,Atlético Madrid,2-1,1-1,Inter,2-1,3-2,2024-03-13T20:00Z
Quarterfinals,Tue Apr 9 2024,21:00,CEST/+0200,Real Madrid,3-3,2-1,Manchester City,,,2024-04-09T19:00Z
Quarterfinals,Tue Apr 9 2024,21:00,CEST/+0200,Arsenal FC,2-2,1-2,Bayern München,,,2024-04-09T19:00Z
Quarterfinals,Wed Apr 10 2024,21:00,CEST/+0200,Atlético Madrid,2-1,2-0,Borussia Dortmund,,,2024-04-10T19:00Z
Quarterfinals,Wed Apr 10 2024,21:00,CEST/+0200,Paris Saint-Germain,2-3,0-1,FC Barcelona,,,2024-04-10T19:00Z
Quarterfinals,Tue Apr 16 2024,21:00,CEST/+0200,FC Barcelona,1-4,1-1,Paris Saint-Germain,,,2024-04-16T19:00Z
Quarterfinals,Tue Apr 16 2024,21:00,CEST/+0200,Borussia Dortmund,4-2,2-0,Atlético Madrid,,,2024-04-16T19:00Z
Quarterfinals,Wed Apr 17 2024,21:00,CEST/+0200,Manchester City,1-1,0-1,Real Madrid,1-1,3-4,2024-04-17T19:00Z
Quarterfinals,Wed Apr 17 2024,21:00,CEST/+0200,Bayern München,1-0,0-0,Arsenal FC,,,2024-04-17T19:00Z
Semifinals,Tue Apr 30 2024,21:00,CEST/+0200,Bayern München,2-2,0-1,Real Madrid,,,2024-04-30T19:00Z
Semifinals,Wed May 1 2024,21:00,CEST/+0200,Borussia Dortmund,1-0,1-0,Paris Saint-Germain,,,2024-05-01T19:00Z
Semifinals,Tue May 7 2024,21:00,CEST/+0200,Paris Saint-Germain,0-1,0-0,Borussia Dortmund,,,2024-05-07T19:00Z
Semifinals,Wed May 8 2024,21:00,CEST/+0200,Real Madrid,2-1,0-0,Bayern München,,,2024-05-08T19:00Z
Final,Sat Jun 1 2024,21:00,CEST/+0200,Borussia Dortmund,0-2,0-0,Real Madrid,,,2024-06-01T19:00Z
