Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
11,Sun Oct 29 2023,18:00,CET/+0100,Ferencvárosi TC,3-0,1-0,Újpest FC,2023-10-29T17:00Z
11,Sun Oct 29 2023,15:30,CET/+0100,Paksi SE,3-1,2-0,Kisvárda FC,2023-10-29T14:30Z
12,Sat Nov 4 2023,12:30,CET/+0100,Mezőkövesdi SE,2-1,2-1,Debreceni VSC,2023-11-04T11:30Z
12,Sat Nov 4 2023,15:45,CET/+0100,Puskás FC,0-0,0-0,Diósgyöri VTK,2023-11-04T14:45Z
12,Sat Nov 4 2023,18:00,CET/+0100,Fehérvár FC,2-1,0-1,Újpest FC,2023-11-04T17:00Z
12,Sun Nov 5 2023,14:45,CET/+0100,Kecskeméti TE,2-1,2-0,Ferencvárosi TC,2023-11-05T13:45Z
12,Sun Nov 5 2023,12:30,CET/+0100,Kisvárda FC,0-1,0-0,Zalaegerszegi TE,2023-11-05T11:30Z
12,Sun Nov 5 2023,18:30,CET/+0100,Paksi SE,0-0,0-0,MTK Budapest,2023-11-05T17:30Z
13,Fri Nov 10 2023,20:00,CET/+0100,MTK Budapest,2-0,0-0,Zalaegerszegi TE,2023-11-10T19:00Z
13,Sat Nov 11 2023,14:15,CET/+0100,Diósgyöri VTK,2-0,1-0,Mezőkövesdi SE,2023-11-11T13:15Z
13,Sat Nov 11 2023,19:30,CET/+0100,Újpest FC,1-2,1-1,Puskás FC,2023-11-11T18:30Z
13,Sun Nov 12 2023,13:30,CET/+0100,Kisvárda FC,1-2,1-1,Kecskeméti TE,2023-11-12T12:30Z
13,Sun Nov 12 2023,18:30,CET/+0100,Debreceni VSC,1-0,1-0,Paksi SE,2023-11-12T17:30Z
13,Sun Nov 12 2023,16:00,CET/+0100,Ferencvárosi TC,0-1,0-0,Fehérvár FC,2023-11-12T15:00Z
14,Fri Nov 24 2023,20:00,CET/+0100,Paksi SE,4-1,3-0,Diósgyöri VTK,2023-11-24T19:00Z
14,Sat Nov 25 2023,14:45,CET/+0100,Kisvárda FC,3-1,1-0,MTK Budapest,2023-11-25T13:45Z
14,Sat Nov 25 2023,17:00,CET/+0100,Zalaegerszegi TE,1-2,1-0,Debreceni VSC,2023-11-25T16:00Z
