Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
,9,Fri Sep 15 2023,21:30,EEST/+0300,Dinamo Bucureşti,0-1,0-0,FC Universitatea Craiova,,,2023-09-15T18:30Z
,9,Sat Sep 16 2023,21:30,EEST/+0300,CS Universitatea Craiova,2-1,2-1,Sepsi OSK,,,2023-09-16T18:30Z
,9,Sun Sep 17 2023,17:00,EEST/+0300,FC Hermannstadt,3-1,0-1,FC Voluntari,,,2023-09-17T14:00Z
,9,Sun Sep 17 2023,21:45,EEST/+0300,Farul Constanța,0-1,0-0,FCSB,,,2023-09-17T18:45Z
,9,Sun Sep 17 2023,19:15,EEST/+0300,Oţelul Galaţi,0-0,0-0,Rapid Bucureşti,,,2023-09-17T16:15Z
,9,Mon Sep 18 2023,21:30,EEST/+0300,CFR Cluj,1-0,1-0,Petrolul Ploieşti,,,2023-09-18T18:30Z
,9,Mon Sep 18 2023,18:30,EEST/+0300,FC Politehnica Iași,1-1,0-0,FC Botoşani,,,2023-09-18T15:30Z
,5,Thu Sep 21 2023,20:00,EEST/+0300,FC Hermannstadt,2-2,1-1,FCSB,,,2023-09-21T17:00Z
,10,Fri Sep 22 2023,18:00,EEST/+0300,FC Universitatea Craiova,0-2,0-0,Oţelul Galaţi,,,2023-09-22T15:00Z
,10,Fri Sep 22 2023,21:00,EEST/+0300,Dinamo Bucureşti,0-2,0-1,Farul Constanța,,,2023-09-22T18:00Z
,10,Sat Sep 23 2023,18:45,EEST/+0300,FC Botoşani,2-2,1-0,UTA Arad,,,2023-09-23T15:45Z
,10,Sat Sep 23 2023,14:30,EEST/+0300,FC Voluntari,1-2,1-2,FC Politehnica Iași,,,2023-09-23T11:30Z
,10,Sat Sep 23 2023,21:30,EEST/+0300,Universitatea Cluj,1-1,0-1,CS Universitatea Craiova,,,2023-09-23T18:30Z
,10,Sun Sep 24 2023,21:00,EEST/+0300,Sepsi OSK,2-5,0-2,FCSB,,,2023-09-24T18:00Z
,10,Sun Sep 24 2023,18:15,EEST/+0300,Petrolul Ploieşti,0-0,0-0,FC Hermannstadt,,,2023-09-24T15:15Z
,10,Mon Sep 25 2023,21:00,EEST/+0300,Rapid Bucureşti,3-1,1-1,CFR Cluj,,,2023-09-25T18:00Z
,11,Fri Sep 29 2023,21:00,EEST/+0300,Oţelul Galaţi,1-0,1-0,Dinamo Bucureşti,,,2023-09-29T18:00Z
,11,Sat Sep 30 2023,14:30,EEST/+0300,UTA Arad,0-0,0-0,FC Voluntari,,,2023-09-30T11:30Z
,11,Sat Sep 30 2023,21:30,EEST/+0300,Farul Constanța,2-1,1-1,Sepsi OSK,,,2023-09-30T18:30Z
,11,Sun Oct 1 2023,15:00,EEST/+0300,CS Universitatea Craiova,5-1,2-1,FC Botoşani,,,2023-10-01T12:00Z
,11,Sun Oct 1 2023,18:00,EEST/+0300,FC Hermannstadt,1-1,0-1,Rapid Bucureşti,,,2023-10-01T15:00Z
,11,Sun Oct 1 2023,21:00,EEST/+0300,CFR Cluj,2-0,2-0,FC Universitatea Craiova,,,2023-10-01T18:00Z
,11,Mon Oct 2 2023,21:00,EEST/+0300,FCSB,2-2,2-1,Universitatea Cluj,,,2023-10-02T18:00Z
,11,Mon Oct 2 2023,18:00,EEST/+0300,FC Politehnica Iași,0-0,0-0,Petrolul Ploieşti,,,2023-10-02T15:00Z
,5,Thu Oct 5 2023,20:00,EEST/+0300,CFR Cluj,3-0,1-0,Sepsi OSK,,,2023-10-05T17:00Z
,12,Fri Oct 6 2023,18:00,EEST/+0300,FC Universitatea Craiova,1-1,1-0,FC Hermannstadt,,,2023-10-06T15:00Z
,12,Fri Oct 6 2023,21:00,EEST/+0300,Rapid Bucureşti,3-2,2-2,FC Politehnica Iași,,,2023-10-06T18:00Z
,12,Sat Oct 7 2023,18:45,EEST/+0300,FC Voluntari,0-0,0-0,CS Universitatea Craiova,,,2023-10-07T15:45Z
,12,Sat Oct 7 2023,14:00,EEST/+0300,Petrolul Ploieşti,0-0,0-0,UTA Arad,,,2023-10-07T11:00Z
,12,Sat Oct 7 2023,21:30,EEST/+0300,FC Botoşani,0-1,0-1,FCSB,,,2023-10-07T18:30Z
,12,Sun Oct 8 2023,16:00,EEST/+0300,Oţelul Galaţi,0-1,0-0,Farul Constanța,,,2023-10-08T13:00Z
,12,Sun Oct 8 2023,21:30,EEST/+0300,Dinamo Bucureşti,1-1,1-0,CFR Cluj,,,2023-10-08T18:30Z
,12,Mon Oct 9 2023,21:00,EEST/+0300,Universitatea Cluj,1-0,0-0,Sepsi OSK,,,2023-10-09T18:00Z
,7,Thu Oct 19 2023,20:00,EEST/+0300,FC Politehnica Iași,1-0,0-0,Sepsi OSK,,,2023-10-19T17:00Z
,13,Fri Oct 20 2023,21:00,EEST/+0300,UTA Arad,2-2,1-2,Rapid Bucureşti,,,2023-10-20T18:00Z
,13,Sat Oct 21 2023,17:00,EEST/+0300,FC Hermannstadt,4-0,2-0,Dinamo Bucureşti,,,2023-10-21T14:00Z
,13,Sat Oct 21 2023,21:45,EEST/+0300,Farul Constanța,1-1,0-1,Universitatea Cluj,,,2023-10-21T18:45Z
,13,Sun Oct 22 2023,21:00,EEST/+0300,FCSB,0-0,0-0,FC Voluntari,,,2023-10-22T18:00Z
,13,Sun Oct 22 2023,18:00,EEST/+0300,CS Universitatea Craiova,1-3,0-0,Petrolul Ploieşti,,,2023-10-22T15:00Z
,13,Sun Oct 22 2023,15:30,EEST/+0300,FC Politehnica Iași,1-1,1-0,FC Universitatea Craiova,,,2023-10-22T12:30Z
,13,Mon Oct 23 2023,21:00,EEST/+0300,CFR Cluj,0-0,0-0,Oţelul Galaţi,,,2023-10-23T18:00Z
,13,Mon Oct 23 2023,18:00,EEST/+0300,Sepsi OSK,5-2,2-2,FC Botoşani,,,2023-10-23T15:00Z
,5,Thu Oct 26 2023,20:00,EEST/+0300,Farul Constanța,2-2,1-2,UTA Arad,,,2023-10-26T17:00Z
,14,Fri Oct 27 2023,17:30,EEST/+0300,FC Voluntari,0-2,0-1,Sepsi OSK,,,2023-10-27T14:30Z
,14,Fri Oct 27 2023,20:30,EEST/+0300,Dinamo Bucureşti,0-0,0-0,FC Politehnica Iași,,,2023-10-27T17:30Z
,14,Sat Oct 28 2023,20:30,EEST/+0300,Petrolul Ploieşti,2-2,0-1,FCSB,,,2023-10-28T17:30Z
,14,Sat Oct 28 2023,14:00,EEST/+0300,Oţelul Galaţi,1-1,0-0,FC Hermannstadt,,,2023-10-28T11:00Z
,14,Sun Oct 29 2023,20:30,EET/+0200,Rapid Bucureşti,2-0,1-0,CS Universitatea Craiova,,,2023-10-29T18:30Z
,14,Sun Oct 29 2023,14:00,EET/+0200,FC Universitatea Craiova,2-3,1-2,UTA Arad,,,2023-10-29T12:00Z
,14,Mon Oct 30 2023,17:30,EET/+0200,FC Botoşani,0-3,0-2,Universitatea Cluj,,,2023-10-30T15:30Z
,14,Mon Oct 30 2023,20:30,EET/+0200,CFR Cluj,3-1,1-1,Farul Constanța,,,2023-10-30T18:30Z
,15,Fri Nov 3 2023,18:00,EET/+0200,FC Politehnica Iași,1-1,1-0,Oţelul Galaţi,,,2023-11-03T16:00Z
,15,Sat Nov 4 2023,21:15,EET/+0200,CS Universitatea Craiova,1-1,1-0,FC Universitatea Craiova,,,2023-11-04T19:15Z
,15,Sat Nov 4 2023,16:45,EET/+0200,Sepsi OSK,0-0,0-0,Petrolul Ploieşti,,,2023-11-04T14:45Z
,15,Sun Nov 5 2023,15:00,EET/+0200,Universitatea Cluj,1-2,1-1,FC Voluntari,,,2023-11-05T13:00Z
,15,Sun Nov 5 2023,17:30,EET/+0200,Farul Constanța,1-1,0-0,FC Botoşani,,,2023-11-05T15:30Z
,15,Sun Nov 5 2023,20:30,EET/+0200,FCSB,1-2,0-2,Rapid Bucureşti,,,2023-11-05T18:30Z
,15,Mon Nov 6 2023,21:00,EET/+0200,FC Hermannstadt,1-0,0-0,CFR Cluj,,,2023-11-06T19:00Z
,15,Mon Nov 6 2023,18:00,EET/+0200,UTA Arad,2-1,1-1,Dinamo Bucureşti,,,2023-11-06T16:00Z
,16,Fri Nov 10 2023,20:30,EET/+0200,Sepsi OSK,0-0,0-0,Rapid Bucureşti,,,2023-11-10T18:30Z
,16,Sat Nov 11 2023,14:00,EET/+0200,Universitatea Cluj,0-0,0-0,Petrolul Ploieşti,,,2023-11-11T12:00Z
,16,Sat Nov 11 2023,18:45,EET/+0200,FC Politehnica Iași,3-3,2-3,CFR Cluj,,,2023-11-11T16:45Z
,16,Sat Nov 11 2023,21:00,EET/+0200,Farul Constanța,1-1,1-0,FC Hermannstadt,,,2023-11-11T19:00Z
,16,Sun Nov 12 2023,16:00,EET/+0200,CS Universitatea Craiova,1-0,1-0,Dinamo Bucureşti,,,2023-11-12T14:00Z
,16,Sun Nov 12 2023,21:00,EET/+0200,FCSB,2-1,2-0,FC Universitatea Craiova,,,2023-11-12T19:00Z
,16,Sun Nov 12 2023,13:30,EET/+0200,FC Botoşani,3-3,2-1,FC Voluntari,,,2023-11-12T11:30Z
,16,Mon Nov 13 2023,20:30,EET/+0200,UTA Arad,2-4,0-3,Oţelul Galaţi,,,2023-11-13T18:30Z
,17,Fri Nov 24 2023,20:30,EET/+0200,Petrolul Ploieşti,2-1,0-0,FC Botoşani,,,2023-11-24T18:30Z
,17,Fri Nov 24 2023,17:30,EET/+0200,FC Hermannstadt,0-0,0-0,FC Politehnica Iași,,,2023-11-24T15:30Z
,17,Sat Nov 25 2023,20:30,EET/+0200,CFR Cluj,0-0,0-0,UTA Arad,,,2023-11-25T18:30Z
,17,Sat Nov 25 2023,17:30,EET/+0200,FC Voluntari,4-2,3-0,Farul Constanța,,,2023-11-25T15:30Z
,17,Sun Nov 26 2023,20:30,EET/+0200,Dinamo Bucureşti,0-1,0-0,FCSB,,,2023-11-26T18:30Z
,17,Sun Nov 26 2023,18:30,EET/+0200,Oţelul Galaţi,1-3,1-0,CS Universitatea Craiova,,,2023-11-26T16:30Z
,17,Mon Nov 27 2023,20:30,EET/+0200,Rapid Bucureşti,2-3,2-1,Universitatea Cluj,,,2023-11-27T18:30Z
,17,Mon Nov 27 2023,17:30,EET/+0200,FC Universitatea Craiova,2-1,1-1,Sepsi OSK,,,2023-11-27T15:30Z
,18,Fri Dec 1 2023,17:00,EET/+0200,FC Voluntari,0-0,0-0,Petrolul Ploieşti,,,2023-12-01T15:00Z
,18,Fri Dec 1 2023,20:00,EET/+0200,FC Politehnica Iași,2-3,0-3,Farul Constanța,,,2023-12-01T18:00Z
,18,Sat Dec 2 2023,17:00,EET/+0200,FC Botoşani,0-0,0-0,Rapid Bucureşti,,,2023-12-02T15:00Z
,18,Sat Dec 2 2023,20:30,EET/+0200,CS Universitatea Craiova,1-0,0-0,CFR Cluj,,,2023-12-02T18:30Z
,18,Sat Dec 2 2023,14:00,EET/+0200,UTA Arad,2-0,0-0,FC Hermannstadt,,,2023-12-02T12:00Z
,18,Sun Dec 3 2023,21:00,EET/+0200,FCSB,0-2,0-1,Oţelul Galaţi,,,2023-12-03T19:00Z
,18,Sun Dec 3 2023,16:00,EET/+0200,Universitatea Cluj,2-1,1-1,FC Universitatea Craiova,,,2023-12-03T14:00Z
,18,Mon Dec 4 2023,20:00,EET/+0200,Sepsi OSK,2-1,2-0,Dinamo Bucureşti,,,2023-12-04T18:00Z
,19,Fri Dec 8 2023,19:00,EET/+0200,FC Politehnica Iași,1-0,0-0,UTA Arad,,,2023-12-08T17:00Z
,19,Sat Dec 9 2023,20:45,EET/+0200,Rapid Bucureşti,1-2,0-0,FC Voluntari,,,2023-12-09T18:45Z
,19,Sun Dec 10 2023,14:00,EET/+0200,FC Hermannstadt,2-1,0-0,CS Universitatea Craiova,,,2023-12-10T12:00Z
,19,Sun Dec 10 2023,17:00,EET/+0200,Farul Constanța,3-1,1-0,Petrolul Ploieşti,,,2023-12-10T15:00Z
,19,Sun Dec 10 2023,20:00,EET/+0200,CFR Cluj,1-1,1-1,FCSB,,,2023-12-10T18:00Z
,19,Mon Dec 11 2023,20:45,EET/+0200,Dinamo Bucureşti,0-1,0-1,Universitatea Cluj,,,2023-12-11T18:45Z
,19,Mon Dec 11 2023,17:00,EET/+0200,FC Universitatea Craiova,2-0,1-0,FC Botoşani,,,2023-12-11T15:00Z
,19,Tue Dec 12 2023,17:00,EET/+0200,Oţelul Galaţi,2-3,1-1,Sepsi OSK,,,2023-12-12T15:00Z
,20,Fri Dec 15 2023,20:00,EET/+0200,Petrolul Ploieşti,0-0,0-0,Rapid Bucureşti,,,2023-12-15T18:00Z
,20,Fri Dec 15 2023,17:00,EET/+0200,FC Voluntari,0-1,0-1,FC Universitatea Craiova,,,2023-12-15T15:00Z
,20,Sat Dec 16 2023,17:00,EET/+0200,CS Universitatea Craiova,2-2,2-0,FC Politehnica Iași,,,2023-12-16T15:00Z
,20,Sat Dec 16 2023,20:00,EET/+0200,FCSB,3-0,2-0,FC Hermannstadt,,,2023-12-16T18:00Z
,20,Sat Dec 16 2023,14:00,EET/+0200,UTA Arad,0-0,0-0,Farul Constanța,,,2023-12-16T12:00Z
,20,Sun Dec 17 2023,15:00,EET/+0200,Universitatea Cluj,0-1,0-1,Oţelul Galaţi,,,2023-12-17T13:00Z
,20,Sun Dec 17 2023,21:00,EET/+0200,Sepsi OSK,2-1,0-1,CFR Cluj,,,2023-12-17T19:00Z
,20,Mon Dec 18 2023,20:00,EET/+0200,FC Botoşani,0-2,0-1,Dinamo Bucureşti,,,2023-12-18T18:00Z
,21,Tue Dec 19 2023,20:30,EET/+0200,FC Politehnica Iași,1-3,1-2,FCSB,,,2023-12-19T18:30Z
,21,Tue Dec 19 2023,17:30,EET/+0200,FC Universitatea Craiova,2-0,0-0,Petrolul Ploieşti,,,2023-12-19T15:30Z
,21,Wed Dec 20 2023,17:30,EET/+0200,UTA Arad,2-2,2-1,CS Universitatea Craiova,,,2023-12-20T15:30Z
,21,Wed Dec 20 2023,20:30,EET/+0200,Farul Constanța,0-0,0-0,Rapid Bucureşti,,,2023-12-20T18:30Z
,21,Thu Dec 21 2023,19:45,EET/+0200,CFR Cluj,4-0,2-0,Universitatea Cluj,,,2023-12-21T17:45Z
,21,Thu Dec 21 2023,17:00,EET/+0200,FC Hermannstadt,1-1,1-0,Sepsi OSK,,,2023-12-21T15:00Z
,21,Fri Dec 22 2023,20:30,EET/+0200,Dinamo Bucureşti,1-0,0-0,FC Voluntari,,,2023-12-22T18:30Z
,21,Fri Dec 22 2023,17:30,EET/+0200,Oţelul Galaţi,0-2,0-0,FC Botoşani,,,2023-12-22T15:30Z
,22,Fri Jan 19 2024,17:00,EET/+0200,Sepsi OSK,6-0,3-0,FC Politehnica Iași,,,2024-01-19T15:00Z
,22,Fri Jan 19 2024,20:00,EET/+0200,Rapid Bucureşti,4-3,1-1,FC Universitatea Craiova,,,2024-01-19T18:00Z
,22,Sat Jan 20 2024,20:00,EET/+0200,Petrolul Ploieşti,1-0,0-0,Dinamo Bucureşti,,,2024-01-20T18:00Z
,22,Sat Jan 20 2024,17:00,EET/+0200,Universitatea Cluj,2-1,0-0,FC Hermannstadt,,,2024-01-20T15:00Z
,22,Sun Jan 21 2024,20:00,EET/+0200,CS Universitatea Craiova,1-2,1-2,Farul Constanța,,,2024-01-21T18:00Z
,22,Sun Jan 21 2024,15:00,EET/+0200,FC Botoşani,1-0,0-0,CFR Cluj,,,2024-01-21T13:00Z
,22,Mon Jan 22 2024,20:00,EET/+0200,FCSB,4-0,2-0,UTA Arad,,,2024-01-22T18:00Z
,22,Mon Jan 22 2024,17:00,EET/+0200,FC Voluntari,1-1,0-1,Oţelul Galaţi,,,2024-01-22T15:00Z
,23,Fri Jan 26 2024,20:00,EET/+0200,Farul Constanța,1-0,1-0,FC Universitatea Craiova,,,2024-01-26T18:00Z
,23,Sat Jan 27 2024,14:00,EET/+0200,UTA Arad,2-1,1-0,Sepsi OSK,,,2024-01-27T12:00Z
,23,Sat Jan 27 2024,17:00,EET/+0200,Oţelul Galaţi,0-0,0-0,Petrolul Ploieşti,,,2024-01-27T15:00Z
,23,Sat Jan 27 2024,20:00,EET/+0200,Dinamo Bucureşti,1-2,1-1,Rapid Bucureşti,,,2024-01-27T18:00Z
,23,Sun Jan 28 2024,17:00,EET/+0200,FC Politehnica Iași,1-0,0-0,Universitatea Cluj,,,2024-01-28T15:00Z
,23,Sun Jan 28 2024,20:00,EET/+0200,CS Universitatea Craiova,0-3,0-1,FCSB,,,2024-01-28T18:00Z
,23,Sun Jan 28 2024,14:00,EET/+0200,FC Hermannstadt,2-0,1-0,FC Botoşani,,,2024-01-28T12:00Z
,23,Mon Jan 29 2024,20:00,EET/+0200,CFR Cluj,4-1,1-1,FC Voluntari,,,2024-01-29T18:00Z
,24,Fri Feb 2 2024,20:00,EET/+0200,FC Universitatea Craiova,2-1,1-0,Dinamo Bucureşti,,,2024-02-02T18:00Z
,24,Fri Feb 2 2024,17:00,EET/+0200,FC Botoşani,2-1,0-1,FC Politehnica Iași,,,2024-02-02T15:00Z
,24,Sat Feb 3 2024,20:00,EET/+0200,Rapid Bucureşti,2-1,2-0,Oţelul Galaţi,,,2024-02-03T18:00Z
,24,Sat Feb 3 2024,17:00,EET/+0200,Petrolul Ploieşti,1-2,1-0,CFR Cluj,,,2024-02-03T15:00Z
,24,Sun Feb 4 2024,13:00,EET/+0200,Universitatea Cluj,1-3,1-2,UTA Arad,,,2024-02-04T11:00Z
,24,Sun Feb 4 2024,15:30,EET/+0200,Sepsi OSK,1-3,1-1,CS Universitatea Craiova,,,2024-02-04T13:30Z
,24,Mon Feb 5 2024,20:00,EET/+0200,FCSB,1-1,0-0,Farul Constanța,,,2024-02-05T18:00Z
,24,Mon Feb 5 2024,17:00,EET/+0200,FC Voluntari,1-1,0-1,FC Hermannstadt,,,2024-02-05T15:00Z
,25,Fri Feb 9 2024,20:00,EET/+0200,CS Universitatea Craiova,2-2,2-0,Universitatea Cluj,,,2024-02-09T18:00Z
,25,Fri Feb 9 2024,17:00,EET/+0200,Oţelul Galaţi,1-0,0-0,FC Universitatea Craiova,,,2024-02-09T15:00Z
,25,Sat Feb 10 2024,21:15,EET/+0200,CFR Cluj,0-1,0-1,Rapid Bucureşti,,,2024-02-10T19:15Z
,25,Sat Feb 10 2024,14:00,EET/+0200,FC Politehnica Iași,0-0,0-0,FC Voluntari,,,2024-02-10T12:00Z
,25,Sun Feb 11 2024,20:45,EET/+0200,FCSB,1-0,1-0,Sepsi OSK,,,2024-02-11T18:45Z
,25,Sun Feb 11 2024,18:15,EET/+0200,FC Hermannstadt,0-0,0-0,Petrolul Ploieşti,,,2024-02-11T16:15Z
,25,Mon Feb 12 2024,17:00,EET/+0200,UTA Arad,2-2,1-0,FC Botoşani,,,2024-02-12T15:00Z
,25,Mon Feb 12 2024,20:00,EET/+0200,Farul Constanța,0-2,0-1,Dinamo Bucureşti,,,2024-02-12T18:00Z
,26,Fri Feb 16 2024,20:00,EET/+0200,Rapid Bucureşti,2-0,0-0,FC Hermannstadt,,,2024-02-16T18:00Z
,26,Fri Feb 16 2024,17:00,EET/+0200,Petrolul Ploieşti,2-1,0-1,FC Politehnica Iași,,,2024-02-16T15:00Z
