Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
3,Sat Nov 25 2023,17:30,CET/+0100,NK Radomlje,0-2,0-0,Olimpija Ljubljana,,2023-11-25T16:30Z
3,Sat Nov 25 2023,13:00,CET/+0100,NK Rogaška,1-2,0-0,NK Domžale,,2023-11-25T12:00Z
3,Sun Nov 26 2023,13:00,CET/+0100,NK Bravo,0-2,0-1,NK Celje,,2023-11-26T12:00Z
3,Sun Nov 26 2023,15:00,CET/+0100,NŠ Mura,0-0,0-0,NK Maribor,,2023-11-26T14:00Z
3,Sun Nov 26 2023,17:30,CET/+0100,NK Aluminij,3-2,2-1,FC Koper,,2023-11-26T16:30Z
17,Sat Dec 2 2023,15:00,CET/+0100,NK Domžale,3-0,2-0,NK Radomlje,,2023-12-02T14:00Z
17,Sun Dec 3 2023,15:00,CET/+0100,NK Maribor,3-1,3-0,Olimpija Ljubljana,,2023-12-03T14:00Z
17,Sun Dec 3 2023,13:00,CET/+0100,NK Bravo,2-0,1-0,NŠ Mura,,2023-12-03T12:00Z
18,Tue Dec 5 2023,17:30,CET/+0100,NK Radomlje,0-4,0-0,NK Celje,,2023-12-05T16:30Z
18,Wed Dec 6 2023,15:00,CET/+0100,NK Aluminij,0-5,0-2,NK Domžale,,2023-12-06T14:00Z
18,Wed Dec 6 2023,17:30,CET/+0100,FC Koper,3-3,2-2,NK Maribor,,2023-12-06T16:30Z
18,Thu Dec 7 2023,17:30,CET/+0100,Olimpija Ljubljana,1-1,0-0,NK Bravo,,2023-12-07T16:30Z
18,Thu Dec 7 2023,15:00,CET/+0100,NŠ Mura,3-1,1-1,NK Rogaška,,2023-12-07T14:00Z
19,Sat Dec 9 2023,15:00,CET/+0100,NK Aluminij,1-3,0-2,NK Celje,,2023-12-09T14:00Z
19,Sun Dec 10 2023,15:00,CET/+0100,FC Koper,2-4,0-3,Olimpija Ljubljana,,2023-12-10T14:00Z
19,Sun Dec 10 2023,13:00,CET/+0100,NK Bravo,3-2,1-0,NK Rogaška,,2023-12-10T12:00Z
19,Sun Dec 10 2023,17:30,CET/+0100,NŠ Mura,1-0,1-0,NK Domžale,,2023-12-10T16:30Z
19,Mon Dec 11 2023,17:30,CET/+0100,NK Radomlje,2-2,1-2,NK Maribor,,2023-12-11T16:30Z
17,Sat Dec 16 2023,15:00,CET/+0100,NK Celje,2-0,2-0,FC Koper,,2023-12-16T14:00Z
17,Sat Dec 16 2023,13:00,CET/+0100,NK Rogaška,0-1,0-0,NK Aluminij,,2023-12-16T12:00Z
20,Sat Feb 10 2024,15:00,CET/+0100,NK Domžale,1-3,0-2,NK Bravo,,2024-02-10T14:00Z
20,Sat Feb 10 2024,17:30,CET/+0100,FC Koper,0-1,0-0,NK Radomlje,,2024-02-10T16:30Z
20,Sat Feb 10 2024,13:00,CET/+0100,Olimpija Ljubljana,2-2,0-2,NK Rogaška,,2024-02-10T12:00Z
20,Sun Feb 11 2024,15:00,CET/+0100,NK Celje,4-1,2-1,NŠ Mura,,2024-02-11T14:00Z
20,Sun Feb 11 2024,17:30,CET/+0100,NK Maribor,7-0,4-0,NK Aluminij,,2024-02-11T16:30Z
21,Fri Feb 16 2024,17:30,CET/+0100,NK Aluminij,1-2,1-1,FC Koper,,2024-02-16T16:30Z
21,Sat Feb 17 2024,15:00,CET/+0100,NK Radomlje,1-3,0-2,Olimpija Ljubljana,,2024-02-17T14:00Z
21,Sat Feb 17 2024,13:00,CET/+0100,NK Rogaška,4-1,2-1,NK Domžale,,2024-02-17T12:00Z
21,Sun Feb 18 2024,13:00,CET/+0100,NK Bravo,0-0,0-0,NK Celje,,2024-02-18T12:00Z
21,Sun Feb 18 2024,15:00,CET/+0100,NŠ Mura,3-0 (*),,NK Maribor,awd.,2024-02-18T14:00Z
22,Tue Feb 20 2024,17:30,CET/+0100,NK Radomlje,1-2,0-1,NK Aluminij,,2024-02-20T16:30Z
22,Wed Feb 21 2024,15:00,CET/+0100,Olimpija Ljubljana,1-0,1-0,NK Domžale,,2024-02-21T14:00Z
22,Thu Feb 22 2024,17:30,CET/+0100,NK Maribor,2-1,1-1,NK Bravo,,2024-02-22T16:30Z
22,Thu Feb 22 2024,15:00,CET/+0100,NK Celje,4-1,1-0,NK Rogaška,,2024-02-22T14:00Z
23,Sat Feb 24 2024,17:30,CET/+0100,NK Aluminij,0-4,0-3,Olimpija Ljubljana,,2024-02-24T16:30Z
23,Sun Feb 25 2024,13:00,CET/+0100,NK Rogaška,0-0,0-0,NK Maribor,,2024-02-25T12:00Z
23,Sun Feb 25 2024,15:00,CET/+0100,NK Domžale,2-1,0-0,NK Celje,,2024-02-25T14:00Z
23,Sun Feb 25 2024,17:30,CET/+0100,NŠ Mura,0-0,0-0,NK Radomlje,,2024-02-25T16:30Z
23,Mon Feb 26 2024,15:00,CET/+0100,NK Bravo,0-0,0-0,FC Koper,,2024-02-26T14:00Z
24,Fri Mar 1 2024,17:30,CET/+0100,NK Aluminij,2-0,0-0,NŠ Mura,,2024-03-01T16:30Z
24,Sat Mar 2 2024,15:00,CET/+0100,Olimpija Ljubljana,1-1,0-1,NK Celje,,2024-03-02T14:00Z
24,Sat Mar 2 2024,17:30,CET/+0100,NK Maribor,3-0,2-0,NK Domžale,,2024-03-02T16:30Z
24,Sun Mar 3 2024,17:30,CET/+0100,NK Radomlje,0-1,0-0,NK Bravo,,2024-03-03T16:30Z
24,Sun Mar 3 2024,15:00,CET/+0100,FC Koper,1-2,1-2,NK Rogaška,,2024-03-03T14:00Z
25,Sat Mar 9 2024,17:30,CET/+0100,NK Celje,1-1,0-0,NK Maribor,,2024-03-09T16:30Z
25,Sat Mar 9 2024,15:00,CET/+0100,NK Bravo,0-0,0-0,NK Aluminij,,2024-03-09T14:00Z
25,Sun Mar 10 2024,13:00,CET/+0100,NK Rogaška,1-0,1-0,NK Radomlje,,2024-03-10T12:00Z
25,Sun Mar 10 2024,15:00,CET/+0100,NŠ Mura,1-1,1-0,Olimpija Ljubljana,,2024-03-10T14:00Z
26,Wed Mar 13 2024,18:45,CET/+0100,NK Radomlje,2-0,0-0,NK Domžale,,2024-03-13T17:45Z
26,Wed Mar 13 2024,14:45,CET/+0100,NŠ Mura,1-2,0-1,NK Bravo,,2024-03-13T13:45Z
26,Wed Mar 13 2024,16:45,CET/+0100,NK Aluminij,0-1,0-0,NK Rogaška,,2024-03-13T15:45Z
26,Thu Mar 14 2024,16:45,CET/+0100,FC Koper,1-3,0-1,NK Celje,,2024-03-14T15:45Z
27,Sat Mar 16 2024,15:00,CET/+0100,NK Bravo,1-1,1-1,Olimpija Ljubljana,,2024-03-16T14:00Z
27,Sat Mar 16 2024,20:15,CET/+0100,NK Domžale,2-0,1-0,NK Aluminij,,2024-03-16T19:15Z
27,Sun Mar 17 2024,15:00,CET/+0100,NK Celje,2-1,1-1,NK Radomlje,,2024-03-17T14:00Z
27,Sun Mar 17 2024,17:30,CET/+0100,NK Maribor,3-1,1-0,FC Koper,,2024-03-17T16:30Z
27,Sun Mar 17 2024,13:00,CET/+0100,NK Rogaška,0-0,0-0,NŠ Mura,,2024-03-17T12:00Z
22,Sat Mar 23 2024,20:15,CET/+0100,FC Koper,2-1,1-0,NŠ Mura,,2024-03-23T19:15Z
28,Fri Mar 29 2024,20:15,CET/+0100,NK Domžale,3-5,0-2,NŠ Mura,,2024-03-29T19:15Z
28,Fri Mar 29 2024,15:00,CET/+0100,NK Rogaška,2-0,1-0,NK Bravo,,2024-03-29T14:00Z
28,Fri Mar 29 2024,17:30,CET/+0100,NK Maribor,1-0,0-0,NK Radomlje,,2024-03-29T16:30Z
28,Sat Mar 30 2024,15:00,CET/+0100,Olimpija Ljubljana,3-2,2-0,FC Koper,,2024-03-30T14:00Z
28,Sat Mar 30 2024,17:30,CET/+0100,NK Celje,2-2,1-2,NK Aluminij,,2024-03-30T16:30Z
29,Fri Apr 5 2024,20:15,CEST/+0200,NK Aluminij,0-2,0-1,NK Maribor,,2024-04-05T18:15Z
29,Sat Apr 6 2024,20:15,CEST/+0200,NŠ Mura,1-3,1-2,NK Celje,,2024-04-06T18:15Z
29,Sat Apr 6 2024,17:30,CEST/+0200,NK Radomlje,1-1,0-0,FC Koper,,2024-04-06T15:30Z
29,Sat Apr 6 2024,15:00,CEST/+0200,NK Rogaška,2-3,1-1,Olimpija Ljubljana,,2024-04-06T13:00Z
29,Sun Apr 7 2024,15:00,CEST/+0200,NK Bravo,1-3,0-0,NK Domžale,,2024-04-07T13:00Z
30,Tue Apr 9 2024,18:45,CEST/+0200,NK Maribor,5-0,2-0,NŠ Mura,,2024-04-09T16:45Z
30,Wed Apr 10 2024,18:45,CEST/+0200,Olimpija Ljubljana,2-2,1-1,NK Radomlje,,2024-04-10T16:45Z
30,Wed Apr 10 2024,16:45,CEST/+0200,NK Domžale,0-1,0-1,NK Rogaška,,2024-04-10T14:45Z
30,Wed Apr 10 2024,14:45,CEST/+0200,NK Celje,2-1,1-0,NK Bravo,,2024-04-10T12:45Z
30,Thu Apr 11 2024,16:45,CEST/+0200,FC Koper,2-1,0-1,NK Aluminij,,2024-04-11T14:45Z
31,Sat Apr 13 2024,15:00,CEST/+0200,NK Rogaška,1-2,0-0,NK Celje,,2024-04-13T13:00Z
31,Sun Apr 14 2024,15:00,CEST/+0200,NK Bravo,1-1,1-1,NK Maribor,,2024-04-14T13:00Z
31,Sun Apr 14 2024,20:15,CEST/+0200,NK Domžale,1-3,0-0,Olimpija Ljubljana,,2024-04-14T18:15Z
31,Sun Apr 14 2024,17:30,CEST/+0200,NŠ Mura,1-1,1-0,FC Koper,,2024-04-14T15:30Z
31,Mon Apr 15 2024,17:30,CEST/+0200,NK Aluminij,1-1,1-0,NK Radomlje,,2024-04-15T15:30Z
26,Wed Apr 17 2024,18:30,CEST/+0200,Olimpija Ljubljana,1-2,1-0,NK Maribor,,2024-04-17T16:30Z
25,Thu Apr 18 2024,16:00,CEST/+0200,NK Domžale,1-0,0-0,FC Koper,,2024-04-18T14:00Z
32,Sat Apr 20 2024,15:00,CEST/+0200,NK Radomlje,1-2,1-1,NŠ Mura,,2024-04-20T13:00Z
32,Sat Apr 20 2024,17:30,CEST/+0200,Olimpija Ljubljana,5-0,1-0,NK Aluminij,,2024-04-20T15:30Z
32,Sun Apr 21 2024,17:30,CEST/+0200,NK Celje,2-3,1-0,NK Domžale,,2024-04-21T15:30Z
32,Sun Apr 21 2024,20:15,CEST/+0200,FC Koper,0-0,0-0,NK Bravo,,2024-04-21T18:15Z
32,Sun Apr 21 2024,15:00,CEST/+0200,NK Maribor,3-0,0-0,NK Rogaška,,2024-04-21T13:00Z
33,Sat Apr 27 2024,20:15,CEST/+0200,NK Domžale,1-1,0-1,NK Maribor,,2024-04-27T18:15Z
33,Sat Apr 27 2024,17:30,CEST/+0200,NK Bravo,1-1,1-1,NK Radomlje,,2024-04-27T15:30Z
33,Sun Apr 28 2024,15:00,CEST/+0200,NK Celje,1-0,0-0,Olimpija Ljubljana,,2024-04-28T13:00Z
33,Sun Apr 28 2024,17:30,CEST/+0200,NK Rogaška,2-2,1-1,FC Koper,,2024-04-28T15:30Z
33,Mon Apr 29 2024,17:30,CEST/+0200,NŠ Mura,3-1,1-0,NK Aluminij,,2024-04-29T15:30Z
34,Sat May 4 2024,17:30,CEST/+0200,FC Koper,3-1,2-0,NK Domžale,,2024-05-04T15:30Z
34,Sat May 4 2024,20:15,CEST/+0200,NK Maribor,3-1,2-0,NK Celje,,2024-05-04T18:15Z
34,Sat May 4 2024,15:00,CEST/+0200,NK Aluminij,1-1,0-1,NK Bravo,,2024-05-04T13:00Z
34,Sun May 5 2024,15:00,CEST/+0200,NK Radomlje,1-0,0-0,NK Rogaška,,2024-05-05T13:00Z
34,Sun May 5 2024,17:30,CEST/+0200,Olimpija Ljubljana,0-0,0-0,NŠ Mura,,2024-05-05T15:30Z
35,Sat May 11 2024,17:30,CEST/+0200,NK Domžale,1-1,1-1,NK Radomlje,,2024-05-11T15:30Z
35,Sat May 11 2024,20:15,CEST/+0200,NK Maribor,2-1,1-0,Olimpija Ljubljana,,2024-05-11T18:15Z
35,Sat May 11 2024,15:00,CEST/+0200,NK Rogaška,1-4,0-4,NK Aluminij,,2024-05-11T13:00Z
35,Sun May 12 2024,17:30,CEST/+0200,NK Bravo,1-1,0-0,NŠ Mura,,2024-05-12T15:30Z
35,Sun May 12 2024,15:00,CEST/+0200,NK Celje,2-1,1-1,FC Koper,,2024-05-12T13:00Z
36,Sat May 18 2024,15:00,CEST/+0200,NK Aluminij,1-3,0-3,NK Domžale,,2024-05-18T13:00Z
36,Sat May 18 2024,15:00,CEST/+0200,NŠ Mura,1-2,0-2,NK Rogaška,,2024-05-18T13:00Z
36,Sat May 18 2024,15:00,CEST/+0200,NK Radomlje,1-1,1-0,NK Celje,,2024-05-18T13:00Z
36,Sun May 19 2024,17:30,CEST/+0200,Olimpija Ljubljana,0-1,0-0,NK Bravo,,2024-05-19T15:30Z
36,Sun May 19 2024,17:30,CEST/+0200,FC Koper,1-1,1-1,NK Maribor,,2024-05-19T15:30Z
