Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 2,Tue Oct 31 2023,20:45,CET/+0100,SpVgg Unterhaching,3-3,1-0,Fortuna Düsseldorf,3-6,,2023-10-31T19:45Z
Round 2,Tue Oct 31 2023,20:45,CET/+0100,Bor. Mönchengladbach,3-1,3-0,1. FC Heidenheim 1846,,,2023-10-31T19:45Z
Round 2,Tue Oct 31 2023,20:45,CET/+0100,1. FC Kaiserslautern,3-2,1-0,1. FC Köln,,,2023-10-31T19:45Z
Round 2,Tue Oct 31 2023,18:00,CET/+0100,FC 08 Homburg,2-1,1-0,SpVgg Greuther Fürth,,,2023-10-31T17:00Z
Round 2,Wed Nov 1 2023,18:00,CET/+0100,SV Sandhausen,2-5,0-1,Bayer Leverkusen,,,2023-11-01T17:00Z
Round 2,Wed Nov 1 2023,18:00,CET/+0100,Holstein Kiel,2-2,0-0,1. FC Magdeburg,3-3,3-4,2023-11-01T17:00Z
Round 2,Wed Nov 1 2023,18:00,CET/+0100,SC Freiburg,1-3,0-2,SC Paderborn 07,,,2023-11-01T17:00Z
Round 2,Wed Nov 1 2023,18:00,CET/+0100,Borussia Dortmund,1-0,1-0,1899 Hoffenheim,,,2023-11-01T17:00Z
Round 2,Wed Nov 1 2023,20:45,CET/+0100,Viktoria Köln,0-2,0-1,Eintracht Frankfurt,,,2023-11-01T19:45Z
Round 2,Wed Nov 1 2023,20:45,CET/+0100,1. FC Saarbrücken,2-1,1-1,Bayern München,,,2023-11-01T19:45Z
Round 2,Wed Nov 1 2023,20:45,CET/+0100,1. FC Nürnberg,2-2,0-0,Hansa Rostock,3-2,,2023-11-01T19:45Z
Round 2,Wed Nov 1 2023,20:45,CET/+0100,Hertha BSC,3-0,1-0,1. FSV Mainz 05,,,2023-11-01T19:45Z
Round of 16,Tue Dec 5 2023,18:00,CET/+0100,1. FC Magdeburg,1-2,1-0,Fortuna Düsseldorf,,,2023-12-05T17:00Z
Round of 16,Tue Dec 5 2023,20:45,CET/+0100,Bor. Mönchengladbach,0-0,0-0,VfL Wolfsburg,1-0,,2023-12-05T19:45Z
Round of 16,Tue Dec 5 2023,20:45,CET/+0100,FC 08 Homburg,1-4,1-1,FC St. Pauli,,,2023-12-05T19:45Z
Round of 16,Tue Dec 5 2023,18:00,CET/+0100,1. FC Kaiserslautern,2-0,0-0,1. FC Nürnberg,,,2023-12-05T17:00Z
Round of 16,Wed Dec 6 2023,18:00,CET/+0100,1. FC Saarbrücken,2-0,0-0,Eintracht Frankfurt,,,2023-12-06T17:00Z
Round of 16,Wed Dec 6 2023,18:00,CET/+0100,Bayer Leverkusen,3-1,2-0,SC Paderborn 07,,,2023-12-06T17:00Z
Round of 16,Wed Dec 6 2023,20:45,CET/+0100,VfB Stuttgart,2-0,0-0,Borussia Dortmund,,,2023-12-06T19:45Z
Round of 16,Wed Dec 6 2023,20:45,CET/+0100,Hertha BSC,2-2,1-2,Hamburger SV,3-3,5-3,2023-12-06T19:45Z
Quarterfinals,Tue Jan 30 2024,20:45,CET/+0100,FC St. Pauli,1-1,0-1,Fortuna Düsseldorf,2-2,3-4,2024-01-30T19:45Z
Quarterfinals,Wed Jan 31 2024,20:45,CET/+0100,Hertha BSC,1-3,0-2,1. FC Kaiserslautern,,,2024-01-31T19:45Z
Quarterfinals,Tue Feb 6 2024,20:45,CET/+0100,Bayer Leverkusen,3-2,0-1,VfB Stuttgart,,,2024-02-06T19:45Z
Quarterfinals,Tue Mar 12 2024,20:30,CET/+0100,1. FC Saarbrücken,2-1,1-1,Bor. Mönchengladbach,,,2024-03-12T19:30Z
Semifinals,Tue Apr 2 2024,20:45,CEST/+0200,1. FC Saarbrücken,0-2,0-0,1. FC Kaiserslautern,,,2024-04-02T18:45Z
Semifinals,Wed Apr 3 2024,20:45,CEST/+0200,Bayer Leverkusen,4-0,3-0,Fortuna Düsseldorf,,,2024-04-03T18:45Z
Final,Sat May 25 2024,20:00,CEST/+0200,1. FC Kaiserslautern,0-1,0-1,Bayer Leverkusen,,,2024-05-25T18:00Z
