Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
,8,Sat Sep 23 2023,19:00,CEST/+0200,Mladost Lučani,2-0,2-0,FK Novi Pazar,,2023-09-23T17:00Z
,8,Sat Sep 23 2023,19:00,CEST/+0200,Vojvodina,2-1,0-1,FK Javor,,2023-09-23T17:00Z
,10,Fri Sep 29 2023,18:30,CEST/+0200,Vojvodina,2-1,1-1,IMT Beograd,,2023-09-29T16:30Z
,10,Sat Sep 30 2023,18:05,CEST/+0200,Crvena Zvezda,1-0,1-0,Radnički Niš,,2023-09-30T16:05Z
,10,Sat Sep 30 2023,19:00,CEST/+0200,Mladost Lučani,1-1,0-1,TSC Bačka Topola,,2023-09-30T17:00Z
,10,Sat Sep 30 2023,17:00,CEST/+0200,Spartak Subotica,0-3,0-2,FK Čukarički,,2023-09-30T15:00Z
,10,Sun Oct 1 2023,17:00,CEST/+0200,FK Napredak,0-2,0-1,Partizan,,2023-10-01T15:00Z
,10,Sun Oct 1 2023,18:00,CEST/+0200,Železničar Pančevo,0-2,0-1,FK Radnički 1923,,2023-10-01T16:00Z
,10,Sun Oct 1 2023,16:00,CEST/+0200,Radnik Surdulica,0-1,0-0,FK Javor,,2023-10-01T14:00Z
,10,Mon Oct 2 2023,19:00,CEST/+0200,FK Voždovac,1-0,0-0,FK Novi Pazar,,2023-10-02T17:00Z
,11,Fri Oct 6 2023,16:30,CEST/+0200,IMT Beograd,1-1,1-0,Radnik Surdulica,,2023-10-06T14:30Z
,11,Fri Oct 6 2023,18:00,CEST/+0200,Radnički Niš,1-1,1-0,FK Napredak,,2023-10-06T16:00Z
,11,Sat Oct 7 2023,18:30,CEST/+0200,Partizan,2-0,0-0,Mladost Lučani,,2023-10-07T16:30Z
,11,Sat Oct 7 2023,18:00,CEST/+0200,FK Javor,2-1,1-0,Železničar Pančevo,,2023-10-07T16:00Z
,11,Sat Oct 7 2023,16:00,CEST/+0200,FK Novi Pazar,3-1,0-0,Vojvodina,,2023-10-07T14:00Z
,11,Sun Oct 8 2023,15:00,CEST/+0200,FK Radnički 1923,0-3 (*),,Crvena Zvezda,awd.,2023-10-08T13:00Z
,11,Sun Oct 8 2023,17:30,CEST/+0200,FK Čukarički,1-1,0-1,FK Voždovac,,2023-10-08T15:30Z
,11,Sun Oct 8 2023,17:30,CEST/+0200,TSC Bačka Topola,0-2,0-0,Spartak Subotica,,2023-10-08T15:30Z
,12,Fri Oct 20 2023,17:00,CEST/+0200,FK Novi Pazar,1-0,0-0,FK Čukarički,,2023-10-20T15:00Z
,12,Fri Oct 20 2023,19:00,CEST/+0200,FK Napredak,1-3,0-0,FK Radnički 1923,,2023-10-20T17:00Z
,12,Fri Oct 20 2023,20:00,CEST/+0200,Spartak Subotica,0-3,0-0,Partizan,,2023-10-20T18:00Z
,12,Sat Oct 21 2023,19:00,CEST/+0200,FK Voždovac,1-1,0-0,TSC Bačka Topola,,2023-10-21T17:00Z
,12,Sat Oct 21 2023,18:30,CEST/+0200,Crvena Zvezda,3-2,1-0,FK Javor,,2023-10-21T16:30Z
,12,Sun Oct 22 2023,18:00,CEST/+0200,Mladost Lučani,1-2,1-0,Radnički Niš,,2023-10-22T16:00Z
,12,Sun Oct 22 2023,18:00,CEST/+0200,Vojvodina,3-0,3-0,Radnik Surdulica,,2023-10-22T16:00Z
,12,Mon Oct 23 2023,18:00,CEST/+0200,Železničar Pančevo,3-1,1-1,IMT Beograd,,2023-10-23T16:00Z
,4,Wed Oct 25 2023,14:00,CEST/+0200,FK Radnički 1923,0-4,0-1,Partizan,,2023-10-25T12:00Z
,13,Fri Oct 27 2023,18:00,CEST/+0200,FK Javor,0-2,0-2,FK Napredak,,2023-10-27T16:00Z
,13,Sat Oct 28 2023,15:00,CEST/+0200,Radnik Surdulica,0-1,0-0,Železničar Pančevo,,2023-10-28T13:00Z
,13,Sat Oct 28 2023,18:30,CEST/+0200,IMT Beograd,1-2,0-2,Crvena Zvezda,,2023-10-28T16:30Z
,13,Sat Oct 28 2023,18:30,CEST/+0200,Radnički Niš,1-1,0-1,Spartak Subotica,,2023-10-28T16:30Z
,13,Sun Oct 29 2023,19:00,CET/+0100,TSC Bačka Topola,1-1,0-0,FK Novi Pazar,,2023-10-29T18:00Z
,13,Sun Oct 29 2023,13:00,CET/+0100,FK Radnički 1923,4-1,1-0,Mladost Lučani,,2023-10-29T12:00Z
,13,Sun Oct 29 2023,16:30,CET/+0100,FK Čukarički,2-2,1-2,Vojvodina,,2023-10-29T15:30Z
,13,Sun Oct 29 2023,18:30,CET/+0100,Partizan,3-0,0-0,FK Voždovac,,2023-10-29T17:30Z
,8,Wed Nov 1 2023,19:00,CET/+0100,Crvena Zvezda,1-1,0-0,TSC Bačka Topola,,2023-11-01T18:00Z
,14,Sat Nov 4 2023,18:00,CET/+0100,Crvena Zvezda,3-1,1-0,Radnik Surdulica,,2023-11-04T17:00Z
,14,Sun Nov 5 2023,15:30,CET/+0100,FK Čukarički,0-2,0-1,TSC Bačka Topola,,2023-11-05T14:30Z
,14,Sun Nov 5 2023,19:30,CET/+0100,FK Voždovac,1-1,1-1,Radnički Niš,,2023-11-05T18:30Z
,14,Sun Nov 5 2023,15:00,CET/+0100,Vojvodina,2-2,2-0,Železničar Pančevo,,2023-11-05T14:00Z
,14,Mon Nov 6 2023,15:00,CET/+0100,FK Novi Pazar,0-1,0-1,Partizan,,2023-11-06T14:00Z
,14,Mon Nov 6 2023,17:00,CET/+0100,Spartak Subotica,1-3,0-0,FK Radnički 1923,,2023-11-06T16:00Z
,14,Mon Nov 6 2023,19:00,CET/+0100,Mladost Lučani,1-0,1-0,FK Javor,,2023-11-06T18:00Z
,14,Mon Nov 6 2023,18:30,CET/+0100,FK Napredak,0-4,0-2,IMT Beograd,,2023-11-06T17:30Z
,15,Fri Nov 10 2023,17:00,CET/+0100,Radnički Niš,0-1,0-0,FK Novi Pazar,,2023-11-10T16:00Z
,15,Sat Nov 11 2023,18:30,CET/+0100,IMT Beograd,0-1,0-1,Mladost Lučani,,2023-11-11T17:30Z
,15,Sat Nov 11 2023,18:00,CET/+0100,Železničar Pančevo,1-2,1-0,Crvena Zvezda,,2023-11-11T17:00Z
,15,Sat Nov 11 2023,16:00,CET/+0100,Radnik Surdulica,1-2,0-1,FK Napredak,,2023-11-11T15:00Z
,15,Sat Nov 11 2023,13:00,CET/+0100,FK Radnički 1923,3-0,2-0,FK Voždovac,,2023-11-11T12:00Z
,15,Sun Nov 12 2023,16:30,CET/+0100,FK Javor,2-0,1-0,Spartak Subotica,,2023-11-12T15:30Z
,15,Sun Nov 12 2023,19:00,CET/+0100,Partizan,2-1,1-0,FK Čukarički,,2023-11-12T18:00Z
,15,Sun Nov 12 2023,19:30,CET/+0100,TSC Bačka Topola,1-2,1-2,Vojvodina,,2023-11-12T18:30Z
,8,Wed Nov 22 2023,16:00,CET/+0100,FK Napredak,1-0,1-0,FK Čukarički,,2023-11-22T15:00Z
,16,Fri Nov 24 2023,17:00,CET/+0100,IMT Beograd,0-1,0-0,Spartak Subotica,,2023-11-24T16:00Z
,16,Sat Nov 25 2023,16:00,CET/+0100,Vojvodina,1-2,1-2,Crvena Zvezda,,2023-11-25T15:00Z
,16,Sat Nov 25 2023,18:30,CET/+0100,Partizan,0-4,0-3,TSC Bačka Topola,,2023-11-25T17:30Z
,16,Sat Nov 25 2023,14:00,CET/+0100,Radnik Surdulica,1-1,0-1,Mladost Lučani,,2023-11-25T13:00Z
,16,Sun Nov 26 2023,13:00,CET/+0100,FK Radnički 1923,0-4,0-2,FK Novi Pazar,,2023-11-26T12:00Z
,16,Sun Nov 26 2023,15:00,CET/+0100,Radnički Niš,0-2,0-0,FK Čukarički,,2023-11-26T14:00Z
,16,Sun Nov 26 2023,18:30,CET/+0100,Železničar Pančevo,2-1,0-1,FK Napredak,,2023-11-26T17:30Z
,16,Mon Nov 27 2023,16:00,CET/+0100,FK Javor,4-0,1-0,FK Voždovac,,2023-11-27T15:00Z
,17,Fri Dec 1 2023,18:30,CET/+0100,Spartak Subotica,1-0,1-0,Radnik Surdulica,,2023-12-01T17:30Z
,17,Fri Dec 1 2023,16:30,CET/+0100,FK Novi Pazar,2-0,0-0,FK Javor,,2023-12-01T15:30Z
,17,Sat Dec 2 2023,15:30,CET/+0100,Mladost Lučani,1-0,0-0,Železničar Pančevo,,2023-12-02T14:30Z
,17,Sat Dec 2 2023,15:30,CET/+0100,Partizan,3-1,0-0,Vojvodina,,2023-12-02T14:30Z
,17,Sat Dec 2 2023,19:00,CET/+0100,FK Voždovac,4-0,2-0,IMT Beograd,,2023-12-02T18:00Z
,17,Sun Dec 3 2023,13:00,CET/+0100,FK Čukarički,4-1,4-0,FK Radnički 1923,,2023-12-03T12:00Z
,17,Sun Dec 3 2023,17:00,CET/+0100,TSC Bačka Topola,1-0,0-0,Radnički Niš,,2023-12-03T16:00Z
,17,Sun Dec 3 2023,15:00,CET/+0100,FK Napredak,0-1,0-1,Crvena Zvezda,,2023-12-03T14:00Z
,18,Sat Dec 9 2023,13:00,CET/+0100,FK Radnički 1923,0-0,0-0,TSC Bačka Topola,,2023-12-09T12:00Z
,18,Sat Dec 9 2023,18:30,CET/+0100,Železničar Pančevo,2-1,2-1,Spartak Subotica,,2023-12-09T17:30Z
,18,Sat Dec 9 2023,16:00,CET/+0100,Crvena Zvezda,3-1,1-1,Mladost Lučani,,2023-12-09T15:00Z
,18,Sun Dec 10 2023,15:00,CET/+0100,FK Javor,1-2,0-1,FK Čukarički,,2023-12-10T14:00Z
,18,Sun Dec 10 2023,13:00,CET/+0100,Radnik Surdulica,1-1,0-1,FK Voždovac,,2023-12-10T12:00Z
,18,Sun Dec 10 2023,17:00,CET/+0100,IMT Beograd,1-0,0-0,FK Novi Pazar,,2023-12-10T16:00Z
,18,Mon Dec 11 2023,16:00,CET/+0100,Radnički Niš,2-1,0-0,Partizan,,2023-12-11T15:00Z
,18,Mon Dec 11 2023,18:30,CET/+0100,Vojvodina,2-0,2-0,FK Napredak,,2023-12-11T17:30Z
,19,Fri Dec 15 2023,18:00,CET/+0100,FK Voždovac,5-1,2-0,Železničar Pančevo,,2023-12-15T17:00Z
,19,Fri Dec 15 2023,16:00,CET/+0100,FK Novi Pazar,2-1,2-0,Radnik Surdulica,,2023-12-15T15:00Z
,19,Sat Dec 16 2023,16:00,CET/+0100,Spartak Subotica,1-4,0-1,Crvena Zvezda,,2023-12-16T15:00Z
,19,Sat Dec 16 2023,18:30,CET/+0100,Partizan,3-3,2-2,FK Radnički 1923,,2023-12-16T17:30Z
,19,Sat Dec 16 2023,14:00,CET/+0100,Mladost Lučani,1-2,0-1,FK Napredak,,2023-12-16T13:00Z
,19,Sat Dec 16 2023,14:00,CET/+0100,Radnički Niš,0-1,0-0,Vojvodina,,2023-12-16T13:00Z
,19,Mon Dec 18 2023,18:00,CET/+0100,FK Čukarički,0-1,0-1,IMT Beograd,,2023-12-18T17:00Z
,19,Mon Dec 18 2023,16:00,CET/+0100,TSC Bačka Topola,3-0,2-0,FK Javor,,2023-12-18T15:00Z
,9,Wed Dec 20 2023,13:00,CET/+0100,FK Radnički 1923,1-0,1-0,Radnik Surdulica,,2023-12-20T12:00Z
,9,Wed Dec 20 2023,18:00,CET/+0100,Partizan,2-1,1-0,Crvena Zvezda,,2023-12-20T17:00Z
,9,Thu Dec 21 2023,15:00,CET/+0100,FK Novi Pazar,0-1,0-0,Spartak Subotica,,2023-12-21T14:00Z
,9,Thu Dec 21 2023,19:00,CET/+0100,FK Voždovac,3-2,2-1,Vojvodina,,2023-12-21T18:00Z
,9,Thu Dec 21 2023,17:00,CET/+0100,Radnički Niš,1-1,0-0,Železničar Pančevo,,2023-12-21T16:00Z
,9,Fri Dec 22 2023,16:00,CET/+0100,FK Javor,1-1,0-1,IMT Beograd,,2023-12-22T15:00Z
,9,Fri Dec 22 2023,14:00,CET/+0100,FK Čukarički,3-0,2-0,Mladost Lučani,,2023-12-22T13:00Z
,9,Fri Dec 22 2023,17:00,CET/+0100,TSC Bačka Topola,1-1,1-0,FK Napredak,,2023-12-22T16:00Z
,20,Fri Feb 9 2024,15:30,CET/+0100,Radnik Surdulica,0-3,0-2,FK Čukarički,,2024-02-09T14:30Z
,20,Sat Feb 10 2024,14:00,CET/+0100,FK Javor,0-1,0-0,Partizan,,2024-02-10T13:00Z
,20,Sat Feb 10 2024,15:00,CET/+0100,Vojvodina,1-1,0-0,Mladost Lučani,,2024-02-10T14:00Z
,20,Sat Feb 10 2024,16:30,CET/+0100,Crvena Zvezda,2-1,2-0,FK Voždovac,,2024-02-10T15:30Z
,20,Sat Feb 10 2024,13:00,CET/+0100,Železničar Pančevo,2-2,2-1,FK Novi Pazar,,2024-02-10T12:00Z
,20,Sun Feb 11 2024,15:00,CET/+0100,IMT Beograd,0-2,0-0,TSC Bačka Topola,,2024-02-11T14:00Z
,20,Sun Feb 11 2024,13:00,CET/+0100,FK Radnički 1923,3-2,1-0,Radnički Niš,,2024-02-11T12:00Z
,20,Mon Feb 12 2024,16:00,CET/+0100,FK Napredak,1-1,1-1,Spartak Subotica,,2024-02-12T15:00Z
,21,Sat Feb 17 2024,14:00,CET/+0100,FK Novi Pazar,0-3,0-2,Crvena Zvezda,,2024-02-17T13:00Z
,21,Sat Feb 17 2024,16:15,CET/+0100,Partizan,5-2,2-0,IMT Beograd,,2024-02-17T15:15Z
,21,Sat Feb 17 2024,18:30,CET/+0100,FK Čukarički,2-1,0-1,Železničar Pančevo,,2024-02-17T17:30Z
,21,Sun Feb 18 2024,15:00,CET/+0100,Spartak Subotica,0-1,0-0,Mladost Lučani,,2024-02-18T14:00Z
,21,Sun Feb 18 2024,17:00,CET/+0100,Radnički Niš,1-0,1-0,FK Javor,,2024-02-18T16:00Z
,21,Sun Feb 18 2024,17:00,CET/+0100,TSC Bačka Topola,1-0,0-0,Radnik Surdulica,,2024-02-18T16:00Z
,21,Sun Feb 18 2024,13:00,CET/+0100,FK Radnički 1923,2-1,1-0,Vojvodina,,2024-02-18T12:00Z
,21,Mon Feb 19 2024,17:00,CET/+0100,FK Voždovac,1-2,1-1,FK Napredak,,2024-02-19T16:00Z
,22,Fri Feb 23 2024,17:00,CET/+0100,IMT Beograd,0-3,0-1,Radnički Niš,,2024-02-23T16:00Z
,22,Sat Feb 24 2024,13:45,CET/+0100,Radnik Surdulica,1-2,0-0,Partizan,,2024-02-24T12:45Z
,22,Sat Feb 24 2024,16:00,CET/+0100,Crvena Zvezda,3-0,2-0,FK Čukarički,,2024-02-24T15:00Z
,22,Sat Feb 24 2024,18:30,CET/+0100,Železničar Pančevo,2-3,0-2,TSC Bačka Topola,,2024-02-24T17:30Z
,22,Sun Feb 25 2024,16:30,CET/+0100,FK Napredak,3-1,3-1,FK Novi Pazar,,2024-02-25T15:30Z
,22,Sun Feb 25 2024,18:30,CET/+0100,Vojvodina,0-0,0-0,Spartak Subotica,,2024-02-25T17:30Z
,22,Sun Feb 25 2024,14:00,CET/+0100,FK Javor,0-3,0-3,FK Radnički 1923,,2024-02-25T13:00Z
,22,Mon Feb 26 2024,16:30,CET/+0100,Mladost Lučani,2-0,0-0,FK Voždovac,,2024-02-26T15:30Z
,23,Fri Mar 1 2024,18:30,CET/+0100,FK Čukarički,2-1,0-1,FK Napredak,,2024-03-01T17:30Z
,23,Fri Mar 1 2024,14:00,CET/+0100,FK Radnički 1923,1-0,1-0,IMT Beograd,,2024-03-01T13:00Z
,23,Sat Mar 2 2024,14:00,CET/+0100,FK Javor,2-2,0-1,Vojvodina,,2024-03-02T13:00Z
,23,Sat Mar 2 2024,16:00,CET/+0100,TSC Bačka Topola,1-3,0-1,Crvena Zvezda,,2024-03-02T15:00Z
,23,Sat Mar 2 2024,18:30,CET/+0100,Partizan,3-1,3-1,Železničar Pančevo,,2024-03-02T17:30Z
,23,Sun Mar 3 2024,14:30,CET/+0100,FK Novi Pazar,0-0,0-0,Mladost Lučani,,2024-03-03T13:30Z
,23,Sun Mar 3 2024,16:30,CET/+0100,FK Voždovac,0-2,0-0,Spartak Subotica,,2024-03-03T15:30Z
,23,Sun Mar 3 2024,13:00,CET/+0100,Radnički Niš,0-3,0-0,Radnik Surdulica,,2024-03-03T12:00Z
,24,Thu Mar 7 2024,14:00,CET/+0100,IMT Beograd,2-1,1-0,FK Javor,,2024-03-07T13:00Z
,24,Thu Mar 7 2024,16:00,CET/+0100,FK Napredak,0-0,0-0,TSC Bačka Topola,,2024-03-07T15:00Z
,24,Fri Mar 8 2024,16:30,CET/+0100,Radnik Surdulica,0-1,0-0,FK Radnički 1923,,2024-03-08T15:30Z
,24,Fri Mar 8 2024,18:30,CET/+0100,Vojvodina,2-1,0-1,FK Voždovac,,2024-03-08T17:30Z
,24,Fri Mar 8 2024,18:30,CET/+0100,Mladost Lučani,1-0,1-0,FK Čukarički,,2024-03-08T17:30Z
,24,Fri Mar 8 2024,16:30,CET/+0100,Spartak Subotica,0-1,0-0,FK Novi Pazar,,2024-03-08T15:30Z
,24,Sat Mar 9 2024,17:00,CET/+0100,Crvena Zvezda,2-2,1-1,Partizan,,2024-03-09T16:00Z
,24,Sat Mar 9 2024,19:00,CET/+0100,Železničar Pančevo,3-2,1-2,Radnički Niš,,2024-03-09T18:00Z
,25,Tue Mar 12 2024,16:00,CET/+0100,FK Čukarički,2-2,1-0,Spartak Subotica,,2024-03-12T15:00Z
,25,Tue Mar 12 2024,16:00,CET/+0100,FK Novi Pazar,2-2,1-1,FK Voždovac,,2024-03-12T15:00Z
,25,Tue Mar 12 2024,18:00,CET/+0100,FK Javor,2-1,2-0,Radnik Surdulica,,2024-03-12T17:00Z
,25,Tue Mar 12 2024,20:00,CET/+0100,IMT Beograd,1-3,0-1,Vojvodina,,2024-03-12T19:00Z
,25,Tue Mar 12 2024,14:00,CET/+0100,TSC Bačka Topola,4-1,1-0,Mladost Lučani,,2024-03-12T13:00Z
,25,Wed Mar 13 2024,16:55,CET/+0100,Partizan,0-1,0-1,FK Napredak,,2024-03-13T15:55Z
,25,Wed Mar 13 2024,19:00,CET/+0100,Radnički Niš,0-2,0-1,Crvena Zvezda,,2024-03-13T18:00Z
,25,Wed Mar 13 2024,14:00,CET/+0100,FK Radnički 1923,3-0,0-0,Železničar Pančevo,,2024-03-13T13:00Z
,26,Sat Mar 16 2024,14:00,CET/+0100,Radnik Surdulica,0-1,0-0,IMT Beograd,,2024-03-16T13:00Z
,26,Sat Mar 16 2024,16:00,CET/+0100,FK Voždovac,1-1,0-1,FK Čukarički,,2024-03-16T15:00Z
,26,Sat Mar 16 2024,18:00,CET/+0100,Spartak Subotica,2-4,0-2,TSC Bačka Topola,,2024-03-16T17:00Z
,26,Sat Mar 16 2024,20:00,CET/+0100,Vojvodina,1-0,0-0,FK Novi Pazar,,2024-03-16T19:00Z
,26,Sun Mar 17 2024,16:00,CET/+0100,Crvena Zvezda,5-0,2-0,FK Radnički 1923,,2024-03-17T15:00Z
,26,Sun Mar 17 2024,18:00,CET/+0100,Železničar Pančevo,0-1,0-0,FK Javor,,2024-03-17T17:00Z
,26,Sun Mar 17 2024,20:00,CET/+0100,FK Napredak,1-0,0-0,Radnički Niš,,2024-03-17T19:00Z
,26,Sun Mar 17 2024,13:30,CET/+0100,Mladost Lučani,1-1,1-0,Partizan,,2024-03-17T12:30Z
,27,Fri Mar 29 2024,14:00,CET/+0100,FK Čukarički,2-0,0-0,FK Novi Pazar,,2024-03-29T13:00Z
,27,Fri Mar 29 2024,16:00,CET/+0100,Radnik Surdulica,0-4,0-3,Vojvodina,,2024-03-29T15:00Z
,27,Fri Mar 29 2024,18:00,CET/+0100,IMT Beograd,1-1,0-0,Železničar Pančevo,,2024-03-29T17:00Z
,27,Fri Mar 29 2024,18:00,CET/+0100,TSC Bačka Topola,2-0,2-0,FK Voždovac,,2024-03-29T17:00Z
