Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Gruppe F,Sun Apr 24 2022,16:00,-0300,Bahia de Feira BA,0-0,0-0,Ferroviária SP,,,2022-04-24T19:00Z
Gruppe G,Sun Apr 24 2022,19:00,-0300,Portuguesa RJ,1-1,0-0,Oeste SP,,,2022-04-24T22:00Z
Gruppe D,Sun Apr 24 2022,16:00,-0300,Atlético de Alagoinhas BA,1-1,0-1,Lagarto SE,,,2022-04-24T19:00Z
Gruppe D,Sun Apr 24 2022,16:00,-0300,Sergipe SE,1-1,0-0,Juazeirense BA,,,2022-04-24T19:00Z
Gruppe B,Sun Apr 24 2022,17:00,-0300,Moto Club MA,3-0,1-0,4 de Julho PI,,,2022-04-24T20:00Z
Gruppe B,Sun Apr 24 2022,16:00,-0300,Fluminense PI,4-0,2-0,Tocantinópolis TO,,,2022-04-24T19:00Z
Gruppe A,Sun Apr 24 2022,16:00,-0300,Amazonas FC AM,3-0,2-0,Náutico RR,,,2022-04-24T19:00Z
Gruppe G,Sun Apr 24 2022,16:00,-0300,Paraná Clube,0-0,0-0,São Bernardo FC SP,,,2022-04-24T19:00Z
Gruppe G,Sun Apr 24 2022,16:00,-0300,Cianorte PR,2-2,2-2,Pérolas Negras RJ,,,2022-04-24T19:00Z
Gruppe E,Sun Apr 24 2022,15:30,-0300,Brasiliense DF,2-2,2-0,Iporá GO,,,2022-04-24T18:30Z
Gruppe C,Sun Apr 24 2022,16:00,-0300,Globo RN,1-2,1-2,São Paulo Crystal PB,,,2022-04-24T19:00Z
Gruppe B,Sun Apr 24 2022,15:00,-0300,Tuna Luso PA,0-3,0-2,Juventude MA,,,2022-04-24T18:00Z
Gruppe H,Wed Apr 27 2022,20:00,-0300,Azuriz PR,1-0,0-0,S.E.R. Caxias RS,,,2022-04-27T23:00Z
Gruppe E,Wed Apr 27 2022,21:00,-0300,Costa Rica MS,2-0,0-0,Ação MT,,,2022-04-28T00:00Z
Gruppe B,Sat Apr 30 2022,16:00,-0300,4 de Julho PI,3-0,0-0,Tuna Luso PA,,,2022-04-30T19:00Z
Gruppe B,Sat Apr 30 2022,16:00,-0300,Tocantinópolis TO,1-1,1-0,Pacajus CE,,,2022-04-30T19:00Z
Gruppe C,Sat Apr 30 2022,15:00,-0300,São Paulo Crystal PB,2-3,1-1,Sousa PB,,,2022-04-30T18:00Z
Gruppe C,Sat Apr 30 2022,15:00,-0300,Crato CE,0-1,0-0,Icasa CE,,,2022-04-30T18:00Z
Gruppe C,Sat Apr 30 2022,17:00,-0300,América RN,0-1,0-0,Afogados da Ingazeira PE,,,2022-04-30T20:00Z
Gruppe G,Sat Apr 30 2022,15:00,-0300,Santo André SP,0-1,0-1,São Bernardo FC SP,,,2022-04-30T18:00Z
Gruppe G,Sat Apr 30 2022,15:00,-0300,Nova Iguaçu RJ,1-1,0-1,Paraná Clube,,,2022-04-30T18:00Z
Gruppe E,Sat Apr 30 2022,16:00,-0300,Grêmio Anápolis GO,1-3,0-2,Anápolis FC GO,,,2022-04-30T19:00Z
Gruppe E,Sat Apr 30 2022,15:30,-0300,Ceilândia DF,3-0,1-0,Operário MT,,,2022-04-30T18:30Z
Gruppe A,Sat Apr 30 2022,18:00,-0300,Náutico RR,1-1,1-1,São Raimundo RR,,,2022-04-30T21:00Z
Gruppe F,Sat Apr 30 2022,16:00,-0300,U.R.T. MG,0-1,0-1,Pouso Alegre MG,,,2022-04-30T19:00Z
Gruppe F,Sat Apr 30 2022,17:00,-0300,Ferroviária SP,1-2,1-1,Real Noroeste ES,,,2022-04-30T20:00Z
Gruppe F,Sat Apr 30 2022,20:00,-0300,Caldense MG,0-2,0-0,Bahia de Feira BA,,,2022-04-30T23:00Z
Gruppe H,Sun May 1 2022,15:00,-0300,Azuriz PR,1-0,0-0,Marcílio Dias SC,,,2022-05-01T18:00Z
Gruppe D,Sun May 1 2022,16:00,-0300,Lagarto SE,3-3,0-1,CSE AL,,,2022-05-01T19:00Z
Gruppe D,Sun May 1 2022,16:00,-0300,ASA AL,1-0,0-0,Sergipe SE,,,2022-05-01T19:00Z
Gruppe D,Sun May 1 2022,16:00,-0300,Atlético de Alagoinhas BA,0-1,0-0,Jacuipense BA,,,2022-05-01T19:00Z
Gruppe H,Sun May 1 2022,15:00,-0300,S.E.R. Caxias RS,4-2,2-1,Aimoré RS,,,2022-05-01T18:00Z
Gruppe H,Sun May 1 2022,16:00,-0300,Cascavel FC PR,2-1,0-0,São Luiz RS,,,2022-05-01T19:00Z
Gruppe H,Sun May 1 2022,16:00,-0300,Juventus SC,0-1,0-0,Próspera SC,,,2022-05-01T19:00Z
Gruppe F,Sun May 1 2022,15:00,-0300,Nova Venécia ES,2-2,1-0,Inter de Limeira SP,,,2022-05-01T18:00Z
Gruppe G,Sun May 1 2022,15:00,-0300,Pérolas Negras RJ,1-1,0-1,Portuguesa RJ,,,2022-05-01T18:00Z
Gruppe A,Sun May 1 2022,18:00,-0300,Rio Branco AC,2-0,0-0,Humaitá AC,,,2022-05-01T21:00Z
Gruppe A,Sun May 1 2022,16:00,-0300,São Raimundo AM,0-1,0-0,Porto Velho EC RO,,,2022-05-01T19:00Z
Gruppe E,Sun May 1 2022,16:00,-0300,Ação MT,0-2,0-0,Brasiliense DF,,,2022-05-01T19:00Z
Gruppe E,Sun May 1 2022,15:30,-0300,Iporá GO,1-2,0-0,Costa Rica MS,,,2022-05-01T18:30Z
Gruppe G,Mon May 2 2022,19:00,-0300,Oeste SP,2-1,2-1,Cianorte PR,,,2022-05-02T22:00Z
Gruppe B,Mon May 2 2022,19:00,-0300,Moto Club MA,3-0,0-0,Juventude MA,,,2022-05-02T22:00Z
Gruppe B,Tue May 3 2022,15:00,-0300,Castanhal PA,2-2,1-1,Fluminense PI,,,2022-05-03T18:00Z
Gruppe A,Tue May 3 2022,15:00,-0300,Trem AP,0-2,0-1,Amazonas FC AM,,,2022-05-03T18:00Z
Gruppe C,Wed May 4 2022,20:00,-0300,Retrô PE,1-0,1-0,Globo RN,,,2022-05-04T23:00Z
Gruppe D,Wed May 4 2022,20:00,-0300,Juazeirense BA,1-0,0-0,Santa Cruz PE,,,2022-05-04T23:00Z
Gruppe B,Fri May 6 2022,20:00,-0300,Pacajus CE,0-2,0-1,Moto Club MA,,,2022-05-06T23:00Z
Gruppe F,Sat May 7 2022,17:30,-0300,Pouso Alegre MG,1-0,1-0,Caldense MG,,,2022-05-07T20:30Z
Gruppe F,Sat May 7 2022,16:00,-0300,Inter de Limeira SP,1-3,0-3,Real Noroeste ES,,,2022-05-07T19:00Z
Gruppe D,Sat May 7 2022,15:00,-0300,Lagarto SE,4-0,1-0,ASA AL,,,2022-05-07T18:00Z
Gruppe E,Sat May 7 2022,15:30,-0300,Ceilândia DF,1-0,0-0,Ação MT,,,2022-05-07T18:30Z
Gruppe E,Sat May 7 2022,16:00,-0300,Operário MT,0-2,0-0,Brasiliense DF,,,2022-05-07T19:00Z
Gruppe C,Sat May 7 2022,16:00,-0300,Sousa PB,2-0,0-0,Crato CE,,,2022-05-07T19:00Z
Gruppe H,Sat May 7 2022,18:00,-0300,São Luiz RS,1-1,0-0,S.E.R. Caxias RS,,,2022-05-07T21:00Z
Gruppe B,Sat May 7 2022,15:30,-0300,Juventude MA,0-0,0-0,Tocantinópolis TO,,,2022-05-07T18:30Z
Gruppe B,Sat May 7 2022,15:00,-0300,Tuna Luso PA,1-1,1-1,Fluminense PI,,,2022-05-07T18:00Z
Gruppe H,Sat May 7 2022,15:00,-0300,Juventus SC,2-2,0-1,Azuriz PR,,,2022-05-07T18:00Z
Gruppe H,Sat May 7 2022,15:00,-0300,Aimoré RS,0-1,0-0,Cascavel FC PR,,,2022-05-07T18:00Z
Gruppe G,Sat May 7 2022,15:00,-0300,Nova Iguaçu RJ,1-1,0-0,Pérolas Negras RJ,,,2022-05-07T18:00Z
Gruppe G,Sat May 7 2022,16:00,-0300,São Bernardo FC SP,3-0,1-0,Oeste SP,,,2022-05-07T19:00Z
Gruppe D,Sat May 7 2022,19:00,-0300,CSE AL,2-2,2-1,Sergipe SE,,,2022-05-07T22:00Z
Gruppe A,Sat May 7 2022,16:30,-0300,Porto Velho EC RO,1-3,1-2,Amazonas FC AM,,,2022-05-07T19:30Z
Gruppe A,Sat May 7 2022,18:00,-0300,São Raimundo RR,1-0,0-0,Rio Branco AC,,,2022-05-07T21:00Z
Gruppe C,Sat May 7 2022,17:00,-0300,América RN,0-0,0-0,Retrô PE,,,2022-05-07T20:00Z
Gruppe A,Sun May 8 2022,18:00,-0300,Humaitá AC,1-1,1-0,Náutico RR,,,2022-05-08T21:00Z
Gruppe G,Sun May 8 2022,16:00,-0300,Paraná Clube,2-0,2-0,Portuguesa RJ,,,2022-05-08T19:00Z
Gruppe G,Sun May 8 2022,16:00,-0300,Cianorte PR,1-1,0-0,Santo André SP,,,2022-05-08T19:00Z
Gruppe E,Sun May 8 2022,16:00,-0300,Costa Rica MS,1-1,1-1,Grêmio Anápolis GO,,,2022-05-08T19:00Z
Gruppe E,Sun May 8 2022,16:00,-0300,Anápolis FC GO,1-0,0-0,Iporá GO,,,2022-05-08T19:00Z
Gruppe B,Sun May 8 2022,16:00,-0300,4 de Julho PI,0-3,0-1,Castanhal PA,,,2022-05-08T19:00Z
Gruppe F,Sun May 8 2022,16:00,-0300,Bahia de Feira BA,0-1,0-1,U.R.T. MG,,,2022-05-08T19:00Z
Gruppe D,Sun May 8 2022,16:00,-0300,Santa Cruz PE,3-2,2-2,Atlético de Alagoinhas BA,,,2022-05-08T19:00Z
Gruppe D,Sun May 8 2022,15:00,-0300,Jacuipense BA,1-2,1-1,Juazeirense BA,,,2022-05-08T18:00Z
Gruppe F,Sun May 8 2022,15:00,-0300,Nova Venécia ES,2-1,1-1,Ferroviária SP,,,2022-05-08T18:00Z
Gruppe H,Sun May 8 2022,15:00,-0300,Próspera SC,0-1,0-0,Marcílio Dias SC,,,2022-05-08T18:00Z
Gruppe A,Sun May 8 2022,16:00,-0300,São Raimundo AM,3-1,1-1,Trem AP,,,2022-05-08T19:00Z
Gruppe C,Sun May 8 2022,16:00,-0300,Afogados da Ingazeira PE,1-1,1-0,Globo RN,,,2022-05-08T19:00Z
Gruppe C,Sun May 8 2022,17:00,-0300,Icasa CE,1-0,1-0,São Paulo Crystal PB,,,2022-05-08T20:00Z
Gruppe D,Wed May 11 2022,20:15,-0300,Sergipe SE,0-0,0-0,Lagarto SE,,,2022-05-11T23:15Z
Gruppe H,Sat May 14 2022,16:00,-0300,Cascavel FC PR,2-0,1-0,S.E.R. Caxias RS,,,2022-05-14T19:00Z
Gruppe H,Sat May 14 2022,16:00,-0300,Marcílio Dias SC,2-1,1-1,Juventus SC,,,2022-05-14T19:00Z
Gruppe C,Sat May 14 2022,15:00,-0300,São Paulo Crystal PB,2-0,1-0,Crato CE,,,2022-05-14T18:00Z
Gruppe H,Sat May 14 2022,15:00,-0300,Aimoré RS,2-1,0-1,São Luiz RS,,,2022-05-14T18:00Z
Gruppe B,Sat May 14 2022,15:30,-0300,Castanhal PA,0-0,0-0,Tuna Luso PA,,,2022-05-14T18:30Z
Gruppe F,Sat May 14 2022,17:00,-0300,Ferroviária SP,1-1,1-0,Inter de Limeira SP,,,2022-05-14T20:00Z
Gruppe F,Sat May 14 2022,16:30,-0300,Pouso Alegre MG,0-0,0-0,Bahia de Feira BA,,,2022-05-14T19:30Z
Gruppe G,Sat May 14 2022,16:00,-0300,São Bernardo FC SP,1-0,1-0,Cianorte PR,,,2022-05-14T19:00Z
Gruppe A,Sat May 14 2022,18:00,-0300,Náutico RR,1-4,1-2,Rio Branco AC,,,2022-05-14T21:00Z
Gruppe F,Sat May 14 2022,16:00,-0300,Real Noroeste ES,1-0,1-0,Nova Venécia ES,,,2022-05-14T19:00Z
Gruppe B,Sat May 14 2022,16:00,-0300,Tocantinópolis TO,2-0,1-0,Moto Club MA,,,2022-05-14T19:00Z
Gruppe B,Sat May 14 2022,15:30,-0300,Juventude MA,0-1,0-1,Pacajus CE,,,2022-05-14T18:30Z
Gruppe E,Sun May 15 2022,15:30,-0300,Iporá GO,0-0,0-0,Grêmio Anápolis GO,,,2022-05-15T18:30Z
Gruppe E,Sun May 15 2022,16:00,-0300,Ação MT,1-2,0-1,Operário MT,,,2022-05-15T19:00Z
Gruppe D,Sun May 15 2022,16:00,-0300,Jacuipense BA,2-0,0-0,Santa Cruz PE,,,2022-05-15T19:00Z
Gruppe D,Sun May 15 2022,16:00,-0300,Juazeirense BA,0-2,0-0,Atlético de Alagoinhas BA,,,2022-05-15T19:00Z
Gruppe G,Sun May 15 2022,15:00,-0300,Pérolas Negras RJ,0-1,0-0,Paraná Clube,,,2022-05-15T18:00Z
Gruppe G,Sun May 15 2022,16:00,-0300,Oeste SP,2-0,1-0,Santo André SP,,,2022-05-15T19:00Z
Gruppe G,Sun May 15 2022,17:00,-0300,Portuguesa RJ,1-1,0-1,Nova Iguaçu RJ,,,2022-05-15T20:00Z
Gruppe F,Sun May 15 2022,16:00,-0300,Caldense MG,1-1,1-0,U.R.T. MG,,,2022-05-15T19:00Z
Gruppe B,Sun May 15 2022,16:00,-0300,Fluminense PI,0-0,0-0,4 de Julho PI,,,2022-05-15T19:00Z
Gruppe D,Sun May 15 2022,16:00,-0300,ASA AL,2-3,1-1,CSE AL,,,2022-05-15T19:00Z
Gruppe C,Sun May 15 2022,18:30,-0300,Retrô PE,1-1,1-1,Afogados da Ingazeira PE,,,2022-05-15T21:30Z
Gruppe A,Sun May 15 2022,17:00,-0300,Amazonas FC AM,2-2,1-0,São Raimundo AM,,,2022-05-15T20:00Z
Gruppe A,Sun May 15 2022,18:00,-0300,Humaitá AC,2-1,1-0,São Raimundo RR,,,2022-05-15T21:00Z
Gruppe C,Sun May 15 2022,17:00,-0300,Icasa CE,2-2,1-1,Sousa PB,,,2022-05-15T20:00Z
Gruppe C,Sun May 15 2022,15:00,-0300,Globo RN,0-2,0-2,América RN,,,2022-05-15T18:00Z
Gruppe E,Sun May 15 2022,15:30,-0300,Brasiliense DF,2-1,1-0,Ceilândia DF,,,2022-05-15T18:30Z
Gruppe H,Mon May 16 2022,19:00,-0300,Azuriz PR,0-0,0-0,Próspera SC,,,2022-05-16T22:00Z
Gruppe A,Mon May 16 2022,20:15,-0300,Trem AP,2-2,0-0,Porto Velho EC RO,,,2022-05-16T23:15Z
Gruppe E,Mon May 16 2022,20:00,-0300,Anápolis FC GO,1-0,0-0,Costa Rica MS,,,2022-05-16T23:00Z
Gruppe B,Fri May 20 2022,20:00,-0300,Pacajus CE,2-0,0-0,Tuna Luso PA,,,2022-05-20T23:00Z
Gruppe A,Sat May 21 2022,18:00,-0300,Rio Branco AC,2-2,0-1,Amazonas FC AM,,,2022-05-21T21:00Z
Gruppe A,Sat May 21 2022,16:00,-0300,São Raimundo AM,5-1,3-0,Náutico RR,,,2022-05-21T19:00Z
Gruppe D,Sat May 21 2022,15:00,-0300,Lagarto SE,2-0,2-0,Juazeirense BA,,,2022-05-21T18:00Z
Gruppe G,Sat May 21 2022,15:00,-0300,Santo André SP,1-0,1-0,Portuguesa RJ,,,2022-05-21T18:00Z
Gruppe G,Sat May 21 2022,15:00,-0300,Nova Iguaçu RJ,2-1,0-1,Oeste SP,,,2022-05-21T18:00Z
Gruppe H,Sat May 21 2022,15:00,-0300,Juventus SC,1-1,1-1,Cascavel FC PR,,,2022-05-21T18:00Z
Gruppe H,Sat May 21 2022,15:00,-0300,S.E.R. Caxias RS,3-1,0-0,Marcílio Dias SC,,,2022-05-21T18:00Z
Gruppe E,Sat May 21 2022,15:30,-0300,Ceilândia DF,0-0,0-0,Iporá GO,,,2022-05-21T18:30Z
Gruppe C,Sat May 21 2022,17:00,-0300,América RN,0-0,0-0,São Paulo Crystal PB,,,2022-05-21T20:00Z
Gruppe C,Sat May 21 2022,16:00,-0300,Sousa PB,3-2,0-2,Afogados da Ingazeira PE,,,2022-05-21T19:00Z
Gruppe C,Sat May 21 2022,16:00,-0300,Retrô PE,3-0,1-0,Icasa CE,,,2022-05-21T19:00Z
Gruppe F,Sat May 21 2022,16:00,-0300,Ferroviária SP,0-1,0-1,Pouso Alegre MG,,,2022-05-21T19:00Z
Gruppe F,Sat May 21 2022,16:00,-0300,U.R.T. MG,1-0,0-0,Real Noroeste ES,,,2022-05-21T19:00Z
Gruppe C,Sat May 21 2022,15:00,-0300,Crato CE,2-1,1-0,Globo RN,,,2022-05-21T18:00Z
Gruppe A,Sat May 21 2022,18:00,-0300,São Raimundo RR,2-2,1-1,Porto Velho EC RO,,,2022-05-21T21:00Z
Gruppe B,Sat May 21 2022,15:30,-0300,Castanhal PA,0-0,0-0,Juventude MA,,,2022-05-21T18:30Z
Gruppe B,Sat May 21 2022,16:00,-0300,4 de Julho PI,2-2,2-1,Tocantinópolis TO,,,2022-05-21T19:00Z
Gruppe B,Sun May 22 2022,17:00,-0300,Moto Club MA,3-2,1-0,Fluminense PI,,,2022-05-22T20:00Z
Gruppe D,Sun May 22 2022,16:00,-0300,ASA AL,1-1,0-0,Jacuipense BA,,,2022-05-22T19:00Z
Gruppe D,Sun May 22 2022,16:00,-0300,Santa Cruz PE,2-1,0-1,CSE AL,,,2022-05-22T19:00Z
Gruppe F,Sun May 22 2022,15:00,-0300,Nova Venécia ES,3-1,0-1,Caldense MG,,,2022-05-22T18:00Z
Gruppe F,Sun May 22 2022,16:00,-0300,Bahia de Feira BA,0-1,0-0,Inter de Limeira SP,,,2022-05-22T19:00Z
Gruppe H,Sun May 22 2022,15:00,-0300,Azuriz PR,3-0,0-0,Aimoré RS,,,2022-05-22T18:00Z
Gruppe G,Sun May 22 2022,16:00,-0300,Cianorte PR,0-1,0-0,Paraná Clube,,,2022-05-22T19:00Z
Gruppe G,Sun May 22 2022,15:00,-0300,Pérolas Negras RJ,0-0,0-0,São Bernardo FC SP,,,2022-05-22T18:00Z
Gruppe E,Sun May 22 2022,16:00,-0300,Ação MT,2-3,0-1,Anápolis FC GO,,,2022-05-22T19:00Z
Gruppe E,Sun May 22 2022,16:30,-0300,Costa Rica MS,1-0,1-0,Operário MT,,,2022-05-22T19:30Z
Gruppe H,Sun May 22 2022,15:30,-0300,São Luiz RS,3-2,1-1,Próspera SC,,,2022-05-22T18:30Z
Gruppe D,Sun May 22 2022,16:00,-0300,Atlético de Alagoinhas BA,0-0,0-0,Sergipe SE,,,2022-05-22T19:00Z
Gruppe A,Mon May 23 2022,20:15,-0300,Trem AP,2-1,0-0,Humaitá AC,,,2022-05-23T23:15Z
Gruppe E,Wed May 25 2022,20:00,-0300,Grêmio Anápolis GO,1-2,1-1,Brasiliense DF,,,2022-05-25T23:00Z
Gruppe D,Sat May 28 2022,19:00,-0300,CSE AL,2-1,0-1,Atlético de Alagoinhas BA,,,2022-05-28T22:00Z
Gruppe G,Sat May 28 2022,15:00,-0300,Portuguesa RJ,0-0,0-0,Cianorte PR,,,2022-05-28T18:00Z
Gruppe G,Sat May 28 2022,16:00,-0300,Oeste SP,0-1,0-1,Pérolas Negras RJ,,,2022-05-28T19:00Z
Gruppe G,Sat May 28 2022,16:00,-0300,São Bernardo FC SP,1-0,1-0,Nova Iguaçu RJ,,,2022-05-28T19:00Z
Gruppe D,Sat May 28 2022,18:00,-0300,Juazeirense BA,0-0,0-0,ASA AL,,,2022-05-28T21:00Z
Gruppe B,Sat May 28 2022,15:30,-0300,Juventude MA,0-0,0-0,4 de Julho PI,,,2022-05-28T18:30Z
Gruppe A,Sat May 28 2022,16:30,-0300,Porto Velho EC RO,0-1,0-1,Rio Branco AC,,,2022-05-28T19:30Z
Gruppe A,Sat May 28 2022,18:00,-0300,Náutico RR,3-5,2-1,Trem AP,,,2022-05-28T21:00Z
Gruppe B,Sat May 28 2022,16:00,-0300,Fluminense PI,1-2,0-2,Pacajus CE,,,2022-05-28T19:00Z
Gruppe B,Sat May 28 2022,18:30,-0300,Tocantinópolis TO,4-1,1-0,Castanhal PA,,,2022-05-28T21:30Z
Gruppe H,Sat May 28 2022,16:00,-0300,Marcílio Dias SC,1-1,0-0,São Luiz RS,,,2022-05-28T19:00Z
Gruppe H,Sat May 28 2022,15:00,-0300,Aimoré RS,2-0,2-0,Juventus SC,,,2022-05-28T18:00Z
Gruppe C,Sat May 28 2022,17:00,-0300,Icasa CE,1-1,1-0,América RN,,,2022-05-28T20:00Z
Gruppe B,Sat May 28 2022,15:00,-0300,Tuna Luso PA,0-2,0-2,Moto Club MA,,,2022-05-28T18:00Z
Gruppe E,Sat May 28 2022,15:30,-0300,Brasiliense DF,0-2,0-1,Costa Rica MS,,,2022-05-28T18:30Z
Gruppe F,Sat May 28 2022,16:00,-0300,Caldense MG,1-2,1-0,Ferroviária SP,,,2022-05-28T19:00Z
Gruppe F,Sat May 28 2022,16:00,-0300,Inter de Limeira SP,1-0,1-0,U.R.T. MG,,,2022-05-28T19:00Z
