Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Round 3,Tue May 10 2022,21:30,-0300,Athletico Paranaense,4-0,3-0,Tocantinópolis TO,,2022-05-11T00:30Z
Round 3,Wed May 11 2022,19:00,-0300,Juazeirense BA,1-2,0-1,Palmeiras,,2022-05-11T22:00Z
Round 3,Wed May 11 2022,19:30,-0300,Flamengo RJ,2-0,0-0,Altos PI,,2022-05-11T22:30Z
Round 3,Wed May 11 2022,21:30,-0300,Vila Nova GO,0-2,0-1,Fluminense RJ,,2022-05-12T00:30Z
Round 3,Wed May 11 2022,21:30,-0300,Corinthians SP,2-0,2-0,Portuguesa RJ,,2022-05-12T00:30Z
Round 3,Wed May 11 2022,22:00,-0300,Cuiabá MT,0-0,0-0,Atlético Goianiense,3-5,2022-05-12T01:00Z
Round 3,Wed May 11 2022,19:00,-0300,Ceará CE,2-0,1-0,Tombense MG,,2022-05-11T22:00Z
Round 3,Thu May 12 2022,19:00,-0300,Vitória BA,0-1,0-0,Fortaleza CE,,2022-05-12T22:00Z
Round 3,Thu May 12 2022,19:30,-0300,São Paulo FC,2-0,1-0,Juventude RS,,2022-05-12T22:30Z
Round 3,Thu May 12 2022,19:30,-0300,Cruzeiro,1-0,0-0,Remo PA,5-4,2022-05-12T22:30Z
Round 3,Thu May 12 2022,21:30,-0300,Botafogo RJ,3-0,1-0,Ceilândia DF,,2022-05-13T00:30Z
Round 3,Thu May 12 2022,21:30,-0300,Santos FC,3-0,0-0,Coritiba PR,,2022-05-13T00:30Z
Round 3,Sun May 22 2022,19:00,-0300,Brasiliense DF,0-1,0-1,Atlético Mineiro,,2022-05-22T22:00Z
Round 3,Tue May 31 2022,21:30,-0300,Red Bull Bragantino,0-1,0-1,Goiás GO,8-9,2022-06-01T00:30Z
Round of 16,Wed Jun 22 2022,19:00,-0300,Atlético Goianiense,0-0,0-0,Goiás GO,,2022-06-22T22:00Z
Round of 16,Wed Jun 22 2022,19:30,-0300,Bahia BA,1-2,1-2,Athletico Paranaense,,2022-06-22T22:30Z
Round of 16,Wed Jun 22 2022,20:00,-0300,Fortaleza CE,2-0,0-0,Ceará CE,,2022-06-22T23:00Z
Round of 16,Wed Jun 22 2022,21:30,-0300,Corinthians SP,4-0,3-0,Santos FC,,2022-06-23T00:30Z
Round of 16,Wed Jun 22 2022,21:30,-0300,Atlético Mineiro,2-1,1-0,Flamengo RJ,,2022-06-23T00:30Z
Round of 16,Thu Jun 23 2022,20:00,-0300,São Paulo FC,1-0,1-0,Palmeiras,,2022-06-23T23:00Z
Round of 16,Thu Jun 23 2022,19:00,-0300,Fluminense RJ,2-1,1-1,Cruzeiro,,2022-06-23T22:00Z
Round of 16,Thu Jun 30 2022,19:00,-0300,América MG,3-0,2-0,Botafogo RJ,,2022-06-30T22:00Z
Round of 16,Tue Jul 12 2022,21:00,-0300,Cruzeiro,0-3,0-0,Fluminense RJ,,2022-07-13T00:00Z
Round of 16,Tue Jul 12 2022,20:30,-0300,Athletico Paranaense,2-1,0-1,Bahia BA,,2022-07-12T23:30Z
Round of 16,Wed Jul 13 2022,19:00,-0300,Goiás GO,0-3,0-1,Atlético Goianiense,,2022-07-13T22:00Z
Round of 16,Wed Jul 13 2022,20:00,-0300,Ceará CE,1-0,0-0,Fortaleza CE,,2022-07-13T23:00Z
Round of 16,Wed Jul 13 2022,21:30,-0300,Santos FC,1-0,0-0,Corinthians SP,,2022-07-14T00:30Z
Round of 16,Wed Jul 13 2022,21:30,-0300,Flamengo RJ,2-0,1-0,Atlético Mineiro,,2022-07-14T00:30Z
Round of 16,Thu Jul 14 2022,21:00,-0300,Botafogo RJ,0-2,0-1,América MG,,2022-07-15T00:00Z
Round of 16,Thu Jul 14 2022,20:00,-0300,Palmeiras,3-4,3-4,São Paulo FC,0-0,2022-07-14T23:00Z
Quarterfinals,Wed Jul 27 2022,21:30,-0300,Atlético Goianiense,2-0,1-0,Corinthians SP,,2022-07-28T00:30Z
Quarterfinals,Wed Jul 27 2022,21:30,-0300,Flamengo RJ,0-0,0-0,Athletico Paranaense,,2022-07-28T00:30Z
Quarterfinals,Thu Jul 28 2022,20:30,-0300,Fortaleza CE,0-1,0-1,Fluminense RJ,,2022-07-28T23:30Z
Quarterfinals,Thu Jul 28 2022,20:00,-0300,São Paulo FC,1-0,1-0,América MG,,2022-07-28T23:00Z
Quarterfinals,Wed Aug 17 2022,21:30,-0300,Corinthians SP,4-1,1-0,Atlético Goianiense,,2022-08-18T00:30Z
Quarterfinals,Wed Aug 17 2022,21:30,-0300,Athletico Paranaense,0-1,0-0,Flamengo RJ,,2022-08-18T00:30Z
Quarterfinals,Wed Aug 17 2022,20:00,-0300,Fluminense RJ,2-2,0-2,Fortaleza CE,,2022-08-17T23:00Z
Quarterfinals,Thu Aug 18 2022,21:00,-0300,América MG,2-2,1-2,São Paulo FC,,2022-08-19T00:00Z
Semifinals,Wed Aug 24 2022,19:30,-0300,Fluminense RJ,2-2,1-1,Corinthians SP,,2022-08-24T22:30Z
Semifinals,Wed Aug 24 2022,21:30,-0300,São Paulo FC,1-3,0-1,Flamengo RJ,,2022-08-25T00:30Z
Semifinals,Wed Sep 14 2022,21:45,-0300,Flamengo RJ,1-0,1-0,São Paulo FC,,2022-09-15T00:45Z
Semifinals,Wed Sep 14 2022,19:30,-0300,Corinthians SP,3-0,1-0,Fluminense RJ,,2022-09-14T22:30Z
Final,Wed Oct 12 2022,21:45,-0300,Corinthians SP,0-0,0-0,Flamengo RJ,,2022-10-13T00:45Z
Final,Wed Oct 19 2022,21:45,-0300,Flamengo RJ,6-5,6-5,Corinthians SP,6-5,2022-10-20T00:45Z
