Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,8,Sat Feb 26 2022,16:30,-0300,Pouso Alegre MG,2-3,0-1,Atlético Mineiro,,2022-02-26T19:30Z
,9,Sat Mar 5 2022,15:00,-0300,Athletic MG,4-0,3-0,U.R.T. MG,,2022-03-05T18:00Z
,9,Sat Mar 5 2022,16:00,-0300,Tombense MG,0-0,0-0,Uberlândia MG,,2022-03-05T19:00Z
,9,Sat Mar 5 2022,16:30,-0300,América MG,0-1,0-0,Villa Nova MG,,2022-03-05T19:30Z
,9,Sun Mar 6 2022,11:00,-0300,Caldense MG,1-0,1-0,Democrata Gov. Valadares MG,,2022-03-06T14:00Z
,9,Sun Mar 6 2022,18:00,-0300,Atlético Mineiro,2-1,0-0,Cruzeiro,,2022-03-06T21:00Z
,9,Sun Mar 6 2022,10:30,-0300,Atlético Patrocinense MG,0-1,0-0,Pouso Alegre MG,,2022-03-06T13:30Z
,10,Sat Mar 12 2022,16:30,-0300,Democrata Gov. Valadares MG,0-1,0-0,Atlético Mineiro,,2022-03-12T19:30Z
,10,Sat Mar 12 2022,19:00,-0300,Uberlândia MG,2-1,1-0,América MG,,2022-03-12T22:00Z
,10,Sat Mar 12 2022,16:00,-0300,Tombense MG,2-0,1-0,U.R.T. MG,,2022-03-12T19:00Z
,10,Sun Mar 13 2022,11:00,-0300,Caldense MG,0-1,0-0,Athletic MG,,2022-03-13T14:00Z
,10,Sun Mar 13 2022,16:00,-0300,Villa Nova MG,2-0,1-0,Atlético Patrocinense MG,,2022-03-13T19:00Z
,10,Sun Mar 13 2022,17:30,-0300,Cruzeiro,5-1,2-1,Pouso Alegre MG,,2022-03-13T20:30Z
,11,Sat Mar 19 2022,16:30,-0300,América MG,1-0,1-0,Tombense MG,,2022-03-19T19:30Z
,11,Sat Mar 19 2022,16:30,-0300,Athletic MG,1-0,0-0,Villa Nova MG,,2022-03-19T19:30Z
,11,Sat Mar 19 2022,16:30,-0300,Atlético Patrocinense MG,2-1,2-1,Cruzeiro,,2022-03-19T19:30Z
,11,Sat Mar 19 2022,16:30,-0300,Pouso Alegre MG,2-0,0-0,Uberlândia MG,,2022-03-19T19:30Z
,11,Sat Mar 19 2022,16:30,-0300,U.R.T. MG,1-2,1-0,Democrata Gov. Valadares MG,,2022-03-19T19:30Z
,11,Sat Mar 19 2022,16:30,-0300,Atlético Mineiro,3-0,1-0,Caldense MG,,2022-03-19T19:30Z
Fase final,Semifinals,Tue Mar 22 2022,20:30,-0300,Cruzeiro,2-0,1-0,Athletic MG,,2022-03-22T23:30Z
Fase final,Semifinals,Wed Mar 23 2022,16:30,-0300,Caldense MG,0-2,0-2,Atlético Mineiro,,2022-03-23T19:30Z
Troféu Inconfidência,Semifinals,Wed Mar 23 2022,20:30,-0300,Democrata Gov. Valadares MG,1-2,1-2,Villa Nova MG,,2022-03-23T23:30Z
Troféu Inconfidência,Semifinals,Wed Mar 23 2022,20:30,-0300,Tombense MG,3-1,3-1,América MG,,2022-03-23T23:30Z
Troféu Inconfidência,Semifinals,Sat Mar 26 2022,11:00,-0300,América MG,1-1,0-0,Tombense MG,,2022-03-26T14:00Z
Fase final,Semifinals,Sat Mar 26 2022,16:30,-0300,Athletic MG,1-2,1-2,Cruzeiro,,2022-03-26T19:30Z
Troféu Inconfidência,Semifinals,Sun Mar 27 2022,16:00,-0300,Villa Nova MG,1-3,0-0,Democrata Gov. Valadares MG,,2022-03-27T19:00Z
Fase final,Semifinals,Sun Mar 27 2022,18:00,-0300,Atlético Mineiro,3-0,2-0,Caldense MG,,2022-03-27T21:00Z
Fase final,Troféu do Interior,Wed Mar 30 2022,20:00,-0300,Caldense MG,1-1,1-0,Athletic MG,,2022-03-30T23:00Z
Fase final,Final,Sat Apr 2 2022,16:30,-0300,Atlético Mineiro,3-1,1-0,Cruzeiro,,2022-04-02T19:30Z
Troféu Inconfidência,Final,Sun Apr 3 2022,18:00,-0300,Democrata Gov. Valadares MG,1-0,1-0,Tombense MG,,2022-04-03T21:00Z
Fase final,Troféu do Interior,Sun Apr 3 2022,11:00,-0300,Athletic MG,0-0,0-0,Caldense MG,5-4,2022-04-03T14:00Z
