Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Gruppe A,Sun May 12 2024,16:00,-0300,Manauara AM,3-1,1-0,Porto Velho EC RO,,,2024-05-12T19:00Z
Gruppe A,Sun May 12 2024,16:00,-0300,Princesa do Solimões AM,3-3,0-1,Manaus AM,,,2024-05-12T19:00Z
Gruppe F,Mon May 13 2024,19:30,-0300,Democrata de Sete Lagoas MG,1-0,1-0,Ipatinga MG,,,2024-05-13T22:30Z
Gruppe E,Sat May 18 2024,15:00,-0300,Iporá GO,2-1,1-1,Capital TO,,,2024-05-18T18:00Z
Gruppe C,Sat May 18 2024,15:00,-0300,Santa Cruz de Natal RN,2-0,1-0,Sousa PB,,,2024-05-18T18:00Z
Gruppe E,Sat May 18 2024,19:00,-0300,União Rondonópolis MT,1-0,1-0,Real Brasilia DF,,,2024-05-18T22:00Z
Gruppe C,Sat May 18 2024,16:00,-0300,Atlético Cearense CE,1-0,1-0,Maracanã CE,,,2024-05-18T19:00Z
Gruppe A,Sat May 18 2024,16:30,-0300,Porto Velho EC RO,2-0,1-0,Manaus AM,,,2024-05-18T19:30Z
Gruppe A,Sat May 18 2024,16:00,-0300,Manauara AM,3-1,2-1,Princesa do Solimões AM,,,2024-05-18T19:00Z
Gruppe D,Sat May 18 2024,16:00,-0300,Sergipe SE,0-1,0-0,Petrolina PE,,,2024-05-18T19:00Z
Gruppe D,Sat May 18 2024,16:00,-0300,Juazeirense BA,0-2,0-1,CSE AL,,,2024-05-18T19:00Z
Gruppe B,Sat May 18 2024,16:00,-0300,Maranhão MA,4-0,2-0,Águia de Marabá PA,,,2024-05-18T19:00Z
Gruppe F,Sat May 18 2024,16:00,-0300,Nova Iguaçu RJ,2-0,1-0,Audax RJ,,,2024-05-18T19:00Z
Gruppe F,Sat May 18 2024,17:00,-0300,Portuguesa RJ,1-1,0-0,Itabuna BA,,,2024-05-18T20:00Z
Gruppe G,Sat May 18 2024,18:00,-0300,São José SP,0-0,0-0,Inter de Limeira SP,,,2024-05-18T21:00Z
Gruppe G,Sat May 18 2024,16:00,-0300,Atlético Patrocinense MG,1-2,0-0,Maringá PR,,,2024-05-18T19:00Z
Gruppe G,Sat May 18 2024,15:00,-0300,Santo André SP,1-1,1-1,Água Santa SP,,,2024-05-18T18:00Z
Gruppe A,Sat May 18 2024,19:00,-0300,Rio Branco AC,1-1,0-0,São Raimundo RR,,,2024-05-18T22:00Z
Gruppe F,Sat May 18 2024,17:00,-0300,Ipatinga MG,2-0,1-0,Real Noroeste ES,,,2024-05-18T20:00Z
Gruppe D,Sat May 18 2024,17:00,-0300,ASA AL,1-0,1-0,Jacuipense BA,,,2024-05-18T20:00Z
Gruppe B,Sun May 19 2024,16:00,-0300,Cametá PA,4-1,2-0,Moto Club MA,,,2024-05-19T19:00Z
Gruppe D,Sun May 19 2024,16:00,-0300,Retrô PE,1-2,0-1,Itabaiana SE,,,2024-05-19T19:00Z
Gruppe G,Sun May 19 2024,16:00,-0300,Costa Rica MS,1-0,0-0,Pouso Alegre MG,,,2024-05-19T19:00Z
Gruppe E,Sun May 19 2024,17:00,-0300,CRAC GO,1-2,0-1,Anápolis FC GO,,,2024-05-19T20:00Z
Gruppe C,Sun May 19 2024,18:00,-0300,América RN,2-0,0-0,Potiguar de Mossoró RN,,,2024-05-19T21:00Z
Gruppe B,Sun May 19 2024,17:00,-0300,Fluminense PI,2-0,1-0,River PI,,,2024-05-19T20:00Z
Gruppe C,Sun May 19 2024,16:00,-0300,Treze PB,3-0,1-0,Iguatu CE,,,2024-05-19T19:00Z
Gruppe B,Sun May 19 2024,16:00,-0300,Tocantinópolis TO,3-1,0-1,Altos PI,,,2024-05-19T19:00Z
Gruppe E,Sun May 19 2024,15:30,-0300,Brasiliense DF,1-1,0-0,Mixto MT,,,2024-05-19T18:30Z
Gruppe H,Sun May 19 2024,17:00,-0300,Concórdia SC,1-0,0-0,Barra SC,,,2024-05-19T20:00Z
Gruppe A,Mon May 20 2024,20:15,-0300,Trem AP,2-1,0-1,Humaitá AC,,,2024-05-20T23:15Z
Gruppe H,Tue May 21 2024,19:00,-0300,Cascavel FC PR,0-0,0-0,Hercílio Luz SC,,,2024-05-21T22:00Z
Gruppe F,Tue May 21 2024,20:00,-0300,Serra ES,1-0,1-0,Democrata de Sete Lagoas MG,,,2024-05-21T23:00Z
Gruppe F,Fri May 24 2024,20:00,-0300,Serra ES,1-0,0-0,Ipatinga MG,,,2024-05-24T23:00Z
Gruppe A,Sat May 25 2024,17:00,-0300,Humaitá AC,0-1,0-0,São Raimundo RR,,,2024-05-25T20:00Z
Gruppe A,Sat May 25 2024,17:00,-0300,Princesa do Solimões AM,0-1,0-0,Porto Velho EC RO,,,2024-05-25T20:00Z
Gruppe G,Sat May 25 2024,18:00,-0300,Água Santa SP,1-1,1-1,São José SP,,,2024-05-25T21:00Z
Gruppe G,Sat May 25 2024,16:00,-0300,Atlético Patrocinense MG,2-2,1-0,Costa Rica MS,,,2024-05-25T19:00Z
Gruppe F,Sat May 25 2024,15:30,-0300,Audax RJ,1-1,1-0,Portuguesa RJ,,,2024-05-25T18:30Z
Gruppe D,Sat May 25 2024,17:00,-0300,CSE AL,1-2,1-1,Jacuipense BA,,,2024-05-25T20:00Z
Gruppe C,Sat May 25 2024,16:00,-0300,Atlético Cearense CE,0-2,0-1,Treze PB,,,2024-05-25T19:00Z
Gruppe G,Sat May 25 2024,16:00,-0300,Inter de Limeira SP,3-0,1-0,Santo André SP,,,2024-05-25T19:00Z
Gruppe E,Sat May 25 2024,16:00,-0300,Anápolis FC GO,4-0,0-0,Iporá GO,,,2024-05-25T19:00Z
Gruppe E,Sat May 25 2024,18:00,-0300,Mixto MT,2-1,2-0,Real Brasilia DF,,,2024-05-25T21:00Z
Gruppe D,Sat May 25 2024,16:00,-0300,Petrolina PE,3-1,2-1,Retrô PE,,,2024-05-25T19:00Z
Gruppe B,Sat May 25 2024,16:00,-0300,Altos PI,3-0,2-0,Fluminense PI,,,2024-05-25T19:00Z
Gruppe D,Sat May 25 2024,16:00,-0300,Juazeirense BA,1-1,0-0,ASA AL,,,2024-05-25T19:00Z
Gruppe F,Sat May 25 2024,16:00,-0300,Itabuna BA,0-0,0-0,Nova Iguaçu RJ,,,2024-05-25T19:00Z
Gruppe C,Sun May 26 2024,15:30,-0300,Maracanã CE,2-2,1-1,Iguatu CE,,,2024-05-26T18:30Z
Gruppe C,Sun May 26 2024,15:30,-0300,Potiguar de Mossoró RN,1-2,1-1,Santa Cruz de Natal RN,,,2024-05-26T18:30Z
Gruppe B,Sun May 26 2024,16:00,-0300,River PI,5-0,2-0,Tocantinópolis TO,,,2024-05-26T19:00Z
Gruppe B,Sun May 26 2024,16:00,-0300,Cametá PA,0-2,0-2,Maranhão MA,,,2024-05-26T19:00Z
Gruppe B,Sun May 26 2024,18:00,-0300,Moto Club MA,1-1,1-1,Águia de Marabá PA,,,2024-05-26T21:00Z
Gruppe D,Sun May 26 2024,16:00,-0300,Itabaiana SE,0-0,0-0,Sergipe SE,,,2024-05-26T19:00Z
Gruppe E,Sun May 26 2024,16:00,-0300,Capital TO,0-1,0-0,CRAC GO,,,2024-05-26T19:00Z
Gruppe G,Sun May 26 2024,19:30,-0300,Maringá PR,1-0,0-0,Pouso Alegre MG,,,2024-05-26T22:30Z
Gruppe A,Sun May 26 2024,16:30,-0300,Manaus AM,0-4,0-2,Manauara AM,,,2024-05-26T19:30Z
Gruppe H,Sun May 26 2024,16:00,-0300,Barra SC,2-2,0-2,Hercílio Luz SC,,,2024-05-26T19:00Z
Gruppe H,Sun May 26 2024,17:00,-0300,Concórdia SC,1-0,0-0,Cascavel FC PR,,,2024-05-26T20:00Z
Gruppe E,Sun May 26 2024,15:30,-0300,Brasiliense DF,2-1,1-0,União Rondonópolis MT,,,2024-05-26T18:30Z
Gruppe C,Sun May 26 2024,16:00,-0300,Sousa PB,0-0,0-0,América RN,,,2024-05-26T19:00Z
Gruppe A,Mon May 27 2024,20:15,-0300,Trem AP,3-1,1-1,Rio Branco AC,,,2024-05-27T23:15Z
Gruppe F,Tue May 28 2024,19:30,-0300,Democrata de Sete Lagoas MG,1-1,0-1,Real Noroeste ES,,,2024-05-28T22:30Z
Gruppe C,Fri May 31 2024,19:00,-0300,Iguatu CE,2-0,0-0,Potiguar de Mossoró RN,,,2024-05-31T22:00Z
Gruppe A,Sat Jun 1 2024,17:00,-0300,Princesa do Solimões AM,4-1,2-1,Trem AP,,,2024-06-01T20:00Z
Gruppe A,Sat Jun 1 2024,16:00,-0300,Manauara AM,4-0,1-0,Humaitá AC,,,2024-06-01T19:00Z
Gruppe D,Sat Jun 1 2024,17:00,-0300,ASA AL,0-0,0-0,Retrô PE,,,2024-06-01T20:00Z
Gruppe A,Sat Jun 1 2024,17:30,-0300,São Raimundo RR,1-2,0-2,Manaus AM,,,2024-06-01T20:30Z
Gruppe D,Sat Jun 1 2024,15:00,-0300,Jacuipense BA,1-0,0-0,Itabaiana SE,,,2024-06-01T18:00Z
Gruppe B,Sat Jun 1 2024,17:00,-0300,River PI,1-0,0-0,Cametá PA,,,2024-06-01T20:00Z
Gruppe F,Sat Jun 1 2024,17:00,-0300,Ipatinga MG,1-1,1-0,Nova Iguaçu RJ,,,2024-06-01T20:00Z
Gruppe A,Sat Jun 1 2024,19:00,-0300,Rio Branco AC,2-1,1-1,Porto Velho EC RO,,,2024-06-01T22:00Z
Gruppe D,Sat Jun 1 2024,16:00,-0300,Petrolina PE,0-0,0-0,Juazeirense BA,,,2024-06-01T19:00Z
Gruppe H,Sat Jun 1 2024,15:30,-0300,Avenida RS,1-1,1-0,Barra SC,,,2024-06-01T18:30Z
Gruppe C,Sat Jun 1 2024,15:00,-0300,Santa Cruz de Natal RN,1-0,0-0,Maracanã CE,,,2024-06-01T18:00Z
Gruppe C,Sat Jun 1 2024,16:00,-0300,Treze PB,1-1,0-0,América RN,,,2024-06-01T19:00Z
Gruppe G,Sat Jun 1 2024,18:00,-0300,São José SP,1-1,0-0,Maringá PR,,,2024-06-01T21:00Z
Gruppe G,Sat Jun 1 2024,16:00,-0300,Inter de Limeira SP,3-0,3-0,Atlético Patrocinense MG,,,2024-06-01T19:00Z
Gruppe E,Sat Jun 1 2024,16:00,-0300,Capital TO,1-4,0-1,Brasiliense DF,,,2024-06-01T19:00Z
Gruppe E,Sat Jun 1 2024,16:30,-0300,União Rondonópolis MT,0-0,0-0,CRAC GO,,,2024-06-01T19:30Z
Gruppe H,Sat Jun 1 2024,17:30,-0300,Hercílio Luz SC,1-1,1-0,Brasil de Pelotas RS,,,2024-06-01T20:30Z
Gruppe H,Sat Jun 1 2024,18:00,-0300,Cianorte PR,1-1,1-0,Concórdia SC,,,2024-06-01T21:00Z
Gruppe B,Sat Jun 1 2024,19:00,-0300,Águia de Marabá PA,3-3,1-1,Altos PI,,,2024-06-01T22:00Z
Gruppe B,Sun Jun 2 2024,17:00,-0300,Fluminense PI,2-2,2-1,Moto Club MA,,,2024-06-02T20:00Z
Gruppe D,Sun Jun 2 2024,16:00,-0300,Sergipe SE,2-0,1-0,CSE AL,,,2024-06-02T19:00Z
Gruppe G,Sun Jun 2 2024,16:00,-0300,Costa Rica MS,2-5,0-4,Santo André SP,,,2024-06-02T19:00Z
Gruppe B,Sun Jun 2 2024,16:00,-0300,Maranhão MA,0-1,0-1,Tocantinópolis TO,,,2024-06-02T19:00Z
Gruppe H,Sun Jun 2 2024,16:00,-0300,Cascavel FC PR,0-0,0-0,Novo Hamburgo RS,,,2024-06-02T19:00Z
Gruppe F,Sun Jun 2 2024,16:00,-0300,Itabuna BA,3-1,1-1,Serra ES,,,2024-06-02T19:00Z
Gruppe E,Sun Jun 2 2024,15:00,-0300,Iporá GO,2-1,1-0,Mixto MT,,,2024-06-02T18:00Z
Gruppe E,Sun Jun 2 2024,15:00,-0300,Real Brasilia DF,0-1,0-0,Anápolis FC GO,,,2024-06-02T18:00Z
Gruppe F,Sun Jun 2 2024,15:30,-0300,Real Noroeste ES,3-1,2-0,Audax RJ,,,2024-06-02T18:30Z
Gruppe C,Sun Jun 2 2024,16:00,-0300,Sousa PB,2-3,1-2,Atlético Cearense CE,,,2024-06-02T19:00Z
Gruppe G,Sun Jun 2 2024,16:00,-0300,Pouso Alegre MG,0-0,0-0,Água Santa SP,,,2024-06-02T19:00Z
Gruppe F,Tue Jun 4 2024,20:00,-0300,Portuguesa RJ,3-0,2-0,Democrata de Sete Lagoas MG,,,2024-06-04T23:00Z
Gruppe H,Wed Jun 5 2024,20:00,-0300,Brasil de Pelotas RS,1-0,0-0,Barra SC,,,2024-06-05T23:00Z
Gruppe G,Sat Jun 8 2024,15:00,-0300,Santo André SP,0-0,0-0,Pouso Alegre MG,,,2024-06-08T18:00Z
Gruppe E,Sat Jun 8 2024,18:00,-0300,CRAC GO,0-0,0-0,Real Brasilia DF,,,2024-06-08T21:00Z
Gruppe C,Sat Jun 8 2024,16:00,-0300,Atlético Cearense CE,2-0,1-0,Santa Cruz de Natal RN,,,2024-06-08T19:00Z
Gruppe E,Sat Jun 8 2024,17:00,-0300,Anápolis FC GO,1-1,1-0,União Rondonópolis MT,,,2024-06-08T20:00Z
Gruppe C,Sat Jun 8 2024,16:00,-0300,América RN,1-0,0-0,Iguatu CE,,,2024-06-08T19:00Z
Gruppe H,Sat Jun 8 2024,16:00,-0300,Novo Hamburgo RS,1-1,1-0,Hercílio Luz SC,,,2024-06-08T19:00Z
Gruppe F,Sat Jun 8 2024,15:00,-0300,Nova Iguaçu RJ,1-0,1-0,Real Noroeste ES,,,2024-06-08T18:00Z
Gruppe H,Sat Jun 8 2024,16:00,-0300,Concórdia SC,1-2,1-1,Avenida RS,,,2024-06-08T19:00Z
Gruppe D,Sat Jun 8 2024,16:00,-0300,Juazeirense BA,1-0,0-0,Sergipe SE,,,2024-06-08T19:00Z
Gruppe D,Sat Jun 8 2024,17:00,-0300,CSE AL,2-0,2-0,Petrolina PE,,,2024-06-08T20:00Z
Gruppe F,Sat Jun 8 2024,15:30,-0300,Audax RJ,0-0,0-0,Ipatinga MG,,,2024-06-08T18:30Z
Gruppe B,Sat Jun 8 2024,16:00,-0300,Altos PI,1-1,0-0,Maranhão MA,,,2024-06-08T19:00Z
Gruppe F,Sat Jun 8 2024,16:00,-0300,Serra ES,1-2,1-1,Portuguesa RJ,,,2024-06-08T19:00Z
Gruppe G,Sat Jun 8 2024,16:00,-0300,Atlético Patrocinense MG,2-1,2-1,São José SP,,,2024-06-08T19:00Z
Gruppe G,Sat Jun 8 2024,18:00,-0300,Água Santa SP,0-2,0-1,Costa Rica MS,,,2024-06-08T21:00Z
Gruppe A,Sat Jun 8 2024,15:30,-0300,Trem AP,1-1,0-0,Manauara AM,,,2024-06-08T18:30Z
Gruppe E,Sat Jun 8 2024,18:00,-0300,Mixto MT,3-0,1-0,Capital TO,,,2024-06-08T21:00Z
Gruppe A,Sat Jun 8 2024,16:30,-0300,Porto Velho EC RO,5-1,2-1,São Raimundo RR,,,2024-06-08T19:30Z
Gruppe A,Sat Jun 8 2024,17:00,-0300,Humaitá AC,0-3,0-1,Princesa do Solimões AM,,,2024-06-08T20:00Z
Gruppe A,Sun Jun 9 2024,16:30,-0300,Manaus AM,2-0,1-0,Rio Branco AC,,,2024-06-09T19:30Z
Gruppe B,Sun Jun 9 2024,16:00,-0300,Cametá PA,1-0,1-0,Fluminense PI,,,2024-06-09T19:00Z
Gruppe B,Sun Jun 9 2024,16:00,-0300,Tocantinópolis TO,3-0,2-0,Águia de Marabá PA,,,2024-06-09T19:00Z
Gruppe B,Sun Jun 9 2024,16:00,-0300,Moto Club MA,1-1,1-1,River PI,,,2024-06-09T19:00Z
Gruppe G,Sun Jun 9 2024,18:30,-0300,Maringá PR,1-0,0-0,Inter de Limeira SP,,,2024-06-09T21:30Z
Gruppe F,Sun Jun 9 2024,19:30,-0300,Democrata de Sete Lagoas MG,0-2,0-1,Itabuna BA,,,2024-06-09T22:30Z
Gruppe C,Sun Jun 9 2024,15:30,-0300,Potiguar de Mossoró RN,0-3,0-1,Treze PB,,,2024-06-09T18:30Z
