Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,Comments,UTC
Apertura,6,Tue Feb 13 2024,18:10,-05/-0500,Águilas Doradas,1-1,0-1,La Equidad,,,2024-02-13T23:10Z
Apertura,6,Tue Feb 13 2024,20:20,-05/-0500,Santa Fe,1-0,0-0,Deportivo Cali,,,2024-02-14T01:20Z
Apertura,6,Wed Feb 14 2024,20:20,-05/-0500,Boyacá Chicó,3-0,1-0,Independiente Medellín,,,2024-02-15T01:20Z
Apertura,6,Wed Feb 14 2024,18:10,-05/-0500,Once Caldas,1-0,1-0,Patriotas FC,,,2024-02-14T23:10Z
Apertura,6,Thu Feb 15 2024,20:20,-05/-0500,América de Cali,0-0,0-0,Atlético Bucaramanga,,,2024-02-16T01:20Z
Apertura,6,Thu Feb 15 2024,18:10,-05/-0500,Deportes Tolima,2-0,0-0,Jaguares de Córdoba,,,2024-02-15T23:10Z
Apertura,7,Fri Feb 16 2024,18:10,-05/-0500,Millonarios,0-1,0-0,Águilas Doradas,,,2024-02-16T23:10Z
Apertura,7,Fri Feb 16 2024,20:20,-05/-0500,Deportivo Cali,3-2,2-1,Atlético Nacional,,,2024-02-17T01:20Z
Apertura,7,Sat Feb 17 2024,20:15,-05/-0500,Deportivo Pereira,1-0,0-0,Santa Fe,,,2024-02-18T01:15Z
Apertura,7,Sat Feb 17 2024,18:05,-05/-0500,Independiente Medellín,2-2,0-2,Fortaleza FC,,,2024-02-17T23:05Z
Apertura,7,Sun Feb 18 2024,14:00,-05/-0500,La Equidad,1-0,0-0,Patriotas FC,,,2024-02-18T19:00Z
Apertura,7,Sun Feb 18 2024,16:00,-05/-0500,Envigado FC,1-1,0-1,América de Cali,,,2024-02-18T21:00Z
Apertura,7,Sun Feb 18 2024,18:10,-05/-0500,Jaguares de Córdoba,3-0,1-0,Once Caldas,,,2024-02-18T23:10Z
Apertura,7,Sun Feb 18 2024,20:20,-05/-0500,Atlético Junior,0-1,0-1,Deportes Tolima,,,2024-02-19T01:20Z
Apertura,7,Mon Feb 19 2024,20:20,-05/-0500,Atlético Bucaramanga,1-0,0-0,Deportivo Pasto,,,2024-02-20T01:20Z
Apertura,7,Mon Feb 19 2024,16:00,-05/-0500,Boyacá Chicó,1-0,0-0,Alianza FC,,,2024-02-19T21:00Z
Apertura,8,Wed Feb 21 2024,19:45,-05/-0500,Santa Fe,3-0,2-0,Atlético Junior,,,2024-02-22T00:45Z
Apertura,8,Thu Feb 22 2024,16:00,-05/-0500,Deportes Tolima,0-0,0-0,Atlético Bucaramanga,,,2024-02-22T21:00Z
Apertura,8,Thu Feb 22 2024,18:10,-05/-0500,América de Cali,0-1,0-1,La Equidad,,,2024-02-22T23:10Z
Apertura,8,Thu Feb 22 2024,20:20,-05/-0500,Once Caldas,1-2,0-2,Deportivo Pereira,,,2024-02-23T01:20Z
Apertura,8,Fri Feb 23 2024,18:10,-05/-0500,Águilas Doradas,2-0,1-0,Envigado FC,,,2024-02-23T23:10Z
Apertura,8,Fri Feb 23 2024,20:20,-05/-0500,Deportivo Pasto,0-1,0-1,Deportivo Cali,,,2024-02-24T01:20Z
Apertura,8,Fri Feb 23 2024,16:00,-05/-0500,Fortaleza FC,1-1,1-1,Boyacá Chicó,,,2024-02-23T21:00Z
Apertura,8,Sat Feb 24 2024,18:10,-05/-0500,Alianza FC,2-0,2-0,Independiente Medellín,,,2024-02-24T23:10Z
Apertura,8,Sat Feb 24 2024,20:20,-05/-0500,Patriotas FC,1-0,0-0,Millonarios,,,2024-02-25T01:20Z
Apertura,9,Sun Feb 25 2024,16:30,-05/-0500,Jaguares de Córdoba,1-1,0-0,América de Cali,,,2024-02-25T21:30Z
Apertura,9,Sun Feb 25 2024,18:30,-05/-0500,La Equidad,2-0,1-0,Atlético Nacional,,,2024-02-25T23:30Z
Apertura,9,Sun Feb 25 2024,20:30,-05/-0500,Deportivo Pereira,3-3,0-2,Atlético Junior,,,2024-02-26T01:30Z
Apertura,9,Mon Feb 26 2024,20:20,-05/-0500,Deportivo Cali,1-2,0-0,Deportes Tolima,,,2024-02-27T01:20Z
Apertura,9,Mon Feb 26 2024,18:10,-05/-0500,Boyacá Chicó,1-2,0-1,Santa Fe,,,2024-02-26T23:10Z
Apertura,9,Tue Feb 27 2024,20:15,-05/-0500,Millonarios,0-2,0-1,Once Caldas,,,2024-02-28T01:15Z
Apertura,9,Tue Feb 27 2024,16:00,-05/-0500,Envigado FC,1-0,1-0,Patriotas FC,,,2024-02-27T21:00Z
Apertura,9,Wed Feb 28 2024,15:15,-05/-0500,Fortaleza FC,1-2,1-2,Alianza FC,,,2024-02-28T20:15Z
Apertura,9,Thu Feb 29 2024,19:45,-05/-0500,Independiente Medellín,1-0,0-0,Deportivo Pasto,,,2024-03-01T00:45Z
Apertura,10,Fri Mar 1 2024,20:20,-05/-0500,Deportivo Cali,0-1,0-0,Once Caldas,,,2024-03-02T01:20Z
