Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,9,Sun Feb 18 2024,20:00,-0300,Novo Hamburgo RS,1-3,1-2,Internacional,,2024-02-18T23:00Z
,9,Sun Feb 18 2024,16:00,-0300,Brasil de Pelotas RS,0-0,0-0,São José RS,,2024-02-18T19:00Z
,9,Mon Feb 19 2024,20:00,-0300,Juventude RS,1-1,0-1,S.E.R. Caxias RS,,2024-02-19T23:00Z
,9,Mon Feb 19 2024,20:00,-0300,Avenida RS,0-1,0-0,Guarany de Bage RS,,2024-02-19T23:00Z
,10,Sat Feb 24 2024,16:30,-0300,S.E.R. Caxias RS,2-0,1-0,Avenida RS,,2024-02-24T19:30Z
,10,Sat Feb 24 2024,19:00,-0300,Guarany de Bage RS,1-0,0-0,São Luiz RS,,2024-02-24T22:00Z
,10,Sat Feb 24 2024,16:30,-0300,Brasil de Pelotas RS,1-0,0-0,Juventude RS,,2024-02-24T19:30Z
,10,Sun Feb 25 2024,18:00,-0300,Internacional,3-2,1-1,Grêmio Porto Alegre,,2024-02-25T21:00Z
,10,Mon Feb 26 2024,20:00,-0300,Santa Cruz RS,1-1,0-1,Ypiranga RS,,2024-02-26T23:00Z
,10,Mon Feb 26 2024,20:00,-0300,São José RS,3-0,1-0,Novo Hamburgo RS,,2024-02-26T23:00Z
,11,Sat Mar 2 2024,16:30,-0300,Avenida RS,0-0,0-0,São José RS,,2024-03-02T19:30Z
,11,Sat Mar 2 2024,16:30,-0300,Grêmio Porto Alegre,4-1,1-1,Guarany de Bage RS,,2024-03-02T19:30Z
,11,Sat Mar 2 2024,16:30,-0300,Juventude RS,1-2,0-1,Internacional,,2024-03-02T19:30Z
,11,Sat Mar 2 2024,16:30,-0300,Novo Hamburgo RS,0-1,0-0,S.E.R. Caxias RS,,2024-03-02T19:30Z
,11,Sat Mar 2 2024,16:30,-0300,São Luiz RS,1-0,1-0,Santa Cruz RS,,2024-03-02T19:30Z
,11,Sat Mar 2 2024,16:30,-0300,Ypiranga RS,0-0,0-0,Brasil de Pelotas RS,,2024-03-02T19:30Z
Playoffs,Quarterfinals,Fri Mar 8 2024,19:00,-0300,S.E.R. Caxias RS,1-0,1-0,São José RS,,2024-03-08T22:00Z
Playoffs,Quarterfinals,Sat Mar 9 2024,16:30,-0300,Internacional,3-0,2-0,São Luiz RS,,2024-03-09T19:30Z
Playoffs,Quarterfinals,Sat Mar 9 2024,19:30,-0300,Guarany de Bage RS,0-4,0-0,Juventude RS,,2024-03-09T22:30Z
Playoffs,Quarterfinals,Sun Mar 10 2024,18:30,-0300,Grêmio Porto Alegre,2-0,1-0,Brasil de Pelotas RS,,2024-03-10T21:30Z
Playoffs,Semifinals,Sat Mar 16 2024,16:30,-0300,S.E.R. Caxias RS,1-2,0-1,Grêmio Porto Alegre,,2024-03-16T19:30Z
Playoffs,Semifinals,Sun Mar 17 2024,16:00,-0300,Juventude RS,0-0,0-0,Internacional,,2024-03-17T19:00Z
Playoffs,Semifinals,Mon Mar 25 2024,21:45,-0300,Internacional,1-1,0-1,Juventude RS,5-6,2024-03-26T00:45Z
Playoffs,Semifinals,Tue Mar 26 2024,21:00,-0300,Grêmio Porto Alegre,3-2,3-0,S.E.R. Caxias RS,,2024-03-27T00:00Z
Playoffs,Final,Sat Mar 30 2024,16:30,-0300,Juventude RS,0-0,0-0,Grêmio Porto Alegre,,2024-03-30T19:30Z
Playoffs,Final,Sat Apr 6 2024,16:30,-0300,Grêmio Porto Alegre,3-1,2-1,Juventude RS,,2024-04-06T19:30Z
