Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,Comments,UTC
,6,Sun Nov 1 2020,21:00,CET/+0100,Frosinone Calcio,1-0,1-0,US Cremonese,,,2020-11-01T20:00Z
,6,Sun Nov 1 2020,14:00,CET/+0100,Venezia FC,2-0,1-0,Empoli FC,,,2020-11-01T13:00Z
,6,Mon Nov 2 2020,21:00,CET/+0100,US Lecce,3-1,1-0,Delfino Pescara,,,2020-11-02T20:00Z
,7,Fri Nov 6 2020,21:00,CET/+0100,SPAL 2013 Ferrara,2-0,2-0,US Salernitana 1919,,,2020-11-06T20:00Z
,7,Sat Nov 7 2020,14:00,CET/+0100,AC Monza,2-0,0-0,Frosinone Calcio,,,2020-11-07T13:00Z
,7,Sat Nov 7 2020,14:00,CET/+0100,Pordenone Calcio,1-1,0-0,Chievo Verona,,,2020-11-07T13:00Z
,7,Sat Nov 7 2020,14:00,CET/+0100,Cosenza Calcio,1-2,0-1,Brescia Calcio,,,2020-11-07T13:00Z
,7,Sat Nov 7 2020,19:00,CET/+0100,US Cremonese,0-1,0-0,L.R. Vicenza Virtus,,,2020-11-07T18:00Z
,7,Sat Nov 7 2020,16:00,CET/+0100,Empoli FC,3-0,0-0,Reggina 1914,,,2020-11-07T15:00Z
,7,Sun Nov 8 2020,17:00,CET/+0100,AC Reggiana 1919,2-1,1-1,Venezia FC,,,2020-11-08T16:00Z
,7,Sun Nov 8 2020,15:00,CET/+0100,Delfino Pescara,3-1,3-0,AS Cittadella,,,2020-11-08T14:00Z
,7,Sun Nov 8 2020,21:00,CET/+0100,Virtus Entella,1-5,0-1,US Lecce,,,2020-11-08T20:00Z
,5,Sat Nov 14 2020,15:00,CET/+0100,Virtus Entella,0-2,0-0,Venezia FC,,,2020-11-14T14:00Z
,8,Fri Nov 20 2020,21:00,CET/+0100,Frosinone Calcio,0-2,0-0,Cosenza Calcio,,,2020-11-20T20:00Z
,8,Sat Nov 21 2020,14:00,CET/+0100,Pordenone Calcio,1-1,1-0,AC Monza,,,2020-11-21T13:00Z
,8,Sat Nov 21 2020,14:00,CET/+0100,Brescia Calcio,2-2,1-1,Venezia FC,,,2020-11-21T13:00Z
,8,Sat Nov 21 2020,14:00,CET/+0100,SPAL 2013 Ferrara,2-0,1-0,Delfino Pescara,,,2020-11-21T13:00Z
,8,Sat Nov 21 2020,14:00,CET/+0100,US Lecce,7-1,3-0,AC Reggiana 1919,,,2020-11-21T13:00Z
,8,Sat Nov 21 2020,14:00,CET/+0100,AS Cittadella,2-2,1-0,Empoli FC,,,2020-11-21T13:00Z
,8,Sun Nov 22 2020,21:00,CET/+0100,Reggina 1914,1-2,1-0,AC Pisa,,,2020-11-22T20:00Z
,8,Sun Nov 22 2020,15:00,CET/+0100,Ascoli Calcio,1-1,0-0,Virtus Entella,,,2020-11-22T14:00Z
,8,Mon Nov 23 2020,21:00,CET/+0100,US Salernitana 1919,2-1,1-1,US Cremonese,,,2020-11-23T20:00Z
,9,Fri Nov 27 2020,21:00,CET/+0100,Chievo Verona,1-2,1-1,US Lecce,,,2020-11-27T20:00Z
,9,Sat Nov 28 2020,14:00,CET/+0100,Empoli FC,2-2,0-1,L.R. Vicenza Virtus,,,2020-11-28T13:00Z
,9,Sat Nov 28 2020,14:00,CET/+0100,Delfino Pescara,0-2,0-1,Pordenone Calcio,,,2020-11-28T13:00Z
,9,Sat Nov 28 2020,16:00,CET/+0100,AC Monza,1-0,0-0,Reggina 1914,,,2020-11-28T15:00Z
,9,Sat Nov 28 2020,14:00,CET/+0100,Brescia Calcio,1-2,1-1,Frosinone Calcio,,,2020-11-28T13:00Z
,9,Sat Nov 28 2020,14:00,CET/+0100,Venezia FC,2-1,0-1,Ascoli Calcio,,,2020-11-28T13:00Z
,9,Sat Nov 28 2020,14:00,CET/+0100,AC Pisa,1-4,0-2,AS Cittadella,,,2020-11-28T13:00Z
,9,Sun Nov 29 2020,21:00,CET/+0100,Cosenza Calcio,0-1,0-0,US Salernitana 1919,,,2020-11-29T20:00Z
,9,Sun Nov 29 2020,15:00,CET/+0100,AC Reggiana 1919,1-1,1-0,US Cremonese,,,2020-11-29T14:00Z
,9,Mon Nov 30 2020,21:00,CET/+0100,Virtus Entella,0-1,0-0,SPAL 2013 Ferrara,,,2020-11-30T20:00Z
,3,Wed Dec 2 2020,18:00,CET/+0100,AC Monza,1-1,1-0,L.R. Vicenza Virtus,,,2020-12-02T17:00Z
,10,Fri Dec 4 2020,21:00,CET/+0100,Ascoli Calcio,0-2,0-2,Delfino Pescara,,,2020-12-04T20:00Z
,10,Sat Dec 5 2020,14:00,CET/+0100,US Salernitana 1919,1-0,0-0,AS Cittadella,,,2020-12-05T13:00Z
,10,Sat Dec 5 2020,15:30,CET/+0100,Reggina 1914,2-1,0-0,Brescia Calcio,,,2020-12-05T14:30Z
,10,Sat Dec 5 2020,14:00,CET/+0100,US Lecce,2-2,1-2,Venezia FC,,,2020-12-05T13:00Z
,10,Sat Dec 5 2020,14:00,CET/+0100,US Cremonese,2-1,2-0,Virtus Entella,,,2020-12-05T13:00Z
,10,Sat Dec 5 2020,14:00,CET/+0100,Frosinone Calcio,3-2,1-2,Chievo Verona,,,2020-12-05T13:00Z
,10,Sat Dec 5 2020,14:00,CET/+0100,SPAL 2013 Ferrara,4-0,2-0,AC Pisa,,,2020-12-05T13:00Z
,10,Sun Dec 6 2020,15:00,CET/+0100,AC Reggiana 1919,3-0,0-0,AC Monza,,,2020-12-06T14:00Z
,10,Sun Dec 6 2020,21:00,CET/+0100,L.R. Vicenza Virtus,1-1,0-0,Cosenza Calcio,,,2020-12-06T20:00Z
,10,Mon Dec 7 2020,21:00,CET/+0100,Pordenone Calcio,0-0,0-0,Empoli FC,,,2020-12-07T20:00Z
,5,Tue Dec 8 2020,15:00,CET/+0100,US Cremonese,2-2,1-1,Brescia Calcio,,,2020-12-08T14:00Z
,7,Tue Dec 8 2020,17:00,CET/+0100,AC Pisa,2-1,0-0,Ascoli Calcio,,,2020-12-08T16:00Z
,11,Fri Dec 11 2020,19:00,CET/+0100,Venezia FC,0-2,0-0,AC Monza,,,2020-12-11T18:00Z
,11,Fri Dec 11 2020,21:00,CET/+0100,Chievo Verona,3-0,1-0,Reggina 1914,,,2020-12-11T20:00Z
,11,Sat Dec 12 2020,18:00,CET/+0100,AS Cittadella,2-0,0-0,SPAL 2013 Ferrara,,,2020-12-12T17:00Z
,11,Sat Dec 12 2020,14:00,CET/+0100,AC Pisa,1-0,0-0,Pordenone Calcio,,,2020-12-12T13:00Z
,11,Sat Dec 12 2020,14:00,CET/+0100,Virtus Entella,2-5,1-0,Empoli FC,,,2020-12-12T13:00Z
,11,Sat Dec 12 2020,14:00,CET/+0100,Brescia Calcio,3-1,2-1,US Salernitana 1919,,,2020-12-12T13:00Z
,11,Sat Dec 12 2020,14:00,CET/+0100,Cosenza Calcio,0-1,0-0,AC Reggiana 1919,,,2020-12-12T13:00Z
,11,Sat Dec 12 2020,14:00,CET/+0100,US Cremonese,3-3,2-2,Ascoli Calcio,,,2020-12-12T13:00Z
,11,Sat Dec 12 2020,14:00,CET/+0100,US Lecce,2-2,1-1,Frosinone Calcio,,,2020-12-12T13:00Z
,11,Sat Dec 12 2020,16:00,CET/+0100,Delfino Pescara,2-3,1-2,L.R. Vicenza Virtus,,,2020-12-12T15:00Z
,12,Mon Dec 14 2020,21:00,CET/+0100,Reggina 1914,1-2,1-0,Venezia FC,,,2020-12-14T20:00Z
,12,Tue Dec 15 2020,21:00,CET/+0100,Pordenone Calcio,1-1,1-0,Brescia Calcio,,,2020-12-15T20:00Z
,12,Tue Dec 15 2020,21:00,CET/+0100,US Salernitana 1919,1-1,1-0,US Lecce,,,2020-12-15T20:00Z
,12,Tue Dec 15 2020,18:30,CET/+0100,AC Reggiana 1919,1-2,0-0,Frosinone Calcio,,,2020-12-15T17:30Z
,12,Tue Dec 15 2020,21:00,CET/+0100,AC Pisa,0-0,0-0,Delfino Pescara,,,2020-12-15T20:00Z
,12,Tue Dec 15 2020,21:00,CET/+0100,AS Cittadella,3-0,0-0,L.R. Vicenza Virtus,,,2020-12-15T20:00Z
,12,Tue Dec 15 2020,21:00,CET/+0100,Ascoli Calcio,0-3,0-1,Cosenza Calcio,,,2020-12-15T20:00Z
,12,Tue Dec 15 2020,21:00,CET/+0100,Empoli FC,1-0,1-0,US Cremonese,,,2020-12-15T20:00Z
,12,Tue Dec 15 2020,21:00,CET/+0100,AC Monza,5-0,2-0,Virtus Entella,,,2020-12-15T20:00Z
,12,Tue Dec 15 2020,21:00,CET/+0100,SPAL 2013 Ferrara,0-0,0-0,Chievo Verona,,,2020-12-15T20:00Z
,13,Fri Dec 18 2020,19:00,CET/+0100,Virtus Entella,0-1,0-1,Pordenone Calcio,,,2020-12-18T18:00Z
,13,Fri Dec 18 2020,21:00,CET/+0100,Frosinone Calcio,0-0,0-0,US Salernitana 1919,,,2020-12-18T20:00Z
,13,Sat Dec 19 2020,21:30,CET/+0100,Reggina 1914,1-3,1-1,AS Cittadella,,,2020-12-19T20:30Z
,13,Sat Dec 19 2020,14:00,CET/+0100,L.R. Vicenza Virtus,2-1,1-0,Ascoli Calcio,,,2020-12-19T13:00Z
,13,Sat Dec 19 2020,14:00,CET/+0100,Brescia Calcio,3-1,2-1,AC Reggiana 1919,,,2020-12-19T13:00Z
,13,Sat Dec 19 2020,14:00,CET/+0100,Chievo Verona,1-1,1-0,Empoli FC,,,2020-12-19T13:00Z
,13,Sat Dec 19 2020,16:00,CET/+0100,Delfino Pescara,3-2,1-1,AC Monza,,,2020-12-19T15:00Z
,13,Sat Dec 19 2020,14:00,CET/+0100,US Cremonese,1-0,1-0,Cosenza Calcio,,,2020-12-19T13:00Z
,13,Sat Dec 19 2020,14:00,CET/+0100,US Lecce,0-3,0-2,AC Pisa,,,2020-12-19T13:00Z
,13,Sat Dec 19 2020,18:00,CET/+0100,Venezia FC,0-0,0-0,SPAL 2013 Ferrara,,,2020-12-19T17:00Z
,14,Mon Dec 21 2020,21:00,CET/+0100,US Salernitana 1919,2-1,0-1,Virtus Entella,,,2020-12-21T20:00Z
,14,Tue Dec 22 2020,19:00,CET/+0100,L.R. Vicenza Virtus,1-1,0-1,Reggina 1914,,,2020-12-22T18:00Z
,14,Tue Dec 22 2020,19:00,CET/+0100,AC Monza,2-0,1-0,Ascoli Calcio,,,2020-12-22T18:00Z
,14,Tue Dec 22 2020,19:00,CET/+0100,AC Pisa,2-2,1-0,Chievo Verona,,,2020-12-22T18:00Z
,14,Tue Dec 22 2020,19:00,CET/+0100,AS Cittadella,1-0,1-0,Frosinone Calcio,,,2020-12-22T18:00Z
,14,Tue Dec 22 2020,19:00,CET/+0100,Cosenza Calcio,0-0,0-0,Venezia FC,,,2020-12-22T18:00Z
,14,Tue Dec 22 2020,19:00,CET/+0100,Delfino Pescara,1-1,0-1,Brescia Calcio,,,2020-12-22T18:00Z
,14,Tue Dec 22 2020,19:00,CET/+0100,SPAL 2013 Ferrara,1-0,0-0,US Lecce,,,2020-12-22T18:00Z
,14,Tue Dec 22 2020,19:00,CET/+0100,Pordenone Calcio,1-2,0-0,US Cremonese,,,2020-12-22T18:00Z
,14,Tue Dec 22 2020,21:00,CET/+0100,Empoli FC,0-0,0-0,AC Reggiana 1919,,,2020-12-22T20:00Z
,15,Sun Dec 27 2020,21:00,CET/+0100,US Cremonese,0-2,0-1,AC Monza,,,2020-12-27T20:00Z
,15,Sun Dec 27 2020,15:00,CET/+0100,Cosenza Calcio,1-1,1-0,AC Pisa,,,2020-12-27T14:00Z
,15,Sun Dec 27 2020,12:30,CET/+0100,AC Reggiana 1919,0-1,0-0,Reggina 1914,,,2020-12-27T11:30Z
,15,Sun Dec 27 2020,15:00,CET/+0100,Ascoli Calcio,2-0,1-0,SPAL 2013 Ferrara,,,2020-12-27T14:00Z
,15,Sun Dec 27 2020,18:00,CET/+0100,Brescia Calcio,1-3,1-2,Empoli FC,,,2020-12-27T17:00Z
,15,Sun Dec 27 2020,15:00,CET/+0100,Venezia FC,1-2,0-2,US Salernitana 1919,,,2020-12-27T14:00Z
,15,Sun Dec 27 2020,15:00,CET/+0100,Frosinone Calcio,1-1,0-0,Pordenone Calcio,,,2020-12-27T14:00Z
,15,Sun Dec 27 2020,15:00,CET/+0100,US Lecce,2-1,0-1,L.R. Vicenza Virtus,,,2020-12-27T14:00Z
,15,Sun Dec 27 2020,15:00,CET/+0100,Virtus Entella,3-0,2-0,Delfino Pescara,,,2020-12-27T14:00Z
,16,Wed Dec 30 2020,15:00,CET/+0100,Reggina 1914,1-0,1-0,US Cremonese,,,2020-12-30T14:00Z
,16,Wed Dec 30 2020,18:00,CET/+0100,SPAL 2013 Ferrara,2-3,1-0,Brescia Calcio,,,2020-12-30T17:00Z
,16,Wed Dec 30 2020,18:00,CET/+0100,L.R. Vicenza Virtus,0-1,0-0,Virtus Entella,,,2020-12-30T17:00Z
,16,Wed Dec 30 2020,15:00,CET/+0100,AS Cittadella,2-2,1-2,US Lecce,,,2020-12-30T14:00Z
,16,Wed Dec 30 2020,15:00,CET/+0100,Delfino Pescara,0-0,0-0,Cosenza Calcio,,,2020-12-30T14:00Z
,16,Wed Dec 30 2020,15:00,CET/+0100,Pordenone Calcio,3-0,2-0,AC Reggiana 1919,,,2020-12-30T14:00Z
,16,Wed Dec 30 2020,21:00,CET/+0100,Chievo Verona,1-1,0-1,Venezia FC,,,2020-12-30T20:00Z
,16,Wed Dec 30 2020,16:00,CET/+0100,AC Monza,3-0,2-0,US Salernitana 1919,,,2020-12-30T15:00Z
,16,Wed Dec 30 2020,18:00,CET/+0100,Empoli FC,1-1,0-1,Ascoli Calcio,,,2020-12-30T17:00Z
,17,Mon Jan 4 2021,21:00,CET/+0100,Brescia Calcio,0-3,0-2,L.R. Vicenza Virtus,,,2021-01-04T20:00Z
,17,Mon Jan 4 2021,16:00,CET/+0100,US Lecce,0-0,0-0,AC Monza,,,2021-01-04T15:00Z
