Stage,Round,Date,Time,Team 1,FT,Team 2
Regular Season,26,Sat Feb 13 2021,,Standard Liège,,Royal Antwerp FC
Regular Season,26,Sat Feb 13 2021,,Sint-Truidense VV,,SV Zulte Waregem
Regular Season,26,Sat Feb 13 2021,,Waasland-Beveren,,AS Eupen
Regular Season,27,Sat Feb 20 2021,,Royal Antwerp FC,,Sint-Truidense VV
Regular Season,27,Sat Feb 20 2021,,Club Brugge KV,,Oud-Heverlee Leuven
Regular Season,27,Sat Feb 20 2021,,AS Eupen,,KV Oostende
Regular Season,27,Sat Feb 20 2021,,KRC Genk,,K Beerschot VA
Regular Season,27,Sat Feb 20 2021,,KV Mechelen,,KAA Gent
Regular Season,27,Sat Feb 20 2021,,Royal Excel Mouscron,,Cercle Brugge
Regular Season,27,Sat Feb 20 2021,,RSC Anderlecht,,KV Kortrijk
Regular Season,27,Sat Feb 20 2021,,SV Zulte Waregem,,Standard Liège
Regular Season,27,Sat Feb 20 2021,,Waasland-Beveren,,Sporting Charleroi
Regular Season,28,Sat Feb 27 2021,,K Beerschot VA,,Royal Excel Mouscron
Regular Season,28,Sat Feb 27 2021,,Cercle Brugge,,Waasland-Beveren
Regular Season,28,Sat Feb 27 2021,,KAA Gent,,Club Brugge KV
Regular Season,28,Sat Feb 27 2021,,KV Kortrijk,,SV Zulte Waregem
Regular Season,28,Sat Feb 27 2021,,KV Oostende,,KV Mechelen
Regular Season,28,Sat Feb 27 2021,,Oud-Heverlee Leuven,,Royal Antwerp FC
Regular Season,28,Sat Feb 27 2021,,Sporting Charleroi,,KRC Genk
Regular Season,28,Sat Feb 27 2021,,Standard Liège,,RSC Anderlecht
Regular Season,28,Sat Feb 27 2021,,Sint-Truidense VV,,AS Eupen
Regular Season,29,Sat Mar 6 2021,,Royal Antwerp FC,,KV Kortrijk
Regular Season,29,Sat Mar 6 2021,,Club Brugge KV,,SV Zulte Waregem
Regular Season,29,Sat Mar 6 2021,,KAA Gent,,KV Oostende
Regular Season,29,Sat Mar 6 2021,,AS Eupen,,Oud-Heverlee Leuven
Regular Season,29,Sat Mar 6 2021,,KRC Genk,,Cercle Brugge
Regular Season,29,Sat Mar 6 2021,,Royal Excel Mouscron,,Standard Liège
Regular Season,29,Sat Mar 6 2021,,RSC Anderlecht,,KV Mechelen
Regular Season,29,Sat Mar 6 2021,,Sporting Charleroi,,Sint-Truidense VV
Regular Season,29,Sat Mar 6 2021,,Waasland-Beveren,,K Beerschot VA
Regular Season,30,Sat Mar 13 2021,,K Beerschot VA,,KAA Gent
Regular Season,30,Sat Mar 13 2021,,Cercle Brugge,,AS Eupen
Regular Season,30,Sat Mar 13 2021,,KV Kortrijk,,KRC Genk
Regular Season,30,Sat Mar 13 2021,,KV Mechelen,,Royal Antwerp FC
Regular Season,30,Sat Mar 13 2021,,KV Oostende,,Sporting Charleroi
Regular Season,30,Sat Mar 13 2021,,Oud-Heverlee Leuven,,RSC Anderlecht
Regular Season,30,Sat Mar 13 2021,,Standard Liège,,Waasland-Beveren
Regular Season,30,Sat Mar 13 2021,,SV Zulte Waregem,,Royal Excel Mouscron
Regular Season,30,Sat Mar 13 2021,,Sint-Truidense VV,,Club Brugge KV
Regular Season,31,Sat Mar 20 2021,,KRC Genk,,Standard Liège
Regular Season,31,Sat Mar 20 2021,,K Beerschot VA,,Sporting Charleroi
Regular Season,31,Sat Mar 20 2021,,Club Brugge KV,,Royal Antwerp FC
Regular Season,31,Sat Mar 20 2021,,KAA Gent,,Cercle Brugge
