Round,Date,Time,Team 1,FT,HT,Team 2,Comments
5,Fri Oct 16 2020,19:00,1. FC Magdeburg,2-0,1-0,Türkgücü München,
5,Sat Oct 17 2020,14:00,Bayern München II,0-0,0-0,1. FC Kaiserslautern,
5,Sat Oct 17 2020,14:00,FC Ingolstadt 04,2-1,1-1,SC Verl,
5,Sat Oct 17 2020,14:00,Hansa Rostock,1-1,0-1,TSV 1860 München,
5,Sat Oct 17 2020,14:00,VfB Lübeck,0-1,0-0,Dynamo Dresden,
5,Sat Oct 17 2020,14:00,SV Wehen Wiesbaden,0-1,0-1,Waldhof Mannheim,
5,Sat Oct 17 2020,14:00,FSV Zwickau,1-2,1-2,KFC Uerdingen 05,
5,Sun Oct 18 2020,13:00,1. FC Saarbrücken,2-1,0-0,SpVgg Unterhaching,
5,Sun Oct 18 2020,15:00,SV Meppen,0-1,0-0,Viktoria Köln,
6,Tue Oct 20 2020,19:00,SC Verl,3-1,1-0,1. FC Magdeburg,
6,Tue Oct 20 2020,19:00,Türkgücü München,4-3,2-1,VfB Lübeck,
6,Tue Oct 20 2020,19:00,Dynamo Dresden,1-2,1-2,FSV Zwickau,
6,Tue Oct 20 2020,19:00,Waldhof Mannheim,1-2,1-1,Hansa Rostock,
6,Tue Oct 20 2020,19:00,KFC Uerdingen 05,0-4,0-3,SV Wehen Wiesbaden,
6,Wed Oct 21 2020,19:00,1. FC Kaiserslautern,1-1,1-0,FC Ingolstadt 04,
6,Wed Oct 21 2020,19:00,Viktoria Köln,3-2,3-1,Bayern München II,
6,Wed Oct 21 2020,19:00,Hallescher FC,4-1,2-1,SV Meppen,
6,Wed Oct 21 2020,19:00,TSV 1860 München,1-2,0-2,1. FC Saarbrücken,
6,Wed Oct 21 2020,19:00,SpVgg Unterhaching,0-1,0-1,MSV Duisburg,
7,Sat Oct 24 2020,14:00,SV Meppen,3-2,1-1,1. FC Kaiserslautern,
7,Sat Oct 24 2020,14:00,FC Ingolstadt 04,1-0,1-0,Dynamo Dresden,
7,Sat Oct 24 2020,14:00,Hansa Rostock,5-1,2-0,Viktoria Köln,
7,Sat Oct 24 2020,14:00,VfB Lübeck,2-3,1-0,Hallescher FC,
7,Sat Oct 24 2020,14:00,1. FC Magdeburg,1-2,0-0,SV Wehen Wiesbaden,
7,Sat Oct 24 2020,14:00,MSV Duisburg,0-2,0-0,KFC Uerdingen 05,
7,Sun Oct 25 2020,13:00,1. FC Saarbrücken,1-2,0-1,SC Verl,
7,Sun Oct 25 2020,14:00,Bayern München II,2-0,1-0,Waldhof Mannheim,
7,Mon Oct 26 2020,19:00,SpVgg Unterhaching,0-2,0-1,TSV 1860 München,
8,Fri Oct 30 2020,19:00,Viktoria Köln,0-2,0-2,VfB Lübeck,
8,Sat Oct 31 2020,,SC Verl,,,FSV Zwickau,postponed
8,Sat Oct 31 2020,,Hallescher FC,,,SpVgg Unterhaching,postponed
8,Sat Oct 31 2020,14:00,Dynamo Dresden,3-0,1-0,SV Meppen,
8,Sat Oct 31 2020,14:00,Waldhof Mannheim,5-2,2-2,1. FC Magdeburg,
8,Sat Oct 31 2020,14:00,KFC Uerdingen 05,1-0,0-0,1. FC Saarbrücken,
8,Sat Oct 31 2020,14:00,TSV 1860 München,0-2,0-0,MSV Duisburg,
8,Sun Nov 1 2020,13:00,SV Wehen Wiesbaden,2-4,2-2,Bayern München II,
8,Sun Nov 1 2020,14:00,Türkgücü München,1-1,1-1,FC Ingolstadt 04,
8,Mon Nov 2 2020,19:00,1. FC Kaiserslautern,0-0,0-0,Hansa Rostock,
4,Wed Nov 4 2020,19:00,MSV Duisburg,2-3,0-1,1. FC Saarbrücken,
7,Wed Nov 4 2020,19:00,FSV Zwickau,0-1,0-0,Türkgücü München,
9,Fri Nov 6 2020,19:00,FC Ingolstadt 04,4-1,3-1,SV Wehen Wiesbaden,
9,Sat Nov 7 2020,,Hansa Rostock,,,Türkgücü München,postponed
9,Sat Nov 7 2020,,SV Meppen,,,Waldhof Mannheim,postponed
9,Sat Nov 7 2020,14:00,1. FC Magdeburg,2-1,0-0,Bayern München II,
9,Sat Nov 7 2020,14:00,FSV Zwickau,1-2,0-0,1. FC Kaiserslautern,
9,Sat Nov 7 2020,14:00,TSV 1860 München,6-1,2-0,Hallescher FC,
9,Sat Nov 7 2020,14:00,1. FC Saarbrücken,2-1,1-1,Dynamo Dresden,
9,Sun Nov 8 2020,,SpVgg Unterhaching,,,SC Verl,postponed
9,Sun Nov 8 2020,14:00,VfB Lübeck,1-0,0-0,KFC Uerdingen 05,
9,Mon Nov 9 2020,19:00,MSV Duisburg,1-3,1-1,Viktoria Köln,
10,Fri Nov 13 2020,19:00,Viktoria Köln,0-2,0-1,1. FC Saarbrücken,
10,Sat Nov 14 2020,14:00,SV Wehen Wiesbaden,3-1,2-1,FSV Zwickau,
10,Sat Nov 14 2020,14:00,1. FC Kaiserslautern,1-1,0-0,1. FC Magdeburg,
10,Sat Nov 14 2020,14:00,KFC Uerdingen 05,3-1,0-0,SpVgg Unterhaching,
10,Sat Nov 14 2020,14:00,Hallescher FC,1-1,1-0,Hansa Rostock,
10,Sat Nov 14 2020,14:00,Türkgücü München,2-1,0-0,MSV Duisburg,
10,Sat Nov 14 2020,14:00,Waldhof Mannheim,4-1,2-0,FC Ingolstadt 04,
10,Sun Nov 15 2020,,Bayern München II,,,SV Meppen,postponed
10,Sun Nov 15 2020,14:00,Dynamo Dresden,2-1,1-1,TSV 1860 München,
10,Mon Nov 16 2020,19:00,SC Verl,1-2,0-0,VfB Lübeck,
5,Tue Nov 17 2020,19:00,MSV Duisburg,,,Hallescher FC,
11,Fri Nov 20 2020,19:00,MSV Duisburg,,,SC Verl,
11,Sat Nov 21 2020,14:00,TSV 1860 München,,,KFC Uerdingen 05,
11,Sat Nov 21 2020,14:00,SV Meppen,,,Türkgücü München,
11,Sat Nov 21 2020,14:00,Hallescher FC,,,1. FC Kaiserslautern,
11,Sat Nov 21 2020,14:00,1. FC Saarbrücken,,,SV Wehen Wiesbaden,
11,Sat Nov 21 2020,14:00,Hansa Rostock,,,Dynamo Dresden,
11,Sat Nov 21 2020,14:00,FSV Zwickau,,,Waldhof Mannheim,
11,Sun Nov 22 2020,13:00,VfB Lübeck,,,Bayern München II,
11,Sun Nov 22 2020,14:00,SpVgg Unterhaching,,,Viktoria Köln,
11,Sun Nov 22 2020,15:00,FC Ingolstadt 04,,,1. FC Magdeburg,
12,Tue Nov 24 2020,19:00,SV Wehen Wiesbaden,,,SV Meppen,
12,Tue Nov 24 2020,19:00,KFC Uerdingen 05,,,Hallescher FC,
12,Tue Nov 24 2020,19:00,SC Verl,,,TSV 1860 München,
12,Tue Nov 24 2020,19:00,Waldhof Mannheim,,,MSV Duisburg,
12,Tue Nov 24 2020,19:00,Türkgücü München,,,1. FC Saarbrücken,
12,Wed Nov 25 2020,19:00,Bayern München II,,,FC Ingolstadt 04,
12,Wed Nov 25 2020,19:00,1. FC Kaiserslautern,,,VfB Lübeck,
12,Wed Nov 25 2020,19:00,Dynamo Dresden,,,SpVgg Unterhaching,
12,Wed Nov 25 2020,19:00,Viktoria Köln,,,FSV Zwickau,
12,Wed Nov 25 2020,19:00,1. FC Magdeburg,,,Hansa Rostock,
13,Fri Nov 27 2020,19:00,KFC Uerdingen 05,,,SC Verl,
13,Sat Nov 28 2020,14:00,Hansa Rostock,,,Bayern München II,
13,Sat Nov 28 2020,14:00,Hallescher FC,,,Viktoria Köln,
13,Sat Nov 28 2020,14:00,FSV Zwickau,,,1. FC Magdeburg,
13,Sat Nov 28 2020,14:00,VfB Lübeck,,,Waldhof Mannheim,
13,Sat Nov 28 2020,14:00,SpVgg Unterhaching,,,SV Wehen Wiesbaden,
13,Sat Nov 28 2020,14:00,TSV 1860 München,,,Türkgücü München,
13,Sun Nov 29 2020,13:00,MSV Duisburg,,,Dynamo Dresden,
13,Sun Nov 29 2020,14:00,1. FC Saarbrücken,,,1. FC Kaiserslautern,
13,Mon Nov 30 2020,19:00,SV Meppen,,,FC Ingolstadt 04,
14,Fri Dec 4 2020,19:00,1. FC Magdeburg,,,SV Meppen,
14,Sat Dec 5 2020,14:00,FC Ingolstadt 04,,,VfB Lübeck,
14,Sat Dec 5 2020,14:00,Dynamo Dresden,,,KFC Uerdingen 05,
14,Sat Dec 5 2020,14:00,Waldhof Mannheim,,,1. FC Saarbrücken,
14,Sat Dec 5 2020,14:00,Viktoria Köln,,,TSV 1860 München,
14,Sat Dec 5 2020,14:00,1. FC Kaiserslautern,,,MSV Duisburg,
14,Sat Dec 5 2020,14:00,Türkgücü München,,,SpVgg Unterhaching,
14,Sun Dec 6 2020,13:00,SV Wehen Wiesbaden,,,Hansa Rostock,
14,Sun Dec 6 2020,14:00,SC Verl,,,Hallescher FC,
14,Mon Dec 7 2020,19:00,Bayern München II,,,FSV Zwickau,
15,Fri Dec 11 2020,19:00,SpVgg Unterhaching,,,1. FC Kaiserslautern,
15,Sat Dec 12 2020,14:00,KFC Uerdingen 05,,,Türkgücü München,
15,Sat Dec 12 2020,14:00,MSV Duisburg,,,SV Wehen Wiesbaden,
15,Sat Dec 12 2020,14:00,TSV 1860 München,,,Waldhof Mannheim,
15,Sat Dec 12 2020,14:00,Hallescher FC,,,Dynamo Dresden,
15,Sat Dec 12 2020,14:00,SC Verl,,,Viktoria Köln,
15,Sat Dec 12 2020,14:00,VfB Lübeck,,,1. FC Magdeburg,
15,Sun Dec 13 2020,13:00,1. FC Saarbrücken,,,Bayern München II,
15,Sun Dec 13 2020,14:00,Hansa Rostock,,,SV Meppen,
15,Sun Dec 13 2020,15:00,FSV Zwickau,,,FC Ingolstadt 04,
16,Tue Dec 15 2020,19:00,Dynamo Dresden,,,SC Verl,
16,Tue Dec 15 2020,19:00,Türkgücü München,,,Hallescher FC,
16,Tue Dec 15 2020,19:00,SV Wehen Wiesbaden,,,VfB Lübeck,
16,Tue Dec 15 2020,19:00,Waldhof Mannheim,,,SpVgg Unterhaching,
16,Tue Dec 15 2020,19:00,1. FC Kaiserslautern,,,TSV 1860 München,
16,Wed Dec 16 2020,19:00,Bayern München II,,,MSV Duisburg,
16,Wed Dec 16 2020,19:00,Viktoria Köln,,,KFC Uerdingen 05,
16,Wed Dec 16 2020,19:00,1. FC Magdeburg,,,1. FC Saarbrücken,
16,Wed Dec 16 2020,19:00,FC Ingolstadt 04,,,Hansa Rostock,
16,Wed Dec 16 2020,19:00,SV Meppen,,,FSV Zwickau,
17,Sat Dec 19 2020,,Viktoria Köln,,,Dynamo Dresden,
17,Sat Dec 19 2020,,SpVgg Unterhaching,,,Bayern München II,
17,Sat Dec 19 2020,,Hallescher FC,,,Waldhof Mannheim,
17,Sat Dec 19 2020,,FSV Zwickau,,,Hansa Rostock,
17,Sat Dec 19 2020,,1. FC Saarbrücken,,,FC Ingolstadt 04,
17,Sat Dec 19 2020,,SC Verl,,,Türkgücü München,
17,Sat Dec 19 2020,,VfB Lübeck,,,SV Meppen,
17,Sat Dec 19 2020,,MSV Duisburg,,,1. FC Magdeburg,
17,Sat Dec 19 2020,,TSV 1860 München,,,SV Wehen Wiesbaden,
17,Sat Dec 19 2020,,KFC Uerdingen 05,,,1. FC Kaiserslautern,
18,Sat Jan 9 2021,,Türkgücü München,,,Dynamo Dresden,
18,Sat Jan 9 2021,,SV Wehen Wiesbaden,,,Hallescher FC,
18,Sat Jan 9 2021,,Bayern München II,,,TSV 1860 München,
18,Sat Jan 9 2021,,FC Ingolstadt 04,,,MSV Duisburg,
18,Sat Jan 9 2021,,SV Meppen,,,1. FC Saarbrücken,
18,Sat Jan 9 2021,,1. FC Magdeburg,,,KFC Uerdingen 05,
18,Sat Jan 9 2021,,FSV Zwickau,,,VfB Lübeck,
18,Sat Jan 9 2021,,Hansa Rostock,,,SpVgg Unterhaching,
18,Sat Jan 9 2021,,1. FC Kaiserslautern,,,Viktoria Köln,
18,Sat Jan 9 2021,,Waldhof Mannheim,,,SC Verl,
19,Sat Jan 16 2021,,SpVgg Unterhaching,,,1. FC Magdeburg,
19,Sat Jan 16 2021,,Dynamo Dresden,,,SV Wehen Wiesbaden,
19,Sat Jan 16 2021,,MSV Duisburg,,,SV Meppen,
19,Sat Jan 16 2021,,TSV 1860 München,,,FC Ingolstadt 04,
19,Sat Jan 16 2021,,Viktoria Köln,,,Türkgücü München,
19,Sat Jan 16 2021,,1. FC Saarbrücken,,,FSV Zwickau,
19,Sat Jan 16 2021,,SC Verl,,,1. FC Kaiserslautern,
19,Sat Jan 16 2021,,KFC Uerdingen 05,,,Waldhof Mannheim,
19,Sat Jan 16 2021,,Hallescher FC,,,Bayern München II,
19,Sat Jan 16 2021,,VfB Lübeck,,,Hansa Rostock,
20,Fri Jan 22 2021,,Dynamo Dresden,,,1. FC Kaiserslautern,
20,Fri Jan 22 2021,,Türkgücü München,,,Bayern München II,
20,Fri Jan 22 2021,,KFC Uerdingen 05,,,FC Ingolstadt 04,
20,Fri Jan 22 2021,,MSV Duisburg,,,Hansa Rostock,
20,Fri Jan 22 2021,,TSV 1860 München,,,SV Meppen,
20,Fri Jan 22 2021,,Hallescher FC,,,1. FC Magdeburg,
20,Fri Jan 22 2021,,SpVgg Unterhaching,,,FSV Zwickau,
20,Fri Jan 22 2021,,SC Verl,,,SV Wehen Wiesbaden,
20,Fri Jan 22 2021,,1. FC Saarbrücken,,,VfB Lübeck,
20,Fri Jan 22 2021,,Viktoria Köln,,,Waldhof Mannheim,
21,Tue Jan 26 2021,,Waldhof Mannheim,,,Dynamo Dresden,
21,Tue Jan 26 2021,,FSV Zwickau,,,MSV Duisburg,
21,Tue Jan 26 2021,,VfB Lübeck,,,SpVgg Unterhaching,
21,Tue Jan 26 2021,,SV Wehen Wiesbaden,,,Viktoria Köln,
21,Tue Jan 26 2021,,Hansa Rostock,,,1. FC Saarbrücken,
21,Tue Jan 26 2021,,Bayern München II,,,SC Verl,
21,Tue Jan 26 2021,,1. FC Kaiserslautern,,,Türkgücü München,
21,Tue Jan 26 2021,,1. FC Magdeburg,,,TSV 1860 München,
21,Tue Jan 26 2021,,FC Ingolstadt 04,,,Hallescher FC,
21,Tue Jan 26 2021,,SV Meppen,,,KFC Uerdingen 05,
22,Fri Jan 29 2021,,Dynamo Dresden,,,Bayern München II,
22,Fri Jan 29 2021,,1. FC Kaiserslautern,,,SV Wehen Wiesbaden,
22,Fri Jan 29 2021,,KFC Uerdingen 05,,,Hansa Rostock,
22,Fri Jan 29 2021,,SC Verl,,,SV Meppen,
22,Fri Jan 29 2021,,Viktoria Köln,,,1. FC Magdeburg,
22,Fri Jan 29 2021,,TSV 1860 München,,,FSV Zwickau,
22,Fri Jan 29 2021,,Hallescher FC,,,1. FC Saarbrücken,
22,Fri Jan 29 2021,,SpVgg Unterhaching,,,FC Ingolstadt 04,
22,Fri Jan 29 2021,,Türkgücü München,,,Waldhof Mannheim,
22,Fri Jan 29 2021,,MSV Duisburg,,,VfB Lübeck,
23,Fri Feb 5 2021,,Waldhof Mannheim,,,1. FC Kaiserslautern,
23,Fri Feb 5 2021,,1. FC Saarbrücken,,,MSV Duisburg,
23,Fri Feb 5 2021,,VfB Lübeck,,,TSV 1860 München,
23,Fri Feb 5 2021,,Bayern München II,,,KFC Uerdingen 05,
23,Fri Feb 5 2021,,FSV Zwickau,,,Hallescher FC,
23,Fri Feb 5 2021,,Hansa Rostock,,,SC Verl,
23,Fri Feb 5 2021,,SV Wehen Wiesbaden,,,Türkgücü München,
23,Fri Feb 5 2021,,SV Meppen,,,SpVgg Unterhaching,
23,Fri Feb 5 2021,,FC Ingolstadt 04,,,Viktoria Köln,
23,Fri Feb 5 2021,,1. FC Magdeburg,,,Dynamo Dresden,
24,Fri Feb 12 2021,,Türkgücü München,,,1. FC Magdeburg,
24,Fri Feb 12 2021,,1. FC Kaiserslautern,,,Bayern München II,
24,Fri Feb 12 2021,,SC Verl,,,FC Ingolstadt 04,
24,Fri Feb 12 2021,,Hallescher FC,,,MSV Duisburg,
24,Fri Feb 12 2021,,TSV 1860 München,,,Hansa Rostock,
24,Fri Feb 12 2021,,Viktoria Köln,,,SV Meppen,
24,Fri Feb 12 2021,,Dynamo Dresden,,,VfB Lübeck,
24,Fri Feb 12 2021,,Waldhof Mannheim,,,SV Wehen Wiesbaden,
24,Fri Feb 12 2021,,KFC Uerdingen 05,,,FSV Zwickau,
24,Fri Feb 12 2021,,SpVgg Unterhaching,,,1. FC Saarbrücken,
25,Fri Feb 19 2021,,FC Ingolstadt 04,,,1. FC Kaiserslautern,
25,Fri Feb 19 2021,,Bayern München II,,,Viktoria Köln,
25,Fri Feb 19 2021,,SV Meppen,,,Hallescher FC,
25,Fri Feb 19 2021,,1. FC Magdeburg,,,SC Verl,
25,Fri Feb 19 2021,,VfB Lübeck,,,Türkgücü München,
25,Fri Feb 19 2021,,FSV Zwickau,,,Dynamo Dresden,
25,Fri Feb 19 2021,,1. FC Saarbrücken,,,TSV 1860 München,
25,Fri Feb 19 2021,,Hansa Rostock,,,Waldhof Mannheim,
25,Fri Feb 19 2021,,MSV Duisburg,,,SpVgg Unterhaching,
25,Fri Feb 19 2021,,SV Wehen Wiesbaden,,,KFC Uerdingen 05,
26,Fri Feb 26 2021,,1. FC Kaiserslautern,,,SV Meppen,
26,Fri Feb 26 2021,,Waldhof Mannheim,,,Bayern München II,
26,Fri Feb 26 2021,,Dynamo Dresden,,,FC Ingolstadt 04,
26,Fri Feb 26 2021,,Viktoria Köln,,,Hansa Rostock,
26,Fri Feb 26 2021,,Türkgücü München,,,FSV Zwickau,
26,Fri Feb 26 2021,,SC Verl,,,1. FC Saarbrücken,
26,Fri Feb 26 2021,,Hallescher FC,,,VfB Lübeck,
26,Fri Feb 26 2021,,TSV 1860 München,,,SpVgg Unterhaching,
26,Fri Feb 26 2021,,SV Wehen Wiesbaden,,,1. FC Magdeburg,
26,Fri Feb 26 2021,,KFC Uerdingen 05,,,MSV Duisburg,
27,Fri Mar 5 2021,,FSV Zwickau,,,SC Verl,
27,Fri Mar 5 2021,,Bayern München II,,,SV Wehen Wiesbaden,
27,Fri Mar 5 2021,,SV Meppen,,,Dynamo Dresden,
27,Fri Mar 5 2021,,1. FC Magdeburg,,,Waldhof Mannheim,
27,Fri Mar 5 2021,,VfB Lübeck,,,Viktoria Köln,
27,Fri Mar 5 2021,,1. FC Saarbrücken,,,KFC Uerdingen 05,
27,Fri Mar 5 2021,,SpVgg Unterhaching,,,Hallescher FC,
27,Fri Mar 5 2021,,MSV Duisburg,,,TSV 1860 München,
27,Fri Mar 5 2021,,Hansa Rostock,,,1. FC Kaiserslautern,
27,Fri Mar 5 2021,,FC Ingolstadt 04,,,Türkgücü München,
28,Fri Mar 12 2021,,Viktoria Köln,,,MSV Duisburg,
28,Fri Mar 12 2021,,SV Wehen Wiesbaden,,,FC Ingolstadt 04,
28,Fri Mar 12 2021,,Türkgücü München,,,Hansa Rostock,
28,Fri Mar 12 2021,,SC Verl,,,SpVgg Unterhaching,
28,Fri Mar 12 2021,,Bayern München II,,,1. FC Magdeburg,
28,Fri Mar 12 2021,,1. FC Kaiserslautern,,,FSV Zwickau,
28,Fri Mar 12 2021,,Hallescher FC,,,TSV 1860 München,
28,Fri Mar 12 2021,,Waldhof Mannheim,,,SV Meppen,
28,Fri Mar 12 2021,,KFC Uerdingen 05,,,VfB Lübeck,
28,Fri Mar 12 2021,,Dynamo Dresden,,,1. FC Saarbrücken,
29,Fri Mar 19 2021,,SV Meppen,,,Bayern München II,
29,Fri Mar 19 2021,,FSV Zwickau,,,SV Wehen Wiesbaden,
29,Fri Mar 19 2021,,TSV 1860 München,,,Dynamo Dresden,
29,Fri Mar 19 2021,,1. FC Magdeburg,,,1. FC Kaiserslautern,
29,Fri Mar 19 2021,,1. FC Saarbrücken,,,Viktoria Köln,
29,Fri Mar 19 2021,,SpVgg Unterhaching,,,KFC Uerdingen 05,
29,Fri Mar 19 2021,,Hansa Rostock,,,Hallescher FC,
29,Fri Mar 19 2021,,VfB Lübeck,,,SC Verl,
29,Fri Mar 19 2021,,MSV Duisburg,,,Türkgücü München,
29,Fri Mar 19 2021,,FC Ingolstadt 04,,,Waldhof Mannheim,
30,Sun Apr 4 2021,,Bayern München II,,,VfB Lübeck,
30,Sun Apr 4 2021,,1. FC Magdeburg,,,FC Ingolstadt 04,
30,Sun Apr 4 2021,,SC Verl,,,MSV Duisburg,
30,Sun Apr 4 2021,,KFC Uerdingen 05,,,TSV 1860 München,
30,Sun Apr 4 2021,,Türkgücü München,,,SV Meppen,
30,Sun Apr 4 2021,,1. FC Kaiserslautern,,,Hallescher FC,
30,Sun Apr 4 2021,,SV Wehen Wiesbaden,,,1. FC Saarbrücken,
30,Sun Apr 4 2021,,Dynamo Dresden,,,Hansa Rostock,
30,Sun Apr 4 2021,,Viktoria Köln,,,SpVgg Unterhaching,
30,Sun Apr 4 2021,,Waldhof Mannheim,,,FSV Zwickau,
31,Sat Apr 10 2021,,SV Meppen,,,SV Wehen Wiesbaden,
31,Sat Apr 10 2021,,FC Ingolstadt 04,,,Bayern München II,
31,Sat Apr 10 2021,,VfB Lübeck,,,1. FC Kaiserslautern,
31,Sat Apr 10 2021,,Hallescher FC,,,KFC Uerdingen 05,
31,Sat Apr 10 2021,,TSV 1860 München,,,SC Verl,
31,Sat Apr 10 2021,,SpVgg Unterhaching,,,Dynamo Dresden,
31,Sat Apr 10 2021,,MSV Duisburg,,,Waldhof Mannheim,
31,Sat Apr 10 2021,,FSV Zwickau,,,Viktoria Köln,
31,Sat Apr 10 2021,,Hansa Rostock,,,1. FC Magdeburg,
31,Sat Apr 10 2021,,1. FC Saarbrücken,,,Türkgücü München,
32,Sat Apr 17 2021,,SC Verl,,,KFC Uerdingen 05,
32,Sat Apr 17 2021,,Bayern München II,,,Hansa Rostock,
32,Sat Apr 17 2021,,FC Ingolstadt 04,,,SV Meppen,
32,Sat Apr 17 2021,,Viktoria Köln,,,Hallescher FC,
32,Sat Apr 17 2021,,1. FC Magdeburg,,,FSV Zwickau,
32,Sat Apr 17 2021,,1. FC Kaiserslautern,,,1. FC Saarbrücken,
32,Sat Apr 17 2021,,Waldhof Mannheim,,,VfB Lübeck,
32,Sat Apr 17 2021,,Dynamo Dresden,,,MSV Duisburg,
32,Sat Apr 17 2021,,SV Wehen Wiesbaden,,,SpVgg Unterhaching,
32,Sat Apr 17 2021,,Türkgücü München,,,TSV 1860 München,
33,Tue Apr 20 2021,,VfB Lübeck,,,FC Ingolstadt 04,
33,Tue Apr 20 2021,,Hansa Rostock,,,SV Wehen Wiesbaden,
33,Tue Apr 20 2021,,KFC Uerdingen 05,,,Dynamo Dresden,
33,Tue Apr 20 2021,,1. FC Saarbrücken,,,Waldhof Mannheim,
33,Tue Apr 20 2021,,TSV 1860 München,,,Viktoria Köln,
33,Tue Apr 20 2021,,SV Meppen,,,1. FC Magdeburg,
33,Tue Apr 20 2021,,Hallescher FC,,,SC Verl,
33,Tue Apr 20 2021,,FSV Zwickau,,,Bayern München II,
33,Tue Apr 20 2021,,MSV Duisburg,,,1. FC Kaiserslautern,
33,Tue Apr 20 2021,,SpVgg Unterhaching,,,Türkgücü München,
34,Sat Apr 24 2021,,Türkgücü München,,,KFC Uerdingen 05,
34,Sat Apr 24 2021,,SV Wehen Wiesbaden,,,MSV Duisburg,
34,Sat Apr 24 2021,,Waldhof Mannheim,,,TSV 1860 München,
34,Sat Apr 24 2021,,Dynamo Dresden,,,Hallescher FC,
34,Sat Apr 24 2021,,Bayern München II,,,1. FC Saarbrücken,
34,Sat Apr 24 2021,,Viktoria Köln,,,SC Verl,
34,Sat Apr 24 2021,,1. FC Magdeburg,,,VfB Lübeck,
34,Sat Apr 24 2021,,SV Meppen,,,Hansa Rostock,
34,Sat Apr 24 2021,,1. FC Kaiserslautern,,,SpVgg Unterhaching,
34,Sat Apr 24 2021,,FC Ingolstadt 04,,,FSV Zwickau,
35,Tue May 4 2021,,SC Verl,,,Dynamo Dresden,
35,Tue May 4 2021,,MSV Duisburg,,,Bayern München II,
