Round,Date,Time,Team 1,FT,HT,Team 2,Comments
15,Sat Dec 12 2020,19:00,Paris FC,1-1,0-1,Rodez AF,
15,Sat Dec 12 2020,19:00,Amiens SC,1-1,0-1,FC Chambly,
15,Sat Dec 12 2020,15:00,SM Caen,0-0,0-0,ESTAC Troyes,
15,Sat Dec 12 2020,19:00,AS Nancy Lorraine,2-2,1-2,AJ Auxerre,
15,Sat Dec 12 2020,19:00,EA Guingamp,1-1,0-0,Valenciennes FC,
15,Sat Dec 12 2020,19:00,Chamois Niortais,2-0,0-0,AC Ajaccio,
15,Sat Dec 12 2020,19:00,LB Châteauroux,0-3,0-1,Toulouse FC,
15,Sat Dec 12 2020,19:00,Grenoble Foot 38,4-0,1-0,USL Dunkerque,
15,Mon Dec 14 2020,20:45,Havre AC,0-0,0-0,Clermont Foot 63,
11,Tue Dec 15 2020,20:00,AS Nancy Lorraine,2-3,2-3,ESTAC Troyes,
9,Tue Dec 15 2020,20:00,Chamois Niortais,0-0,0-0,Grenoble Foot 38,
15,Tue Dec 15 2020,20:00,Pau FC,0-0,0-0,FC Sochaux,
16,Fri Dec 18 2020,20:00,AC Ajaccio,1-0,1-0,AS Nancy Lorraine,
16,Fri Dec 18 2020,20:00,AJ Auxerre,2-1,1-1,Pau FC,
16,Fri Dec 18 2020,20:00,ESTAC Troyes,1-0,0-0,Chamois Niortais,
16,Fri Dec 18 2020,20:00,FC Chambly,3-0,1-0,EA Guingamp,
16,Fri Dec 18 2020,20:00,FC Sochaux,1-1,1-1,Grenoble Foot 38,
16,Fri Dec 18 2020,20:00,Valenciennes FC,0-2,0-0,Amiens SC,
16,Fri Dec 18 2020,20:00,Rodez AF,1-1,0-0,LB Châteauroux,
16,Fri Dec 18 2020,20:00,USL Dunkerque,2-3,1-2,SM Caen,
16,Sat Dec 19 2020,15:00,Toulouse FC,4-3,3-1,Havre AC,
16,Sat Dec 19 2020,15:00,Clermont Foot 63,3-2,2-1,Paris FC,
17,Tue Dec 22 2020,,Chamois Niortais,0-3 (*),,Valenciennes FC,awd.
17,Tue Dec 22 2020,20:00,Havre AC,1-1,0-0,Rodez AF,
17,Tue Dec 22 2020,20:00,AS Nancy Lorraine,3-3,1-1,FC Chambly,
17,Tue Dec 22 2020,20:00,Paris FC,3-2,1-0,EA Guingamp,
17,Tue Dec 22 2020,20:00,Pau FC,0-3,0-1,Toulouse FC,
17,Tue Dec 22 2020,20:00,Grenoble Foot 38,2-0,0-0,ESTAC Troyes,
17,Tue Dec 22 2020,20:00,LB Châteauroux,0-1,0-1,Clermont Foot 63,
17,Tue Dec 22 2020,20:00,Amiens SC,0-0,0-0,AC Ajaccio,
17,Tue Dec 22 2020,20:00,SM Caen,1-4,1-4,FC Sochaux,
17,Tue Dec 22 2020,20:00,USL Dunkerque,0-1,0-0,AJ Auxerre,
18,Tue Jan 5 2021,20:00,AC Ajaccio,4-1,2-1,Pau FC,
18,Tue Jan 5 2021,20:00,AJ Auxerre,1-1,0-0,SM Caen,
18,Tue Jan 5 2021,20:00,Clermont Foot 63,3-0,1-0,Grenoble Foot 38,
18,Tue Jan 5 2021,20:00,EA Guingamp,2-2,2-1,Amiens SC,
18,Tue Jan 5 2021,20:00,ESTAC Troyes,2-0,0-0,LB Châteauroux,
18,Tue Jan 5 2021,20:00,FC Chambly,0-1,0-0,Havre AC,
18,Tue Jan 5 2021,20:00,FC Sochaux,1-0,0-0,USL Dunkerque,
18,Tue Jan 5 2021,20:00,Toulouse FC,1-0,0-0,Paris FC,
18,Tue Jan 5 2021,20:00,Valenciennes FC,2-3,1-0,AS Nancy Lorraine,
18,Tue Jan 5 2021,20:00,Rodez AF,1-1,0-0,Chamois Niortais,
19,Fri Jan 8 2021,20:00,Havre AC,0-2,0-0,Valenciennes FC,
19,Fri Jan 8 2021,20:00,AS Nancy Lorraine,2-2,1-1,Rodez AF,
19,Fri Jan 8 2021,20:00,Chamois Niortais,0-2,0-2,Amiens SC,
19,Fri Jan 8 2021,20:00,Paris FC,1-1,0-1,AC Ajaccio,
19,Fri Jan 8 2021,20:00,Pau FC,1-3,0-1,FC Chambly,
19,Fri Jan 8 2021,20:00,FC Sochaux,0-0,0-0,Clermont Foot 63,
19,Fri Jan 8 2021,20:00,LB Châteauroux,2-3,0-0,EA Guingamp,
19,Fri Jan 8 2021,20:00,USL Dunkerque,0-0,0-0,ESTAC Troyes,
19,Sat Jan 9 2021,15:00,Grenoble Foot 38,2-2,0-1,AJ Auxerre,
19,Mon Jan 11 2021,20:45,SM Caen,2-2,2-1,Toulouse FC,
20,Sat Jan 16 2021,15:00,ESTAC Troyes,2-1,1-0,FC Sochaux,
20,Sat Jan 16 2021,15:00,Toulouse FC,2-0,0-0,Grenoble Foot 38,
20,Sat Jan 16 2021,19:00,AC Ajaccio,1-0,1-0,SM Caen,
20,Sat Jan 16 2021,19:00,AJ Auxerre,4-1,1-1,LB Châteauroux,
20,Sat Jan 16 2021,19:00,Clermont Foot 63,5-0,2-0,USL Dunkerque,
20,Sat Jan 16 2021,19:00,EA Guingamp,0-0,0-0,AS Nancy Lorraine,
20,Sat Jan 16 2021,19:00,Rodez AF,1-0,0-0,Pau FC,
20,Sat Jan 16 2021,19:00,Amiens SC,0-0,0-0,Havre AC,
21,Sat Jan 23 2021,19:00,Paris FC,4-2,3-1,Amiens SC,
21,Sat Jan 23 2021,19:00,SM Caen,1-2,1-2,Rodez AF,
21,Sat Jan 23 2021,15:00,Clermont Foot 63,1-0,1-0,AJ Auxerre,
21,Sat Jan 23 2021,19:00,Havre AC,1-1,0-0,EA Guingamp,
21,Sat Jan 23 2021,19:00,AS Nancy Lorraine,2-2,1-1,Chamois Niortais,
21,Sat Jan 23 2021,19:00,USL Dunkerque,3-1,2-0,AC Ajaccio,
21,Sat Jan 23 2021,19:00,Pau FC,0-1,0-0,ESTAC Troyes,
21,Sat Jan 23 2021,19:00,Grenoble Foot 38,2-0,0-0,FC Chambly,
21,Sat Jan 23 2021,19:00,LB Châteauroux,3-3,1-0,Valenciennes FC,
21,Mon Jan 25 2021,20:45,FC Sochaux,0-1,0-0,Toulouse FC,
20,Tue Jan 26 2021,19:00,Valenciennes FC,2-0,0-0,Paris FC,
20,Wed Jan 27 2021,19:00,FC Chambly,1-1,0-1,Chamois Niortais,
22,Sat Jan 30 2021,15:00,ESTAC Troyes,3-1,1-0,AJ Auxerre,
22,Sat Jan 30 2021,15:00,Toulouse FC,3-2,1-1,Clermont Foot 63,
22,Sat Jan 30 2021,19:00,AC Ajaccio,2-1,0-0,Grenoble Foot 38,
22,Sat Jan 30 2021,19:00,AS Nancy Lorraine,1-1,1-1,Paris FC,
22,Sat Jan 30 2021,19:00,EA Guingamp,2-3,0-2,Pau FC,
22,Sat Jan 30 2021,19:00,FC Chambly,4-2,2-1,SM Caen,
22,Sat Jan 30 2021,19:00,Chamois Niortais,0-0,0-0,Havre AC,
22,Sat Jan 30 2021,19:00,Valenciennes FC,1-0,1-0,USL Dunkerque,
22,Sat Jan 30 2021,19:00,Rodez AF,1-1,0-0,FC Sochaux,
22,Sat Jan 30 2021,19:00,Amiens SC,1-0,1-0,LB Châteauroux,
23,Tue Feb 2 2021,20:00,Havre AC,1-1,0-0,AS Nancy Lorraine,
23,Tue Feb 2 2021,20:00,AJ Auxerre,3-1,2-0,Toulouse FC,
23,Tue Feb 2 2021,20:00,Clermont Foot 63,2-1,2-0,ESTAC Troyes,
23,Tue Feb 2 2021,20:00,Paris FC,3-3,3-2,Chamois Niortais,
23,Tue Feb 2 2021,20:00,Pau FC,2-0,1-0,Amiens SC,
23,Tue Feb 2 2021,20:00,FC Sochaux,0-2,0-1,AC Ajaccio,
23,Tue Feb 2 2021,20:00,Grenoble Foot 38,2-1,0-1,EA Guingamp,
23,Tue Feb 2 2021,20:00,LB Châteauroux,4-0,0-0,FC Chambly,
23,Tue Feb 2 2021,20:00,SM Caen,1-1,0-1,Valenciennes FC,
23,Tue Feb 2 2021,20:00,USL Dunkerque,0-0,0-0,Rodez AF,
24,Fri Feb 5 2021,20:00,AC Ajaccio,0-0,0-0,AJ Auxerre,
24,Fri Feb 5 2021,20:00,AS Nancy Lorraine,1-0,1-0,Pau FC,
24,Fri Feb 5 2021,20:00,EA Guingamp,0-0,0-0,USL Dunkerque,
24,Fri Feb 5 2021,20:00,FC Chambly,1-4,1-0,FC Sochaux,
24,Fri Feb 5 2021,20:00,Chamois Niortais,1-1,0-1,LB Châteauroux,
24,Fri Feb 5 2021,20:00,Valenciennes FC,0-1,0-0,Grenoble Foot 38,
24,Fri Feb 5 2021,20:00,Rodez AF,2-0,0-0,Clermont Foot 63,
24,Fri Feb 5 2021,20:00,Amiens SC,0-0,0-0,SM Caen,
24,Sat Feb 6 2021,15:00,ESTAC Troyes,1-1,0-1,Toulouse FC,
24,Sat Feb 6 2021,15:00,Havre AC,1-0,1-0,Paris FC,
25,Sat Feb 13 2021,15:00,AJ Auxerre,1-1,1-1,EA Guingamp,
25,Sat Feb 13 2021,19:00,Clermont Foot 63,1-0,0-0,FC Chambly,
25,Sat Feb 13 2021,19:00,ESTAC Troyes,2-1,1-0,Rodez AF,
25,Sat Feb 13 2021,19:00,Pau FC,1-1,0-0,Paris FC,
25,Sat Feb 13 2021,19:00,Grenoble Foot 38,0-0,0-0,Amiens SC,
25,Sat Feb 13 2021,19:00,LB Châteauroux,0-1,0-0,Havre AC,
25,Sat Feb 13 2021,19:00,SM Caen,1-0,0-0,Chamois Niortais,
25,Sat Feb 13 2021,19:00,USL Dunkerque,1-2,1-0,AS Nancy Lorraine,
25,Mon Feb 15 2021,20:45,Toulouse FC,3-0,1-0,AC Ajaccio,
25,Mon Feb 15 2021,18:45,FC Sochaux,2-0,1-0,Valenciennes FC,
26,Sat Feb 20 2021,15:00,Valenciennes FC,2-2,1-0,ESTAC Troyes,
26,Sat Feb 20 2021,19:00,AC Ajaccio,0-2,0-0,Clermont Foot 63,
26,Sat Feb 20 2021,19:00,Havre AC,1-1,0-0,USL Dunkerque,
26,Sat Feb 20 2021,19:00,AS Nancy Lorraine,1-2,1-0,Grenoble Foot 38,
26,Sat Feb 20 2021,19:00,FC Chambly,0-1,0-0,AJ Auxerre,
26,Sat Feb 20 2021,19:00,Chamois Niortais,2-1,2-0,Pau FC,
26,Sat Feb 20 2021,19:00,Paris FC,1-0,0-0,LB Châteauroux,
26,Sat Feb 20 2021,19:00,Rodez AF,1-0,1-0,Toulouse FC,
26,Sat Feb 20 2021,19:00,Amiens SC,0-1,0-0,FC Sochaux,
26,Mon Feb 22 2021,20:45,EA Guingamp,2-2,0-1,SM Caen,
27,Sat Feb 27 2021,15:00,ESTAC Troyes,1-0,0-0,AC Ajaccio,
27,Sat Feb 27 2021,15:00,Toulouse FC,3-0,2-0,Amiens SC,
27,Sat Feb 27 2021,19:00,AJ Auxerre,0-1,0-0,Rodez AF,
27,Sat Feb 27 2021,19:00,Clermont Foot 63,4-0,2-0,Valenciennes FC,
27,Sat Feb 27 2021,19:00,Pau FC,2-0,0-0,Havre AC,
27,Sat Feb 27 2021,19:00,FC Sochaux,0-0,0-0,EA Guingamp,
27,Sat Feb 27 2021,19:00,Grenoble Foot 38,1-1,0-1,Chamois Niortais,
27,Sat Feb 27 2021,19:00,LB Châteauroux,1-4,0-2,AS Nancy Lorraine,
27,Sat Feb 27 2021,19:00,SM Caen,0-2,0-1,Paris FC,
27,Sat Feb 27 2021,19:00,USL Dunkerque,1-1,0-0,FC Chambly,
28,Tue Mar 2 2021,20:00,AC Ajaccio,1-0,0-0,Rodez AF,
28,Tue Mar 2 2021,20:00,Havre AC,0-2,0-1,Grenoble Foot 38,
28,Tue Mar 2 2021,20:00,AS Nancy Lorraine,1-0,1-0,SM Caen,
28,Tue Mar 2 2021,20:00,EA Guingamp,0-5,0-2,Clermont Foot 63,
28,Tue Mar 2 2021,20:00,FC Chambly,0-3,0-2,ESTAC Troyes,
28,Tue Mar 2 2021,20:00,Chamois Niortais,1-3,1-2,FC Sochaux,
28,Tue Mar 2 2021,20:00,Paris FC,1-0,0-0,USL Dunkerque,
28,Tue Mar 2 2021,20:00,Pau FC,1-0,0-0,LB Châteauroux,
28,Tue Mar 2 2021,20:00,Valenciennes FC,1-0,1-0,Toulouse FC,
28,Tue Mar 2 2021,20:00,Amiens SC,1-1,1-1,AJ Auxerre,
29,Sat Mar 13 2021,20:00,AC Ajaccio,0-2,0-1,EA Guingamp,
29,Sat Mar 13 2021,20:00,ESTAC Troyes,1-5,0-2,AS Nancy Lorraine,
29,Sat Mar 13 2021,20:00,FC Sochaux,0-0,0-0,LB Châteauroux,
29,Sat Mar 13 2021,20:00,Toulouse FC,4-0,0-0,FC Chambly,
29,Sat Mar 13 2021,20:00,Grenoble Foot 38,1-1,0-0,Pau FC,
29,Sat Mar 13 2021,20:00,Rodez AF,3-0,0-0,Valenciennes FC,
29,Sat Mar 13 2021,20:00,USL Dunkerque,2-0,0-0,Chamois Niortais,
29,Sat Mar 13 2021,15:00,AJ Auxerre,0-0,0-0,Paris FC,
29,Mon Mar 15 2021,20:45,SM Caen,0-2,0-1,Havre AC,
30,Fri Mar 19 2021,19:00,FC Chambly,2-1,0-0,AC Ajaccio,
30,Sat Mar 20 2021,20:00,LB Châteauroux,2-2,2-2,SM Caen,
30,Sat Mar 20 2021,15:00,Amiens SC,3-1,1-1,ESTAC Troyes,
30,Sat Mar 20 2021,20:00,Havre AC,0-2,0-1,FC Sochaux,
30,Sat Mar 20 2021,20:00,AS Nancy Lorraine,1-0,0-0,Clermont Foot 63,
30,Sat Mar 20 2021,20:00,EA Guingamp,1-1,0-0,Rodez AF,
30,Sat Mar 20 2021,20:00,Chamois Niortais,1-0,0-0,Toulouse FC,
30,Sat Mar 20 2021,20:00,Paris FC,2-0,0-0,Grenoble Foot 38,
30,Sat Mar 20 2021,20:00,Pau FC,3-1,0-0,USL Dunkerque,
30,Sat Mar 20 2021,20:00,Valenciennes FC,2-2,1-2,AJ Auxerre,
31,Sat Apr 3 2021,20:00,ESTAC Troyes,1-0,0-0,EA Guingamp,
31,Sat Apr 3 2021,15:00,Toulouse FC,4-1,1-1,AS Nancy Lorraine,
31,Sat Apr 3 2021,20:00,AC Ajaccio,3-0,1-0,Valenciennes FC,
31,Sat Apr 3 2021,20:00,Clermont Foot 63,0-0,0-0,Chamois Niortais,
31,Sat Apr 3 2021,20:00,SM Caen,1-1,1-0,Pau FC,
31,Sat Apr 3 2021,20:00,FC Sochaux,1-2,0-1,Paris FC,
31,Sat Apr 3 2021,20:00,Grenoble Foot 38,2-2,2-1,LB Châteauroux,
31,Sat Apr 3 2021,20:00,Rodez AF,2-2,2-1,FC Chambly,
31,Mon Apr 5 2021,20:45,AJ Auxerre,1-1,1-0,Havre AC,
32,Sat Apr 10 2021,20:00,Grenoble Foot 38,3-1,0-0,SM Caen,
32,Sat Apr 10 2021,20:00,LB Châteauroux,1-2,1-1,USL Dunkerque,
32,Sat Apr 10 2021,15:00,Paris FC,1-1,1-1,ESTAC Troyes,
32,Sat Apr 10 2021,20:00,Havre AC,1-1,1-0,AC Ajaccio,
32,Sat Apr 10 2021,20:00,AS Nancy Lorraine,0-0,0-0,FC Sochaux,
32,Sat Apr 10 2021,20:00,Chamois Niortais,0-4,0-1,AJ Auxerre,
32,Sat Apr 10 2021,20:00,Pau FC,2-1,0-1,Clermont Foot 63,
32,Sat Apr 10 2021,20:00,Valenciennes FC,2-1,1-1,FC Chambly,
32,Sun Apr 11 2021,19:00,Amiens SC,1-0,0-0,Rodez AF,
32,Mon Apr 12 2021,20:45,EA Guingamp,1-1,1-1,Toulouse FC,
29,Wed Apr 14 2021,19:00,Clermont Foot 63,3-0,1-0,Amiens SC,
