Round,Date,Time,Team 1,FT,HT,Team 2,Comments
5,Wed Oct 21 2020,20:45,FC Admira Wacker II,2-0,2-0,FC Mauerwerk,
10,Fri Oct 23 2020,,ASK-BSC Bruck/Leitha,,,SC Team Wiener Linien,postponed
10,Fri Oct 23 2020,,1. Wiener Neustädter SC,,,FC Mannsdorf/Großenzersdorf,postponed
10,Fri Oct 23 2020,19:30,Wiener Sport-Club,2-0,1-0,SC Neusiedl/See 1919,
10,Fri Oct 23 2020,19:30,FCM Traiskirchen,3-1,2-1,SV Leobendorf,
10,Sat Oct 24 2020,15:30,SV Stripfing/Weiden,2-0,1-0,FC Mauerwerk,
10,Sat Oct 24 2020,16:00,SC Wiener Viktoria,2-1,1-1,ASV Draßburg,
9,Tue Oct 27 2020,19:00,SV Stripfing/Weiden,,,1. Wiener Neustädter SC,postponed
2,Wed Oct 28 2020,19:00,SC Team Wiener Linien,2-1,1-1,FC Mauerwerk,
11,Fri Oct 30 2020,,SC Neusiedl/See 1919,,,FCM Traiskirchen,postponed
11,Fri Oct 30 2020,,ASV Draßburg,,,Wiener Sport-Club,postponed
11,Fri Oct 30 2020,19:30,FC Mannsdorf/Großenzersdorf,1-1,0-0,FC Admira Wacker II,
11,Sat Oct 31 2020,18:00,SC Team Wiener Linien,4-0,1-0,SC Wiener Viktoria,
11,Sun Nov 1 2020,,SV Leobendorf,,,SV Stripfing/Weiden,postponed
11,Sun Nov 1 2020,,FC Mauerwerk,,,1. Wiener Neustädter SC,postponed
1,Tue Nov 3 2020,,SV Stripfing/Weiden,,,SC Team Wiener Linien,postponed
6,Tue Nov 3 2020,,FC Admira Wacker II,,,SV Leobendorf,postponed
12,Fri Nov 6 2020,,ASK-BSC Bruck/Leitha,,,FC Mannsdorf/Großenzersdorf,postponed
12,Fri Nov 6 2020,,Wiener Sport-Club,,,SC Team Wiener Linien,postponed
12,Fri Nov 6 2020,,1. Wiener Neustädter SC,,,FC Admira Wacker II,postponed
12,Fri Nov 6 2020,,FCM Traiskirchen,,,ASV Draßburg,postponed
12,Sat Nov 7 2020,,SV Stripfing/Weiden,,,SC Neusiedl/See 1919,postponed
12,Sun Nov 8 2020,,FC Mauerwerk,,,SV Leobendorf,postponed
2,Tue Nov 10 2020,,FC Admira Wacker II,,,Wiener Sport-Club,postponed
13,Fri Nov 13 2020,,SC Neusiedl/See 1919,,,FC Mauerwerk,postponed
13,Fri Nov 13 2020,,ASV Draßburg,,,SV Stripfing/Weiden,postponed
13,Fri Nov 13 2020,,FC Mannsdorf/Großenzersdorf,,,SC Wiener Viktoria,postponed
13,Sat Nov 14 2020,,SV Leobendorf,,,1. Wiener Neustädter SC,postponed
13,Sat Nov 14 2020,,SC Team Wiener Linien,,,FCM Traiskirchen,postponed
13,Sun Nov 15 2020,,FC Admira Wacker II,,,ASK-BSC Bruck/Leitha,postponed
9,Tue Nov 17 2020,,SV Leobendorf,,,Wiener Sport-Club,postponed
6,Wed Nov 18 2020,,SC Wiener Viktoria,,,SV Stripfing/Weiden,postponed
14,Fri Mar 5 2021,19:00,SC Neusiedl/See 1919,,,SV Leobendorf,
14,Fri Mar 5 2021,19:30,1. Wiener Neustädter SC,,,ASK-BSC Bruck/Leitha,
14,Fri Mar 5 2021,19:30,FC Mannsdorf/Großenzersdorf,,,Wiener Sport-Club,
14,Fri Mar 5 2021,19:30,ASV Draßburg,,,FC Mauerwerk,
14,Sat Mar 6 2021,18:00,SC Team Wiener Linien,,,SV Stripfing/Weiden,
14,Sun Mar 7 2021,,FC Admira Wacker II,,,SC Wiener Viktoria,
15,Fri Mar 12 2021,19:00,SC Neusiedl/See 1919,,,1. Wiener Neustädter SC,
15,Fri Mar 12 2021,19:30,Wiener Sport-Club,,,FC Admira Wacker II,
15,Fri Mar 12 2021,19:30,FC Mannsdorf/Großenzersdorf,,,FCM Traiskirchen,
15,Sat Mar 13 2021,,SV Leobendorf,,,ASV Draßburg,
15,Sat Mar 13 2021,15:30,FC Mauerwerk,,,SC Team Wiener Linien,
15,Sun Mar 14 2021,,SC Wiener Viktoria,,,ASK-BSC Bruck/Leitha,
16,Fri Mar 19 2021,19:00,ASK-BSC Bruck/Leitha,,,Wiener Sport-Club,
16,Fri Mar 19 2021,19:30,ASV Draßburg,,,SC Neusiedl/See 1919,
16,Fri Mar 19 2021,19:30,FC Mannsdorf/Großenzersdorf,,,SV Stripfing/Weiden,
16,Fri Mar 19 2021,19:30,1. Wiener Neustädter SC,,,SC Wiener Viktoria,
16,Sat Mar 20 2021,18:00,SC Team Wiener Linien,,,SV Leobendorf,
16,Sun Mar 21 2021,,FC Admira Wacker II,,,FCM Traiskirchen,
17,Fri Mar 26 2021,19:00,SC Neusiedl/See 1919,,,SC Team Wiener Linien,
17,Fri Mar 26 2021,19:30,FCM Traiskirchen,,,ASK-BSC Bruck/Leitha,
17,Fri Mar 26 2021,19:30,Wiener Sport-Club,,,SC Wiener Viktoria,
17,Fri Mar 26 2021,19:30,ASV Draßburg,,,1. Wiener Neustädter SC,
17,Sat Mar 27 2021,15:30,FC Mauerwerk,,,FC Mannsdorf/Großenzersdorf,
17,Sun Mar 28 2021,,SV Stripfing/Weiden,,,FC Admira Wacker II,
18,Fri Apr 2 2021,19:00,ASK-BSC Bruck/Leitha,,,SV Stripfing/Weiden,
18,Fri Apr 2 2021,19:30,FC Mannsdorf/Großenzersdorf,,,SV Leobendorf,
18,Fri Apr 2 2021,19:30,1. Wiener Neustädter SC,,,Wiener Sport-Club,
18,Sat Apr 3 2021,18:00,SC Team Wiener Linien,,,ASV Draßburg,
18,Sun Apr 4 2021,,FC Mauerwerk,,,FC Admira Wacker II,
18,Sun Apr 4 2021,,SC Wiener Viktoria,,,FCM Traiskirchen,
19,Fri Apr 9 2021,19:00,SC Neusiedl/See 1919,,,FC Mannsdorf/Großenzersdorf,
19,Fri Apr 9 2021,19:30,FCM Traiskirchen,,,Wiener Sport-Club,
19,Sat Apr 10 2021,,SV Leobendorf,,,FC Admira Wacker II,
19,Sat Apr 10 2021,15:30,FC Mauerwerk,,,ASK-BSC Bruck/Leitha,
19,Sat Apr 10 2021,18:00,SC Team Wiener Linien,,,1. Wiener Neustädter SC,
19,Sun Apr 11 2021,,SV Stripfing/Weiden,,,SC Wiener Viktoria,
20,Fri Apr 16 2021,19:00,ASK-BSC Bruck/Leitha,,,SV Leobendorf,
20,Fri Apr 16 2021,19:30,FC Mannsdorf/Großenzersdorf,,,ASV Draßburg,
20,Fri Apr 16 2021,19:30,1. Wiener Neustädter SC,,,FCM Traiskirchen,
20,Fri Apr 16 2021,19:30,Wiener Sport-Club,,,SV Stripfing/Weiden,
20,Sun Apr 18 2021,,SC Wiener Viktoria,,,FC Mauerwerk,
20,Sun Apr 18 2021,,FC Admira Wacker II,,,SC Neusiedl/See 1919,
21,Fri Apr 23 2021,19:00,SC Neusiedl/See 1919,,,ASK-BSC Bruck/Leitha,
21,Fri Apr 23 2021,19:30,ASV Draßburg,,,FC Admira Wacker II,
21,Sat Apr 24 2021,,SV Leobendorf,,,SC Wiener Viktoria,
21,Sat Apr 24 2021,,SV Stripfing/Weiden,,,FCM Traiskirchen,
21,Sat Apr 24 2021,15:30,FC Mauerwerk,,,Wiener Sport-Club,
21,Sat Apr 24 2021,18:00,SC Team Wiener Linien,,,FC Mannsdorf/Großenzersdorf,
22,Fri Apr 30 2021,19:00,ASK-BSC Bruck/Leitha,,,ASV Draßburg,
22,Fri Apr 30 2021,19:30,Wiener Sport-Club,,,SV Leobendorf,
22,Fri Apr 30 2021,19:30,FCM Traiskirchen,,,FC Mauerwerk,
22,Fri Apr 30 2021,19:30,1. Wiener Neustädter SC,,,SV Stripfing/Weiden,
22,Sun May 2 2021,,FC Admira Wacker II,,,SC Team Wiener Linien,
22,Sun May 2 2021,,SC Wiener Viktoria,,,SC Neusiedl/See 1919,
23,Fri May 7 2021,19:00,SC Neusiedl/See 1919,,,Wiener Sport-Club,
23,Fri May 7 2021,19:30,ASV Draßburg,,,SC Wiener Viktoria,
23,Fri May 7 2021,19:30,FC Mannsdorf/Großenzersdorf,,,1. Wiener Neustädter SC,
23,Sat May 8 2021,,SV Leobendorf,,,FCM Traiskirchen,
23,Sat May 8 2021,15:30,FC Mauerwerk,,,SV Stripfing/Weiden,
23,Sat May 8 2021,18:00,SC Team Wiener Linien,,,ASK-BSC Bruck/Leitha,
24,Fri May 14 2021,19:30,Wiener Sport-Club,,,ASV Draßburg,
24,Fri May 14 2021,19:30,FCM Traiskirchen,,,SC Neusiedl/See 1919,
24,Fri May 14 2021,19:30,1. Wiener Neustädter SC,,,FC Mauerwerk,
24,Sun May 16 2021,,SV Stripfing/Weiden,,,SV Leobendorf,
24,Sun May 16 2021,,SC Wiener Viktoria,,,SC Team Wiener Linien,
24,Sun May 16 2021,,FC Admira Wacker II,,,FC Mannsdorf/Großenzersdorf,
25,Fri May 21 2021,19:00,SC Neusiedl/See 1919,,,SV Stripfing/Weiden,
25,Fri May 21 2021,19:30,FC Mannsdorf/Großenzersdorf,,,ASK-BSC Bruck/Leitha,
25,Fri May 21 2021,19:30,ASV Draßburg,,,FCM Traiskirchen,
25,Sat May 22 2021,,SV Leobendorf,,,FC Mauerwerk,
25,Sat May 22 2021,18:00,SC Team Wiener Linien,,,Wiener Sport-Club,
25,Sun May 23 2021,,FC Admira Wacker II,,,1. Wiener Neustädter SC,
26,Fri May 28 2021,19:00,ASK-BSC Bruck/Leitha,,,FC Admira Wacker II,
26,Fri May 28 2021,19:30,1. Wiener Neustädter SC,,,SV Leobendorf,
26,Fri May 28 2021,19:30,FCM Traiskirchen,,,SC Team Wiener Linien,
26,Sat May 29 2021,15:30,FC Mauerwerk,,,SC Neusiedl/See 1919,
26,Sun May 30 2021,,SC Wiener Viktoria,,,FC Mannsdorf/Großenzersdorf,
26,Sun May 30 2021,,SV Stripfing/Weiden,,,ASV Draßburg,
