Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,Comments,UTC
Apertura,6,Wed Sep 1 2021,17:00,CDT/-0500,Alebrijes de Oaxaca,0-0,0-0,CF Monterrey II,,,,2021-09-01T22:00Z
Apertura,6,Wed Sep 1 2021,19:05,CDT/-0500,Club Celaya,1-2,1-1,Pumas Tabasco,,,,2021-09-02T00:05Z
Apertura,6,Wed Sep 1 2021,21:05,CDT/-0500,Correcaminos UAT,1-1,0-0,Coyotes de Tlaxcala,,,,2021-09-02T02:05Z
Apertura,6,Thu Sep 2 2021,21:00,CDT/-0500,Dorados de Sinaloa,2-0,0-0,Cancún FC,,,,2021-09-03T02:00Z
Apertura,6,Thu Sep 2 2021,17:00,CDT/-0500,Tapatío,1-0,1-0,Tepatitlán,,,,2021-09-02T22:00Z
Apertura,6,Sun Sep 5 2021,12:00,CDT/-0500,Atlante,2-0,1-0,Leones Negros,,,,2021-09-05T17:00Z
Apertura,7,Tue Sep 7 2021,19:05,CDT/-0500,CF Monterrey II,0-0,0-0,TM Fútbol Club,,,,2021-09-08T00:05Z
Apertura,7,Tue Sep 7 2021,21:05,CDT/-0500,Cancún FC,0-1,0-0,Venados FC,,,,2021-09-08T02:05Z
Apertura,7,Tue Sep 7 2021,17:00,CDT/-0500,Mineros de Zacatecas,3-0,1-0,Correcaminos UAT,,,,2021-09-07T22:00Z
Apertura,7,Wed Sep 8 2021,19:05,CDT/-0500,Pumas Tabasco,0-2,0-0,Atlante,,,,2021-09-09T00:05Z
Apertura,7,Wed Sep 8 2021,21:05,CDT/-0500,Dorados de Sinaloa,2-1,0-1,Alebrijes de Oaxaca,,,,2021-09-09T02:05Z
Apertura,7,Wed Sep 8 2021,17:00,CDT/-0500,Coyotes de Tlaxcala,2-0,0-0,Tapatío,,,,2021-09-08T22:00Z
Apertura,7,Thu Sep 9 2021,17:00,CDT/-0500,Tepatitlán,0-1,0-1,Club Celaya,,,,2021-09-09T22:00Z
Apertura,7,Sun Sep 12 2021,12:00,CDT/-0500,Atlético Morelia,2-2,1-1,Cimarrones de Sonora,,,,2021-09-12T17:00Z
Apertura,8,Tue Sep 14 2021,17:00,CDT/-0500,Alebrijes de Oaxaca,2-1,1-1,Mineros de Zacatecas,,,,2021-09-14T22:00Z
Apertura,8,Tue Sep 14 2021,19:05,CDT/-0500,TM Fútbol Club,0-2,0-1,Coyotes de Tlaxcala,,,,2021-09-15T00:05Z
Apertura,8,Tue Sep 14 2021,21:05,CDT/-0500,Correcaminos UAT,0-2,0-0,Pumas Tabasco,,,,2021-09-15T02:05Z
Apertura,8,Wed Sep 15 2021,19:05,CDT/-0500,Venados FC,0-1,0-1,Atlético Morelia,,,,2021-09-16T00:05Z
Apertura,8,Wed Sep 15 2021,21:05,CDT/-0500,Cimarrones de Sonora,1-2,1-0,CF Monterrey II,,,,2021-09-16T02:05Z
Apertura,8,Wed Sep 15 2021,17:00,CDT/-0500,Leones Negros,3-0,1-0,Tapatío,,,,2021-09-15T22:00Z
Apertura,8,Thu Sep 16 2021,17:00,CDT/-0500,Tepatitlán,1-2,1-0,Cancún FC,,,,2021-09-16T22:00Z
Apertura,8,Sun Sep 19 2021,12:00,CDT/-0500,Atlante,1-1,1-0,Club Celaya,,,,2021-09-19T17:00Z
Apertura,9,Tue Sep 21 2021,17:00,CDT/-0500,CF Monterrey II,0-1,0-1,Mineros de Zacatecas,,,,2021-09-21T22:00Z
Apertura,9,Tue Sep 21 2021,20:30,CDT/-0500,Cancún FC,0-1,0-1,Leones Negros,,,,2021-09-22T01:30Z
Apertura,9,Tue Sep 21 2021,21:05,CDT/-0500,Dorados de Sinaloa,3-1,1-0,Correcaminos UAT,,,,2021-09-22T02:05Z
Apertura,9,Wed Sep 22 2021,19:05,CDT/-0500,Pumas Tabasco,1-1,0-0,Venados FC,,,,2021-09-23T00:05Z
Apertura,9,Wed Sep 22 2021,21:05,CDT/-0500,TM Fútbol Club,1-2,1-1,Cimarrones de Sonora,,,,2021-09-23T02:05Z
Apertura,9,Wed Sep 22 2021,17:00,CDT/-0500,Coyotes de Tlaxcala,0-0,0-0,Tepatitlán,,,,2021-09-22T22:00Z
Apertura,9,Thu Sep 23 2021,19:00,CDT/-0500,Atlético Morelia,1-0,1-0,Alebrijes de Oaxaca,,,,2021-09-24T00:00Z
Apertura,9,Sun Sep 26 2021,17:00,CDT/-0500,Tapatío,1-4,0-3,Atlante,,,,2021-09-26T22:00Z
Apertura,10,Tue Sep 28 2021,19:05,CDT/-0500,Correcaminos UAT,1-0,0-0,Club Celaya,,,,2021-09-29T00:05Z
Apertura,10,Tue Sep 28 2021,17:00,CDT/-0500,Tepatitlán,1-1,0-0,CF Monterrey II,,,,2021-09-28T22:00Z
Apertura,10,Wed Sep 29 2021,17:00,CDT/-0500,Alebrijes de Oaxaca,0-1,0-1,Tapatío,,,,2021-09-29T22:00Z
Apertura,10,Wed Sep 29 2021,19:05,CDT/-0500,Cancún FC,1-1,1-0,TM Fútbol Club,,,,2021-09-30T00:05Z
Apertura,10,Wed Sep 29 2021,21:05,CDT/-0500,Mineros de Zacatecas,1-4,1-2,Dorados de Sinaloa,,,,2021-09-30T02:05Z
Apertura,10,Thu Sep 30 2021,21:06,CDT/-0500,Cimarrones de Sonora,2-1,2-1,Pumas Tabasco,,,,2021-10-01T02:06Z
Apertura,10,Thu Sep 30 2021,19:50,CDT/-0500,Leones Negros,2-1,0-1,Atlético Morelia,,,,2021-10-01T00:50Z
Apertura,10,Fri Oct 1 2021,17:00,CDT/-0500,Atlante,2-1,1-0,Venados FC,,,,2021-10-01T22:00Z
Apertura,11,Tue Oct 5 2021,19:05,CDT/-0500,Venados FC,1-1,1-0,Alebrijes de Oaxaca,,,,2021-10-06T00:05Z
Apertura,11,Tue Oct 5 2021,21:05,CDT/-0500,CF Monterrey II,4-1,2-1,Coyotes de Tlaxcala,,,,2021-10-06T02:05Z
Apertura,11,Wed Oct 6 2021,19:05,CDT/-0500,Pumas Tabasco,1-1,0-0,Leones Negros,,,,2021-10-07T00:05Z
Apertura,11,Wed Oct 6 2021,21:05,CDT/-0500,Dorados de Sinaloa,0-0,0-0,Tepatitlán,,,,2021-10-07T02:05Z
Apertura,11,Wed Oct 6 2021,17:00,CDT/-0500,Club Celaya,1-0,0-0,Cimarrones de Sonora,,,,2021-10-06T22:00Z
Apertura,11,Thu Oct 7 2021,17:00,CDT/-0500,Tapatío,1-1,1-1,Cancún FC,,,,2021-10-07T22:00Z
Apertura,11,Sat Oct 9 2021,18:05,CDT/-0500,TM Fútbol Club,3-3,1-0,Correcaminos UAT,,,,2021-10-09T23:05Z
Apertura,11,Sun Oct 10 2021,12:00,CDT/-0500,Atlético Morelia,1-0,0-0,Atlante,,,,2021-10-10T17:00Z
Apertura,12,Tue Oct 12 2021,19:05,CDT/-0500,Coyotes de Tlaxcala,1-1,0-0,Pumas Tabasco,,,,2021-10-13T00:05Z
Apertura,12,Tue Oct 12 2021,21:05,CDT/-0500,Alebrijes de Oaxaca,2-2,0-2,TM Fútbol Club,,,,2021-10-13T02:05Z
Apertura,12,Tue Oct 12 2021,17:00,CDT/-0500,Correcaminos UAT,1-2,1-0,Venados FC,,,,2021-10-12T22:00Z
Apertura,12,Wed Oct 13 2021,17:00,CDT/-0500,Mineros de Zacatecas,0-1,0-0,Tapatío,,,,2021-10-13T22:00Z
Apertura,12,Wed Oct 13 2021,19:05,CDT/-0500,Cancún FC,0-1,0-1,Atlético Morelia,,,,2021-10-14T00:05Z
Apertura,12,Thu Oct 14 2021,17:00,CDT/-0500,Leones Negros,1-2,1-1,Club Celaya,,,,2021-10-14T22:00Z
Apertura,12,Fri Oct 15 2021,21:05,CDT/-0500,Dorados de Sinaloa,4-1,3-1,CF Monterrey II,,,,2021-10-16T02:05Z
Apertura,12,Sun Oct 17 2021,19:30,CDT/-0500,Tepatitlán,0-3,0-1,Cimarrones de Sonora,,,,2021-10-18T00:30Z
Apertura,13,Tue Oct 19 2021,17:00,CDT/-0500,CF Monterrey II,0-1,0-0,Leones Negros,,,,2021-10-19T22:00Z
Apertura,13,Tue Oct 19 2021,19:05,CDT/-0500,Venados FC,3-1,1-1,Mineros de Zacatecas,,,,2021-10-20T00:05Z
Apertura,13,Tue Oct 19 2021,21:05,CDT/-0500,Pumas Tabasco,0-0,0-0,Cancún FC,,,,2021-10-20T02:05Z
Apertura,13,Wed Oct 20 2021,19:05,CDT/-0500,TM Fútbol Club,1-1,0-1,Atlante,,,,2021-10-21T00:05Z
Apertura,13,Wed Oct 20 2021,21:05,CDT/-0500,Cimarrones de Sonora,3-0,1-0,Coyotes de Tlaxcala,,,,2021-10-21T02:05Z
Apertura,13,Wed Oct 20 2021,17:00,CDT/-0500,Club Celaya,1-0,0-0,Alebrijes de Oaxaca,,,,2021-10-20T22:00Z
Apertura,13,Thu Oct 21 2021,17:00,CDT/-0500,Tapatío,1-3,0-1,Dorados de Sinaloa,,,,2021-10-21T22:00Z
Apertura,13,Sun Oct 24 2021,17:00,CDT/-0500,Atlético Morelia,2-2,1-1,Tepatitlán,,,,2021-10-24T22:00Z
Apertura,14,Tue Oct 26 2021,19:05,CDT/-0500,Mineros de Zacatecas,3-1,2-0,Club Celaya,,,,2021-10-27T00:05Z
Apertura,14,Tue Oct 26 2021,21:05,CDT/-0500,Cancún FC,2-2,1-1,Cimarrones de Sonora,,,,2021-10-27T02:05Z
Apertura,14,Tue Oct 26 2021,17:00,CDT/-0500,Alebrijes de Oaxaca,0-0,0-0,Atlante,,,,2021-10-26T22:00Z
Apertura,14,Wed Oct 27 2021,17:00,CDT/-0500,Leones Negros,1-0,1-0,Coyotes de Tlaxcala,,,,2021-10-27T22:00Z
Apertura,14,Wed Oct 27 2021,19:05,CDT/-0500,Correcaminos UAT,2-2,2-1,Tapatío,,,,2021-10-28T00:05Z
Apertura,14,Wed Oct 27 2021,21:05,CDT/-0500,Dorados de Sinaloa,3-0,0-0,Venados FC,,,,2021-10-28T02:05Z
Apertura,14,Thu Oct 28 2021,21:00,CDT/-0500,Atlético Morelia,0-1,0-0,Pumas Tabasco,,,,2021-10-29T02:00Z
Apertura,14,Thu Oct 28 2021,17:00,CDT/-0500,Tepatitlán,1-1,0-1,TM Fútbol Club,,,,2021-10-28T22:00Z
Apertura,15,Tue Nov 2 2021,19:05,CST/-0600,Club Celaya,2-2,1-0,Dorados de Sinaloa,,,,2021-11-03T01:05Z
Apertura,15,Tue Nov 2 2021,21:05,CST/-0600,Cimarrones de Sonora,1-3,0-0,Mineros de Zacatecas,,,,2021-11-03T03:05Z
Apertura,15,Tue Nov 2 2021,17:00,CST/-0600,Coyotes de Tlaxcala,3-1,0-0,Cancún FC,,,,2021-11-02T23:00Z
Apertura,15,Wed Nov 3 2021,17:00,CST/-0600,Alebrijes de Oaxaca,2-1,0-0,Correcaminos UAT,,,,2021-11-03T23:00Z
Apertura,15,Wed Nov 3 2021,19:05,CST/-0600,Venados FC,0-1,0-1,Leones Negros,,,,2021-11-04T01:05Z
Apertura,15,Wed Nov 3 2021,21:05,CST/-0600,TM Fútbol Club,1-1,0-0,Atlético Morelia,,,,2021-11-04T03:05Z
Apertura,15,Sun Nov 7 2021,12:00,CST/-0600,Atlante,1-0,1-0,Tepatitlán,,,,2021-11-07T18:00Z
Apertura,15,Sun Nov 7 2021,10:00,CST/-0600,CF Monterrey II,1-1,1-1,Pumas Tabasco,,,,2021-11-07T16:00Z
Apertura,16,Tue Nov 9 2021,19:05,CST/-0600,Cancún FC,1-2,0-1,Alebrijes de Oaxaca,,,,2021-11-10T01:05Z
Apertura,16,Tue Nov 9 2021,21:05,CST/-0600,Dorados de Sinaloa,0-3,0-3,TM Fútbol Club,,,,2021-11-10T03:05Z
Apertura,16,Tue Nov 9 2021,17:00,CST/-0600,Atlético Morelia,1-3,0-1,Coyotes de Tlaxcala,,,,2021-11-09T23:00Z
Apertura,16,Wed Nov 10 2021,19:05,CST/-0600,Pumas Tabasco,1-1,0-0,Tepatitlán,,,,2021-11-11T01:05Z
Apertura,16,Wed Nov 10 2021,21:05,CST/-0600,Correcaminos UAT,2-1,1-0,CF Monterrey II,,,,2021-11-11T03:05Z
Apertura,16,Wed Nov 10 2021,17:00,CST/-0600,Mineros de Zacatecas,0-3,0-1,Atlante,,,,2021-11-10T23:00Z
Apertura,16,Thu Nov 11 2021,19:00,CST/-0600,Tapatío,1-1,1-0,Club Celaya,,,,2021-11-12T01:00Z
Apertura,16,Sun Nov 14 2021,12:00,CST/-0600,Leones Negros,3-2,3-2,Cimarrones de Sonora,,,,2021-11-14T18:00Z
Apertura,17,Tue Nov 16 2021,19:05,CST/-0600,Coyotes de Tlaxcala,0-2,0-1,Mineros de Zacatecas,,,,2021-11-17T01:05Z
Apertura,17,Tue Nov 16 2021,21:05,CST/-0600,TM Fútbol Club,1-1,1-0,Pumas Tabasco,,,,2021-11-17T03:05Z
Apertura,17,Tue Nov 16 2021,17:00,CST/-0600,CF Monterrey II,0-1,0-0,Atlético Morelia,,,,2021-11-16T23:00Z
Apertura,17,Wed Nov 17 2021,19:05,CST/-0600,Venados FC,3-0,1-0,Tapatío,,,,2021-11-18T01:05Z
Apertura,17,Wed Nov 17 2021,21:05,CST/-0600,Cimarrones de Sonora,0-1,0-0,Correcaminos UAT,,,,2021-11-18T03:05Z
Apertura,17,Wed Nov 17 2021,17:00,CST/-0600,Club Celaya,3-1,2-0,Cancún FC,,,,2021-11-17T23:00Z
Apertura,17,Thu Nov 18 2021,17:00,CST/-0600,Tepatitlán,2-1,1-1,Leones Negros,,,,2021-11-18T23:00Z
Apertura,17,Sun Nov 21 2021,12:00,CST/-0600,Atlante,0-1,0-0,Dorados de Sinaloa,,,,2021-11-21T18:00Z
Apertura Playoffs,Recalificación,Tue Nov 23 2021,20:15,CST/-0600,Pumas Tabasco,0-1,0-1,Tepatitlán,,,,2021-11-24T02:15Z
Apertura Playoffs,Recalificación,Tue Nov 23 2021,22:15,CST/-0600,Cimarrones de Sonora,1-2,0-1,Venados FC,,,,2021-11-24T04:15Z
Apertura Playoffs,Recalificación,Tue Nov 23 2021,18:00,CST/-0600,TM Fútbol Club,2-1,1-0,Mineros de Zacatecas,,,,2021-11-24T00:00Z
Apertura Playoffs,Recalificación,Wed Nov 24 2021,17:00,CST/-0600,Leones Negros,2-1,1-1,Correcaminos UAT,,,,2021-11-24T23:00Z
Apertura Playoffs,Quarterfinals,Tue Nov 30 2021,21:05,CST/-0600,Leones Negros,1-0,0-0,Club Celaya,,,,2021-12-01T03:05Z
Apertura Playoffs,Quarterfinals,Tue Nov 30 2021,19:00,CST/-0600,TM Fútbol Club,2-2,0-1,Atlético Morelia,,,,2021-12-01T01:00Z
Apertura Playoffs,Quarterfinals,Wed Dec 1 2021,19:00,CST/-0600,Tepatitlán,0-1,0-0,Dorados de Sinaloa,,,,2021-12-02T01:00Z
Apertura Playoffs,Quarterfinals,Thu Dec 2 2021,19:00,CST/-0600,Venados FC,0-2,0-1,Atlante,,,,2021-12-03T01:00Z
Apertura Playoffs,Quarterfinals,Sat Dec 4 2021,17:00,CST/-0600,Atlético Morelia,0-2,0-1,TM Fútbol Club,,,,2021-12-04T23:00Z
Apertura Playoffs,Quarterfinals,Sat Dec 4 2021,19:05,CST/-0600,Dorados de Sinaloa,1-0,0-0,Tepatitlán,,,,2021-12-05T01:05Z
Apertura Playoffs,Quarterfinals,Sun Dec 5 2021,17:00,CST/-0600,Club Celaya,3-0,2-0,Leones Negros,,,,2021-12-05T23:00Z
Apertura Playoffs,Quarterfinals,Sun Dec 5 2021,12:00,CST/-0600,Atlante,0-0,0-0,Venados FC,,,,2021-12-05T18:00Z
Apertura Playoffs,Semifinals,Wed Dec 8 2021,18:30,CST/-0600,TM Fútbol Club,1-0,1-0,Dorados de Sinaloa,,,,2021-12-09T00:30Z
Apertura Playoffs,Semifinals,Thu Dec 9 2021,18:30,CST/-0600,Club Celaya,0-1,0-1,Atlante,,,,2021-12-10T00:30Z
Apertura Playoffs,Semifinals,Sat Dec 11 2021,21:00,CST/-0600,Dorados de Sinaloa,0-1,0-1,TM Fútbol Club,,,,2021-12-12T03:00Z
Apertura Playoffs,Semifinals,Sun Dec 12 2021,12:00,CST/-0600,Atlante,2-2,0-0,Club Celaya,,,,2021-12-12T18:00Z
Apertura Playoffs,Final,Wed Dec 15 2021,21:00,CST/-0600,TM Fútbol Club,0-0,0-0,Atlante,,,,2021-12-16T03:00Z
Apertura Playoffs,Final,Sat Dec 18 2021,21:10,CST/-0600,Atlante,3-0,0-0,TM Fútbol Club,,,,2021-12-19T03:10Z
Clausura,1,Wed Jan 5 2022,19:00,CST/-0600,Alebrijes de Oaxaca,2-0,2-0,Cancún FC,,,,2022-01-06T01:00Z
Clausura,1,Thu Jan 6 2022,17:00,CST/-0600,Club Celaya,1-1,0-1,Tepatitlán,,,,2022-01-06T23:00Z
Clausura,1,Thu Jan 6 2022,19:05,CST/-0600,Pumas Tabasco,0-1,0-1,CF Monterrey II,,,,2022-01-07T01:05Z
Clausura,1,Fri Jan 7 2022,17:00,CST/-0600,Tapatío,2-0,0-0,Mineros de Zacatecas,,,,2022-01-07T23:00Z
Clausura,1,Sat Jan 8 2022,19:00,CST/-0600,Venados FC,1-0,0-0,Atlante,,,,2022-01-09T01:00Z
Clausura,1,Sun Jan 9 2022,20:00,CST/-0600,Correcaminos UAT,1-2,1-0,Dorados de Sinaloa,,,,2022-01-10T02:00Z
Clausura,1,Sun Jan 9 2022,17:00,CST/-0600,Coyotes de Tlaxcala,0-4,0-2,Atlético Morelia,,,,2022-01-09T23:00Z
Clausura,2,Tue Jan 11 2022,19:05,CST/-0600,Cancún FC,2-0,2-0,Club Celaya,,,,2022-01-12T01:05Z
Clausura,2,Tue Jan 11 2022,17:00,CST/-0600,CF Monterrey II,1-0,1-0,Cimarrones de Sonora,,,,2022-01-11T23:00Z
Clausura,2,Tue Jan 11 2022,21:05,CST/-0600,TM Fútbol Club,1-1,0-1,Alebrijes de Oaxaca,,,,2022-01-12T03:05Z
Clausura,2,Wed Jan 12 2022,17:00,CST/-0600,Mineros de Zacatecas,1-2,0-1,Atlético Morelia,,,,2022-01-12T23:00Z
Clausura,2,Wed Jan 12 2022,21:05,CST/-0600,Dorados de Sinaloa,0-2,0-1,Tapatío,,,,2022-01-13T03:05Z
Clausura,2,Wed Jan 12 2022,19:05,CST/-0600,Atlante,1-1,1-0,Coyotes de Tlaxcala,,,,2022-01-13T01:05Z
Clausura,2,Thu Jan 13 2022,17:00,CST/-0600,Tepatitlán,1-1,0-1,Correcaminos UAT,,,,2022-01-13T23:00Z
Clausura,2,Sun Jan 16 2022,16:00,CST/-0600,Leones Negros,3-1,1-1,Pumas Tabasco,,,,2022-01-16T22:00Z
Clausura,3,Tue Jan 18 2022,17:00,CST/-0600,Cancún FC,1-2,1-2,Dorados de Sinaloa,,,,2022-01-18T23:00Z
Clausura,3,Tue Jan 18 2022,19:05,CST/-0600,Coyotes de Tlaxcala,1-0,1-0,Cimarrones de Sonora,,,,2022-01-19T01:05Z
Clausura,3,Tue Jan 18 2022,21:05,CST/-0600,Correcaminos UAT,0-0,0-0,Mineros de Zacatecas,,,,2022-01-19T03:05Z
Clausura,3,Wed Jan 19 2022,17:00,CST/-0600,Club Celaya,1-1,1-1,Atlante,,,,2022-01-19T23:00Z
Clausura,3,Wed Jan 19 2022,19:05,CST/-0600,Pumas Tabasco,2-0,1-0,TM Fútbol Club,,,,2022-01-20T01:05Z
Clausura,3,Wed Jan 19 2022,21:05,CST/-0600,Alebrijes de Oaxaca,1-1,1-1,Leones Negros,,,,2022-01-20T03:05Z
Clausura,3,Thu Jan 20 2022,17:00,CST/-0600,Tapatío,1-0,0-0,Venados FC,,,,2022-01-20T23:00Z
Clausura,3,Sun Jan 23 2022,17:00,CST/-0600,Atlético Morelia,1-0,0-0,CF Monterrey II,,,,2022-01-23T23:00Z
Clausura,4,Tue Jan 25 2022,19:05,CST/-0600,Venados FC,2-2,1-1,Pumas Tabasco,,,,2022-01-26T01:05Z
Clausura,4,Tue Jan 25 2022,17:00,CST/-0600,Tepatitlán,1-1,0-0,Coyotes de Tlaxcala,,,,2022-01-25T23:00Z
Clausura,4,Tue Jan 25 2022,21:05,CST/-0600,Mineros de Zacatecas,1-0,1-0,Cancún FC,,,,2022-01-26T03:05Z
Clausura,4,Wed Jan 26 2022,21:05,CST/-0600,Cimarrones de Sonora,3-0,1-0,Atlético Morelia,,,,2022-01-27T03:05Z
Clausura,4,Wed Jan 26 2022,19:05,CST/-0600,Leones Negros,0-3,0-1,Correcaminos UAT,,,,2022-01-27T01:05Z
Clausura,4,Wed Jan 26 2022,19:05,CST/-0600,TM Fútbol Club,1-1,0-1,Dorados de Sinaloa,,,,2022-01-27T01:05Z
Clausura,4,Wed Jan 26 2022,17:00,CST/-0600,CF Monterrey II,2-0,0-0,Alebrijes de Oaxaca,,,,2022-01-26T23:00Z
Clausura,4,Thu Jan 27 2022,21:00,CST/-0600,Atlante,0-0,0-0,Tapatío,,,,2022-01-28T03:00Z
Clausura,5,Fri Jan 28 2022,19:05,CST/-0600,Mineros de Zacatecas,1-0,1-0,Tepatitlán,,,,2022-01-29T01:05Z
Clausura,5,Fri Jan 28 2022,17:00,CST/-0600,Coyotes de Tlaxcala,1-0,1-0,Venados FC,,,,2022-01-28T23:00Z
Clausura,5,Sat Jan 29 2022,21:05,CST/-0600,Club Celaya,2-1,2-0,CF Monterrey II,,,,2022-01-30T03:05Z
