Round,Date,Time,Team 1,FT,HT,Team 2
16,Fri Mar 25 2022,19:30,1. Wiener Neustädter SC,4-2,2-1,ASV Draßburg
16,Fri Mar 25 2022,19:00,SC Neusiedl/See 1919,4-0,2-0,FC Mauerwerk
16,Fri Mar 25 2022,19:00,FC Marchfeld Donauauen,3-3,2-0,SV Stripfing/Weiden
16,Sun Mar 27 2022,14:00,FC Admira Wacker II,1-1,1-0,ASK-BSC Bruck/Leitha
16,Sun Mar 27 2022,15:00,SV Leobendorf,0-0,0-0,SC Wiener Viktoria
14,Tue Mar 29 2022,19:30,FC Marchfeld Donauauen,3-1,1-1,Wiener Sport-Club
17,Fri Apr 1 2022,19:30,Wiener Sport-Club,2-2,0-1,ASK-BSC Bruck/Leitha
17,Fri Apr 1 2022,19:30,ASV Draßburg,0-0,0-0,FC Marchfeld Donauauen
17,Fri Apr 1 2022,19:00,SC Neusiedl/See 1919,1-0,0-0,FC Admira Wacker II
17,Fri Apr 1 2022,19:30,FCM Traiskirchen,3-0,2-0,1. Wiener Neustädter SC
17,Sat Apr 2 2022,16:00,SC Wiener Viktoria,0-1,0-0,TWL Elektra
17,Sat Apr 2 2022,16:30,SV Stripfing/Weiden,2-2,0-0,SV Leobendorf
17,Sun Apr 3 2022,16:30,FC Mauerwerk,0-4,0-0,First Vienna FC
18,Fri Apr 8 2022,19:30,TWL Elektra,1-1,0-1,SV Stripfing/Weiden
18,Fri Apr 8 2022,19:30,FCM Traiskirchen,1-1,0-0,FC Marchfeld Donauauen
18,Fri Apr 8 2022,19:00,ASK-BSC Bruck/Leitha,2-0,2-0,SC Wiener Viktoria
18,Fri Apr 8 2022,19:00,First Vienna FC,1-0,0-0,SC Neusiedl/See 1919
18,Sat Apr 9 2022,19:00,1. Wiener Neustädter SC,1-1,0-0,FC Mauerwerk
18,Sun Apr 10 2022,14:00,FC Admira Wacker II,3-1,1-1,Wiener Sport-Club
18,Sun Apr 10 2022,15:00,SV Leobendorf,3-1,1-1,ASV Draßburg
15,Tue Apr 12 2022,19:00,SC Wiener Viktoria,4-4,3-1,FC Marchfeld Donauauen
15,Tue Apr 12 2022,19:30,FC Mauerwerk,1-0,0-0,FC Admira Wacker II
16,Tue Apr 12 2022,19:00,First Vienna FC,1-2,0-1,FCM Traiskirchen
19,Fri Apr 15 2022,19:30,FCM Traiskirchen,0-1,0-0,SV Leobendorf
19,Fri Apr 15 2022,19:30,ASV Draßburg,0-3,0-0,TWL Elektra
19,Fri Apr 15 2022,19:00,SC Neusiedl/See 1919,1-1,1-1,1. Wiener Neustädter SC
19,Fri Apr 15 2022,19:00,First Vienna FC,4-1,2-1,FC Admira Wacker II
19,Fri Apr 15 2022,19:30,SC Wiener Viktoria,0-1,0-0,Wiener Sport-Club
19,Sat Apr 16 2022,16:30,SV Stripfing/Weiden,0-0,0-0,ASK-BSC Bruck/Leitha
19,Sun Apr 17 2022,16:30,FC Mauerwerk,0-0,0-0,FC Marchfeld Donauauen
14,Tue Apr 19 2022,20:30,FC Admira Wacker II,0-3,0-2,TWL Elektra
20,Fri Apr 22 2022,20:00,1. Wiener Neustädter SC,0-1,0-0,First Vienna FC
20,Fri Apr 22 2022,19:30,TWL Elektra,2-2,1-2,FCM Traiskirchen
20,Fri Apr 22 2022,19:00,ASK-BSC Bruck/Leitha,4-0,3-0,ASV Draßburg
20,Fri Apr 22 2022,19:30,FC Marchfeld Donauauen,0-1,0-0,SC Neusiedl/See 1919
20,Fri Apr 22 2022,19:30,Wiener Sport-Club,0-4,0-1,SV Stripfing/Weiden
20,Sat Apr 23 2022,16:30,SV Leobendorf,2-1,1-1,FC Mauerwerk
20,Sun Apr 24 2022,14:00,FC Admira Wacker II,3-2,0-1,SC Wiener Viktoria
21,Fri Apr 29 2022,19:00,SC Neusiedl/See 1919,2-2,1-1,SV Leobendorf
21,Fri Apr 29 2022,19:30,ASV Draßburg,1-1,0-0,Wiener Sport-Club
21,Fri Apr 29 2022,19:30,First Vienna FC,2-0,2-0,FC Marchfeld Donauauen
21,Fri Apr 29 2022,20:00,1. Wiener Neustädter SC,3-1,3-1,FC Admira Wacker II
21,Fri Apr 29 2022,18:30,FCM Traiskirchen,1-3,0-1,ASK-BSC Bruck/Leitha
21,Sat Apr 30 2022,18:00,FC Mauerwerk,1-2,0-2,TWL Elektra
21,Sat Apr 30 2022,16:30,SV Stripfing/Weiden,4-0,2-0,SC Wiener Viktoria
15,Tue May 3 2022,19:30,FCM Traiskirchen,1-2,0-2,SC Neusiedl/See 1919
22,Fri May 6 2022,19:00,ASK-BSC Bruck/Leitha,2-2,1-2,FC Mauerwerk
22,Fri May 6 2022,19:30,FC Marchfeld Donauauen,4-3,4-1,1. Wiener Neustädter SC
22,Fri May 6 2022,19:30,TWL Elektra,0-1,0-0,SC Neusiedl/See 1919
22,Fri May 6 2022,19:30,Wiener Sport-Club,2-1,1-1,FCM Traiskirchen
22,Sat May 7 2022,16:30,SV Leobendorf,1-3,0-2,First Vienna FC
22,Sat May 7 2022,16:00,SC Wiener Viktoria,2-0,1-0,ASV Draßburg
22,Sun May 8 2022,14:00,FC Admira Wacker II,0-3,0-2,SV Stripfing/Weiden
23,Fri May 13 2022,19:00,First Vienna FC,2-0,0-0,TWL Elektra
23,Fri May 13 2022,19:00,SC Neusiedl/See 1919,4-2,3-2,ASK-BSC Bruck/Leitha
23,Fri May 13 2022,19:30,1. Wiener Neustädter SC,3-0,1-0,SV Leobendorf
23,Fri May 13 2022,19:30,FC Marchfeld Donauauen,2-2,1-1,FC Admira Wacker II
23,Fri May 13 2022,19:30,FCM Traiskirchen,0-1,0-0,SC Wiener Viktoria
23,Fri May 13 2022,19:30,ASV Draßburg,1-2,0-1,SV Stripfing/Weiden
23,Sun May 15 2022,16:30,FC Mauerwerk,0-1,0-0,Wiener Sport-Club
24,Fri May 20 2022,19:00,ASK-BSC Bruck/Leitha,0-0,0-0,First Vienna FC
24,Fri May 20 2022,19:30,TWL Elektra,1-1,1-0,1. Wiener Neustädter SC
24,Fri May 20 2022,18:30,SV Leobendorf,2-0,0-0,FC Marchfeld Donauauen
24,Fri May 20 2022,19:30,Wiener Sport-Club,2-1,1-1,SC Neusiedl/See 1919
24,Sat May 21 2022,16:30,SV Stripfing/Weiden,3-1,0-0,FCM Traiskirchen
24,Sat May 21 2022,16:00,SC Wiener Viktoria,2-0,2-0,FC Mauerwerk
24,Sun May 22 2022,14:00,FC Admira Wacker II,3-4,1-3,ASV Draßburg
25,Fri May 27 2022,19:00,SV Leobendorf,2-1,0-1,FC Admira Wacker II
25,Fri May 27 2022,19:00,1. Wiener Neustädter SC,2-0,0-0,ASK-BSC Bruck/Leitha
25,Fri May 27 2022,19:00,FC Marchfeld Donauauen,2-1,0-0,TWL Elektra
25,Fri May 27 2022,18:30,FC Mauerwerk,2-1,2-1,SV Stripfing/Weiden
25,Fri May 27 2022,19:10,First Vienna FC,2-2,1-1,Wiener Sport-Club
25,Fri May 27 2022,19:00,SC Neusiedl/See 1919,0-0,0-0,SC Wiener Viktoria
25,Sat May 28 2022,15:00,FCM Traiskirchen,1-0,1-0,ASV Draßburg
