Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,UTC
,21,Sun Feb 6 2022,16:15,CET/+0100,Pordenone Calcio,1-1,1-0,SPAL 2013 Ferrara,,2022-02-06T15:15Z
,22,Sat Feb 12 2022,14:00,CET/+0100,Pisa SC,0-0,0-0,Ternana Calcio,,2022-02-12T13:00Z
,22,Sat Feb 12 2022,14:00,CET/+0100,AS Cittadella,0-2,0-1,US Cremonese,,2022-02-12T13:00Z
,22,Sat Feb 12 2022,14:00,CET/+0100,Parma Calcio 1913,4-1,0-1,Pordenone Calcio,,2022-02-12T13:00Z
,22,Sat Feb 12 2022,14:00,CET/+0100,AC Monza,4-0,1-0,SPAL 2013 Ferrara,,2022-02-12T13:00Z
,22,Sat Feb 12 2022,14:00,CET/+0100,L.R. Vicenza,0-0,0-0,Cosenza Calcio,,2022-02-12T13:00Z
,22,Sat Feb 12 2022,16:15,CET/+0100,AC Perugia Calcio,3-0,2-0,Frosinone Calcio,,2022-02-12T15:15Z
,22,Sat Feb 12 2022,16:15,CET/+0100,Reggina 1914,1-0,1-0,FC Crotone,,2022-02-12T15:15Z
,22,Sun Feb 13 2022,15:30,CET/+0100,Ascoli Calcio,1-1,1-0,Como 1907,,2022-02-13T14:30Z
,22,Sun Feb 13 2022,15:30,CET/+0100,Brescia Calcio,1-1,0-0,US Alessandria 1912,,2022-02-13T14:30Z
,22,Sun Feb 13 2022,15:30,CET/+0100,US Lecce,1-1,1-1,Benevento Calcio,,2022-02-13T14:30Z
,23,Tue Feb 15 2022,18:30,CET/+0100,Pisa SC,2-2,1-2,L.R. Vicenza,,2022-02-15T17:30Z
,23,Tue Feb 15 2022,18:30,CET/+0100,Pordenone Calcio,0-1,0-1,AS Cittadella,,2022-02-15T17:30Z
,23,Tue Feb 15 2022,18:30,CET/+0100,SPAL 2013 Ferrara,1-3,1-1,Reggina 1914,,2022-02-15T17:30Z
,23,Tue Feb 15 2022,18:30,CET/+0100,Ternana Calcio,0-1,0-1,AC Monza,,2022-02-15T17:30Z
,23,Tue Feb 15 2022,18:30,CET/+0100,US Cremonese,3-1,1-0,Parma Calcio 1913,,2022-02-15T17:30Z
,23,Tue Feb 15 2022,18:30,CET/+0100,Cosenza Calcio,1-2,0-1,AC Perugia Calcio,,2022-02-15T17:30Z
,23,Wed Feb 16 2022,18:30,CET/+0100,FC Crotone,0-1,0-1,Brescia Calcio,,2022-02-16T17:30Z
,23,Wed Feb 16 2022,18:30,CET/+0100,Frosinone Calcio,1-2,1-2,Como 1907,,2022-02-16T17:30Z
,23,Wed Feb 16 2022,18:30,CET/+0100,US Alessandria 1912,1-1,0-0,US Lecce,,2022-02-16T17:30Z
,23,Wed Feb 16 2022,18:30,CET/+0100,Benevento Calcio,0-2,0-0,Ascoli Calcio,,2022-02-16T17:30Z
,24,Sat Feb 19 2022,14:00,CET/+0100,Ascoli Calcio,3-0,1-0,US Alessandria 1912,,2022-02-19T13:00Z
,24,Sat Feb 19 2022,14:00,CET/+0100,L.R. Vicenza,1-1,1-1,SPAL 2013 Ferrara,,2022-02-19T13:00Z
,24,Sat Feb 19 2022,14:00,CET/+0100,Parma Calcio 1913,2-3,2-2,Ternana Calcio,,2022-02-19T13:00Z
,24,Sat Feb 19 2022,14:00,CET/+0100,Reggina 1914,2-0,0-0,Pordenone Calcio,,2022-02-19T13:00Z
,24,Sat Feb 19 2022,14:00,CET/+0100,AC Monza,1-2,1-1,Pisa SC,,2022-02-19T13:00Z
,24,Sat Feb 19 2022,16:15,CET/+0100,AC Perugia Calcio,0-0,0-0,US Cremonese,,2022-02-19T15:15Z
,24,Sun Feb 20 2022,15:30,CET/+0100,Brescia Calcio,2-2,1-1,Frosinone Calcio,,2022-02-20T14:30Z
,24,Sun Feb 20 2022,15:30,CET/+0100,US Lecce,3-0,2-0,FC Crotone,,2022-02-20T14:30Z
,24,Sun Feb 20 2022,15:30,CET/+0100,Como 1907,2-1,0-0,Cosenza Calcio,,2022-02-20T14:30Z
,24,Sun Feb 20 2022,15:30,CET/+0100,AS Cittadella,0-1,0-0,Benevento Calcio,,2022-02-20T14:30Z
,25,Tue Feb 22 2022,18:30,CET/+0100,Pisa SC,0-0,0-0,Parma Calcio 1913,,2022-02-22T17:30Z
,25,Tue Feb 22 2022,18:30,CET/+0100,Pordenone Calcio,1-4,0-2,AC Monza,,2022-02-22T17:30Z
,25,Tue Feb 22 2022,18:30,CET/+0100,SPAL 2013 Ferrara,5-1,2-0,Ternana Calcio,,2022-02-22T17:30Z
,25,Tue Feb 22 2022,18:30,CET/+0100,US Alessandria 1912,1-2,1-1,AC Perugia Calcio,,2022-02-22T17:30Z
,25,Tue Feb 22 2022,18:30,CET/+0100,US Cremonese,0-0,0-0,L.R. Vicenza,,2022-02-22T17:30Z
,25,Wed Feb 23 2022,18:30,CET/+0100,Brescia Calcio,2-0,1-0,Ascoli Calcio,,2022-02-23T17:30Z
,25,Wed Feb 23 2022,18:30,CET/+0100,Frosinone Calcio,3-0,0-0,Reggina 1914,,2022-02-23T17:30Z
,25,Wed Feb 23 2022,18:30,CET/+0100,US Lecce,1-2,0-1,AS Cittadella,,2022-02-23T17:30Z
,25,Wed Feb 23 2022,18:30,CET/+0100,FC Crotone,3-3,0-2,Cosenza Calcio,,2022-02-23T17:30Z
,25,Wed Feb 23 2022,18:30,CET/+0100,Benevento Calcio,5-0,3-0,Como 1907,,2022-02-23T17:30Z
,26,Sat Feb 26 2022,14:00,CET/+0100,Como 1907,1-1,1-0,Brescia Calcio,,2022-02-26T13:00Z
,26,Sat Feb 26 2022,14:00,CET/+0100,L.R. Vicenza,1-0,1-0,Pordenone Calcio,,2022-02-26T13:00Z
,26,Sat Feb 26 2022,14:00,CET/+0100,Parma Calcio 1913,4-0,2-0,SPAL 2013 Ferrara,,2022-02-26T13:00Z
,26,Sat Feb 26 2022,14:00,CET/+0100,Cosenza Calcio,2-1,0-1,US Alessandria 1912,,2022-02-26T13:00Z
,26,Sat Feb 26 2022,14:05,CET/+0100,Ternana Calcio,1-2,0-0,US Cremonese,,2022-02-26T13:05Z
,26,Sat Feb 26 2022,16:20,CET/+0100,AC Perugia Calcio,0-1,0-1,Benevento Calcio,,2022-02-26T15:20Z
,26,Sun Feb 27 2022,15:30,CET/+0100,Ascoli Calcio,2-1,0-0,FC Crotone,,2022-02-27T14:30Z
,26,Sun Feb 27 2022,15:30,CET/+0100,Reggina 1914,1-0,1-0,Pisa SC,,2022-02-27T14:30Z
,26,Sun Feb 27 2022,15:30,CET/+0100,AC Monza,0-1,0-0,US Lecce,,2022-02-27T14:30Z
,26,Sun Feb 27 2022,15:30,CET/+0100,AS Cittadella,3-0,3-0,Frosinone Calcio,,2022-02-27T14:30Z
,27,Tue Mar 1 2022,18:30,CET/+0100,Brescia Calcio,2-1,0-1,AC Perugia Calcio,,2022-03-01T17:30Z
,27,Tue Mar 1 2022,18:30,CET/+0100,Ternana Calcio,1-0,0-0,Pordenone Calcio,,2022-03-01T17:30Z
,27,Tue Mar 1 2022,20:30,CET/+0100,US Alessandria 1912,1-1,0-1,Como 1907,,2022-03-01T19:30Z
,27,Tue Mar 1 2022,18:30,CET/+0100,Benevento Calcio,1-1,1-1,US Cremonese,,2022-03-01T17:30Z
,27,Wed Mar 2 2022,18:30,CET/+0100,Pisa SC,3-2,3-0,FC Crotone,,2022-03-02T17:30Z
,27,Wed Mar 2 2022,18:30,CET/+0100,Reggina 1914,3-1,2-0,L.R. Vicenza,,2022-03-02T17:30Z
,27,Wed Mar 2 2022,18:30,CET/+0100,SPAL 2013 Ferrara,0-0,0-0,AS Cittadella,,2022-03-02T17:30Z
,27,Wed Mar 2 2022,18:30,CET/+0100,AC Monza,1-1,0-1,Parma Calcio 1913,,2022-03-02T17:30Z
,27,Wed Mar 2 2022,18:30,CET/+0100,US Lecce,3-1,1-0,Ascoli Calcio,,2022-03-02T17:30Z
,27,Wed Mar 2 2022,18:30,CET/+0100,Frosinone Calcio,1-0,0-0,Cosenza Calcio,,2022-03-02T17:30Z
,28,Sat Mar 5 2022,14:00,CET/+0100,AS Cittadella,1-2,1-1,AC Monza,,2022-03-05T13:00Z
,28,Sat Mar 5 2022,14:00,CET/+0100,Como 1907,0-2,0-1,SPAL 2013 Ferrara,,2022-03-05T13:00Z
,28,Sat Mar 5 2022,14:00,CET/+0100,Parma Calcio 1913,1-1,1-0,Reggina 1914,,2022-03-05T13:00Z
,28,Sat Mar 5 2022,14:00,CET/+0100,Pordenone Calcio,0-1,0-1,Pisa SC,,2022-03-05T13:00Z
,28,Sat Mar 5 2022,16:15,CET/+0100,US Cremonese,2-1,1-1,Brescia Calcio,,2022-03-05T15:15Z
,28,Sun Mar 6 2022,15:30,CET/+0100,Ascoli Calcio,1-1,1-0,Frosinone Calcio,,2022-03-06T14:30Z
,28,Sun Mar 6 2022,15:30,CET/+0100,FC Crotone,0-0,0-0,US Alessandria 1912,,2022-03-06T14:30Z
,28,Sun Mar 6 2022,15:30,CET/+0100,L.R. Vicenza,3-1,3-0,Ternana Calcio,,2022-03-06T14:30Z
,28,Sun Mar 6 2022,15:30,CET/+0100,AC Perugia Calcio,1-1,0-0,US Lecce,,2022-03-06T14:30Z
,29,Fri Mar 11 2022,20:30,CET/+0100,Parma Calcio 1913,1-1,0-1,AS Cittadella,,2022-03-11T19:30Z
,29,Sat Mar 12 2022,16:15,CET/+0100,Frosinone Calcio,3-0,1-0,US Alessandria 1912,,2022-03-12T15:15Z
,29,Sat Mar 12 2022,14:00,CET/+0100,Reggina 1914,0-1,0-0,AC Perugia Calcio,,2022-03-12T13:00Z
,29,Sat Mar 12 2022,14:00,CET/+0100,US Lecce,1-1,1-1,Brescia Calcio,,2022-03-12T13:00Z
,29,Sat Mar 12 2022,14:00,CET/+0100,Ternana Calcio,2-0,2-0,Cosenza Calcio,,2022-03-12T13:00Z
,29,Sat Mar 12 2022,16:15,CET/+0100,Benevento Calcio,3-1,2-1,FC Crotone,,2022-03-12T15:15Z
,29,Sat Mar 12 2022,16:15,CET/+0100,SPAL 2013 Ferrara,1-2,0-1,Ascoli Calcio,,2022-03-12T15:15Z
,29,Sat Mar 12 2022,16:15,CET/+0100,Pordenone Calcio,1-1,1-0,Como 1907,,2022-03-12T15:15Z
,29,Sat Mar 12 2022,16:15,CET/+0100,AC Monza,4-0,1-0,L.R. Vicenza,,2022-03-12T15:15Z
,29,Sun Mar 13 2022,15:30,CET/+0100,Pisa SC,3-0,1-0,US Cremonese,,2022-03-13T14:30Z
,30,Tue Mar 15 2022,20:30,CET/+0100,US Alessandria 1912,0-3,0-1,AC Monza,,2022-03-15T19:30Z
,30,Tue Mar 15 2022,18:30,CET/+0100,AS Cittadella,0-0,0-0,Reggina 1914,,2022-03-15T17:30Z
,30,Tue Mar 15 2022,18:30,CET/+0100,Brescia Calcio,2-2,2-1,Benevento Calcio,,2022-03-15T17:30Z
,30,Tue Mar 15 2022,18:30,CET/+0100,Como 1907,1-1,1-0,Ternana Calcio,,2022-03-15T17:30Z
,30,Tue Mar 15 2022,18:30,CET/+0100,FC Crotone,2-0,1-0,Frosinone Calcio,,2022-03-15T17:30Z
,30,Tue Mar 15 2022,18:30,CET/+0100,L.R. Vicenza,0-1,0-1,Parma Calcio 1913,,2022-03-15T17:30Z
,30,Tue Mar 15 2022,18:30,CET/+0100,Cosenza Calcio,2-2,1-1,US Lecce,,2022-03-15T17:30Z
,30,Wed Mar 16 2022,18:30,CET/+0100,AC Perugia Calcio,1-1,0-0,SPAL 2013 Ferrara,,2022-03-16T17:30Z
,30,Wed Mar 16 2022,18:30,CET/+0100,Ascoli Calcio,2-0,2-0,Pisa SC,,2022-03-16T17:30Z
,30,Wed Mar 16 2022,18:30,CET/+0100,US Cremonese,2-1,0-0,Pordenone Calcio,,2022-03-16T17:30Z
,31,Sat Mar 19 2022,14:00,CET/+0100,Reggina 1914,1-0,1-0,Cosenza Calcio,,2022-03-19T13:00Z
,31,Sat Mar 19 2022,14:00,CET/+0100,Parma Calcio 1913,0-0,0-0,US Lecce,,2022-03-19T13:00Z
,31,Sat Mar 19 2022,14:00,CET/+0100,AC Monza,1-0,0-0,FC Crotone,,2022-03-19T13:00Z
,31,Sat Mar 19 2022,14:00,CET/+0100,Ternana Calcio,3-0,1-0,US Alessandria 1912,,2022-03-19T13:00Z
,31,Sat Mar 19 2022,16:15,CET/+0100,Frosinone Calcio,2-0,1-0,Benevento Calcio,,2022-03-19T15:15Z
,31,Sun Mar 20 2022,14:00,CET/+0100,Pisa SC,1-0,1-0,AS Cittadella,,2022-03-20T13:00Z
,31,Sun Mar 20 2022,14:00,CET/+0100,AC Perugia Calcio,0-1,0-0,Como 1907,,2022-03-20T13:00Z
,31,Sun Mar 20 2022,16:15,CET/+0100,Pordenone Calcio,1-1,1-1,Brescia Calcio,,2022-03-20T15:15Z
,31,Sun Mar 20 2022,14:00,CET/+0100,L.R. Vicenza,2-0,0-0,Ascoli Calcio,,2022-03-20T13:00Z
,31,Sun Mar 20 2022,16:15,CET/+0100,SPAL 2013 Ferrara,0-2,0-1,US Cremonese,,2022-03-20T15:15Z
,32,Sat Apr 2 2022,16:15,CEST/+0200,Benevento Calcio,5-1,2-0,Pisa SC,,2022-04-02T14:15Z
,32,Sat Apr 2 2022,14:00,CEST/+0200,AS Cittadella,1-2,0-1,Ternana Calcio,,2022-04-02T12:00Z
,32,Sat Apr 2 2022,14:00,CEST/+0200,Ascoli Calcio,1-0,0-0,Pordenone Calcio,,2022-04-02T12:00Z
,32,Sat Apr 2 2022,14:00,CEST/+0200,US Alessandria 1912,2-2,1-1,SPAL 2013 Ferrara,,2022-04-02T12:00Z
,32,Sat Apr 2 2022,14:00,CEST/+0200,US Cremonese,1-1,0-0,Reggina 1914,,2022-04-02T12:00Z
,32,Sat Apr 2 2022,14:00,CEST/+0200,US Lecce,1-0,1-0,Frosinone Calcio,,2022-04-02T12:00Z
,32,Sat Apr 2 2022,14:00,CEST/+0200,Cosenza Calcio,1-3,0-1,Parma Calcio 1913,,2022-04-02T12:00Z
,32,Sun Apr 3 2022,15:30,CEST/+0200,Como 1907,2-0,0-0,AC Monza,,2022-04-03T13:30Z
,32,Sun Apr 3 2022,15:30,CEST/+0200,Brescia Calcio,2-0,2-0,L.R. Vicenza,,2022-04-03T13:30Z
,32,Sun Apr 3 2022,15:30,CEST/+0200,FC Crotone,1-1,0-1,AC Perugia Calcio,,2022-04-03T13:30Z
,33,Tue Apr 5 2022,19:00,CEST/+0200,Pordenone Calcio,2-0,1-0,Frosinone Calcio,,2022-04-05T17:00Z
,33,Tue Apr 5 2022,19:00,CEST/+0200,Reggina 1914,0-3,0-1,Benevento Calcio,,2022-04-05T17:00Z
,33,Tue Apr 5 2022,19:00,CEST/+0200,Ternana Calcio,1-4,1-2,US Lecce,,2022-04-05T17:00Z
,33,Tue Apr 5 2022,19:00,CEST/+0200,US Cremonese,2-1,1-0,US Alessandria 1912,,2022-04-05T17:00Z
,33,Tue Apr 5 2022,19:00,CEST/+0200,SPAL 2013 Ferrara,2-2,0-1,Cosenza Calcio,,2022-04-05T17:00Z
,33,Wed Apr 6 2022,19:00,CEST/+0200,AC Monza,2-0,2-0,Ascoli Calcio,,2022-04-06T17:00Z
,33,Wed Apr 6 2022,14:00,CEST/+0200,Parma Calcio 1913,4-3,1-0,Como 1907,,2022-04-06T12:00Z
,33,Wed Apr 6 2022,19:00,CEST/+0200,Pisa SC,0-0,0-0,Brescia Calcio,,2022-04-06T17:00Z
,33,Wed Apr 6 2022,19:00,CEST/+0200,AS Cittadella,0-0,0-0,AC Perugia Calcio,,2022-04-06T17:00Z
,33,Wed Apr 6 2022,19:00,CEST/+0200,L.R. Vicenza,1-1,1-1,FC Crotone,,2022-04-06T17:00Z
,34,Sat Apr 9 2022,14:00,CEST/+0200,Como 1907,1-2,1-2,AS Cittadella,,2022-04-09T12:00Z
,34,Sat Apr 9 2022,14:00,CEST/+0200,US Alessandria 1912,2-0,1-0,Pordenone Calcio,,2022-04-09T12:00Z
,34,Sat Apr 9 2022,14:00,CEST/+0200,US Lecce,1-0,0-0,SPAL 2013 Ferrara,,2022-04-09T12:00Z
,34,Sat Apr 9 2022,16:15,CEST/+0200,Frosinone Calcio,2-1,2-1,US Cremonese,,2022-04-09T14:15Z
,34,Sun Apr 10 2022,18:00,CEST/+0200,AC Perugia Calcio,1-1,0-1,Pisa SC,,2022-04-10T16:00Z
,34,Sun Apr 10 2022,14:30,CEST/+0200,Benevento Calcio,1-0,0-0,L.R. Vicenza,,2022-04-10T12:30Z
,34,Sun Apr 10 2022,15:30,CEST/+0200,Ascoli Calcio,2-0,0-0,Reggina 1914,,2022-04-10T13:30Z
,34,Sun Apr 10 2022,15:30,CEST/+0200,FC Crotone,1-2,1-1,Ternana Calcio,,2022-04-10T13:30Z
,34,Sun Apr 10 2022,15:30,CEST/+0200,Cosenza Calcio,0-2,0-1,AC Monza,,2022-04-10T13:30Z
,34,Mon Apr 11 2022,20:30,CEST/+0200,Brescia Calcio,1-0,0-0,Parma Calcio 1913,,2022-04-11T18:30Z
,28,Thu Apr 14 2022,20:00,CEST/+0200,Cosenza Calcio,1-0,0-0,Benevento Calcio,,2022-04-14T18:00Z
,35,Mon Apr 18 2022,12:30,CEST/+0200,SPAL 2013 Ferrara,1-1,0-1,FC Crotone,,2022-04-18T10:30Z
,35,Mon Apr 18 2022,15:00,CEST/+0200,L.R. Vicenza,1-2,1-1,AC Perugia Calcio,,2022-04-18T13:00Z
,35,Mon Apr 18 2022,15:00,CEST/+0200,Pordenone Calcio,1-4,0-2,Benevento Calcio,,2022-04-18T13:00Z
,35,Mon Apr 18 2022,15:00,CEST/+0200,Reggina 1914,1-0,1-0,US Lecce,,2022-04-18T13:00Z
,35,Mon Apr 18 2022,15:00,CEST/+0200,US Cremonese,3-1,3-1,Cosenza Calcio,,2022-04-18T13:00Z
,35,Mon Apr 18 2022,18:00,CEST/+0200,Pisa SC,3-1,1-0,Como 1907,,2022-04-18T16:00Z
,35,Mon Apr 18 2022,18:00,CEST/+0200,AS Cittadella,1-2,0-2,US Alessandria 1912,,2022-04-18T16:00Z
,35,Mon Apr 18 2022,18:00,CEST/+0200,Parma Calcio 1913,0-1,0-1,Ascoli Calcio,,2022-04-18T16:00Z
,35,Mon Apr 18 2022,18:00,CEST/+0200,Ternana Calcio,4-4,2-2,Frosinone Calcio,,2022-04-18T16:00Z
,35,Mon Apr 18 2022,20:30,CEST/+0200,AC Monza,1-1,0-0,Brescia Calcio,,2022-04-18T18:30Z
,36,Mon Apr 25 2022,12:30,CEST/+0200,Ascoli Calcio,0-0,0-0,AS Cittadella,,2022-04-25T10:30Z
,36,Mon Apr 25 2022,15:00,CEST/+0200,FC Crotone,3-1,3-0,US Cremonese,,2022-04-25T13:00Z
,36,Mon Apr 25 2022,15:00,CEST/+0200,Frosinone Calcio,4-1,2-1,AC Monza,,2022-04-25T13:00Z
,36,Mon Apr 25 2022,15:00,CEST/+0200,US Alessandria 1912,0-0,0-0,Reggina 1914,,2022-04-25T13:00Z
,36,Mon Apr 25 2022,15:00,CEST/+0200,US Lecce,2-0,1-0,Pisa SC,,2022-04-25T13:00Z
,36,Mon Apr 25 2022,15:00,CEST/+0200,Cosenza Calcio,3-1,2-1,Pordenone Calcio,,2022-04-25T13:00Z
,36,Mon Apr 25 2022,18:00,CEST/+0200,Benevento Calcio,1-2,1-0,Ternana Calcio,,2022-04-25T16:00Z
,36,Mon Apr 25 2022,18:00,CEST/+0200,Brescia Calcio,1-1,0-0,SPAL 2013 Ferrara,,2022-04-25T16:00Z
,36,Mon Apr 25 2022,18:00,CEST/+0200,Como 1907,0-2,0-1,L.R. Vicenza,,2022-04-25T16:00Z
,36,Mon Apr 25 2022,20:30,CEST/+0200,AC Perugia Calcio,2-1,2-0,Parma Calcio 1913,,2022-04-25T18:30Z
,37,Sat Apr 30 2022,14:00,CEST/+0200,AS Cittadella,1-0,0-0,Brescia Calcio,,2022-04-30T12:00Z
,37,Sat Apr 30 2022,14:00,CEST/+0200,L.R. Vicenza,2-1,0-0,US Lecce,,2022-04-30T12:00Z
,37,Sat Apr 30 2022,14:00,CEST/+0200,Parma Calcio 1913,2-2,1-1,US Alessandria 1912,,2022-04-30T12:00Z
,37,Sat Apr 30 2022,14:00,CEST/+0200,Pordenone Calcio,3-3,0-1,FC Crotone,,2022-04-30T12:00Z
,37,Sat Apr 30 2022,14:00,CEST/+0200,SPAL 2013 Ferrara,3-0,2-0,Frosinone Calcio,,2022-04-30T12:00Z
,37,Sat Apr 30 2022,14:00,CEST/+0200,AC Monza,3-0,0-0,Benevento Calcio,,2022-04-30T12:00Z
,37,Sat Apr 30 2022,14:00,CEST/+0200,Ternana Calcio,1-0,1-0,AC Perugia Calcio,,2022-04-30T12:00Z
,37,Sat Apr 30 2022,14:00,CEST/+0200,US Cremonese,0-1,0-0,Ascoli Calcio,,2022-04-30T12:00Z
,37,Sat Apr 30 2022,14:00,CEST/+0200,Pisa SC,1-1,1-0,Cosenza Calcio,,2022-04-30T12:00Z
,37,Sat Apr 30 2022,16:15,CEST/+0200,Reggina 1914,1-4,0-2,Como 1907,,2022-04-30T14:15Z
,38,Fri May 6 2022,18:15,CEST/+0200,FC Crotone,0-1,0-1,Parma Calcio 1913,,2022-05-06T16:15Z
,38,Fri May 6 2022,20:30,CEST/+0200,AC Perugia Calcio,1-0,0-0,AC Monza,,2022-05-06T18:30Z
,38,Fri May 6 2022,20:30,CEST/+0200,Ascoli Calcio,4-1,2-0,Ternana Calcio,,2022-05-06T18:30Z
,38,Fri May 6 2022,20:30,CEST/+0200,Benevento Calcio,1-2,0-1,SPAL 2013 Ferrara,,2022-05-06T18:30Z
,38,Fri May 6 2022,20:30,CEST/+0200,Brescia Calcio,3-0,1-0,Reggina 1914,,2022-05-06T18:30Z
,38,Fri May 6 2022,20:30,CEST/+0200,Como 1907,1-2,0-1,US Cremonese,,2022-05-06T18:30Z
,38,Fri May 6 2022,20:30,CEST/+0200,Frosinone Calcio,1-2,0-2,Pisa SC,,2022-05-06T18:30Z
,38,Fri May 6 2022,20:30,CEST/+0200,US Alessandria 1912,0-1,0-1,L.R. Vicenza,,2022-05-06T18:30Z
,38,Fri May 6 2022,20:30,CEST/+0200,US Lecce,1-0,0-0,Pordenone Calcio,,2022-05-06T18:30Z
,38,Fri May 6 2022,20:30,CEST/+0200,Cosenza Calcio,1-0,0-0,AS Cittadella,,2022-05-06T18:30Z
Playoffs - Relegation,Final,Thu May 12 2022,20:30,CEST/+0200,L.R. Vicenza,1-0,0-0,Cosenza Calcio,,2022-05-12T18:30Z
Aufstieg,Round 1,Fri May 13 2022,20:30,CEST/+0200,Ascoli Calcio,0-1,0-1,Benevento Calcio,,2022-05-13T18:30Z
Aufstieg,Round 1,Sat May 14 2022,18:00,CEST/+0200,Brescia Calcio,1-1,1-1,AC Perugia Calcio,3-2,2022-05-14T16:00Z
Aufstieg,Semifinals,Tue May 17 2022,20:30,CEST/+0200,Benevento Calcio,1-0,0-0,Pisa SC,,2022-05-17T18:30Z
Aufstieg,Semifinals,Wed May 18 2022,20:00,CEST/+0200,Brescia Calcio,1-2,1-1,AC Monza,,2022-05-18T18:00Z
Playoffs - Relegation,Final,Fri May 20 2022,20:30,CEST/+0200,Cosenza Calcio,2-0,0-0,L.R. Vicenza,,2022-05-20T18:30Z
Aufstieg,Semifinals,Sat May 21 2022,18:00,CEST/+0200,Pisa SC,1-0,1-0,Benevento Calcio,,2022-05-21T16:00Z
Aufstieg,Semifinals,Sun May 22 2022,21:00,CEST/+0200,AC Monza,2-1,0-1,Brescia Calcio,,2022-05-22T19:00Z
Aufstieg,Final,Thu May 26 2022,20:30,CEST/+0200,AC Monza,2-1,1-0,Pisa SC,,2022-05-26T18:30Z
Aufstieg,Final,Sun May 29 2022,20:30,CEST/+0200,Pisa SC,3-2,2-1,AC Monza,3-4,2022-05-29T18:30Z
