Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,Comments,UTC
Round of 16,Wed Jan 19 2022,18:30,CET/+0100,RB Leipzig,2-0,1-0,Hansa Rostock,,,,2022-01-19T17:30Z
Round of 16,Wed Jan 19 2022,18:30,CET/+0100,Hannover 96,3-0,2-0,Bor. Mönchengladbach,,,,2022-01-19T17:30Z
Round of 16,Wed Jan 19 2022,20:45,CET/+0100,1899 Hoffenheim,1-4,0-2,SC Freiburg,,,,2022-01-19T19:45Z
Round of 16,Wed Jan 19 2022,20:45,CET/+0100,Hertha BSC,2-3,0-1,1. FC Union Berlin,,,,2022-01-19T19:45Z
Quarterfinals,Tue Mar 1 2022,20:45,CET/+0100,1. FC Union Berlin,2-1,1-1,FC St. Pauli,,,,2022-03-01T19:45Z
Quarterfinals,Wed Mar 2 2022,18:30,CET/+0100,Hannover 96,0-4,0-2,RB Leipzig,,,,2022-03-02T17:30Z
Quarterfinals,Wed Mar 2 2022,20:45,CET/+0100,VfL Bochum,1-1,0-0,SC Freiburg,1-2,,,2022-03-02T19:45Z
Quarterfinals,Wed Mar 2 2022,18:30,CET/+0100,Hamburger SV,2-2,0-1,Karlsruher SC,2-2,3-2,,2022-03-02T17:30Z
Semifinals,Tue Apr 19 2022,20:45,CEST/+0200,Hamburger SV,1-3,0-3,SC Freiburg,,,,2022-04-19T18:45Z
Semifinals,Wed Apr 20 2022,20:45,CEST/+0200,RB Leipzig,2-1,0-1,1. FC Union Berlin,,,,2022-04-20T18:45Z
Final,Sat May 21 2022,20:00,CEST/+0200,SC Freiburg,1-1,1-0,RB Leipzig,1-1,2-4,,2022-05-21T18:00Z
