Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 2,Thu Dec 16 2021,21:00,CET/+0100,Sampdoria,2-1,1-0,Torino FC,,,2021-12-16T20:00Z
Round 2,Thu Dec 16 2021,18:00,CET/+0100,Spezia Calcio,0-2,0-1,US Lecce,,,2021-12-16T17:00Z
Round of 16,Wed Jan 12 2022,17:30,CET/+0100,Atalanta,2-0,1-0,Venezia FC,,,2022-01-12T16:30Z
Round of 16,Thu Jan 13 2022,21:00,CET/+0100,AC Milan,1-1,0-1,Genoa CFC,3-1,,2022-01-13T20:00Z
Round of 16,Thu Jan 13 2022,18:00,CET/+0100,SSC Napoli,2-2,1-1,ACF Fiorentina,2-5,,2022-01-13T17:00Z
Round of 16,Tue Jan 18 2022,21:00,CET/+0100,Juventus,4-1,1-0,Sampdoria,,,2022-01-18T20:00Z
Round of 16,Tue Jan 18 2022,17:30,CET/+0100,Lazio Roma,0-0,0-0,Udinese Calcio,1-0,,2022-01-18T16:30Z
Round of 16,Wed Jan 19 2022,17:30,CET/+0100,Sassuolo Calcio,1-0,1-0,Cagliari Calcio,,,2022-01-19T16:30Z
Round of 16,Wed Jan 19 2022,21:00,CET/+0100,Inter,2-2,1-0,Empoli FC,3-2,,2022-01-19T20:00Z
Round of 16,Thu Jan 20 2022,21:00,CET/+0100,AS Roma,3-1,1-1,US Lecce,,,2022-01-20T20:00Z
Quarterfinals,Tue Feb 8 2022,21:00,CET/+0100,Inter,2-0,1-0,AS Roma,,,2022-02-08T20:00Z
Quarterfinals,Wed Feb 9 2022,21:00,CET/+0100,AC Milan,4-0,3-0,Lazio Roma,,,2022-02-09T20:00Z
Quarterfinals,Thu Feb 10 2022,21:00,CET/+0100,Juventus,2-1,1-1,Sassuolo Calcio,,,2022-02-10T20:00Z
Quarterfinals,Thu Feb 10 2022,18:00,CET/+0100,Atalanta,2-3,1-1,ACF Fiorentina,,,2022-02-10T17:00Z
Semifinals,Tue Mar 1 2022,21:00,CET/+0100,AC Milan,0-0,0-0,Inter,,,2022-03-01T20:00Z
Semifinals,Wed Mar 2 2022,21:00,CET/+0100,ACF Fiorentina,0-1,0-0,Juventus,,,2022-03-02T20:00Z
Semifinals,Tue Apr 19 2022,21:00,CEST/+0200,Inter,3-0,2-0,AC Milan,,,2022-04-19T19:00Z
Semifinals,Wed Apr 20 2022,21:00,CEST/+0200,Juventus,2-0,1-0,ACF Fiorentina,,,2022-04-20T19:00Z
Final,Wed May 11 2022,21:00,CEST/+0200,Juventus,2-2,0-1,Inter,2-4,,2022-05-11T19:00Z
