Round,Date,Time,Timezone,Team 1,FT,Team 2,UTC
7,Sat Sep 15 2001,15:00,BST/+0100,Swansea City,0-2,Halifax Town,2001-09-15T14:00Z
7,Sat Sep 15 2001,15:00,BST/+0100,York City,1-2,Luton Town,2001-09-15T14:00Z
8,Tue Sep 18 2001,19:45,BST/+0100,Shrewsbury Town,4-0,Kidderminster Harriers,2001-09-18T18:45Z
8,Tue Sep 18 2001,19:30,BST/+0100,Darlington FC,3-0,Leyton Orient,2001-09-18T18:30Z
8,Tue Sep 18 2001,19:30,BST/+0100,Scunthorpe United,2-2,Swansea City,2001-09-18T18:30Z
8,Tue Sep 18 2001,19:45,BST/+0100,Bristol Rovers,2-1,Southend United,2001-09-18T18:45Z
8,Tue Sep 18 2001,19:45,BST/+0100,Carlisle United,2-1,York City,2001-09-18T18:45Z
8,Tue Sep 18 2001,19:45,BST/+0100,Halifax Town,1-0,Mansfield Town,2001-09-18T18:45Z
8,Tue Sep 18 2001,19:45,BST/+0100,Hartlepool United,0-1,Cheltenham Town,2001-09-18T18:45Z
8,Tue Sep 18 2001,19:45,BST/+0100,Hull City,3-1,Rochdale AFC,2001-09-18T18:45Z
8,Tue Sep 18 2001,19:45,BST/+0100,Luton Town,1-1,Lincoln City,2001-09-18T18:45Z
8,Tue Sep 18 2001,19:45,BST/+0100,Oxford United,0-2,Macclesfield Town,2001-09-18T18:45Z
8,Tue Sep 18 2001,19:45,BST/+0100,Exeter City,2-3,Plymouth Argyle,2001-09-18T18:45Z
8,Tue Sep 18 2001,19:45,BST/+0100,Rushden & Diamonds FC,0-0,Torquay United,2001-09-18T18:45Z
9,Sat Sep 22 2001,15:00,BST/+0100,Hull City,2-1,Swansea City,2001-09-22T14:00Z
9,Sat Sep 22 2001,15:00,BST/+0100,Bristol Rovers,2-2,York City,2001-09-22T14:00Z
9,Sat Sep 22 2001,15:00,BST/+0100,Carlisle United,2-2,Lincoln City,2001-09-22T14:00Z
9,Sat Sep 22 2001,15:00,BST/+0100,Darlington FC,4-0,Exeter City,2001-09-22T14:00Z
9,Sat Sep 22 2001,15:00,BST/+0100,Halifax Town,0-0,Leyton Orient,2001-09-22T14:00Z
9,Sat Sep 22 2001,15:00,BST/+0100,Hartlepool United,1-1,Kidderminster Harriers,2001-09-22T14:00Z
9,Sat Sep 22 2001,15:00,BST/+0100,Shrewsbury Town,1-0,Rochdale AFC,2001-09-22T14:00Z
9,Sat Sep 22 2001,15:00,BST/+0100,Luton Town,5-1,Torquay United,2001-09-22T14:00Z
9,Sat Sep 22 2001,15:00,BST/+0100,Oxford United,2-0,Southend United,2001-09-22T14:00Z
9,Sat Sep 22 2001,15:00,BST/+0100,Plymouth Argyle,2-0,Macclesfield Town,2001-09-22T14:00Z
9,Sat Sep 22 2001,15:00,BST/+0100,Rushden & Diamonds FC,1-0,Cheltenham Town,2001-09-22T14:00Z
9,Sat Sep 22 2001,15:00,BST/+0100,Scunthorpe United,0-0,Mansfield Town,2001-09-22T14:00Z
10,Tue Sep 25 2001,19:45,BST/+0100,Rochdale AFC,2-0,Halifax Town,2001-09-25T18:45Z
10,Tue Sep 25 2001,19:45,BST/+0100,Exeter City,1-1,Rushden & Diamonds FC,2001-09-25T18:45Z
10,Tue Sep 25 2001,19:45,BST/+0100,Kidderminster Harriers,0-0,Oxford United,2001-09-25T18:45Z
10,Tue Sep 25 2001,19:45,BST/+0100,Leyton Orient,1-3,Luton Town,2001-09-25T18:45Z
10,Tue Sep 25 2001,19:45,BST/+0100,Lincoln City,2-0,Hartlepool United,2001-09-25T18:45Z
10,Tue Sep 25 2001,19:45,BST/+0100,Macclesfield Town,1-1,Darlington FC,2001-09-25T18:45Z
10,Tue Sep 25 2001,19:45,BST/+0100,Mansfield Town,4-2,Hull City,2001-09-25T18:45Z
10,Tue Sep 25 2001,19:45,BST/+0100,Torquay United,0-0,Scunthorpe United,2001-09-25T18:45Z
10,Tue Sep 25 2001,19:45,BST/+0100,Southend United,3-2,Carlisle United,2001-09-25T18:45Z
10,Tue Sep 25 2001,19:45,BST/+0100,Swansea City,3-3,Shrewsbury Town,2001-09-25T18:45Z
10,Tue Sep 25 2001,19:45,BST/+0100,York City,0-0,Plymouth Argyle,2001-09-25T18:45Z
11,Fri Sep 28 2001,19:45,BST/+0100,Southend United,0-1,Cheltenham Town,2001-09-28T18:45Z
11,Sat Sep 29 2001,15:00,BST/+0100,Scunthorpe United,3-1,Shrewsbury Town,2001-09-29T14:00Z
11,Sat Sep 29 2001,15:00,BST/+0100,Rochdale AFC,3-1,Mansfield Town,2001-09-29T14:00Z
11,Sat Sep 29 2001,15:00,BST/+0100,Bristol Rovers,1-1,Oxford United,2001-09-29T14:00Z
11,Sat Sep 29 2001,15:00,BST/+0100,Darlington FC,0-0,Rushden & Diamonds FC,2001-09-29T14:00Z
11,Sat Sep 29 2001,15:00,BST/+0100,Exeter City,0-0,Macclesfield Town,2001-09-29T14:00Z
11,Sat Sep 29 2001,15:00,BST/+0100,Hartlepool United,3-1,Carlisle United,2001-09-29T14:00Z
11,Sat Sep 29 2001,15:00,BST/+0100,Hull City,3-0,Halifax Town,2001-09-29T14:00Z
11,Sat Sep 29 2001,15:00,BST/+0100,Kidderminster Harriers,0-2,Swansea City,2001-09-29T14:00Z
11,Sat Sep 29 2001,15:00,BST/+0100,Leyton Orient,1-2,Torquay United,2001-09-29T14:00Z
11,Sat Sep 29 2001,15:00,BST/+0100,Lincoln City,1-3,York City,2001-09-29T14:00Z
11,Sat Sep 29 2001,15:00,BST/+0100,Plymouth Argyle,2-1,Luton Town,2001-09-29T14:00Z
12,Fri Oct 5 2001,19:45,BST/+0100,Torquay United,2-1,Southend United,2001-10-05T18:45Z
12,Fri Oct 5 2001,19:45,BST/+0100,Shrewsbury Town,1-1,Hull City,2001-10-05T18:45Z
12,Fri Oct 5 2001,19:45,BST/+0100,Cheltenham Town,2-1,Lincoln City,2001-10-05T18:45Z
12,Fri Oct 5 2001,19:45,BST/+0100,Halifax Town,0-0,Scunthorpe United,2001-10-05T18:45Z
12,Fri Oct 5 2001,19:45,BST/+0100,Luton Town,5-2,Darlington FC,2001-10-05T18:45Z
12,Fri Oct 5 2001,19:45,BST/+0100,Mansfield Town,3-2,Leyton Orient,2001-10-05T18:45Z
12,Fri Oct 5 2001,19:45,BST/+0100,Rushden & Diamonds FC,2-1,Hartlepool United,2001-10-05T18:45Z
12,Sat Oct 6 2001,13:00,BST/+0100,York City,2-3,Exeter City,2001-10-06T12:00Z
12,Sat Oct 6 2001,13:00,BST/+0100,Oxford United,1-1,Plymouth Argyle,2001-10-06T12:00Z
12,Sat Oct 6 2001,15:00,BST/+0100,Carlisle United,1-0,Bristol Rovers,2001-10-06T14:00Z
12,Sun Oct 7 2001,14:00,BST/+0100,Macclesfield Town,0-1,Kidderminster Harriers,2001-10-07T13:00Z
12,Tue Oct 9 2001,19:45,BST/+0100,Swansea City,0-1,Rochdale AFC,2001-10-09T18:45Z
13,Sat Oct 13 2001,15:00,BST/+0100,Scunthorpe United,0-2,Luton Town,2001-10-13T14:00Z
13,Sat Oct 13 2001,15:00,BST/+0100,Plymouth Argyle,3-0,Halifax Town,2001-10-13T14:00Z
13,Sat Oct 13 2001,15:00,BST/+0100,Bristol Rovers,0-2,Macclesfield Town,2001-10-13T14:00Z
13,Sat Oct 13 2001,15:00,BST/+0100,Darlington FC,0-1,Mansfield Town,2001-10-13T14:00Z
13,Sat Oct 13 2001,15:00,BST/+0100,Exeter City,1-0,Carlisle United,2001-10-13T14:00Z
13,Sat Oct 13 2001,15:00,BST/+0100,Hartlepool United,3-0,York City,2001-10-13T14:00Z
13,Sat Oct 13 2001,15:00,BST/+0100,Hull City,1-0,Torquay United,2001-10-13T14:00Z
13,Sat Oct 13 2001,15:00,BST/+0100,Kidderminster Harriers,0-0,Cheltenham Town,2001-10-13T14:00Z
13,Sat Oct 13 2001,15:00,BST/+0100,Leyton Orient,2-4,Shrewsbury Town,2001-10-13T14:00Z
13,Sat Oct 13 2001,15:00,BST/+0100,Lincoln City,1-0,Oxford United,2001-10-13T14:00Z
13,Sat Oct 13 2001,15:00,BST/+0100,Rochdale AFC,0-0,Rushden & Diamonds FC,2001-10-13T14:00Z
13,Sat Oct 13 2001,15:00,BST/+0100,Southend United,4-2,Swansea City,2001-10-13T14:00Z
14,Sat Oct 20 2001,15:00,BST/+0100,Torquay United,1-0,Hartlepool United,2001-10-20T14:00Z
14,Sat Oct 20 2001,15:00,BST/+0100,Swansea City,0-1,Leyton Orient,2001-10-20T14:00Z
14,Sat Oct 20 2001,15:00,BST/+0100,Carlisle United,1-0,Kidderminster Harriers,2001-10-20T14:00Z
14,Sat Oct 20 2001,15:00,BST/+0100,Cheltenham Town,3-1,Exeter City,2001-10-20T14:00Z
14,Sat Oct 20 2001,15:00,BST/+0100,Halifax Town,0-0,Bristol Rovers,2001-10-20T14:00Z
14,Sat Oct 20 2001,15:00,BST/+0100,Luton Town,0-1,Rochdale AFC,2001-10-20T14:00Z
14,Sat Oct 20 2001,15:00,BST/+0100,Macclesfield Town,0-1,Lincoln City,2001-10-20T14:00Z
14,Sat Oct 20 2001,15:00,BST/+0100,Mansfield Town,0-3,Plymouth Argyle,2001-10-20T14:00Z
14,Sat Oct 20 2001,15:00,BST/+0100,Oxford United,0-1,Scunthorpe United,2001-10-20T14:00Z
14,Sat Oct 20 2001,15:00,BST/+0100,Rushden & Diamonds FC,3-3,Hull City,2001-10-20T14:00Z
14,Sat Oct 20 2001,15:00,BST/+0100,York City,2-1,Southend United,2001-10-20T14:00Z
15,Tue Oct 23 2001,19:45,BST/+0100,Swansea City,2-0,Darlington FC,2001-10-23T18:45Z
15,Tue Oct 23 2001,19:45,BST/+0100,Halifax Town,2-4,Luton Town,2001-10-23T18:45Z
15,Tue Oct 23 2001,19:45,BST/+0100,Shrewsbury Town,0-2,Rushden & Diamonds FC,2001-10-23T18:45Z
15,Tue Oct 23 2001,19:30,BST/+0100,Scunthorpe United,2-0,Southend United,2001-10-23T18:30Z
15,Tue Oct 23 2001,19:45,BST/+0100,Exeter City,1-0,Bristol Rovers,2001-10-23T18:45Z
15,Tue Oct 23 2001,19:45,BST/+0100,Rochdale AFC,2-2,Cheltenham Town,2001-10-23T18:45Z
15,Tue Oct 23 2001,19:45,BST/+0100,Hull City,1-1,Leyton Orient,2001-10-23T18:45Z
15,Tue Oct 23 2001,19:45,BST/+0100,Kidderminster Harriers,4-1,York City,2001-10-23T18:45Z
15,Tue Oct 23 2001,19:45,BST/+0100,Macclesfield Town,0-1,Hartlepool United,2001-10-23T18:45Z
15,Tue Oct 23 2001,19:45,BST/+0100,Mansfield Town,2-0,Torquay United,2001-10-23T18:45Z
15,Tue Oct 23 2001,19:45,BST/+0100,Oxford United,1-1,Carlisle United,2001-10-23T18:45Z
15,Tue Oct 23 2001,19:45,BST/+0100,Plymouth Argyle,2-0,Lincoln City,2001-10-23T18:45Z
16,Sat Oct 27 2001,15:00,BST/+0100,Leyton Orient,4-2,Rochdale AFC,2001-10-27T14:00Z
16,Sat Oct 27 2001,15:00,BST/+0100,York City,1-0,Macclesfield Town,2001-10-27T14:00Z
16,Sat Oct 27 2001,15:00,BST/+0100,Torquay United,2-1,Shrewsbury Town,2001-10-27T14:00Z
16,Sat Oct 27 2001,15:00,BST/+0100,Carlisle United,0-0,Halifax Town,2001-10-27T14:00Z
16,Sat Oct 27 2001,15:00,BST/+0100,Cheltenham Town,3-3,Scunthorpe United,2001-10-27T14:00Z
16,Sat Oct 27 2001,15:00,BST/+0100,Darlington FC,0-1,Hull City,2001-10-27T14:00Z
16,Sat Oct 27 2001,15:00,BST/+0100,Hartlepool United,0-1,Oxford United,2001-10-27T14:00Z
16,Sat Oct 27 2001,15:00,BST/+0100,Rushden & Diamonds FC,3-1,Mansfield Town,2001-10-27T14:00Z
16,Sat Oct 27 2001,15:00,BST/+0100,Lincoln City,0-0,Exeter City,2001-10-27T14:00Z
16,Sat Oct 27 2001,15:00,BST/+0100,Luton Town,3-0,Swansea City,2001-10-27T14:00Z
16,Sat Oct 27 2001,15:00,BST/+0100,Southend United,1-0,Kidderminster Harriers,2001-10-27T14:00Z
16,Sun Oct 28 2001,14:15,GMT/+0000,Bristol Rovers,1-2,Plymouth Argyle,2001-10-28T14:15Z
17,Sat Nov 3 2001,15:00,GMT/+0000,Scunthorpe United,4-1,Leyton Orient,2001-11-03T15:00Z
17,Sat Nov 3 2001,15:00,GMT/+0000,Swansea City,0-0,Rushden & Diamonds FC,2001-11-03T15:00Z
17,Sat Nov 3 2001,15:00,GMT/+0000,Shrewsbury Town,1-1,Lincoln City,2001-11-03T15:00Z
17,Sat Nov 3 2001,15:00,GMT/+0000,Exeter City,2-1,Southend United,2001-11-03T15:00Z
17,Sat Nov 3 2001,15:00,GMT/+0000,Halifax Town,2-2,Darlington FC,2001-11-03T15:00Z
17,Sat Nov 3 2001,15:00,GMT/+0000,Hull City,5-1,Cheltenham Town,2001-11-03T15:00Z
17,Sat Nov 3 2001,15:00,GMT/+0000,Kidderminster Harriers,2-0,Bristol Rovers,2001-11-03T15:00Z
17,Sat Nov 3 2001,15:00,GMT/+0000,Macclesfield Town,1-1,Carlisle United,2001-11-03T15:00Z
17,Sat Nov 3 2001,15:00,GMT/+0000,Mansfield Town,4-1,Luton Town,2001-11-03T15:00Z
17,Sat Nov 3 2001,15:00,GMT/+0000,Oxford United,2-2,York City,2001-11-03T15:00Z
17,Sat Nov 3 2001,15:00,GMT/+0000,Plymouth Argyle,1-0,Hartlepool United,2001-11-03T15:00Z
17,Sat Nov 3 2001,15:00,GMT/+0000,Rochdale AFC,2-0,Torquay United,2001-11-03T15:00Z
5,Tue Nov 6 2001,19:45,GMT/+0000,Hartlepool United,4-0,Hull City,2001-11-06T19:45Z
10,Tue Nov 6 2001,19:45,GMT/+0000,Cheltenham Town,0-0,Bristol Rovers,2001-11-06T19:45Z
14,Tue Nov 6 2001,19:45,GMT/+0000,Shrewsbury Town,3-0,Darlington FC,2001-11-06T19:45Z
18,Fri Nov 9 2001,19:45,GMT/+0000,Cheltenham Town,0-0,Plymouth Argyle,2001-11-09T19:45Z
18,Fri Nov 9 2001,19:45,GMT/+0000,Luton Town,1-0,Shrewsbury Town,2001-11-09T19:45Z
18,Fri Nov 9 2001,19:45,GMT/+0000,Southend United,3-0,Macclesfield Town,2001-11-09T19:45Z
18,Fri Nov 9 2001,19:45,GMT/+0000,York City,0-2,Scunthorpe United,2001-11-09T19:45Z
18,Sat Nov 10 2001,13:00,GMT/+0000,Bristol Rovers,0-2,Rochdale AFC,2001-11-10T13:00Z
18,Sat Nov 10 2001,13:00,GMT/+0000,Darlington FC,1-0,Oxford United,2001-11-10T13:00Z
18,Sat Nov 10 2001,13:00,GMT/+0000,Hartlepool United,2-0,Exeter City,2001-11-10T13:00Z
18,Sat Nov 10 2001,13:00,GMT/+0000,Rushden & Diamonds FC,2-1,Halifax Town,2001-11-10T13:00Z
18,Sat Nov 10 2001,15:00,GMT/+0000,Leyton Orient,1-3,Kidderminster Harriers,2001-11-10T15:00Z
18,Sat Nov 10 2001,15:00,GMT/+0000,Lincoln City,2-1,Hull City,2001-11-10T15:00Z
18,Sat Nov 10 2001,15:00,GMT/+0000,Torquay United,1-2,Swansea City,2001-11-10T15:00Z
18,Sat Nov 10 2001,12:00,GMT/+0000,Carlisle United,0-1,Mansfield Town,2001-11-10T12:00Z
19,Tue Nov 20 2001,19:30,GMT/+0000,Darlington FC,1-0,Rochdale AFC,2001-11-20T19:30Z
19,Tue Nov 20 2001,19:45,GMT/+0000,Bristol Rovers,0-1,Mansfield Town,2001-11-20T19:45Z
19,Tue Nov 20 2001,19:45,GMT/+0000,Carlisle United,0-1,Shrewsbury Town,2001-11-20T19:45Z
19,Tue Nov 20 2001,19:45,GMT/+0000,Cheltenham Town,4-1,Macclesfield Town,2001-11-20T19:45Z
19,Tue Nov 20 2001,19:45,GMT/+0000,Hartlepool United,3-0,Halifax Town,2001-11-20T19:45Z
19,Tue Nov 20 2001,19:45,GMT/+0000,Leyton Orient,3-0,Oxford United,2001-11-20T19:45Z
19,Tue Nov 20 2001,19:45,GMT/+0000,Lincoln City,0-1,Kidderminster Harriers,2001-11-20T19:45Z
19,Tue Nov 20 2001,19:45,GMT/+0000,Luton Town,0-1,Hull City,2001-11-20T19:45Z
19,Tue Nov 20 2001,19:45,GMT/+0000,Rushden & Diamonds FC,0-0,Scunthorpe United,2001-11-20T19:45Z
19,Tue Nov 20 2001,19:45,GMT/+0000,Southend United,0-1,Plymouth Argyle,2001-11-20T19:45Z
19,Tue Nov 20 2001,19:45,GMT/+0000,Torquay United,0-2,Exeter City,2001-11-20T19:45Z
19,Tue Nov 20 2001,19:45,GMT/+0000,York City,0-2,Swansea City,2001-11-20T19:45Z
20,Fri Nov 23 2001,19:45,GMT/+0000,Swansea City,0-1,Hartlepool United,2001-11-23T19:45Z
20,Fri Nov 23 2001,19:45,GMT/+0000,Mansfield Town,1-1,York City,2001-11-23T19:45Z
20,Sat Nov 24 2001,15:00,GMT/+0000,Exeter City,0-0,Leyton Orient,2001-11-24T15:00Z
20,Sat Nov 24 2001,15:00,GMT/+0000,Halifax Town,2-0,Torquay United,2001-11-24T15:00Z
20,Sat Nov 24 2001,15:00,GMT/+0000,Hull City,0-0,Bristol Rovers,2001-11-24T15:00Z
20,Sat Nov 24 2001,15:00,GMT/+0000,Kidderminster Harriers,3-0,Rushden & Diamonds FC,2001-11-24T15:00Z
20,Sat Nov 24 2001,15:00,GMT/+0000,Macclesfield Town,4-1,Luton Town,2001-11-24T15:00Z
20,Sat Nov 24 2001,15:00,GMT/+0000,Oxford United,3-0,Cheltenham Town,2001-11-24T15:00Z
20,Sat Nov 24 2001,15:00,GMT/+0000,Plymouth Argyle,3-0,Carlisle United,2001-11-24T15:00Z
20,Sat Nov 24 2001,15:00,GMT/+0000,Rochdale AFC,2-2,Lincoln City,2001-11-24T15:00Z
20,Sat Nov 24 2001,15:00,GMT/+0000,Scunthorpe United,7-1,Darlington FC,2001-11-24T15:00Z
20,Sat Nov 24 2001,15:00,GMT/+0000,Shrewsbury Town,2-0,Southend United,2001-11-24T15:00Z
21,Fri Nov 30 2001,19:45,GMT/+0000,Hartlepool United,1-1,Rochdale AFC,2001-11-30T19:45Z
21,Sat Dec 1 2001,15:00,GMT/+0000,Carlisle United,3-0,Scunthorpe United,2001-12-01T15:00Z
