Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 2,Tue Sep 25 2012,18:00,CEST/+0200,SV Stegersbach,1-3,0-0,RB Salzburg,,,2012-09-25T16:00Z
Round 2,Tue Sep 25 2012,19:00,CEST/+0200,TSV St. Johann,0-3,0-2,FC Lustenau,,,2012-09-25T17:00Z
Round 2,Tue Sep 25 2012,19:00,CEST/+0200,SK Austria Klagenfurt,0-0,0-0,FC Admira Wacker,2-0,,2012-09-25T17:00Z
Round 2,Tue Sep 25 2012,19:00,CEST/+0200,SV Schwechat,0-5,0-0,Sturm Graz,,,2012-09-25T17:00Z
Round 2,Tue Sep 25 2012,19:00,CEST/+0200,SC Sollenau,1-1,1-1,FC Wacker Innsbruck,1-5,,2012-09-25T17:00Z
Round 2,Tue Sep 25 2012,19:00,CEST/+0200,Villacher SV,3-1,3-0,1. Wiener Neustädter SC,,,2012-09-25T17:00Z
Round 2,Tue Sep 25 2012,19:00,CEST/+0200,LASK Linz,2-0,2-0,SV Grödig,,,2012-09-25T17:00Z
Round 2,Tue Sep 25 2012,19:00,CEST/+0200,FC Pasching,1-1,1-0,Austria Lustenau,3-2,,2012-09-25T17:00Z
Round 2,Tue Sep 25 2012,20:30,CEST/+0200,FC Dornbirn,2-3,1-2,Austria Wien,,,2012-09-25T18:30Z
Round 2,Wed Sep 26 2012,16:00,CEST/+0200,ASK Bad Vöslau,2-3,1-1,SV Mattersburg,,,2012-09-26T14:00Z
Round 2,Wed Sep 26 2012,19:00,CEST/+0200,Union St. Florian,1-1,0-0,SV Ried,1-1,4-5,2012-09-26T17:00Z
Round 2,Wed Sep 26 2012,19:00,CEST/+0200,USV Allerheiligen,1-4,0-0,Rapid Wien,,,2012-09-26T17:00Z
Round 2,Wed Sep 26 2012,20:20,CEST/+0200,Grazer AK,0-6,0-4,Wolfsberger AC,,,2012-09-26T18:20Z
Round of 16,Tue Oct 30 2012,18:30,CET/+0100,FC Lustenau,1-2,0-2,Wolfsberger AC,,,2012-10-30T17:30Z
Round of 16,Tue Oct 30 2012,19:00,CET/+0100,LASK Linz,2-2,0-2,SV Mattersburg,2-2,7-6,2012-10-30T18:00Z
Round of 16,Tue Oct 30 2012,19:00,CET/+0100,FC Pasching,2-1,1-0,SK Austria Klagenfurt,,,2012-10-30T18:00Z
Round of 16,Tue Oct 30 2012,20:30,CET/+0100,SC Wiener Viktoria,0-1,0-1,SV Ried,,,2012-10-30T19:30Z
Round of 16,Tue Oct 30 2012,18:00,CET/+0100,Sturm Graz,1-2,1-0,FC Wacker Innsbruck,,,2012-10-30T17:00Z
Round of 16,Wed Oct 31 2012,19:00,CET/+0100,SC Kalsdorf,1-3,1-1,RB Salzburg,,,2012-10-31T18:00Z
Round of 16,Wed Oct 31 2012,19:00,CET/+0100,Villacher SV,0-4,0-1,Austria Wien,,,2012-10-31T18:00Z
Round of 16,Wed Oct 31 2012,19:30,CET/+0100,Rapid Wien,2-2,1-2,SCR Altach,4-2,,2012-10-31T18:30Z
Quarterfinals,Tue Apr 16 2013,20:30,CEST/+0200,FC Wacker Innsbruck,0-3,0-1,RB Salzburg,,,2013-04-16T18:30Z
Quarterfinals,Tue Apr 16 2013,18:00,CEST/+0200,Rapid Wien,0-1,0-0,FC Pasching,,,2013-04-16T16:00Z
Quarterfinals,Wed Apr 17 2013,20:20,CEST/+0200,SV Ried,1-1,1-0,LASK Linz,2-1,,2013-04-17T18:20Z
Quarterfinals,Wed Apr 17 2013,19:00,CEST/+0200,Wolfsberger AC,1-2,0-1,Austria Wien,,,2013-04-17T17:00Z
Semifinals,Tue May 7 2013,18:00,CEST/+0200,RB Salzburg,1-2,0-0,FC Pasching,,,2013-05-07T16:00Z
Semifinals,Wed May 8 2013,20:30,CEST/+0200,SV Ried,1-3,0-0,Austria Wien,,,2013-05-08T18:30Z
Final,Thu May 30 2013,16:30,CEST/+0200,Austria Wien,0-1,0-0,FC Pasching,,,2013-05-30T14:30Z
