Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
2. Runde,Tue Oct 30 2012,19:00,Berliner AK 07,0-3,0-1,TSV 1860 München,,
2. Runde,Tue Oct 30 2012,19:00,Wormatia Worms,0-0,0-0,1. FC Köln,0-0,3-4
2. Runde,Tue Oct 30 2012,19:00,Preußen Münster,0-1,0-0,FC Augsburg,,
2. Runde,Tue Oct 30 2012,19:00,Eintracht Braunschweig,0-2,0-1,SC Freiburg,,
2. Runde,Tue Oct 30 2012,20:30,TSV Havelse,1-3,1-1,VfL Bochum,,
2. Runde,Tue Oct 30 2012,20:30,FC Schalke 04,3-0,1-0,SV Sandhausen,,
2. Runde,Tue Oct 30 2012,20:30,VfR Aalen,1-4,0-2,Borussia Dortmund,,
2. Runde,Tue Oct 30 2012,20:30,1. FSV Mainz 05,2-0,1-0,Erzgebirge Aue,,
2. Runde,Wed Oct 31 2012,19:00,Karlsruher SC,1-0,0-0,MSV Duisburg,,
2. Runde,Wed Oct 31 2012,19:00,Arminia Bielefeld,2-2,1-1,Bayer Leverkusen,2-3,
2. Runde,Wed Oct 31 2012,19:00,Kickers Offenbach,2-0,0-0,1. FC Union Berlin,,
2. Runde,Wed Oct 31 2012,19:00,VfB Stuttgart,3-0,3-0,FC St. Pauli,,
2. Runde,Wed Oct 31 2012,20:30,Hannover 96,1-1,1-1,Dynamo Dresden,1-1,4-3
2. Runde,Wed Oct 31 2012,20:30,Bayern München,4-0,1-0,1. FC Kaiserslautern,,
2. Runde,Wed Oct 31 2012,20:30,Fortuna Düsseldorf,0-0,0-0,Bor. Mönchengladbach,1-0,
2. Runde,Wed Oct 31 2012,20:30,VfL Wolfsburg,2-0,0-0,FSV Frankfurt,,
Achtelfinale,Tue Dec 18 2012,19:00,Karlsruher SC,0-1,0-1,SC Freiburg,,
Achtelfinale,Tue Dec 18 2012,19:00,FC Schalke 04,1-2,0-1,1. FSV Mainz 05,,
Achtelfinale,Tue Dec 18 2012,20:30,Kickers Offenbach,2-0,0-0,Fortuna Düsseldorf,,
Achtelfinale,Tue Dec 18 2012,20:30,FC Augsburg,0-2,0-1,Bayern München,,
Achtelfinale,Wed Dec 19 2012,19:00,VfL Wolfsburg,2-1,0-1,Bayer Leverkusen,,
Achtelfinale,Wed Dec 19 2012,19:00,VfL Bochum,3-0,1-0,TSV 1860 München,,
Achtelfinale,Wed Dec 19 2012,20:30,Borussia Dortmund,5-1,3-0,Hannover 96,,
Achtelfinale,Wed Dec 19 2012,20:30,VfB Stuttgart,2-1,2-0,1. FC Köln,,
Viertelfinale,Tue Feb 26 2013,19:00,1. FSV Mainz 05,2-2,2-0,SC Freiburg,2-3,
Viertelfinale,Tue Feb 26 2013,20:30,Kickers Offenbach,1-2,0-0,VfL Wolfsburg,,
Viertelfinale,Wed Feb 27 2013,19:00,VfB Stuttgart,2-0,1-0,VfL Bochum,,
Viertelfinale,Wed Feb 27 2013,20:30,Bayern München,1-0,1-0,Borussia Dortmund,,
Halbfinale,Tue Apr 16 2013,20:35,Bayern München,6-1,2-1,VfL Wolfsburg,,
Halbfinale,Wed Apr 17 2013,20:30,VfB Stuttgart,2-1,2-1,SC Freiburg,,
Finale,Sat Jun 1 2013,20:00,Bayern München,3-2,1-0,VfB Stuttgart,,
