Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,Comments,UTC
Round 1,Thu Apr 28 2016,19:15,-0300,Sport Recife PE,1-2,1-1,Aparecidense GO,,,2016-04-28T22:15Z
Round 1,Thu Apr 28 2016,19:15,-0300,Criciúma SC,1-1,1-0,Operário Ferroviário PR,,,2016-04-28T22:15Z
Round 1,Thu Apr 28 2016,19:15,-0300,América MG,3-2,1-0,Red Bull Brasil SP,,,2016-04-28T22:15Z
Round 1,Thu Apr 28 2016,19:15,-0300,Avaí SC,2-0,1-0,Operário MT,,,2016-04-28T22:15Z
Round 1,Thu Apr 28 2016,20:00,-0300,Fortaleza CE,2-0,1-0,Imperatriz MA,,,2016-04-28T23:00Z
Round 1,Thu Apr 28 2016,21:30,-0300,Botafogo RJ,1-1,0-1,Coruripe AL,,,2016-04-29T00:30Z
Round 1,Thu Apr 28 2016,21:30,-0300,Juventude RS,2-0,0-0,Tocantinópolis TO,,,2016-04-29T00:30Z
Round 1,Fri Apr 29 2016,,,CR Brasil AL,(*),,Ivinhema MS,,cancelled,
Round 1,Sat Apr 30 2016,17:00,-0300,Paysandu PA,2-0,0-0,Independente PA,,,2016-04-30T20:00Z
Round 2,Tue May 3 2016,21:30,-0300,CA Bragantino,1-0,0-0,Avaí SC,,,2016-05-04T00:30Z
Round 2,Wed May 4 2016,19:30,-0300,Ferroviária SP,3-3,2-2,Fluminense RJ,,,2016-05-04T22:30Z
Round 1,Wed May 4 2016,19:30,-0300,Joinville SC,1-0,0-0,Comercial MS,,,2016-05-04T22:30Z
Round 2,Wed May 4 2016,21:45,-0300,Fortaleza CE,2-1,1-0,Flamengo RJ,,,2016-05-05T00:45Z
Round 2,Thu May 5 2016,21:30,-0300,Genus RO,0-1,0-0,Ponte Preta,,,2016-05-06T00:30Z
Round 1,Thu May 5 2016,21:30,-0300,Cruzeiro,3-2,1-1,Campinense PB,,,2016-05-06T00:30Z
Round 2,Tue May 10 2016,21:30,-0300,Londrina PR,0-2,0-2,Cruzeiro,,,2016-05-11T00:30Z
Round 2,Tue May 10 2016,21:30,-0300,Avaí SC,1-1,0-0,CA Bragantino,,,2016-05-11T00:30Z
Round 2,Wed May 11 2016,21:45,-0300,Portuguesa SP,0-0,0-0,Vitória BA,,,2016-05-12T00:45Z
Round 2,Wed May 11 2016,19:30,-0300,Galvez AC,0-3,0-2,Santos FC,,,2016-05-11T22:30Z
Round 2,Wed May 11 2016,19:30,-0300,Paraná Clube,2-1,1-1,Chapecoense,,,2016-05-11T22:30Z
Round 2,Wed May 11 2016,19:30,-0300,Sampaio Corrêa MA,1-2,0-0,Figueirense SC,,,2016-05-11T22:30Z
Round 2,Wed May 11 2016,19:30,-0300,Juventude RS,1-0,1-0,Coritiba PR,,,2016-05-11T22:30Z
Round 2,Wed May 11 2016,19:30,-0300,Joinville SC,0-1,0-1,Ceará CE,,,2016-05-11T22:30Z
Round 2,Wed May 11 2016,20:30,-0300,River PI,0-1,0-0,Botafogo PB,,,2016-05-11T23:30Z
Round 2,Wed May 11 2016,20:30,-0300,Ypiranga RS,3-1,1-1,Aparecidense GO,,,2016-05-11T23:30Z
Round 2,Wed May 11 2016,21:30,-0300,Dom Bosco MT,2-2,0-1,Athletico Paranaense,,,2016-05-12T00:30Z
Round 2,Wed May 11 2016,21:45,-0300,CR Brasil AL,0-1,0-1,Vasco da Gama RJ,,,2016-05-12T00:45Z
Round 2,Wed May 11 2016,21:45,-0300,Vitória da Conquista BA,0-2,0-0,Santa Cruz PE,,,2016-05-12T00:45Z
Round 2,Wed May 11 2016,21:45,-0300,América MG,0-0,0-0,Bahia BA,,,2016-05-12T00:45Z
Round 2,Thu May 12 2016,19:15,-0300,Juazeirense BA,1-2,0-1,Botafogo RJ,,,2016-05-12T22:15Z
Round 2,Thu May 12 2016,21:30,-0300,Ponte Preta,3-0,1-0,Genus RO,,,2016-05-13T00:30Z
Round 2,Thu May 12 2016,21:30,-0300,Fluminense RJ,3-0,3-0,Ferroviária SP,,,2016-05-13T00:30Z
Round 1,Sat May 14 2016,17:00,-0300,Gama DF,1-0,1-0,América RN,,,2016-05-14T20:00Z
Round 2,Tue May 17 2016,19:15,-0300,Operário Ferroviário PR,1-0,0-0,Paysandu PA,,,2016-05-17T22:15Z
Round 2,Tue May 17 2016,19:15,-0300,Ceará CE,1-0,0-0,Joinville SC,,,2016-05-17T22:15Z
Round 2,Wed May 18 2016,21:45,-0300,Flamengo RJ,1-2,0-1,Fortaleza CE,,,2016-05-19T00:45Z
Round 2,Wed May 18 2016,,,Cruzeiro,(*),,Londrina PR,,cancelled,
Round 2,Wed May 18 2016,21:45,-0300,Bahia BA,0-1,0-0,América MG,,,2016-05-19T00:45Z
Round 2,Wed May 18 2016,20:30,-0300,Botafogo PB,1-0,0-0,River PI,,,2016-05-18T23:30Z
Round 2,Wed May 18 2016,19:30,-0300,Vasco da Gama RJ,1-1,0-1,CR Brasil AL,,,2016-05-18T22:30Z
Round 2,Wed May 18 2016,19:30,-0300,Chapecoense,2-0,1-0,Paraná Clube,,,2016-05-18T22:30Z
