Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,9,Sat May 8 2021,18:00,-0300,Operário Ferroviário PR,3-0,1-0,Cianorte PR,,2021-05-08T21:00Z
,9,Sun May 9 2021,18:00,-0300,Athletico Paranaense,2-2,1-1,Maringá PR,,2021-05-09T21:00Z
,9,Sun May 9 2021,18:00,-0300,Londrina PR,1-0,0-0,Coritiba PR,,2021-05-09T21:00Z
,10,Wed May 12 2021,15:30,-0300,Maringá PR,2-0,2-0,Toledo Esporte Clube,,2021-05-12T18:30Z
,10,Wed May 12 2021,15:30,-0300,Operário Ferroviário PR,9-0,6-0,Cascavel CR PR,,2021-05-12T18:30Z
,10,Wed May 12 2021,15:30,-0300,Athletico Paranaense,1-2,0-2,Londrina PR,,2021-05-12T18:30Z
,10,Wed May 12 2021,15:30,-0300,Cascavel FC PR,0-0,0-0,Rio Branco PR,,2021-05-12T18:30Z
,10,Wed May 12 2021,15:30,-0300,Coritiba PR,1-1,0-0,Cianorte PR,,2021-05-12T18:30Z
,10,Wed May 12 2021,15:30,-0300,Azuriz PR,0-0,0-0,Paraná Clube,,2021-05-12T18:30Z
,11,Sat May 15 2021,11:30,-0300,Paraná Clube,0-1,0-1,Operário Ferroviário PR,,2021-05-15T14:30Z
,11,Sat May 15 2021,11:30,-0300,Rio Branco PR,2-1,1-1,Coritiba PR,,2021-05-15T14:30Z
,11,Sat May 15 2021,11:30,-0300,Cianorte PR,1-0,1-0,Azuriz PR,,2021-05-15T14:30Z
,11,Sat May 15 2021,11:30,-0300,Cascavel CR PR,1-9,0-1,Maringá PR,,2021-05-15T14:30Z
,11,Sat May 15 2021,11:30,-0300,Toledo Esporte Clube,0-1,0-0,Athletico Paranaense,,2021-05-15T14:30Z
,11,Sat May 15 2021,11:30,-0300,Londrina PR,0-0,0-0,Cascavel FC PR,,2021-05-15T14:30Z
Playoffs,Quarterfinals,Mon May 17 2021,14:00,-0300,Maringá PR,1-2,1-1,Cascavel FC PR,,2021-05-17T17:00Z
Playoffs,Quarterfinals,Mon May 17 2021,14:00,-0300,Londrina PR,1-1,1-0,Cianorte PR,,2021-05-17T17:00Z
Playoffs,Quarterfinals,Mon May 17 2021,14:00,-0300,Azuriz PR,1-0,1-0,Operário Ferroviário PR,,2021-05-17T17:00Z
Playoffs,Quarterfinals,Thu May 20 2021,16:00,-0300,Cianorte PR,0-3,0-3,Londrina PR,,2021-05-20T19:00Z
Playoffs,Quarterfinals,Thu May 20 2021,16:00,-0300,Operário Ferroviário PR,4-3,1-0,Azuriz PR,,2021-05-20T19:00Z
Playoffs,Quarterfinals,Thu May 20 2021,16:00,-0300,Cascavel FC PR,1-1,0-0,Maringá PR,,2021-05-20T19:00Z
Playoffs,Quarterfinals,Mon May 24 2021,15:20,-0300,Paraná Clube,0-2,0-0,Athletico Paranaense,,2021-05-24T18:20Z
Playoffs,Semifinals,Wed Jun 9 2021,16:00,-0300,Londrina PR,1-0,0-0,Operário Ferroviário PR,,2021-06-09T19:00Z
Playoffs,Quarterfinals,Wed Jun 16 2021,15:20,-0300,Athletico Paranaense,0-0,0-0,Paraná Clube,,2021-06-16T18:20Z
Playoffs,Semifinals,Tue Jul 6 2021,15:20,-0300,Operário Ferroviário PR,1-1,0-0,Londrina PR,,2021-07-06T18:20Z
Playoffs,Semifinals,Wed Sep 1 2021,15:20,-0300,Athletico Paranaense,1-1,0-0,Cascavel FC PR,,2021-09-01T18:20Z
Playoffs,Semifinals,Wed Sep 8 2021,15:20,-0300,Cascavel FC PR,2-1,0-1,Athletico Paranaense,,2021-09-08T18:20Z
Playoffs,Final,Wed Oct 6 2021,15:20,-0300,Londrina PR,1-1,1-0,Cascavel FC PR,,2021-10-06T18:20Z
Playoffs,Final,Wed Oct 13 2021,15:20,-0300,Cascavel FC PR,1-1,1-0,Londrina PR,5-6,2021-10-13T18:20Z
