Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Round 3,Wed Jun 2 2021,19:00,-0300,Fortaleza CE,1-1,0-1,Ceará CE,,2021-06-02T22:00Z
Round 3,Wed Jun 2 2021,19:00,-0300,Remo PA,0-2,0-2,Atlético Mineiro,,2021-06-02T22:00Z
Round 3,Wed Jun 2 2021,21:30,-0300,Fluminense RJ,2-0,0-0,Red Bull Bragantino,,2021-06-03T00:30Z
Round 3,Wed Jun 2 2021,21:30,-0300,América MG,0-0,0-0,Criciúma SC,,2021-06-03T00:30Z
Round 3,Wed Jun 2 2021,21:30,-0300,Corinthians SP,0-2,0-2,Atlético Goianiense,,2021-06-03T00:30Z
Round 3,Wed Jun 2 2021,16:30,-0300,Grêmio Porto Alegre,2-0,1-0,Brasiliense DF,,2021-06-02T19:30Z
Round 3,Thu Jun 3 2021,16:30,-0300,Cruzeiro,1-0,0-0,Juazeirense BA,,2021-06-03T19:30Z
Round 3,Thu Jun 3 2021,19:00,-0300,Avaí SC,1-1,0-1,Athletico Paranaense,,2021-06-03T22:00Z
Round 3,Thu Jun 3 2021,19:00,-0300,Vitória BA,0-1,0-0,Internacional,,2021-06-03T22:00Z
Round 3,Thu Jun 3 2021,21:30,-0300,CR Brasil AL,0-1,0-1,Palmeiras,,2021-06-04T00:30Z
Round 3,Tue Jun 8 2021,16:30,-0300,Santos FC,1-0,1-0,Cianorte PR,,2021-06-08T19:30Z
Round 3,Tue Jun 8 2021,19:00,-0300,São Paulo FC,9-1,3-1,4 de Julho PI,,2021-06-08T22:00Z
Round 3,Wed Jun 9 2021,21:30,-0300,Atlético Goianiense,0-0,0-0,Corinthians SP,,2021-06-10T00:30Z
Round 3,Wed Jun 9 2021,16:30,-0300,ABC RN,3-0,2-0,Chapecoense,,2021-06-09T19:30Z
Round 3,Wed Jun 9 2021,16:30,-0300,Vasco da Gama RJ,1-1,0-1,Boavista RJ,,2021-06-09T19:30Z
Round 3,Wed Jun 9 2021,19:00,-0300,Bahia BA,1-0,0-0,Vila Nova GO,,2021-06-09T22:00Z
Round 3,Wed Jun 9 2021,19:00,-0300,Palmeiras,0-1,0-1,CR Brasil AL,3-4,2021-06-09T22:00Z
Round 3,Wed Jun 9 2021,19:00,-0300,Athletico Paranaense,1-0,1-0,Avaí SC,,2021-06-09T22:00Z
Round 3,Wed Jun 9 2021,19:00,-0300,Juazeirense BA,3-2,3-2,Cruzeiro,3-2,2021-06-09T22:00Z
Round 3,Wed Jun 9 2021,21:30,-0300,Red Bull Bragantino,2-1,0-0,Fluminense RJ,,2021-06-10T00:30Z
Round 3,Wed Jun 9 2021,21:30,-0300,Criciúma SC,2-2,1-1,América MG,3-2,2021-06-10T00:30Z
Round 3,Thu Jun 10 2021,15:30,-0300,Brasiliense DF,0-0,0-0,Grêmio Porto Alegre,,2021-06-10T18:30Z
Round 3,Thu Jun 10 2021,19:00,-0300,Atlético Mineiro,2-1,1-1,Remo PA,,2021-06-10T22:00Z
Round 3,Thu Jun 10 2021,21:30,-0300,Ceará CE,0-3,0-2,Fortaleza CE,,2021-06-11T00:30Z
Round 3,Thu Jun 10 2021,21:30,-0300,Internacional,1-3,0-0,Vitória BA,,2021-06-11T00:30Z
Round 3,Thu Jun 10 2021,19:00,-0300,Coritiba PR,0-1,0-1,Flamengo RJ,,2021-06-10T22:00Z
Round 3,Wed Jun 16 2021,21:30,-0300,Flamengo RJ,2-0,1-0,Coritiba PR,,2021-06-17T00:30Z
Round of 16,Tue Jul 27 2021,19:15,-0300,Criciúma SC,2-1,2-1,Fluminense RJ,,2021-07-27T22:15Z
Round of 16,Tue Jul 27 2021,21:30,-0300,Vitória BA,0-3,0-1,Grêmio Porto Alegre,,2021-07-28T00:30Z
Round of 16,Wed Jul 28 2021,19:15,-0300,Santos FC,4-0,0-0,Juazeirense BA,,2021-07-28T22:15Z
Round of 16,Wed Jul 28 2021,21:30,-0300,Atlético Mineiro,2-0,1-0,Bahia BA,,2021-07-29T00:30Z
Round of 16,Wed Jul 28 2021,21:30,-0300,São Paulo FC,2-0,1-0,Vasco da Gama RJ,,2021-07-29T00:30Z
Round of 16,Wed Jul 28 2021,16:30,-0300,Athletico Paranaense,2-1,0-0,Atlético Goianiense,,2021-07-28T19:30Z
Round of 16,Thu Jul 29 2021,20:00,-0300,Flamengo RJ,6-0,4-0,ABC RN,,2021-07-29T23:00Z
Round of 16,Thu Jul 29 2021,16:30,-0300,Fortaleza CE,2-1,0-1,CR Brasil AL,,2021-07-29T19:30Z
Round of 16,Sat Jul 31 2021,16:30,-0300,Fluminense RJ,3-0,1-0,Criciúma SC,,2021-07-31T19:30Z
Round of 16,Tue Aug 3 2021,19:00,-0300,Grêmio Porto Alegre,1-0,1-0,Vitória BA,,2021-08-03T22:00Z
Round of 16,Wed Aug 4 2021,19:15,-0300,Atlético Goianiense,2-2,0-1,Athletico Paranaense,,2021-08-04T22:15Z
Round of 16,Wed Aug 4 2021,21:30,-0300,Bahia BA,2-1,2-0,Atlético Mineiro,,2021-08-05T00:30Z
Round of 16,Wed Aug 4 2021,21:30,-0300,Vasco da Gama RJ,1-2,0-1,São Paulo FC,,2021-08-05T00:30Z
Round of 16,Wed Aug 4 2021,16:30,-0300,CR Brasil AL,0-1,0-1,Fortaleza CE,,2021-08-04T19:30Z
Round of 16,Thu Aug 5 2021,21:30,-0300,ABC RN,0-1,0-0,Flamengo RJ,,2021-08-06T00:30Z
Round of 16,Thu Aug 5 2021,19:15,-0300,Juazeirense BA,2-0,2-0,Santos FC,,2021-08-05T22:15Z
Quarterfinals,Wed Aug 25 2021,19:00,-0300,Athletico Paranaense,1-0,1-0,Santos FC,,2021-08-25T22:00Z
Quarterfinals,Wed Aug 25 2021,21:30,-0300,São Paulo FC,2-2,0-0,Fortaleza CE,,2021-08-26T00:30Z
Quarterfinals,Wed Aug 25 2021,21:30,-0300,Grêmio Porto Alegre,0-4,0-0,Flamengo RJ,,2021-08-26T00:30Z
Quarterfinals,Thu Aug 26 2021,21:30,-0300,Fluminense RJ,1-2,1-2,Atlético Mineiro,,2021-08-27T00:30Z
Quarterfinals,Tue Sep 14 2021,21:30,-0300,Santos FC,0-1,0-0,Athletico Paranaense,,2021-09-15T00:30Z
Quarterfinals,Wed Sep 15 2021,21:30,-0300,Fortaleza CE,3-1,1-0,São Paulo FC,,2021-09-16T00:30Z
Quarterfinals,Wed Sep 15 2021,21:30,-0300,Flamengo RJ,2-0,0-0,Grêmio Porto Alegre,,2021-09-16T00:30Z
Quarterfinals,Wed Sep 15 2021,19:00,-0300,Atlético Mineiro,1-0,0-0,Fluminense RJ,,2021-09-15T22:00Z
Semifinals,Wed Oct 20 2021,21:30,-0300,Atlético Mineiro,4-0,3-0,Fortaleza CE,,2021-10-21T00:30Z
Semifinals,Wed Oct 20 2021,21:30,-0300,Athletico Paranaense,2-2,0-1,Flamengo RJ,,2021-10-21T00:30Z
Semifinals,Wed Oct 27 2021,21:30,-0300,Flamengo RJ,0-3,0-2,Athletico Paranaense,,2021-10-28T00:30Z
Semifinals,Wed Oct 27 2021,21:30,-0300,Fortaleza CE,1-2,0-0,Atlético Mineiro,,2021-10-28T00:30Z
Final,Sun Dec 12 2021,17:30,-0300,Athletico Paranaense,0-4,0-2,Atlético Mineiro,,2021-12-12T20:30Z
Final,Wed Dec 15 2021,21:30,-0300,Atlético Mineiro,2-1,1-0,Athletico Paranaense,,2021-12-16T00:30Z
