Stage,Round,Date,Time,Team 1,FT,HT,Team 2,Comments
Regular Season,19,Sun Dec 15 2019,14:30,Standard Liège,1-1,1-0,RSC Anderlecht,
Regular Season,20,Fri Dec 20 2019,20:30,KV Mechelen,1-0,0-0,KV Oostende,
Regular Season,20,Sat Dec 21 2019,18:00,Royal Excel Mouscron,1-1,1-0,Sporting Charleroi,
Regular Season,20,Sat Dec 21 2019,20:00,Cercle Brugge,2-0,1-0,SV Zulte Waregem,
Regular Season,20,Sat Dec 21 2019,20:00,AS Eupen,1-2,1-1,KV Kortrijk,
Regular Season,20,Sat Dec 21 2019,20:30,Waasland-Beveren,2-1,0-1,Standard Liège,
Regular Season,20,Sun Dec 22 2019,14:30,KAA Gent,1-1,0-0,Club Brugge KV,
Regular Season,20,Sun Dec 22 2019,20:00,RSC Anderlecht,2-0,0-0,KRC Genk,
Regular Season,20,Sun Dec 22 2019,18:00,Sint-Truidense VV,1-1,0-0,Royal Antwerp FC,
Regular Season,21,Thu Dec 26 2019,20:30,Standard Liège,0-1,0-0,KAA Gent,
Regular Season,21,Thu Dec 26 2019,14:30,KRC Genk,2-1,1-0,AS Eupen,
Regular Season,21,Thu Dec 26 2019,14:30,KV Kortrijk,1-0,0-0,Cercle Brugge,
Regular Season,21,Thu Dec 26 2019,14:30,Royal Excel Mouscron,1-2,0-2,KV Mechelen,
Regular Season,21,Thu Dec 26 2019,18:00,Club Brugge KV,4-0,1-0,SV Zulte Waregem,
Regular Season,21,Thu Dec 26 2019,14:30,Waasland-Beveren,1-0,1-0,Sint-Truidense VV,
Regular Season,21,Fri Dec 27 2019,20:30,Royal Antwerp FC,0-0,0-0,RSC Anderlecht,
Regular Season,21,Fri Dec 27 2019,18:00,Sporting Charleroi,5-0,1-0,KV Oostende,
Regular Season,22,Fri Jan 17 2020,20:30,KV Mechelen,2-3,0-1,Standard Liège,
Regular Season,22,Sat Jan 18 2020,20:00,KV Oostende,0-1,0-1,Waasland-Beveren,
Regular Season,22,Sat Jan 18 2020,20:00,Sint-Truidense VV,2-0,0-0,KV Kortrijk,
Regular Season,22,Sat Jan 18 2020,20:30,KAA Gent,3-1,1-0,Royal Excel Mouscron,
Regular Season,22,Sat Jan 18 2020,18:00,AS Eupen,1-1,1-1,Sporting Charleroi,
Regular Season,22,Sun Jan 19 2020,18:00,RSC Anderlecht,1-2,1-1,Club Brugge KV,
Regular Season,22,Sun Jan 19 2020,14:30,Cercle Brugge,1-2,1-1,Royal Antwerp FC,
Regular Season,22,Sun Jan 19 2020,20:00,SV Zulte Waregem,0-3,0-1,KRC Genk,
Regular Season,23,Fri Jan 24 2020,20:30,Standard Liège,2-1,0-0,KV Oostende,
Regular Season,23,Sat Jan 25 2020,20:30,KAA Gent,4-1,1-1,KRC Genk,
Regular Season,23,Sat Jan 25 2020,20:00,Royal Excel Mouscron,1-3,0-1,Sint-Truidense VV,
Regular Season,23,Sat Jan 25 2020,20:00,Waasland-Beveren,0-1,0-1,AS Eupen,
Regular Season,23,Sun Jan 26 2020,14:30,Cercle Brugge,1-2,1-0,RSC Anderlecht,
Regular Season,23,Sun Jan 26 2020,20:00,Royal Antwerp FC,2-1,1-1,SV Zulte Waregem,
Regular Season,23,Sun Jan 26 2020,18:00,KV Kortrijk,2-2,1-2,Club Brugge KV,
Regular Season,5,Wed Jan 29 2020,20:30,Sporting Charleroi,0-0,0-0,Club Brugge KV,
Regular Season,24,Fri Jan 31 2020,20:30,KV Kortrijk,3-1,0-0,Standard Liège,
Regular Season,24,Sat Feb 1 2020,18:00,KRC Genk,1-0,1-0,Sporting Charleroi,
Regular Season,24,Sat Feb 1 2020,20:00,AS Eupen,1-0,1-0,Cercle Brugge,
Regular Season,24,Sat Feb 1 2020,20:30,KV Mechelen,0-3,0-1,KAA Gent,
Regular Season,24,Sat Feb 1 2020,20:00,KV Oostende,1-0,0-0,Sint-Truidense VV,
Regular Season,24,Sun Feb 2 2020,18:00,RSC Anderlecht,1-0,0-0,Royal Excel Mouscron,
Regular Season,24,Sun Feb 2 2020,20:00,SV Zulte Waregem,5-0,3-0,Waasland-Beveren,
Regular Season,24,Sun Feb 2 2020,14:30,Club Brugge KV,1-0,0-0,Royal Antwerp FC,
Regular Season,25,Fri Feb 7 2020,20:30,KAA Gent,1-1,1-1,RSC Anderlecht,
Regular Season,25,Sat Feb 8 2020,18:00,Sporting Charleroi,4-0,1-0,SV Zulte Waregem,
Regular Season,25,Sat Feb 8 2020,20:30,Royal Excel Mouscron,3-1,0-1,KV Oostende,
Regular Season,25,Sat Feb 8 2020,20:00,Cercle Brugge,3-2,2-1,KV Mechelen,
Regular Season,25,Sat Feb 8 2020,20:00,Sint-Truidense VV,5-2,3-2,AS Eupen,
Regular Season,23,Tue Feb 11 2020,20:30,Sporting Charleroi,2-1,0-0,KV Mechelen,
Regular Season,25,Wed Feb 12 2020,20:30,Waasland-Beveren,1-2,1-1,KV Kortrijk,
Regular Season,25,Wed Feb 12 2020,20:30,Standard Liège,0-0,0-0,Club Brugge KV,
