Stage,Round,Date,Time,Team 1,FT,HT,Team 2,ET,P,Comments
Apertura,17,Sat Nov 2 2019,04:00,Atlas Guadalajara,1-2,1-0,Atlético San Luis,,,
Apertura,17,Sun Nov 3 2019,02:00,CF América,1-2,1-0,Santos Laguna,,,
Apertura,17,Sun Nov 3 2019,00:00,Gallos Blancos,0-0,0-0,UANL Tigres,,,
Apertura,17,Sun Nov 3 2019,19:00,Deportivo Toluca,1-3,1-2,Deportivo Guadalajara,,,
Apertura,17,Sun Nov 3 2019,04:05,Club Necaxa,1-2,0-1,CF Pachuca,,,
Apertura,17,Sun Nov 3 2019,02:00,CF Monterrey,1-1,0-0,CD Veracruz,,,
Apertura,17,Mon Nov 4 2019,03:00,Club León,1-1,1-1,Monarcas Morelia,,,
Apertura,17,Mon Nov 4 2019,02:00,FC Juárez,3-0,1-0,Club Tijuana,,,
Apertura,18,Sat Nov 9 2019,02:00,Monarcas Morelia,3-2,1-1,Puebla FC,,,
Apertura,18,Sat Nov 9 2019,04:00,CD Veracruz,0-5,0-3,CF América,,,
Apertura,18,Sat Nov 9 2019,04:10,Club Tijuana,0-4,0-1,CF Monterrey,,,
Apertura,18,Sun Nov 10 2019,02:00,UANL Tigres,0-0,0-0,CF Pachuca,,,
Apertura,18,Sun Nov 10 2019,00:00,Atlético San Luis,0-2,0-1,Club Necaxa,,,
Apertura,18,Sun Nov 10 2019,04:00,Deportivo Guadalajara,3-2,3-0,Gallos Blancos,,,
Apertura,18,Sun Nov 10 2019,04:00,Club León,4-0,1-0,Deportivo Toluca,,,
Apertura,18,Sun Nov 10 2019,19:00,Pumas UNAM,1-1,1-0,FC Juárez,,,
Apertura,18,Mon Nov 11 2019,01:45,Santos Laguna,3-1,2-0,Cruz Azul,,,
Apertura,19,Sat Nov 23 2019,02:00,Puebla FC,3-0,3-0,Club Necaxa,,,
Apertura,19,Sat Nov 23 2019,04:10,Club Tijuana,1-2,0-1,Club León,,,
Apertura,19,Sun Nov 24 2019,02:00,Cruz Azul,3-1,1-1,Atlético San Luis,,,
Apertura,19,Sun Nov 24 2019,00:00,Gallos Blancos,3-1,0-0,Monarcas Morelia,,,
Apertura,19,Sun Nov 24 2019,02:00,CF Monterrey,2-0,2-0,Atlas Guadalajara,,,
Apertura,19,Sun Nov 24 2019,04:00,CF Pachuca,2-0,1-0,Pumas UNAM,,,
Apertura,19,Sun Nov 24 2019,04:00,Deportivo Guadalajara,3-1,0-1,CD Veracruz,,,
Apertura,19,Sun Nov 24 2019,19:00,Deportivo Toluca,2-2,2-2,Santos Laguna,,,
Apertura,19,Mon Nov 25 2019,02:00,FC Juárez,1-2,0-1,UANL Tigres,,,
Apertura - Liguilla,Quarterfinals,Thu Nov 28 2019,02:00,Monarcas Morelia,3-3,2-2,Club León,,,
Apertura - Liguilla,Quarterfinals,Thu Nov 28 2019,04:00,Club Necaxa,3-0,0-0,Gallos Blancos,,,
Apertura - Liguilla,Quarterfinals,Fri Nov 29 2019,04:00,CF América,1-2,1-0,UANL Tigres,,,
Apertura - Liguilla,Quarterfinals,Fri Nov 29 2019,02:06,CF Monterrey,5-2,2-2,Santos Laguna,,,
Apertura - Liguilla,Quarterfinals,Sun Dec 1 2019,02:00,Club León,1-2,0-0,Monarcas Morelia,,,
Apertura - Liguilla,Quarterfinals,Sun Dec 1 2019,04:05,Gallos Blancos,2-3,2-0,Club Necaxa,,,
Apertura - Liguilla,Quarterfinals,Mon Dec 2 2019,02:00,Santos Laguna,1-1,1-0,CF Monterrey,,,
Apertura - Liguilla,Quarterfinals,Mon Dec 2 2019,04:00,UANL Tigres,2-4,0-3,CF América,,,
Apertura - Liguilla,Semifinals,Thu Dec 5 2019,04:06,CF Monterrey,2-1,1-0,Club Necaxa,,,
Apertura - Liguilla,Semifinals,Sun Dec 8 2019,03:30,Club Necaxa,0-1,0-0,CF Monterrey,,,
Apertura - Liguilla,Semifinals,Mon Dec 9 2019,01:30,CF América,2-0,2-0,Monarcas Morelia,,,
Apertura - Liguilla,Semifinals,Mon Dec 9 2019,01:30,Monarcas Morelia,0-2,0-2,CF América,,,
Apertura - Liguilla,Final,Fri Dec 27 2019,03:36,CF Monterrey,2-1,1-1,CF América,,,
Apertura - Liguilla,Final,Mon Dec 30 2019,03:15,CF América,2-1,2-0,CF Monterrey,2-1,2-4,
Clausura,1,Sat Jan 11 2020,04:00,Monarcas Morelia,0-1,0-1,Deportivo Toluca,,,
Clausura,1,Sat Jan 11 2020,04:10,Club Tijuana,2-1,1-0,Santos Laguna,,,
Clausura,1,Sun Jan 12 2020,00:00,Cruz Azul,1-2,1-1,Atlas Guadalajara,,,
Clausura,1,Sun Jan 12 2020,02:00,Deportivo Guadalajara,2-0,2-0,FC Juárez,,,
Clausura,1,Sun Jan 12 2020,02:00,Club León,3-1,2-1,Gallos Blancos,,,
Clausura,1,Sun Jan 12 2020,19:00,Pumas UNAM,2-1,1-0,CF Pachuca,,,
Clausura,1,Sun Jan 12 2020,04:05,UANL Tigres,0-0,0-0,Atlético San Luis,,,
