Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
MSFL,2,Sat Aug 10 2024,17:30,CEST/+0200,FK Blansko,2-1,,ČSK Uherský Brod,,2024-08-10T15:30Z
MSFL,2,Sat Aug 10 2024,17:00,CEST/+0200,FC Slovan Rosice,0-1,,FK Třinec,,2024-08-10T15:00Z
ČFL B,1,Sat Aug 10 2024,10:15,CEST/+0200,FK Pardubice B,3-3,2-1,FK Mlada Boleslav B,,2024-08-10T08:15Z
ČFL B,1,Sat Aug 10 2024,17:00,CEST/+0200,SK Kladno,7-3,2-1,FK Teplice B,,2024-08-10T15:00Z
ČFL B,1,Sat Aug 10 2024,17:00,CEST/+0200,Sokol Živanice,1-1,0-0,FK Kolín,,2024-08-10T15:00Z
ČFL B,1,Sat Aug 10 2024,17:00,CEST/+0200,Arsenal Česká Lípa,2-3,0-0,SK Zápy,,2024-08-10T15:00Z
ČFL B,1,Sun Aug 11 2024,10:15,CEST/+0200,FK Jablonec B,1-3,0-1,Baník Most - Souš,,2024-08-11T08:15Z
ČFL B,1,Sun Aug 11 2024,10:15,CEST/+0200,Slovan Liberec B,1-1,1-0,Chlumec nad Cidlinou,,2024-08-11T08:15Z
ČFL B,1,Sun Aug 11 2024,10:15,CEST/+0200,FC Hradec Králové B,0-1,0-0,FK Ústí nad Labem,,2024-08-11T08:15Z
ČFL B,1,Sun Aug 11 2024,17:00,CEST/+0200,Benátky nad Jizerou,0-2,0-2,Jiskra Ústí nad Orlicí,,2024-08-11T15:00Z
ČFL A,1,Sun Aug 11 2024,,,Viktoria Plzeň B,(*),,FK Robstav,cancelled,
ČFL A,1,Sun Aug 11 2024,10:15,CEST/+0200,FK Admira Praha,1-0,0-0,FK Dukla Praha B,,2024-08-11T08:15Z
MSFL,2,Sun Aug 11 2024,17:30,CEST/+0200,TJ Start Brno,1-1,,TJ Unie Hlubina,,2024-08-11T15:30Z
MSFL,2,Sun Aug 11 2024,17:30,CEST/+0200,1. SC Znojmo,3-3,,1. FC Slovácko B,,2024-08-11T15:30Z
MSFL,2,Sun Aug 11 2024,10:30,CEST/+0200,FC Zlín B,3-1,,SK Uničov,,2024-08-11T08:30Z
MSFL,2,Sun Aug 11 2024,10:15,CEST/+0200,FK Frýdek-Místek,3-0,,FK Hodonín,,2024-08-11T08:15Z
MSFL,2,Sun Aug 11 2024,10:15,CEST/+0200,MFK Karviná B,6-1,,FC Strání,,2024-08-11T08:15Z
ČFL A,1,Sun Aug 11 2024,17:00,CEST/+0200,Povltavská FA,2-3,1-1,SK Petřín Plzeň,,2024-08-11T15:00Z
ČFL A,1,Sun Aug 11 2024,17:00,CEST/+0200,FK Příbram,1-3,0-2,Slovan Velvary,,2024-08-11T15:00Z
MSFL,2,Sun Aug 11 2024,10:15,CEST/+0200,FC Zbrojovka Brno B,4-0,,FC Zlínsko,,2024-08-11T08:15Z
MSFL,3,Fri Aug 16 2024,17:30,CEST/+0200,FC Zlínsko,3-0,,FK Blansko,,2024-08-16T15:30Z
ČFL B,2,Fri Aug 16 2024,18:00,CEST/+0200,FK Ústí nad Labem,5-0,2-0,Arsenal Česká Lípa,,2024-08-16T16:00Z
ČFL A,2,Fri Aug 16 2024,18:00,CEST/+0200,Sokol Hostouň,2-4,1-1,Viktoria Plzeň B,,2024-08-16T16:00Z
ČFL A,2,Fri Aug 16 2024,18:00,CEST/+0200,FC Písek,2-2,1-1,TJ Jiskra Domažlice,,2024-08-16T16:00Z
MSFL,3,Fri Aug 16 2024,18:00,CEST/+0200,FK Třinec,2-1,,TJ Start Brno,,2024-08-16T16:00Z
ČFL A,2,Sat Aug 17 2024,17:00,CEST/+0200,Dynamo České Budějovice B,0-6,0-0,Slovan Velvary,,2024-08-17T15:00Z
ČFL B,2,Sat Aug 17 2024,17:00,CEST/+0200,Sokol Živanice,0-2,0-1,Slovan Liberec B,,2024-08-17T15:00Z
ČFL B,2,Sat Aug 17 2024,17:00,CEST/+0200,Jiskra Ústí nad Orlicí,0-1,0-1,SK Kladno,,2024-08-17T15:00Z
ČFL B,2,Sat Aug 17 2024,15:00,CEST/+0200,Baník Most - Souš,3-3,1-2,FC Hradec Králové B,,2024-08-17T13:00Z
ČFL A,2,Sat Aug 17 2024,10:15,CEST/+0200,SK Petřín Plzeň,1-1,0-1,FC Chomutov,,2024-08-17T08:15Z
ČFL A,2,Sat Aug 17 2024,10:15,CEST/+0200,FK Motorlet Praha,1-4,1-0,FK Příbram,,2024-08-17T08:15Z
MSFL,3,Sat Aug 17 2024,10:15,CEST/+0200,1. FC Slovácko B,1-0,,FK Frýdek-Místek,,2024-08-17T08:15Z
MSFL,3,Sat Aug 17 2024,10:30,CEST/+0200,FC Strání,1-2,,FC Zlín B,,2024-08-17T08:30Z
MSFL,3,Sat Aug 17 2024,16:30,CEST/+0200,FK Hodonín,2-2,,FC Slovan Rosice,,2024-08-17T14:30Z
MSFL,3,Sat Aug 17 2024,16:30,CEST/+0200,ČSK Uherský Brod,1-0,,1. SC Znojmo,,2024-08-17T14:30Z
MSFL,3,Sat Aug 17 2024,16:30,CEST/+0200,TJ Unie Hlubina,1-4,,FC Hlučín,,2024-08-17T14:30Z
ČFL A,2,Sun Aug 18 2024,,,FK Robstav,(*),,FK Admira Praha,cancelled,
MSFL,3,Sun Aug 18 2024,10:15,CEST/+0200,SK Uničov,7-3,,FC Zbrojovka Brno B,,2024-08-18T08:15Z
ČFL B,2,Sun Aug 18 2024,10:00,CEST/+0200,FK Teplice B,0-2,0-2,Sokol Brozany,,2024-08-18T08:00Z
ČFL B,2,Sun Aug 18 2024,10:15,CEST/+0200,FK Mlada Boleslav B,2-3,1-2,Benátky nad Jizerou,,2024-08-18T08:15Z
ČFL B,2,Sun Aug 18 2024,10:15,CEST/+0200,Chlumec nad Cidlinou,1-1,0-1,FK Jablonec B,,2024-08-18T08:15Z
ČFL A,2,Sun Aug 18 2024,17:00,CEST/+0200,FK MAS Táborsko B,2-0,1-0,Povltavská FA,,2024-08-18T15:00Z
ČFL A,2,Sun Aug 18 2024,10:15,CEST/+0200,FK Dukla Praha B,2-0,2-0,FK Loko Vltavín,,2024-08-18T08:15Z
MSFL,4,Fri Aug 23 2024,18:00,CEST/+0200,FK Blansko,1-1,,SK Uničov,,2024-08-23T16:00Z
ČFL A,3,Fri Aug 23 2024,18:00,CEST/+0200,FK Příbram,4-0,2-0,Bohemians Praha 1905 B,,2024-08-23T16:00Z
MSFL,4,Fri Aug 23 2024,17:30,CEST/+0200,TJ Start Brno,2-2,,FK Hodonín,,2024-08-23T15:30Z
ČFL A,3,Fri Aug 23 2024,18:00,CEST/+0200,FC Chomutov,1-2,1-1,FK MAS Táborsko B,,2024-08-23T16:00Z
MSFL,4,Fri Aug 23 2024,18:00,CEST/+0200,FC Hlučín,1-1,,FK Třinec,,2024-08-23T16:00Z
MSFL,4,Sat Aug 24 2024,17:00,CEST/+0200,FC Slovan Rosice,3-1,,1. FC Slovácko B,,2024-08-24T15:00Z
ČFL A,3,Sat Aug 24 2024,,,FK Loko Vltavín,(*),,FK Robstav,cancelled,
ČFL A,3,Sat Aug 24 2024,14:30,CEST/+0200,Slovan Velvary,2-5,2-3,FK Motorlet Praha,,2024-08-24T12:30Z
ČFL B,3,Sat Aug 24 2024,17:00,CEST/+0200,Arsenal Česká Lípa,3-1,3-1,Baník Most - Souš,,2024-08-24T15:00Z
ČFL B,3,Sat Aug 24 2024,17:00,CEST/+0200,SK Kladno,2-0,1-0,FK Mlada Boleslav B,,2024-08-24T15:00Z
ČFL B,3,Sat Aug 24 2024,10:15,CEST/+0200,FK Pardubice B,2-2,1-0,FK Ústí nad Labem,,2024-08-24T08:15Z
ČFL B,3,Sat Aug 24 2024,10:15,CEST/+0200,FK Jablonec B,3-0,2-0,Sokol Živanice,,2024-08-24T08:15Z
MSFL,4,Sat Aug 24 2024,16:30,CEST/+0200,ČSK Uherský Brod,2-5,,FC Zlínsko,,2024-08-24T14:30Z
ČFL A,3,Sat Aug 24 2024,17:00,CEST/+0200,TJ Jiskra Domažlice,3-1,2-1,FK Dukla Praha B,,2024-08-24T15:00Z
MSFL,4,Sun Aug 25 2024,10:15,CEST/+0200,MFK Karviná B,4-0,1-0,TJ Unie Hlubina,,2024-08-25T08:15Z
MSFL,4,Sun Aug 25 2024,16:30,CEST/+0200,FC Zlín B,0-2,,Hanácká Slávia Kroměříž,,2024-08-25T14:30Z
MSFL,4,Sun Aug 25 2024,17:00,CEST/+0200,1. SC Znojmo,1-4,,FK Frýdek-Místek,,2024-08-25T15:00Z
ČFL B,3,Sun Aug 25 2024,10:15,CEST/+0200,Slovan Liberec B,3-2,2-0,FK Kolín,,2024-08-25T08:15Z
MSFL,4,Sun Aug 25 2024,10:15,CEST/+0200,FC Zbrojovka Brno B,1-4,0-4,FC Strání,,2024-08-25T08:15Z
ČFL B,3,Sun Aug 25 2024,10:15,CEST/+0200,FC Hradec Králové B,2-1,1-1,Chlumec nad Cidlinou,,2024-08-25T08:15Z
ČFL A,3,Sun Aug 25 2024,10:15,CEST/+0200,FK Admira Praha,1-0,1-0,Sokol Hostouň,,2024-08-25T08:15Z
ČFL A,3,Sun Aug 25 2024,10:30,CEST/+0200,Viktoria Plzeň B,0-3,0-2,Dynamo České Budějovice B,,2024-08-25T08:30Z
ČFL A,3,Sun Aug 25 2024,17:00,CEST/+0200,Povltavská FA,4-0,3-0,FC Písek,,2024-08-25T15:00Z
ČFL B,3,Sun Aug 25 2024,17:00,CEST/+0200,Sokol Brozany,2-2,0-0,Jiskra Ústí nad Orlicí,,2024-08-25T15:00Z
ČFL B,3,Sun Aug 25 2024,17:00,CEST/+0200,Benátky nad Jizerou,0-0,0-0,SK Zápy,,2024-08-25T15:00Z
ČFL A,17,Wed Aug 28 2024,18:00,CEST/+0200,FK Příbram,2-1,0-0,Dynamo České Budějovice B,,2024-08-28T16:00Z
ČFL A,17,Wed Aug 28 2024,18:00,CEST/+0200,FK Motorlet Praha,1-1,1-0,FC Chomutov,,2024-08-28T16:00Z
ČFL A,17,Wed Aug 28 2024,18:00,CEST/+0200,SK Petřín Plzeň,0-4,0-1,TJ Jiskra Domažlice,,2024-08-28T16:00Z
ČFL A,17,Wed Aug 28 2024,18:00,CEST/+0200,FC Písek,0-0,0-0,FK Admira Praha,,2024-08-28T16:00Z
ČFL A,17,Wed Aug 28 2024,18:00,CEST/+0200,Bohemians Praha 1905 B,1-0,0-0,Povltavská FA,,2024-08-28T16:00Z
ČFL A,17,Wed Aug 28 2024,,,FK Robstav,(*),,Sokol Hostouň,cancelled,
ČFL A,17,Wed Aug 28 2024,18:00,CEST/+0200,FK Dukla Praha B,2-0,1-0,Viktoria Plzeň B,,2024-08-28T16:00Z
ČFL A,17,Wed Aug 28 2024,18:00,CEST/+0200,FK MAS Táborsko B,3-0,2-0,FK Loko Vltavín,,2024-08-28T16:00Z
ČFL B,17,Wed Aug 28 2024,17:00,CEST/+0200,FK Teplice B,4-2,2-1,Benátky nad Jizerou,,2024-08-28T15:00Z
ČFL B,17,Wed Aug 28 2024,18:00,CEST/+0200,FK Ústí nad Labem,4-0,2-0,FK Jablonec B,,2024-08-28T16:00Z
ČFL B,17,Wed Aug 28 2024,18:00,CEST/+0200,Jiskra Ústí nad Orlicí,1-0,0-0,FK Pardubice B,,2024-08-28T16:00Z
ČFL B,17,Wed Aug 28 2024,18:00,CEST/+0200,Baník Most - Souš,1-2,0-2,Slovan Liberec B,,2024-08-28T16:00Z
ČFL B,17,Wed Aug 28 2024,18:00,CEST/+0200,FK Mlada Boleslav B,1-1,0-1,Arsenal Česká Lípa,,2024-08-28T16:00Z
ČFL B,17,Wed Aug 28 2024,18:00,CEST/+0200,Sokol Brozany,3-0,1-0,FK Kolín,,2024-08-28T16:00Z
ČFL B,17,Wed Aug 28 2024,18:00,CEST/+0200,Chlumec nad Cidlinou,1-2,1-1,Sokol Živanice,,2024-08-28T16:00Z
ČFL B,17,Wed Aug 28 2024,18:00,CEST/+0200,SK Zápy,3-0,0-0,FC Hradec Králové B,,2024-08-28T16:00Z
MSFL,5,Fri Aug 30 2024,17:00,CEST/+0200,FK Třinec,5-1,,MFK Karviná B,,2024-08-30T15:00Z
ČFL A,4,Sat Aug 31 2024,10:30,CEST/+0200,Dynamo České Budějovice B,3-2,0-1,FK Motorlet Praha,,2024-08-31T08:30Z
ČFL A,4,Sat Aug 31 2024,10:15,CEST/+0200,SK Petřín Plzeň,1-4,0-3,FK Příbram,,2024-08-31T08:15Z
ČFL B,4,Sat Aug 31 2024,15:00,CEST/+0200,Baník Most - Souš,0-1,0-0,FK Pardubice B,,2024-08-31T13:00Z
ČFL B,4,Sat Aug 31 2024,10:15,CEST/+0200,Sokol Živanice,1-1,0-1,FC Hradec Králové B,,2024-08-31T08:15Z
ČFL B,4,Sat Aug 31 2024,10:00,CEST/+0200,FK Kolín,1-0,0-0,FK Teplice B,,2024-08-31T08:00Z
ČFL A,4,Sat Aug 31 2024,,,FK Robstav,(*),,TJ Jiskra Domažlice,cancelled,
MSFL,5,Sat Aug 31 2024,16:00,CEST/+0200,FK Hodonín,0-1,,FC Hlučín,,2024-08-31T14:00Z
MSFL,5,Sat Aug 31 2024,16:00,CEST/+0200,TJ Unie Hlubina,0-5,,FC Zlín B,,2024-08-31T14:00Z
MSFL,5,Sat Aug 31 2024,17:00,CEST/+0200,Hanácká Slávia Kroměříž,4-0,,FC Zbrojovka Brno B,,2024-08-31T15:00Z
ČFL B,4,Sat Aug 31 2024,18:00,CEST/+0200,FK Ústí nad Labem,4-0,1-0,Benátky nad Jizerou,,2024-08-31T16:00Z
MSFL,5,Sun Sep 1 2024,10:15,CEST/+0200,FC Zlínsko,2-1,,1. SC Znojmo,,2024-09-01T08:15Z
MSFL,5,Sun Sep 1 2024,10:15,CEST/+0200,FK Frýdek-Místek,1-4,,FC Slovan Rosice,,2024-09-01T08:15Z
MSFL,5,Sun Sep 1 2024,10:15,CEST/+0200,1. FC Slovácko B,3-2,,TJ Start Brno,,2024-09-01T08:15Z
MSFL,5,Sun Sep 1 2024,10:15,CEST/+0200,SK Uničov,2-0,,ČSK Uherský Brod,,2024-09-01T08:15Z
MSFL,5,Sun Sep 1 2024,16:00,CEST/+0200,FC Strání,2-0,,FK Blansko,,2024-09-01T14:00Z
ČFL A,4,Sun Sep 1 2024,17:00,CEST/+0200,Sokol Hostouň,0-1,0-1,FK Loko Vltavín,,2024-09-01T15:00Z
ČFL A,4,Sun Sep 1 2024,10:30,CEST/+0200,Viktoria Plzeň B,3-0,0-0,FK Admira Praha,,2024-09-01T08:30Z
ČFL A,4,Sun Sep 1 2024,10:15,CEST/+0200,Bohemians Praha 1905 B,2-5,1-3,Slovan Velvary,,2024-09-01T08:15Z
ČFL A,4,Sun Sep 1 2024,17:00,CEST/+0200,FC Písek,2-0,0-0,FC Chomutov,,2024-09-01T15:00Z
ČFL B,4,Sun Sep 1 2024,17:00,CEST/+0200,SK Zápy,2-2,2-2,SK Kladno,,2024-09-01T15:00Z
ČFL B,4,Sun Sep 1 2024,10:15,CEST/+0200,Slovan Liberec B,0-0,0-0,FK Jablonec B,,2024-09-01T08:15Z
ČFL B,4,Sun Sep 1 2024,10:15,CEST/+0200,FK Mlada Boleslav B,2-3,1-1,Sokol Brozany,,2024-09-01T08:15Z
ČFL B,4,Sun Sep 1 2024,10:15,CEST/+0200,Chlumec nad Cidlinou,4-1,2-1,Arsenal Česká Lípa,,2024-09-01T08:15Z
ČFL A,4,Sun Sep 1 2024,10:15,CEST/+0200,FK Dukla Praha B,1-4,1-1,Povltavská FA,,2024-09-01T08:15Z
ČFL B,5,Fri Sep 6 2024,17:30,CEST/+0200,SK Kladno,2-1,1-1,FK Ústí nad Labem,,2024-09-06T15:30Z
ČFL A,5,Fri Sep 6 2024,17:30,CEST/+0200,FK Motorlet Praha,1-6,0-3,Bohemians Praha 1905 B,,2024-09-06T15:30Z
ČFL A,5,Fri Sep 6 2024,18:00,CEST/+0200,FK Příbram,0-1,0-0,FK MAS Táborsko B,,2024-09-06T16:00Z
ČFL A,5,Fri Sep 6 2024,18:30,CEST/+0200,FC Chomutov,3-4,2-2,FK Dukla Praha B,,2024-09-06T16:30Z
MSFL,6,Fri Sep 6 2024,18:00,CEST/+0200,FC Hlučín,0-1,,1. FC Slovácko B,,2024-09-06T16:00Z
MSFL,6,Fri Sep 6 2024,17:00,CEST/+0200,FC Zlínsko,1-3,,SK Uničov,,2024-09-06T15:00Z
MSFL,6,Fri Sep 6 2024,17:00,CEST/+0200,FC Slovan Rosice,2-1,,1. SC Znojmo,,2024-09-06T15:00Z
MSFL,6,Fri Sep 6 2024,17:00,CEST/+0200,FK Blansko,1-3,,Hanácká Slávia Kroměříž,,2024-09-06T15:00Z
ČFL B,5,Fri Sep 6 2024,13:30,CEST/+0200,FC Hradec Králové B,3-2,1-2,Slovan Liberec B,,2024-09-06T11:30Z
ČFL A,5,Sat Sep 7 2024,17:00,CEST/+0200,TJ Jiskra Domažlice,4-0,1-0,Sokol Hostouň,,2024-09-07T15:00Z
ČFL A,5,Sat Sep 7 2024,14:30,CEST/+0200,Slovan Velvary,1-0,0-0,SK Petřín Plzeň,,2024-09-07T12:30Z
MSFL,6,Sat Sep 7 2024,10:30,CEST/+0200,FC Zlín B,3-1,,FK Třinec,,2024-09-07T08:30Z
MSFL,6,Sat Sep 7 2024,16:00,CEST/+0200,ČSK Uherský Brod,0-1,,FC Strání,,2024-09-07T14:00Z
ČFL A,5,Sat Sep 7 2024,,,Povltavská FA,(*),,FK Robstav,cancelled,
ČFL A,5,Sat Sep 7 2024,10:15,CEST/+0200,FK Loko Vltavín,1-2,1-0,Viktoria Plzeň B,,2024-09-07T08:15Z
ČFL B,5,Sat Sep 7 2024,10:15,CEST/+0200,FK Pardubice B,0-0,0-0,Chlumec nad Cidlinou,,2024-09-07T08:15Z
ČFL B,5,Sat Sep 7 2024,10:15,CEST/+0200,FK Jablonec B,1-1,0-0,FK Kolín,,2024-09-07T08:15Z
ČFL B,5,Sat Sep 7 2024,17:00,CEST/+0200,Arsenal Česká Lípa,3-1,1-0,Sokol Živanice,,2024-09-07T15:00Z
MSFL,6,Sat Sep 7 2024,17:00,CEST/+0200,TJ Start Brno,2-1,,FK Frýdek-Místek,,2024-09-07T15:00Z
MSFL,6,Sun Sep 8 2024,10:15,CEST/+0200,MFK Karviná B,1-2,,FK Hodonín,,2024-09-08T08:15Z
ČFL B,5,Sun Sep 8 2024,17:00,CEST/+0200,Benátky nad Jizerou,3-0,1-0,Baník Most - Souš,,2024-09-08T15:00Z
ČFL B,5,Sun Sep 8 2024,17:00,CEST/+0200,Sokol Brozany,3-0,2-0,SK Zápy,,2024-09-08T15:00Z
ČFL B,5,Sun Sep 8 2024,11:00,CEST/+0200,FK Teplice B,0-2,0-1,Jiskra Ústí nad Orlicí,,2024-09-08T09:00Z
ČFL A,5,Sun Sep 8 2024,10:15,CEST/+0200,FK Admira Praha,3-6,0-3,Dynamo České Budějovice B,,2024-09-08T08:15Z
MSFL,6,Sun Sep 8 2024,10:15,CEST/+0200,FC Zbrojovka Brno B,0-1,,TJ Unie Hlubina,,2024-09-08T08:15Z
MSFL,17,Tue Sep 10 2024,17:00,CEST/+0200,FC Slovan Rosice,3-3,,Hanácká Slávia Kroměříž,,2024-09-10T15:00Z
MSFL,17,Wed Sep 11 2024,17:00,CEST/+0200,FC Zbrojovka Brno B,1-0,,FK Blansko,,2024-09-11T15:00Z
ČFL B,2,Wed Sep 11 2024,17:00,CEST/+0200,SK Zápy,2-0,2-0,FK Pardubice B,,2024-09-11T15:00Z
MSFL,17,Wed Sep 11 2024,17:00,CEST/+0200,FK Frýdek-Místek,0-0,,TJ Unie Hlubina,,2024-09-11T15:00Z
MSFL,17,Wed Sep 11 2024,17:00,CEST/+0200,FK Hodonín,1-0,,1. SC Znojmo,,2024-09-11T15:00Z
MSFL,17,Wed Sep 11 2024,17:00,CEST/+0200,FC Zlín B,0-1,,ČSK Uherský Brod,,2024-09-11T15:00Z
MSFL,17,Wed Sep 11 2024,17:00,CEST/+0200,MFK Karviná B,2-0,,FC Zlínsko,,2024-09-11T15:00Z
MSFL,17,Wed Sep 11 2024,17:00,CEST/+0200,TJ Start Brno,2-0,,FC Strání,,2024-09-11T15:00Z
MSFL,17,Wed Sep 11 2024,18:00,CEST/+0200,FC Hlučín,0-1,,SK Uničov,,2024-09-11T16:00Z
MSFL,17,Wed Sep 11 2024,17:00,CEST/+0200,1. FC Slovácko B,0-2,,FK Třinec,,2024-09-11T15:00Z
ČFL A,6,Fri Sep 13 2024,18:00,CEST/+0200,FC Písek,,,FK Příbram,,2024-09-13T16:00Z
ČFL B,6,Fri Sep 13 2024,18:00,CEST/+0200,FK Ústí nad Labem,,,Sokol Brozany,,2024-09-13T16:00Z
ČFL A,6,Sat Sep 14 2024,,,FK Robstav,(*),,FC Chomutov,cancelled,
ČFL A,6,Sat Sep 14 2024,10:15,CEST/+0200,SK Petřín Plzeň,,,FK Motorlet Praha,,2024-09-14T08:15Z
ČFL A,6,Sat Sep 14 2024,10:30,CEST/+0200,Dynamo České Budějovice B,,,Bohemians Praha 1905 B,,2024-09-14T08:30Z
ČFL B,6,Sat Sep 14 2024,10:15,CEST/+0200,FK Jablonec B,,,FC Hradec Králové B,,2024-09-14T08:15Z
ČFL B,6,Sat Sep 14 2024,10:15,CEST/+0200,Baník Most - Souš,,,SK Kladno,,2024-09-14T08:15Z
ČFL B,6,Sat Sep 14 2024,10:00,CEST/+0200,FK Kolín,,,Jiskra Ústí nad Orlicí,,2024-09-14T08:00Z
MSFL,7,Sat Sep 14 2024,16:00,CEST/+0200,Hanácká Slávia Kroměříž,,,ČSK Uherský Brod,,2024-09-14T14:00Z
MSFL,7,Sat Sep 14 2024,10:15,CEST/+0200,FC Slovan Rosice,,,TJ Start Brno,,2024-09-14T08:15Z
MSFL,7,Sat Sep 14 2024,10:15,CEST/+0200,FK Třinec,,,FC Zbrojovka Brno B,,2024-09-14T08:15Z
MSFL,7,Sat Sep 14 2024,16:00,CEST/+0200,FK Hodonín,,,FC Zlín B,,2024-09-14T14:00Z
MSFL,7,Sat Sep 14 2024,16:00,CEST/+0200,TJ Unie Hlubina,,,FK Blansko,,2024-09-14T14:00Z
ČFL B,6,Sat Sep 14 2024,17:00,CEST/+0200,Sokol Živanice,,,FK Pardubice B,,2024-09-14T15:00Z
MSFL,7,Sun Sep 15 2024,10:15,CEST/+0200,FK Frýdek-Místek,,,FC Hlučín,,2024-09-15T08:15Z
MSFL,7,Sun Sep 15 2024,10:15,CEST/+0200,SK Uničov,,,1. SC Znojmo,,2024-09-15T08:15Z
MSFL,7,Sun Sep 15 2024,10:15,CEST/+0200,1. FC Slovácko B,,,MFK Karviná B,,2024-09-15T08:15Z
MSFL,7,Sun Sep 15 2024,16:00,CEST/+0200,FC Strání,,,FC Zlínsko,,2024-09-15T14:00Z
ČFL A,6,Sun Sep 15 2024,17:00,CEST/+0200,FK MAS Táborsko B,,,Slovan Velvary,,2024-09-15T15:00Z
ČFL A,6,Sun Sep 15 2024,17:00,CEST/+0200,Sokol Hostouň,,,Povltavská FA,,2024-09-15T15:00Z
ČFL A,6,Sun Sep 15 2024,10:30,CEST/+0200,Viktoria Plzeň B,,,TJ Jiskra Domažlice,,2024-09-15T08:30Z
ČFL A,6,Sun Sep 15 2024,10:15,CEST/+0200,FK Admira Praha,,,FK Loko Vltavín,,2024-09-15T08:15Z
ČFL B,6,Sun Sep 15 2024,10:15,CEST/+0200,Slovan Liberec B,,,Arsenal Česká Lípa,,2024-09-15T08:15Z
ČFL B,6,Sun Sep 15 2024,10:15,CEST/+0200,FK Mlada Boleslav B,,,FK Teplice B,,2024-09-15T08:15Z
ČFL B,6,Sun Sep 15 2024,10:15,CEST/+0200,Chlumec nad Cidlinou,,,Benátky nad Jizerou,,2024-09-15T08:15Z
ČFL A,7,Fri Sep 20 2024,18:00,CEST/+0200,FK Příbram,,,FK Dukla Praha B,,2024-09-20T16:00Z
ČFL A,7,Fri Sep 20 2024,19:00,CEST/+0200,FC Chomutov,,,Sokol Hostouň,,2024-09-20T17:00Z
ČFL B,7,Sat Sep 21 2024,16:30,CEST/+0200,Arsenal Česká Lípa,,,FK Jablonec B,,2024-09-21T14:30Z
ČFL B,7,Sat Sep 21 2024,16:30,CEST/+0200,Jiskra Ústí nad Orlicí,,,FK Mlada Boleslav B,,2024-09-21T14:30Z
ČFL B,7,Sat Sep 21 2024,16:30,CEST/+0200,SK Kladno,,,Chlumec nad Cidlinou,,2024-09-21T14:30Z
ČFL A,7,Sat Sep 21 2024,14:30,CEST/+0200,Slovan Velvary,,,FC Písek,,2024-09-21T12:30Z
ČFL A,7,Sat Sep 21 2024,10:15,CEST/+0200,FK Motorlet Praha,,,FK MAS Táborsko B,,2024-09-21T08:15Z
ČFL A,7,Sat Sep 21 2024,10:15,CEST/+0200,FK Loko Vltavín,,,Dynamo České Budějovice B,,2024-09-21T08:15Z
ČFL B,7,Sat Sep 21 2024,10:15,CEST/+0200,FK Pardubice B,,,Slovan Liberec B,,2024-09-21T08:15Z
ČFL A,7,Sat Sep 21 2024,16:30,CEST/+0200,TJ Jiskra Domažlice,,,FK Admira Praha,,2024-09-21T14:30Z
MSFL,8,Sun Sep 22 2024,15:30,CEST/+0200,SK Uničov,,,FC Strání,,2024-09-22T13:30Z
MSFL,8,Sun Sep 22 2024,15:30,CEST/+0200,1. SC Znojmo,,,TJ Start Brno,,2024-09-22T13:30Z
