Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,Comments,UTC
Gruppe G,Sat Sep 19 2020,15:30,-0300,Nacional PR,1-4,0-1,Ferroviária SP,,,,2020-09-19T18:30Z
Gruppe E,Sat Sep 19 2020,15:00,-0300,Real Noroeste ES,2-1,2-0,Goiânia GO,,,,2020-09-19T18:00Z
Gruppe B,Sat Sep 19 2020,16:00,-0300,Juventude MA,4-0,1-0,Santos AP,,,,2020-09-19T19:00Z
Gruppe H,Sat Sep 19 2020,15:00,-0300,Pelotas RS,1-0,0-0,Marcílio Dias SC,,,,2020-09-19T18:00Z
Gruppe H,Sat Sep 19 2020,17:00,-0300,Joinville SC,1-1,0-1,Grêmio Novorizontino SP,,,,2020-09-19T20:00Z
Gruppe H,Sat Sep 19 2020,18:00,-0300,São Caetano SP,0-1,0-0,S.E.R. Caxias RS,,,,2020-09-19T21:00Z
Gruppe G,Sun Sep 20 2020,19:00,-0300,Mirassol SP,1-1,0-1,Bangu RJ,,,,2020-09-20T22:00Z
Gruppe A,Sun Sep 20 2020,15:00,-0300,Bragantino PA,3-1,0-1,Vilhenense RO,,,,2020-09-20T18:00Z
Gruppe A,Sun Sep 20 2020,16:00,-0300,Ji-Paraná RO,1-1,1-0,Atlético Acreano AC,,,,2020-09-20T19:00Z
Gruppe A,Sun Sep 20 2020,19:00,-0300,Galvez AC,1-5,0-2,Fast Clube AM,,,,2020-09-20T22:00Z
Gruppe B,Sun Sep 20 2020,16:00,-0300,Sinop MT,0-2,0-2,River PI,,,,2020-09-20T19:00Z
Gruppe B,Sun Sep 20 2020,17:00,-0300,Baré RR,2-2,1-2,Moto Club MA,,,,2020-09-20T20:00Z
Gruppe H,Sun Sep 20 2020,16:00,-0300,Tubarão SC,0-1,0-0,São Luiz RS,,,,2020-09-20T19:00Z
Gruppe G,Sun Sep 20 2020,16:00,-0300,Cascavel FC PR,3-3,2-1,Cabofriense RJ,,,,2020-09-20T19:00Z
Gruppe C,Sun Sep 20 2020,16:00,-0300,Afogados da Ingazeira PE,1-0,0-0,Floresta CE,,,,2020-09-20T19:00Z
Gruppe D,Sun Sep 20 2020,16:00,-0300,Itabaiana SE,1-1,0-1,ABC RN,,,,2020-09-20T19:00Z
Gruppe D,Sun Sep 20 2020,16:00,-0300,Vitória da Conquista BA,2-0,0-0,Coruripe AL,,,,2020-09-20T19:00Z
Gruppe D,Sun Sep 20 2020,15:30,-0300,Potiguar de Mossoró RN,0-0,0-0,Freipaulistano SE,,,,2020-09-20T18:30Z
Gruppe C,Sun Sep 20 2020,16:00,-0300,Atlético Cajazeirense PB,1-2,0-1,Globo RN,,,,2020-09-20T19:00Z
Gruppe B,Sun Sep 20 2020,15:45,-0300,Altos PI,0-1,0-0,São Raimundo RR,,,,2020-09-20T18:45Z
Gruppe F,Sun Sep 20 2020,16:00,-0300,Villa Nova MG,3-1,2-0,Palmas TO,,,,2020-09-20T19:00Z
Gruppe F,Sun Sep 20 2020,15:00,-0300,Brasiliense DF,3-1,1-0,Caldense MG,,,,2020-09-20T18:00Z
Gruppe A,Sat Sep 26 2020,19:00,-0300,Fast Clube AM,0-0,0-0,Rio Branco AC,,,,2020-09-26T22:00Z
Gruppe F,Sat Sep 26 2020,16:00,-0300,Palmas TO,0-2,0-0,Tupynambás MG,,,,2020-09-26T19:00Z
Gruppe F,Sat Sep 26 2020,17:00,-0300,Bahia de Feira BA,2-0,1-0,Villa Nova MG,,,,2020-09-26T20:00Z
Gruppe F,Sat Sep 26 2020,17:00,-0300,Gama DF,2-1,1-0,Brasiliense DF,,,,2020-09-26T20:00Z
Gruppe A,Sat Sep 26 2020,19:00,-0300,Atlético Acreano AC,2-2,2-0,Bragantino PA,,,,2020-09-26T22:00Z
Gruppe C,Sat Sep 26 2020,19:00,-0300,Salgueiro PE,1-0,1-0,Atlético Cajazeirense PB,,,,2020-09-26T22:00Z
Gruppe C,Sat Sep 26 2020,16:00,-0300,Campinense PB,2-0,1-0,Afogados da Ingazeira PE,,,,2020-09-26T19:00Z
Gruppe C,Sat Sep 26 2020,15:30,-0300,Floresta CE,1-1,1-1,América RN,,,,2020-09-26T18:30Z
Gruppe C,Sat Sep 26 2020,15:00,-0300,Globo RN,3-1,1-0,Guarany de Sobral CE,,,,2020-09-26T18:00Z
Gruppe A,Sat Sep 26 2020,16:00,-0300,Vilhenense RO,1-0,0-0,Ji-Paraná RO,,,,2020-09-26T19:00Z
Gruppe D,Sat Sep 26 2020,16:00,-0300,Coruripe AL,1-0,1-0,Potiguar de Mossoró RN,,,,2020-09-26T19:00Z
Gruppe E,Sat Sep 26 2020,17:00,-0300,Águia Negra MS,2-2,2-2,Real Noroeste ES,,,,2020-09-26T20:00Z
Gruppe G,Sat Sep 26 2020,15:00,-0300,Cabofriense RJ,3-1,2-1,Mirassol SP,,,,2020-09-26T18:00Z
Gruppe G,Sat Sep 26 2020,15:00,-0300,Bangu RJ,2-0,1-0,Cascavel FC PR,,,,2020-09-26T18:00Z
Gruppe G,Sat Sep 26 2020,18:00,-0300,Ferroviária SP,1-1,1-0,Portuguesa RJ,,,,2020-09-26T21:00Z
Gruppe B,Sat Sep 26 2020,16:00,-0300,River PI,2-2,2-0,Baré RR,,,,2020-09-26T19:00Z
Gruppe B,Sat Sep 26 2020,16:00,-0300,Santos AP,0-4,0-2,Altos PI,,,,2020-09-26T19:00Z
Gruppe H,Sat Sep 26 2020,17:00,-0300,São Luiz RS,0-0,0-0,São Caetano SP,,,,2020-09-26T20:00Z
Gruppe H,Sat Sep 26 2020,16:00,-0300,Marcílio Dias SC,0-0,0-0,Joinville SC,,,,2020-09-26T19:00Z
Gruppe H,Sat Sep 26 2020,16:00,-0300,Grêmio Novorizontino SP,1-0,1-0,Pelotas RS,,,,2020-09-26T19:00Z
Gruppe E,Sat Sep 26 2020,16:00,-0300,Goiânia GO,3-1,1-1,União Rondonópolis MT,,,,2020-09-26T19:00Z
Gruppe E,Sat Sep 26 2020,16:00,-0300,Operário MT,0-2,0-0,Goianésia GO,,,,2020-09-26T19:00Z
Gruppe E,Sat Sep 26 2020,15:00,-0300,Vitória ES,0-1,0-0,Aparecidense GO,,,,2020-09-26T18:00Z
Gruppe F,Sat Sep 26 2020,19:30,-0300,Caldense MG,0-3,0-1,Atlético de Alagoinhas BA,,,,2020-09-26T22:30Z
Gruppe A,Sun Sep 27 2020,16:00,-0300,Independente PA,0-2,0-1,Galvez AC,,,,2020-09-27T19:00Z
Gruppe D,Sun Sep 27 2020,16:00,-0300,ABC RN,7-0,2-0,Jacyobá AL,,,,2020-09-27T19:00Z
Gruppe D,Sun Sep 27 2020,16:00,-0300,Freipaulistano SE,0-1,0-1,Vitória da Conquista BA,,,,2020-09-27T19:00Z
Gruppe G,Sun Sep 27 2020,16:00,-0300,Toledo Esporte Clube,2-3,1-3,Nacional PR,,,,2020-09-27T19:00Z
Gruppe D,Sun Sep 27 2020,16:00,-0300,Central PE,2-2,0-1,Itabaiana SE,,,,2020-09-27T19:00Z
Gruppe H,Sun Sep 27 2020,15:00,-0300,S.E.R. Caxias RS,2-1,1-0,Tubarão SC,,,,2020-09-27T18:00Z
Gruppe B,Sun Sep 27 2020,17:00,-0300,São Raimundo RR,1-1,1-1,Juventude MA,,,,2020-09-27T20:00Z
Gruppe C,Tue Sep 29 2020,20:00,-0300,América RN,0-1,0-1,Salgueiro PE,,,,2020-09-29T23:00Z
Gruppe B,Wed Sep 30 2020,15:45,-0300,Altos PI,3-1,1-1,Moto Club MA,,,,2020-09-30T18:45Z
Gruppe C,Wed Sep 30 2020,20:00,-0300,Afogados da Ingazeira PE,3-2,2-1,Globo RN,,,,2020-09-30T23:00Z
Gruppe B,Wed Sep 30 2020,16:00,-0300,Sinop MT,1-2,1-0,Santos AP,,,,2020-09-30T19:00Z
Gruppe B,Wed Sep 30 2020,21:00,-0300,Baré RR,1-0,0-0,São Raimundo RR,,,,2020-10-01T00:00Z
Gruppe A,Wed Sep 30 2020,15:00,-0300,Bragantino PA,3-1,1-0,Fast Clube AM,,,,2020-09-30T18:00Z
Gruppe C,Wed Sep 30 2020,15:30,-0300,Guarany de Sobral CE,1-0,0-0,Campinense PB,,,,2020-09-30T18:30Z
Gruppe G,Wed Sep 30 2020,15:00,-0300,Portuguesa RJ,0-2,0-1,Bangu RJ,,,,2020-09-30T18:00Z
Gruppe G,Wed Sep 30 2020,16:00,-0300,Nacional PR,1-2,0-0,Cabofriense RJ,,,,2020-09-30T19:00Z
Gruppe F,Wed Sep 30 2020,20:30,-0300,Villa Nova MG,0-1,0-1,Gama DF,,,,2020-09-30T23:30Z
Gruppe H,Wed Sep 30 2020,19:30,-0300,Grêmio Novorizontino SP,1-0,1-0,Tubarão SC,,,,2020-09-30T22:30Z
Gruppe B,Wed Sep 30 2020,16:00,-0300,River PI,1-0,0-0,Juventude MA,,,,2020-09-30T19:00Z
Gruppe D,Wed Sep 30 2020,16:00,-0300,Freipaulistano SE,3-0,1-0,Jacyobá AL,,,,2020-09-30T19:00Z
Gruppe D,Wed Sep 30 2020,19:00,-0300,Itabaiana SE,2-0,0-0,Coruripe AL,,,,2020-09-30T22:00Z
Gruppe E,Wed Sep 30 2020,16:00,-0300,Aparecidense GO,1-1,1-1,Goiânia GO,,,,2020-09-30T19:00Z
Gruppe E,Wed Sep 30 2020,16:00,-0300,Operário MT,1-0,1-0,Real Noroeste ES,,,,2020-09-30T19:00Z
Gruppe E,Wed Sep 30 2020,17:00,-0300,União Rondonópolis MT,4-1,2-1,Vitória ES,,,,2020-09-30T20:00Z
Gruppe E,Wed Sep 30 2020,19:00,-0300,Goianésia GO,2-3,1-3,Águia Negra MS,,,,2020-09-30T22:00Z
Gruppe A,Wed Sep 30 2020,16:00,-0300,Independente PA,1-2,1-1,Ji-Paraná RO,,,,2020-09-30T19:00Z
Gruppe G,Wed Sep 30 2020,20:00,-0300,Mirassol SP,6-0,3-0,Toledo Esporte Clube,,,,2020-09-30T23:00Z
Gruppe A,Wed Sep 30 2020,21:00,-0300,Galvez AC,2-1,0-0,Vilhenense RO,,,,2020-10-01T00:00Z
Gruppe G,Wed Sep 30 2020,20:30,-0300,Ferroviária SP,0-0,0-0,Cascavel FC PR,,,,2020-09-30T23:30Z
Gruppe F,Wed Sep 30 2020,20:30,-0300,Tupynambás MG,0-0,0-0,Caldense MG,,,,2020-09-30T23:30Z
Gruppe D,Thu Oct 1 2020,15:30,-0300,Potiguar de Mossoró RN,0-0,0-0,Central PE,,,,2020-10-01T18:30Z
Gruppe H,Thu Oct 1 2020,19:00,-0300,Joinville SC,2-0,0-0,São Luiz RS,,,,2020-10-01T22:00Z
Gruppe H,Thu Oct 1 2020,15:00,-0300,Pelotas RS,1-2,0-1,S.E.R. Caxias RS,,,,2020-10-01T18:00Z
Gruppe C,Thu Oct 1 2020,15:30,-0300,Floresta CE,1-0,1-0,Atlético Cajazeirense PB,,,,2020-10-01T18:30Z
Gruppe F,Thu Oct 1 2020,19:00,-0300,Atlético de Alagoinhas BA,3-0,1-0,Palmas TO,,,,2020-10-01T22:00Z
Gruppe F,Thu Oct 1 2020,19:00,-0300,Bahia de Feira BA,1-1,1-1,Brasiliense DF,,,,2020-10-01T22:00Z
Gruppe A,Thu Oct 1 2020,22:00,-0300,Rio Branco AC,0-0,0-0,Atlético Acreano AC,,,,2020-10-02T01:00Z
Gruppe D,Thu Oct 1 2020,20:00,-0300,Vitória da Conquista BA,0-3,0-1,ABC RN,,,,2020-10-01T23:00Z
Gruppe C,Sat Oct 3 2020,16:00,-0300,América RN,3-1,0-0,Afogados da Ingazeira PE,,,,2020-10-03T19:00Z
Gruppe C,Sat Oct 3 2020,19:00,-0300,Salgueiro PE,0-0,0-0,Globo RN,,,,2020-10-03T22:00Z
Gruppe H,Sat Oct 3 2020,16:00,-0300,Tubarão SC,3-0,1-0,São Caetano SP,,,,2020-10-03T19:00Z
Gruppe D,Sat Oct 3 2020,16:00,-0300,Coruripe AL,1-0,1-0,Freipaulistano SE,,,,2020-10-03T19:00Z
Gruppe G,Sat Oct 3 2020,15:00,-0300,Portuguesa RJ,3-1,1-0,Nacional PR,,,,2020-10-03T18:00Z
Gruppe G,Sat Oct 3 2020,15:00,-0300,Bangu RJ,2-2,2-1,Cabofriense RJ,,,,2020-10-03T18:00Z
Gruppe D,Sat Oct 3 2020,16:00,-0300,Jacyobá AL,2-2,0-1,Itabaiana SE,,,,2020-10-03T19:00Z
Gruppe E,Sat Oct 3 2020,19:00,-0300,Águia Negra MS,1-1,0-0,Goiânia GO,,,,2020-10-03T22:00Z
Gruppe F,Sat Oct 3 2020,16:00,-0300,Gama DF,5-0,1-0,Caldense MG,,,,2020-10-03T19:00Z
Gruppe B,Sat Oct 3 2020,17:00,-0300,Baré RR,2-3,0-1,Sinop MT,,,,2020-10-03T20:00Z
Gruppe B,Sat Oct 3 2020,15:30,-0300,Moto Club MA,2-0,0-0,River PI,,,,2020-10-03T18:30Z
Gruppe B,Sat Oct 3 2020,15:30,-0300,Juventude MA,1-2,0-2,Altos PI,,,,2020-10-03T18:30Z
Gruppe E,Sat Oct 3 2020,15:00,-0300,Vitória ES,2-1,0-0,Operário MT,,,,2020-10-03T18:00Z
Gruppe H,Sat Oct 3 2020,16:00,-0300,Marcílio Dias SC,0-0,0-0,Grêmio Novorizontino SP,,,,2020-10-03T19:00Z
Gruppe G,Sun Oct 4 2020,16:00,-0300,Cascavel FC PR,0-0,0-0,Mirassol SP,,,,2020-10-04T19:00Z
Gruppe G,Sun Oct 4 2020,16:00,-0300,Toledo Esporte Clube,2-6,1-2,Ferroviária SP,,,,2020-10-04T19:00Z
Gruppe A,Sun Oct 4 2020,16:00,-0300,Ji-Paraná RO,4-0,1-0,Bragantino PA,,,,2020-10-04T19:00Z
Gruppe A,Sun Oct 4 2020,18:00,-0300,Vilhenense RO,1-1,0-0,Atlético Acreano AC,,,,2020-10-04T21:00Z
Gruppe A,Sun Oct 4 2020,19:00,-0300,Fast Clube AM,4-0,1-0,Independente PA,,,,2020-10-04T22:00Z
Gruppe B,Sun Oct 4 2020,17:00,-0300,São Raimundo RR,2-0,1-0,Santos AP,,,,2020-10-04T20:00Z
Gruppe H,Sun Oct 4 2020,15:00,-0300,S.E.R. Caxias RS,1-2,0-1,São Luiz RS,,,,2020-10-04T18:00Z
Gruppe H,Sun Oct 4 2020,15:00,-0300,Pelotas RS,1-0,0-0,Joinville SC,,,,2020-10-04T18:00Z
Gruppe F,Sun Oct 4 2020,15:00,-0300,Brasiliense DF,1-1,0-0,Atlético de Alagoinhas BA,,,,2020-10-04T18:00Z
Gruppe F,Sun Oct 4 2020,16:00,-0300,Villa Nova MG,2-2,0-1,Tupynambás MG,,,,2020-10-04T19:00Z
Gruppe F,Sun Oct 4 2020,16:00,-0300,Palmas TO,0-1,0-0,Bahia de Feira BA,,,,2020-10-04T19:00Z
Gruppe E,Sun Oct 4 2020,15:00,-0300,Real Noroeste ES,2-1,0-1,União Rondonópolis MT,,,,2020-10-04T18:00Z
Gruppe E,Sun Oct 4 2020,18:00,-0300,Goianésia GO,1-1,0-1,Aparecidense GO,,,,2020-10-04T21:00Z
Gruppe D,Sun Oct 4 2020,16:00,-0300,Vitória da Conquista BA,2-4,2-0,Potiguar de Mossoró RN,,,,2020-10-04T19:00Z
Gruppe A,Sun Oct 4 2020,19:00,-0300,Galvez AC,0-0,0-0,Rio Branco AC,,,,2020-10-04T22:00Z
Gruppe C,Sun Oct 4 2020,16:00,-0300,Atlético Cajazeirense PB,1-0,1-0,Guarany de Sobral CE,,,,2020-10-04T19:00Z
Gruppe C,Sun Oct 4 2020,16:00,-0300,Campinense PB,1-1,0-0,Floresta CE,,,,2020-10-04T19:00Z
Gruppe H,Tue Oct 6 2020,19:00,-0300,São Caetano SP,0-0,0-0,Marcílio Dias SC,,,,2020-10-06T22:00Z
Gruppe D,Tue Oct 6 2020,20:00,-0300,ABC RN,0-0,0-0,Central PE,,,,2020-10-06T23:00Z
Gruppe B,Thu Oct 8 2020,15:30,-0300,Moto Club MA,3-0,1-0,Sinop MT,,,,2020-10-08T18:30Z
Gruppe C,Thu Oct 8 2020,15:30,-0300,Guarany de Sobral CE,1-1,0-1,Salgueiro PE,,,,2020-10-08T18:30Z
Gruppe E,Fri Oct 9 2020,16:00,-0300,Goiânia GO,0-1,0-0,Goianésia GO,,,,2020-10-09T19:00Z
Gruppe G,Sat Oct 10 2020,15:00,-0300,Cabofriense RJ,0-0,0-0,Portuguesa RJ,,,,2020-10-10T18:00Z
Gruppe D,Sat Oct 10 2020,16:00,-0300,Jacyobá AL,0-0,0-0,Coruripe AL,,,,2020-10-10T19:00Z
Gruppe H,Sat Oct 10 2020,17:00,-0300,São Luiz RS,0-0,0-0,Pelotas RS,,,,2020-10-10T20:00Z
Gruppe H,Sat Oct 10 2020,17:00,-0300,Joinville SC,1-1,1-1,S.E.R. Caxias RS,,,,2020-10-10T20:00Z
Gruppe E,Sat Oct 10 2020,17:00,-0300,União Rondonópolis MT,1-0,1-0,Operário MT,,,,2020-10-10T20:00Z
Gruppe A,Sat Oct 10 2020,16:00,-0300,Ji-Paraná RO,0-0,0-0,Fast Clube AM,,,,2020-10-10T19:00Z
Gruppe C,Sat Oct 10 2020,15:00,-0300,Globo RN,0-2,0-1,América RN,,,,2020-10-10T18:00Z
Gruppe F,Sat Oct 10 2020,16:00,-0300,Brasiliense DF,5-0,1-0,Palmas TO,,,,2020-10-10T19:00Z
Gruppe F,Sat Oct 10 2020,16:00,-0300,Tupynambás MG,1-1,1-1,Gama DF,,,,2020-10-10T19:00Z
Gruppe F,Sat Oct 10 2020,19:30,-0300,Caldense MG,1-0,0-0,Villa Nova MG,,,,2020-10-10T22:30Z
Gruppe F,Sat Oct 10 2020,20:30,-0300,Atlético de Alagoinhas BA,3-1,1-1,Bahia de Feira BA,,,,2020-10-10T23:30Z
Gruppe A,Sat Oct 10 2020,19:00,-0300,Atlético Acreano AC,0-3,0-1,Galvez AC,,,,2020-10-10T22:00Z
Gruppe E,Sat Oct 10 2020,16:00,-0300,Aparecidense GO,4-0,3-0,Águia Negra MS,,,,2020-10-10T19:00Z
Gruppe B,Sat Oct 10 2020,16:00,-0300,Santos AP,3-0,2-0,Baré RR,,,,2020-10-10T19:00Z
Gruppe E,Sat Oct 10 2020,15:00,-0300,Real Noroeste ES,3-2,1-2,Vitória ES,,,,2020-10-10T18:00Z
Gruppe A,Sun Oct 11 2020,15:00,-0300,Bragantino PA,2-0,1-0,Independente PA,,,,2020-10-11T18:00Z
Gruppe B,Sun Oct 11 2020,15:45,-0300,Altos PI,3-1,1-1,River PI,,,,2020-10-11T18:45Z
Gruppe B,Sun Oct 11 2020,16:00,-0300,Sinop MT,1-0,0-0,São Raimundo RR,,,,2020-10-11T19:00Z
Gruppe H,Sun Oct 11 2020,15:30,-0300,Tubarão SC,0-1,0-1,Marcílio Dias SC,,,,2020-10-11T18:30Z
Gruppe G,Sun Oct 11 2020,19:00,-0300,Mirassol SP,1-0,1-0,Ferroviária SP,,,,2020-10-11T22:00Z
Gruppe A,Sun Oct 11 2020,19:00,-0300,Rio Branco AC,2-1,0-0,Vilhenense RO,,,,2020-10-11T22:00Z
Gruppe D,Sun Oct 11 2020,15:00,-0300,Central PE,1-1,0-0,Vitória da Conquista BA,,,,2020-10-11T18:00Z
Gruppe D,Sun Oct 11 2020,15:30,-0300,Potiguar de Mossoró RN,0-0,0-0,ABC RN,,,,2020-10-11T18:30Z
Gruppe C,Sun Oct 11 2020,16:00,-0300,Atlético Cajazeirense PB,3-0,1-0,Campinense PB,,,,2020-10-11T19:00Z
Gruppe G,Sun Oct 11 2020,16:00,-0300,Cascavel FC PR,3-1,1-0,Toledo Esporte Clube,,,,2020-10-11T19:00Z
Gruppe C,Sun Oct 11 2020,15:30,-0300,Guarany de Sobral CE,0-2,0-0,Floresta CE,,,,2020-10-11T18:30Z
Gruppe G,Sun Oct 11 2020,15:30,-0300,Nacional PR,1-2,0-1,Bangu RJ,,,,2020-10-11T18:30Z
Gruppe D,Sun Oct 11 2020,16:00,-0300,Itabaiana SE,1-1,1-0,Freipaulistano SE,,,,2020-10-11T19:00Z
Gruppe B,Sun Oct 11 2020,15:30,-0300,Juventude MA,4-1,1-1,Moto Club MA,,,,2020-10-11T18:30Z
Gruppe H,Wed Oct 14 2020,19:30,-0300,Grêmio Novorizontino SP,1-0,1-0,São Luiz RS,,,,2020-10-14T22:30Z
Gruppe H,Wed Oct 14 2020,20:30,-0300,Marcílio Dias SC,1-0,0-0,S.E.R. Caxias RS,,,,2020-10-14T23:30Z
Gruppe A,Wed Oct 14 2020,16:00,-0300,Independente PA,4-1,0-1,Atlético Acreano AC,,,,2020-10-14T19:00Z
Gruppe A,Wed Oct 14 2020,21:00,-0300,Fast Clube AM,1-1,1-0,Vilhenense RO,,,,2020-10-15T00:00Z
Gruppe A,Wed Oct 14 2020,22:30,-0300,Rio Branco AC,4-1,1-1,Ji-Paraná RO,,,,2020-10-15T01:30Z
Gruppe B,Wed Oct 14 2020,15:30,-0300,Moto Club MA,1-1,0-0,São Raimundo RR,,,,2020-10-14T18:30Z
Gruppe B,Wed Oct 14 2020,16:00,-0300,River PI,3-1,1-1,Santos AP,,,,2020-10-14T19:00Z
Gruppe B,Wed Oct 14 2020,16:00,-0300,Sinop MT,0-2,0-1,Juventude MA,,,,2020-10-14T19:00Z
Gruppe F,Wed Oct 14 2020,16:00,-0300,Palmas TO,0-3,0-1,Gama DF,,,,2020-10-14T19:00Z
Gruppe B,Wed Oct 14 2020,19:30,-0300,Baré RR,2-1,2-0,Altos PI,,,,2020-10-14T22:30Z
Gruppe F,Wed Oct 14 2020,19:00,-0300,Bahia de Feira BA,3-0,3-0,Caldense MG,,,,2020-10-14T22:00Z
Gruppe G,Wed Oct 14 2020,19:00,-0300,Toledo Esporte Clube,1-1,0-0,Bangu RJ,,,,2020-10-14T22:00Z
Gruppe E,Wed Oct 14 2020,15:00,-0300,Vitória ES,3-1,1-1,Águia Negra MS,,,,2020-10-14T18:00Z
Gruppe E,Wed Oct 14 2020,16:00,-0300,Operário MT,1-1,0-0,Goiânia GO,,,,2020-10-14T19:00Z
Gruppe E,Wed Oct 14 2020,16:00,-0300,Aparecidense GO,2-1,1-1,Real Noroeste ES,,,,2020-10-14T19:00Z
Gruppe F,Wed Oct 14 2020,20:30,-0300,Villa Nova MG,2-1,2-0,Atlético de Alagoinhas BA,,,,2020-10-14T23:30Z
Gruppe F,Wed Oct 14 2020,20:30,-0300,Tupynambás MG,1-4,1-0,Brasiliense DF,,,,2020-10-14T23:30Z
Gruppe E,Wed Oct 14 2020,19:00,-0300,Goianésia GO,2-1,1-0,União Rondonópolis MT,,,,2020-10-14T22:00Z
Gruppe D,Wed Oct 14 2020,20:30,-0300,Vitória da Conquista BA,2-1,1-0,Itabaiana SE,,,,2020-10-14T23:30Z
Gruppe D,Wed Oct 14 2020,16:00,-0300,Coruripe AL,1-0,1-0,ABC RN,,,,2020-10-14T19:00Z
Gruppe D,Wed Oct 14 2020,16:00,-0300,Freipaulistano SE,0-0,0-0,Central PE,,,,2020-10-14T19:00Z
Gruppe D,Wed Oct 14 2020,15:30,-0300,Potiguar de Mossoró RN,3-2,2-0,Jacyobá AL,,,,2020-10-14T18:30Z
Gruppe G,Wed Oct 14 2020,19:00,-0300,Ferroviária SP,3-1,1-0,Cabofriense RJ,,,,2020-10-14T22:00Z
Gruppe C,Wed Oct 14 2020,20:00,-0300,Afogados da Ingazeira PE,3-2,1-0,Atlético Cajazeirense PB,,,,2020-10-14T23:00Z
Gruppe C,Wed Oct 14 2020,19:00,-0300,Campinense PB,0-0,0-0,Salgueiro PE,,,,2020-10-14T22:00Z
Gruppe C,Wed Oct 14 2020,15:30,-0300,Floresta CE,2-0,0-0,Globo RN,,,,2020-10-14T18:30Z
Gruppe C,Wed Oct 14 2020,15:00,-0300,América RN,3-0,0-0,Guarany de Sobral CE,,,,2020-10-14T18:00Z
Gruppe G,Wed Oct 14 2020,15:00,-0300,Portuguesa RJ,1-1,1-0,Mirassol SP,,,,2020-10-14T18:00Z
Gruppe G,Wed Oct 14 2020,15:30,-0300,Nacional PR,0-3,0-2,Cascavel FC PR,,,,2020-10-14T18:30Z
Gruppe H,Thu Oct 15 2020,15:00,-0300,Pelotas RS,3-1,1-0,São Caetano SP,,,,2020-10-15T18:00Z
Gruppe H,Thu Oct 15 2020,15:00,-0300,Joinville SC,6-1,3-1,Tubarão SC,,,,2020-10-15T18:00Z
Gruppe A,Thu Oct 15 2020,17:30,-0300,Galvez AC,0-3,0-1,Bragantino PA,,,,2020-10-15T20:30Z
Gruppe F,Sat Oct 17 2020,20:30,-0300,Atlético de Alagoinhas BA,1-1,0-0,Tupynambás MG,,,,2020-10-17T23:30Z
Gruppe F,Sat Oct 17 2020,19:30,-0300,Caldense MG,2-0,1-0,Palmas TO,,,,2020-10-17T22:30Z
Gruppe D,Sat Oct 17 2020,16:30,-0300,Jacyobá AL,2-3,1-1,Vitória da Conquista BA,,,,2020-10-17T19:30Z
Gruppe B,Sat Oct 17 2020,16:00,-0300,Santos AP,2-2,1-0,Moto Club MA,,,,2020-10-17T19:00Z
Gruppe B,Sat Oct 17 2020,21:30,-0300,Juventude MA,1-1,1-1,Baré RR,,,,2020-10-18T00:30Z
