Round,Date,Time,Team 1,FT,HT,Team 2,Comments
11,Sun Sep 20 2020,00:00,Red Bull Bragantino,4-2,3-1,Ceará - CE,
11,Sun Sep 20 2020,00:00,Fortaleza,1-0,0-0,Internacional,
11,Sun Sep 20 2020,02:00,Atlético Goianiense,3-4,1-0,Atlético Mineiro,
11,Sun Sep 20 2020,21:00,Grêmio Porto Alegre,1-1,0-0,Palmeiras,
11,Sun Sep 20 2020,21:00,Coritiba FC,1-0,0-0,Vasco da Gama,
11,Sun Sep 20 2020,23:15,Botafogo - RJ,0-0,0-0,Santos FC,
11,Mon Sep 21 2020,01:30,Sport - PE,1-0,1-0,Fluminense RJ,
12,Thu Sep 24 2020,02:30,Sport - PE,1-0,1-0,Corinthians SP,
12,Sun Sep 27 2020,00:00,Internacional,1-1,1-1,São Paulo FC,
12,Sun Sep 27 2020,00:00,Athletico Paranaense,1-0,0-0,Bahia - BA,
12,Sun Sep 27 2020,02:00,Atlético Mineiro,3-1,1-0,Grêmio Porto Alegre,
12,Sun Sep 27 2020,16:00,Vasco da Gama,1-1,0-0,Red Bull Bragantino,
12,Sun Sep 27 2020,21:00,Palmeiras,1-1,0-0,Flamengo RJ,
12,Sun Sep 27 2020,23:15,Ceará - CE,2-2,0-1,Goiás,
12,Sun Sep 27 2020,23:15,Atlético Goianiense,1-1,0-1,Botafogo - RJ,
12,Mon Sep 28 2020,01:30,Santos FC,1-1,1-0,Fortaleza,
12,Tue Sep 29 2020,01:00,Fluminense RJ,4-0,1-0,Coritiba FC,
1,Thu Oct 1 2020,02:30,Botafogo - RJ,1-2,0-1,Bahia - BA,
1,Thu Oct 1 2020,02:30,Corinthians SP,0-0,0-0,Atlético Goianiense,
13,Sat Oct 3 2020,22:00,Grêmio Porto Alegre,1-1,0-0,Internacional,
13,Sun Oct 4 2020,00:00,Palmeiras,2-1,1-1,Ceará - CE,
13,Sun Oct 4 2020,02:00,Red Bull Bragantino,0-0,0-0,Corinthians SP,
13,Sun Oct 4 2020,16:00,Botafogo - RJ,1-1,0-1,Fluminense RJ,
13,Sun Oct 4 2020,21:00,Flamengo RJ,3-1,0-0,Athletico Paranaense,
13,Sun Oct 4 2020,21:00,Coritiba FC,1-1,1-0,São Paulo FC,
13,Sun Oct 4 2020,23:15,Bahia - BA,1-2,0-1,Sport - PE,
13,Sun Oct 4 2020,23:15,Fortaleza,0-0,0-0,Atlético Goianiense,
13,Sun Oct 4 2020,23:15,Goiás,2-3,1-1,Santos FC,
13,Mon Oct 5 2020,01:30,Atlético Mineiro,4-1,4-1,Vasco da Gama,
14,Thu Oct 8 2020,00:00,Corinthians SP,1-1,1-1,Santos FC,
14,Thu Oct 8 2020,00:15,Flamengo RJ,3-0,0-0,Sport - PE,
14,Thu Oct 8 2020,00:15,Grêmio Porto Alegre,2-1,2-0,Coritiba FC,
14,Thu Oct 8 2020,00:15,Bahia - BA,3-0,3-0,Vasco da Gama,
14,Thu Oct 8 2020,01:30,São Paulo FC,3-0,1-0,Atlético Goianiense,
14,Thu Oct 8 2020,01:30,Goiás,2-4,1-1,Fluminense RJ,
14,Thu Oct 8 2020,02:30,Botafogo - RJ,2-1,0-0,Palmeiras,
14,Thu Oct 8 2020,02:30,Fortaleza,2-1,1-1,Atlético Mineiro,
14,Fri Oct 9 2020,00:00,Athletico Paranaense,0-0,0-0,Ceará - CE,
14,Fri Oct 9 2020,02:00,Red Bull Bragantino,0-2,0-2,Internacional,
15,Sat Oct 10 2020,22:00,Vasco da Gama,1-2,1-0,Flamengo RJ,
15,Sun Oct 11 2020,00:00,Palmeiras,0-2,0-0,São Paulo FC,
15,Sun Oct 11 2020,00:00,Coritiba FC,0-0,0-0,Fortaleza,
15,Sun Oct 11 2020,02:00,Atlético Mineiro,3-0,2-0,Goiás,
15,Sun Oct 11 2020,21:00,Fluminense RJ,1-0,0-0,Bahia - BA,
15,Sun Oct 11 2020,21:00,Santos FC,2-1,1-0,Grêmio Porto Alegre,
15,Sun Oct 11 2020,23:15,Sport - PE,1-2,0-2,Botafogo - RJ,
15,Sun Oct 11 2020,23:15,Atlético Goianiense,2-1,1-1,Red Bull Bragantino,
15,Mon Oct 12 2020,01:30,Internacional,2-1,2-1,Athletico Paranaense,
15,Mon Oct 12 2020,01:30,Ceará - CE,2-1,1-1,Corinthians SP,
11,Tue Oct 13 2020,23:00,Flamengo RJ,2-1,1-1,Goiás,
16,Wed Oct 14 2020,23:00,Palmeiras,1-3,1-2,Coritiba FC,
16,Thu Oct 15 2020,00:15,Grêmio Porto Alegre,3-1,1-1,Botafogo - RJ,
16,Thu Oct 15 2020,01:30,Santos FC,0-1,0-0,Atlético Goianiense,
16,Thu Oct 15 2020,02:30,Atlético Mineiro,1-1,0-1,Fluminense RJ,
16,Thu Oct 15 2020,02:30,Sport - PE,3-5,1-2,Internacional,
16,Thu Oct 15 2020,02:30,Athletico Paranaense,0-1,0-0,Corinthians SP,
16,Fri Oct 16 2020,01:00,Flamengo RJ,1-1,0-0,Red Bull Bragantino,
16,Sat Oct 17 2020,01:00,Goiás,1-1,0-0,Bahia - BA,
17,Sun Oct 18 2020,00:00,Fluminense RJ,2-2,1-1,Ceará - CE,
17,Sun Oct 18 2020,00:00,Coritiba FC,1-2,0-2,Santos FC,
17,Sun Oct 18 2020,00:00,Atlético Goianiense,1-1,1-0,Athletico Paranaense,
17,Sun Oct 18 2020,02:00,São Paulo FC,0-0,0-0,Grêmio Porto Alegre,
17,Sun Oct 18 2020,21:00,Corinthians SP,1-5,0-1,Flamengo RJ,
17,Sun Oct 18 2020,23:15,Internacional,2-0,2-0,Vasco da Gama,
17,Mon Oct 19 2020,01:30,Red Bull Bragantino,2-0,0-0,Sport - PE,
17,Mon Oct 19 2020,01:30,Fortaleza,2-0,2-0,Palmeiras,
17,Tue Oct 20 2020,01:00,Botafogo - RJ,0-0,0-0,Goiás,
17,Tue Oct 20 2020,01:00,Bahia - BA,3-1,0-1,Atlético Mineiro,
18,Thu Oct 22 2020,02:30,Vasco da Gama,1-2,0-1,Corinthians SP,
18,Sat Oct 24 2020,22:00,Red Bull Bragantino,2-0,1-0,Goiás,
18,Sun Oct 25 2020,00:00,Ceará - CE,2-1,1-1,Coritiba FC,
18,Sun Oct 25 2020,02:00,Atlético Mineiro,0-0,0-0,Sport - PE,
18,Sun Oct 25 2020,20:00,Fluminense RJ,3-1,1-1,Santos FC,
18,Sun Oct 25 2020,20:00,Atlético Goianiense,0-3,0-1,Palmeiras,
18,Sun Oct 25 2020,22:15,Internacional,2-2,2-1,Flamengo RJ,
18,Sun Oct 25 2020,22:15,Athletico Paranaense,1-2,1-0,Grêmio Porto Alegre,
19,Sat Oct 31 2020,21:00,Botafogo - RJ,2-2,2-1,Ceará - CE,
19,Sat Oct 31 2020,23:00,Corinthians SP,1-0,1-0,Internacional,
19,Sat Oct 31 2020,23:00,Coritiba FC,1-0,1-0,Atlético Goianiense,
19,Sun Nov 1 2020,01:00,Fortaleza,0-1,0-0,Fluminense RJ,
19,Sun Nov 1 2020,20:00,Flamengo RJ,1-4,1-2,São Paulo FC,
19,Sun Nov 1 2020,20:00,Sport - PE,1-0,0-0,Athletico Paranaense,
19,Sun Nov 1 2020,22:15,Santos FC,3-1,3-1,Bahia - BA,
19,Mon Nov 2 2020,00:30,Goiás,1-1,0-1,Vasco da Gama,
19,Mon Nov 2 2020,21:00,Palmeiras,3-0,1-0,Atlético Mineiro,
19,Tue Nov 3 2020,00:00,Grêmio Porto Alegre,2-1,0-0,Red Bull Bragantino,
20,Sat Nov 7 2020,22:00,Athletico Paranaense,2-1,0-1,Fortaleza,
20,Sat Nov 7 2020,23:00,São Paulo FC,2-1,1-1,Goiás,
20,Sun Nov 8 2020,01:00,Atlético Goianiense,1-1,1-0,Corinthians SP,
20,Sun Nov 8 2020,20:00,Vasco da Gama,0-1,0-0,Palmeiras,
20,Sun Nov 8 2020,20:00,Internacional,2-2,1-0,Coritiba FC,
20,Sun Nov 8 2020,22:15,Atlético Mineiro,4-0,2-0,Flamengo RJ,
20,Sun Nov 8 2020,22:15,Bahia - BA,1-0,0-0,Botafogo - RJ,
20,Sun Nov 8 2020,22:15,Red Bull Bragantino,1-1,0-0,Santos FC,
20,Mon Nov 9 2020,00:30,Fluminense RJ,0-1,0-1,Grêmio Porto Alegre,
20,Mon Nov 9 2020,00:30,Ceará - CE,0-0,0-0,Sport - PE,
18,Wed Nov 11 2020,22:45,Bahia - BA,2-1,1-0,Fortaleza,
21,Sat Nov 14 2020,20:30,Sport - PE,0-2,0-1,Vasco da Gama,
21,Sat Nov 14 2020,20:30,Santos FC,2-0,0-0,Internacional,
21,Sat Nov 14 2020,21:00,Goiás,0-1,0-1,Athletico Paranaense,
21,Sat Nov 14 2020,23:00,Fortaleza,2-3,1-1,São Paulo FC,
21,Sat Nov 14 2020,23:00,Corinthians SP,1-2,1-0,Atlético Mineiro,
21,Sat Nov 14 2020,23:00,Grêmio Porto Alegre,4-2,3-1,Ceará - CE,
21,Sun Nov 15 2020,01:30,Palmeiras,2-0,0-0,Fluminense RJ,
21,Sun Nov 15 2020,01:30,Flamengo RJ,1-1,1-0,Atlético Goianiense,
21,Mon Nov 16 2020,22:00,Coritiba FC,1-2,1-1,Bahia - BA,
21,Tue Nov 17 2020,00:00,Botafogo - RJ,1-2,1-1,Red Bull Bragantino,
6,Wed Nov 18 2020,23:00,Atlético Mineiro,,,Athletico Paranaense,
16,Thu Nov 19 2020,23:00,Vasco da Gama,,,Fortaleza,
22,Sat Nov 21 2020,00:00,Red Bull Bragantino,,,Bahia - BA,
22,Sat Nov 21 2020,23:00,Athletico Paranaense,,,Santos FC,
22,Sat Nov 21 2020,23:00,Flamengo RJ,,,Coritiba FC,
22,Sun Nov 22 2020,01:00,Goiás,,,Palmeiras,
22,Sun Nov 22 2020,20:00,São Paulo FC,,,Vasco da Gama,
22,Sun Nov 22 2020,20:00,Ceará - CE,,,Atlético Mineiro,
22,Sun Nov 22 2020,22:15,Internacional,,,Fluminense RJ,
22,Sun Nov 22 2020,22:15,Botafogo - RJ,,,Fortaleza,
22,Mon Nov 23 2020,00:30,Corinthians SP,,,Grêmio Porto Alegre,
22,Tue Nov 24 2020,00:00,Sport - PE,,,Atlético Goianiense,
16,Wed Nov 25 2020,00:00,Ceará - CE,,,São Paulo FC,
23,Thu Nov 26 2020,01:30,Atlético Mineiro,,,Botafogo - RJ,
23,Thu Nov 26 2020,01:30,Coritiba FC,,,Corinthians SP,
23,Fri Nov 27 2020,00:00,Fortaleza,,,Goiás,
23,Sat Nov 28 2020,21:00,Santos FC,,,Sport - PE,
23,Sat Nov 28 2020,21:00,Palmeiras,,,Athletico Paranaense,
23,Sat Nov 28 2020,22:00,Grêmio Porto Alegre,,,Flamengo RJ,
23,Sat Nov 28 2020,23:00,Bahia - BA,,,São Paulo FC,
23,Sun Nov 29 2020,01:00,Atlético Goianiense,,,Internacional,
6,Mon Nov 30 2020,00:00,Grêmio Porto Alegre,,,Goiás,
23,Tue Dec 1 2020,00:00,Fluminense RJ,,,Red Bull Bragantino,
23,Tue Dec 1 2020,00:00,Vasco da Gama,,,Ceará - CE,
24,Thu Dec 3 2020,01:30,Fortaleza,,,Corinthians SP,
1,Fri Dec 4 2020,01:00,Goiás,,,São Paulo FC,
24,Sat Dec 5 2020,21:00,Botafogo - RJ,,,Flamengo RJ,
24,Sat Dec 5 2020,23:00,Atlético Mineiro,,,Internacional,
24,Sat Dec 5 2020,23:00,Fluminense RJ,,,Athletico Paranaense,
24,Sat Dec 5 2020,23:00,Bahia - BA,,,Ceará - CE,
24,Sun Dec 6 2020,01:00,Coritiba FC,,,Red Bull Bragantino,
24,Sun Dec 6 2020,20:00,Grêmio Porto Alegre,,,Vasco da Gama,
24,Sun Dec 6 2020,20:00,Santos FC,,,Palmeiras,
24,Mon Dec 7 2020,00:30,São Paulo FC,,,Sport - PE,
24,Tue Dec 8 2020,00:00,Atlético Goianiense,,,Goiás,
18,Wed Dec 9 2020,23:00,São Paulo FC,,,Botafogo - RJ,
25,Sat Dec 12 2020,21:00,Athletico Paranaense,,,Atlético Mineiro,
25,Sat Dec 12 2020,21:00,Red Bull Bragantino,,,Fortaleza,
25,Sat Dec 12 2020,23:00,Internacional,,,Botafogo - RJ,
25,Sat Dec 12 2020,23:00,Palmeiras,,,Bahia - BA,
25,Sun Dec 13 2020,01:00,Ceará - CE,,,Atlético Goianiense,
25,Sun Dec 13 2020,20:00,Flamengo RJ,,,Santos FC,
25,Sun Dec 13 2020,22:15,Corinthians SP,,,São Paulo FC,
25,Sun Dec 13 2020,22:15,Sport - PE,,,Coritiba FC,
25,Mon Dec 14 2020,00:30,Goiás,,,Grêmio Porto Alegre,
25,Tue Dec 15 2020,00:00,Vasco da Gama,,,Fluminense RJ,
26,Sun Dec 20 2020,,Atlético Goianiense,,,Fluminense RJ,
26,Sun Dec 20 2020,,Coritiba FC,,,Botafogo - RJ,
26,Sun Dec 20 2020,,Internacional,,,Palmeiras,
26,Sun Dec 20 2020,,Vasco da Gama,,,Santos FC,
26,Sun Dec 20 2020,,São Paulo FC,,,Atlético Mineiro,
26,Sun Dec 20 2020,,Sport - PE,,,Grêmio Porto Alegre,
26,Sun Dec 20 2020,,Flamengo RJ,,,Bahia - BA,
26,Sun Dec 20 2020,,Red Bull Bragantino,,,Athletico Paranaense,
26,Sun Dec 20 2020,,Fortaleza,,,Ceará - CE,
26,Sun Dec 20 2020,,Corinthians SP,,,Goiás,
27,Sun Dec 27 2020,,Fortaleza,,,Flamengo RJ,
27,Sun Dec 27 2020,,Athletico Paranaense,,,Vasco da Gama,
27,Sun Dec 27 2020,,Fluminense RJ,,,São Paulo FC,
27,Sun Dec 27 2020,,Palmeiras,,,Red Bull Bragantino,
27,Sun Dec 27 2020,,Botafogo - RJ,,,Corinthians SP,
27,Sun Dec 27 2020,,Bahia - BA,,,Internacional,
27,Sun Dec 27 2020,,Goiás,,,Sport - PE,
27,Sun Dec 27 2020,,Atlético Mineiro,,,Coritiba FC,
27,Sun Dec 27 2020,,Santos FC,,,Ceará - CE,
27,Sun Dec 27 2020,,Grêmio Porto Alegre,,,Atlético Goianiense,
28,Sun Jan 3 2021,,Flamengo RJ,,,Fluminense RJ,
28,Sun Jan 3 2021,,Atlético Goianiense,,,Vasco da Gama,
28,Sun Jan 3 2021,,Red Bull Bragantino,,,São Paulo FC,
28,Sun Jan 3 2021,,Atlético Mineiro,,,Santos FC,
28,Sun Jan 3 2021,,Palmeiras,,,Corinthians SP,
28,Sun Jan 3 2021,,Ceará - CE,,,Internacional,
28,Sun Jan 3 2021,,Grêmio Porto Alegre,,,Bahia - BA,
28,Sun Jan 3 2021,,Botafogo - RJ,,,Athletico Paranaense,
28,Sun Jan 3 2021,,Sport - PE,,,Fortaleza,
28,Sun Jan 3 2021,,Coritiba FC,,,Goiás,
29,Sun Jan 10 2021,,Corinthians SP,,,Fluminense RJ,
29,Sun Jan 10 2021,,Vasco da Gama,,,Botafogo - RJ,
29,Sun Jan 10 2021,,Sport - PE,,,Palmeiras,
29,Sun Jan 10 2021,,São Paulo FC,,,Santos FC,
29,Sun Jan 10 2021,,Red Bull Bragantino,,,Atlético Mineiro,
29,Sun Jan 10 2021,,Fortaleza,,,Grêmio Porto Alegre,
29,Sun Jan 10 2021,,Atlético Goianiense,,,Bahia - BA,
29,Sun Jan 10 2021,,Coritiba FC,,,Athletico Paranaense,
29,Sun Jan 10 2021,,Flamengo RJ,,,Ceará - CE,
29,Sun Jan 10 2021,,Internacional,,,Goiás,
30,Sun Jan 17 2021,,Goiás,,,Flamengo RJ,
30,Sun Jan 17 2021,,Santos FC,,,Botafogo - RJ,
30,Sun Jan 17 2021,,Athletico Paranaense,,,São Paulo FC,
30,Sun Jan 17 2021,,Ceará - CE,,,Red Bull Bragantino,
30,Sun Jan 17 2021,,Bahia - BA,,,Corinthians SP,
30,Sun Jan 17 2021,,Palmeiras,,,Grêmio Porto Alegre,
30,Sun Jan 17 2021,,Fluminense RJ,,,Sport - PE,
30,Sun Jan 17 2021,,Vasco da Gama,,,Coritiba FC,
30,Sun Jan 17 2021,,Internacional,,,Fortaleza,
30,Sun Jan 17 2021,,Atlético Mineiro,,,Atlético Goianiense,
32,Sun Jan 24 2021,,Athletico Paranaense,,,Flamengo RJ,
32,Sun Jan 24 2021,,Fluminense RJ,,,Botafogo - RJ,
32,Sun Jan 24 2021,,Ceará - CE,,,Palmeiras,
32,Sun Jan 24 2021,,Corinthians SP,,,Red Bull Bragantino,
32,Sun Jan 24 2021,,Vasco da Gama,,,Atlético Mineiro,
32,Sun Jan 24 2021,,Internacional,,,Grêmio Porto Alegre,
32,Sun Jan 24 2021,,Sport - PE,,,Bahia - BA,
32,Sun Jan 24 2021,,São Paulo FC,,,Coritiba FC,
32,Sun Jan 24 2021,,Atlético Goianiense,,,Fortaleza,
32,Sun Jan 24 2021,,Santos FC,,,Goiás,
31,Thu Jan 28 2021,,Coritiba FC,,,Fluminense RJ,
31,Thu Jan 28 2021,,Red Bull Bragantino,,,Vasco da Gama,
31,Thu Jan 28 2021,,Flamengo RJ,,,Palmeiras,
31,Thu Jan 28 2021,,Fortaleza,,,Santos FC,
31,Thu Jan 28 2021,,Grêmio Porto Alegre,,,Atlético Mineiro,
31,Thu Jan 28 2021,,São Paulo FC,,,Internacional,
31,Thu Jan 28 2021,,Corinthians SP,,,Sport - PE,
31,Thu Jan 28 2021,,Bahia - BA,,,Athletico Paranaense,
31,Thu Jan 28 2021,,Goiás,,,Ceará - CE,
31,Thu Jan 28 2021,,Botafogo - RJ,,,Atlético Goianiense,
33,Sun Jan 31 2021,,Sport - PE,,,Flamengo RJ,
33,Sun Jan 31 2021,,Palmeiras,,,Botafogo - RJ,
33,Sun Jan 31 2021,,Atlético Goianiense,,,São Paulo FC,
33,Sun Jan 31 2021,,Internacional,,,Red Bull Bragantino,
33,Sun Jan 31 2021,,Santos FC,,,Corinthians SP,
33,Sun Jan 31 2021,,Coritiba FC,,,Grêmio Porto Alegre,
33,Sun Jan 31 2021,,Vasco da Gama,,,Bahia - BA,
33,Sun Jan 31 2021,,Ceará - CE,,,Athletico Paranaense,
33,Sun Jan 31 2021,,Atlético Mineiro,,,Fortaleza,
33,Sun Jan 31 2021,,Fluminense RJ,,,Goiás,
34,Sun Feb 7 2021,,Bahia - BA,,,Fluminense RJ,
34,Sun Feb 7 2021,,Flamengo RJ,,,Vasco da Gama,
34,Sun Feb 7 2021,,São Paulo FC,,,Palmeiras,
34,Sun Feb 7 2021,,Grêmio Porto Alegre,,,Santos FC,
34,Sun Feb 7 2021,,Goiás,,,Atlético Mineiro,
34,Sun Feb 7 2021,,Athletico Paranaense,,,Internacional,
34,Sun Feb 7 2021,,Botafogo - RJ,,,Sport - PE,
34,Sun Feb 7 2021,,Fortaleza,,,Coritiba FC,
34,Sun Feb 7 2021,,Corinthians SP,,,Ceará - CE,
34,Sun Feb 7 2021,,Red Bull Bragantino,,,Atlético Goianiense,
35,Sat Feb 13 2021,,Red Bull Bragantino,,,Flamengo RJ,
35,Sat Feb 13 2021,,Fortaleza,,,Vasco da Gama,
35,Sat Feb 13 2021,,Coritiba FC,,,Palmeiras,
35,Sat Feb 13 2021,,Atlético Goianiense,,,Santos FC,
