Stage,Round,Date,Time,Team 1,FT,HT,Team 2
Regular Season,16,Wed Sep 23 2020,17:30,IFK Mariehamn,,,Ilves Tampere
Regular Season,16,Wed Sep 23 2020,17:30,HJK Helsinki,,,TPS Turku
Regular Season,16,Wed Sep 23 2020,16:00,Haka Valkeakoski,,,Rovaniemi PS
Regular Season,16,Wed Sep 23 2020,17:30,Inter Turku,,,FC Honka
Regular Season,16,Wed Sep 23 2020,17:30,SJK Seinäjoki,,,FC Lahti
Regular Season,17,Sat Sep 26 2020,16:00,HJK Helsinki,,,Rovaniemi PS
Regular Season,17,Sun Sep 27 2020,17:30,Ilves Tampere,,,TPS Turku
Regular Season,17,Sun Sep 27 2020,17:30,IFK Mariehamn,,,Kuopion PS
Regular Season,17,Sun Sep 27 2020,17:30,FC Honka,,,Haka Valkeakoski
Regular Season,17,Mon Sep 28 2020,17:30,Inter Turku,,,FC Lahti
Regular Season,17,Mon Sep 28 2020,17:30,SJK Seinäjoki,,,Helsingfors IFK
Regular Season,18,Fri Oct 2 2020,17:30,FC Lahti,,,IFK Mariehamn
Regular Season,18,Fri Oct 2 2020,17:30,Helsingfors IFK,,,FC Honka
Regular Season,18,Fri Oct 2 2020,17:30,Kuopion PS,,,Ilves Tampere
Regular Season,18,Fri Oct 2 2020,17:30,TPS Turku,,,SJK Seinäjoki
Regular Season,19,Wed Oct 7 2020,17:30,Haka Valkeakoski,,,TPS Turku
Regular Season,19,Wed Oct 7 2020,17:30,FC Honka,,,IFK Mariehamn
Regular Season,19,Wed Oct 7 2020,17:30,Inter Turku,,,Kuopion PS
Regular Season,19,Wed Oct 7 2020,17:30,SJK Seinäjoki,,,HJK Helsinki
Regular Season,19,Wed Oct 7 2020,17:30,Rovaniemi PS,,,FC Lahti
Regular Season,19,Wed Oct 7 2020,17:30,Helsingfors IFK,,,Ilves Tampere
Regular Season,20,Sat Oct 17 2020,15:00,FC Lahti,,,Haka Valkeakoski
Regular Season,20,Sat Oct 17 2020,15:00,HJK Helsinki,,,Helsingfors IFK
Regular Season,20,Sat Oct 17 2020,15:00,IFK Mariehamn,,,SJK Seinäjoki
Regular Season,20,Sat Oct 17 2020,15:00,Ilves Tampere,,,Inter Turku
Regular Season,20,Sat Oct 17 2020,15:00,TPS Turku,,,Rovaniemi PS
Regular Season,20,Sat Oct 17 2020,15:00,Kuopion PS,,,FC Honka
Regular Season,21,Wed Oct 21 2020,17:30,FC Honka,,,FC Lahti
Regular Season,21,Wed Oct 21 2020,17:30,Inter Turku,,,TPS Turku
Regular Season,21,Wed Oct 21 2020,17:30,Helsingfors IFK,,,Rovaniemi PS
Regular Season,21,Wed Oct 21 2020,17:30,IFK Mariehamn,,,HJK Helsinki
Regular Season,21,Wed Oct 21 2020,17:30,Kuopion PS,,,Haka Valkeakoski
Regular Season,21,Wed Oct 21 2020,17:30,SJK Seinäjoki,,,Ilves Tampere
Regular Season,22,Sat Oct 24 2020,14:00,Haka Valkeakoski,,,IFK Mariehamn
Regular Season,22,Sat Oct 24 2020,14:00,FC Lahti,,,Helsingfors IFK
Regular Season,22,Sat Oct 24 2020,14:00,HJK Helsinki,,,Inter Turku
Regular Season,22,Sat Oct 24 2020,14:00,Ilves Tampere,,,FC Honka
Regular Season,22,Sat Oct 24 2020,14:00,Rovaniemi PS,,,SJK Seinäjoki
Regular Season,22,Sat Oct 24 2020,14:00,TPS Turku,,,Kuopion PS
