Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,Comments,UTC
,3,Wed Jan 29 2020,20:00,-0300,Uberlândia MG,0-0,0-0,Atlético Patrocinense MG,,,2020-01-29T23:00Z
,4,Sat Feb 1 2020,16:00,-0300,América MG,3-0,1-0,Uberlândia MG,,,2020-02-01T19:00Z
,4,Sun Feb 2 2020,19:00,-0300,Tupynambás MG,2-4,2-0,Cruzeiro,,,2020-02-02T22:00Z
,4,Sun Feb 2 2020,10:30,-0300,Caldense MG,2-0,1-0,Villa Nova MG,,,2020-02-02T13:30Z
,4,Sun Feb 2 2020,16:00,-0300,Atlético Mineiro,1-1,0-1,Tombense MG,,,2020-02-02T19:00Z
,4,Sun Feb 2 2020,16:00,-0300,Atlético Patrocinense MG,1-0,1-0,Coimbra MG,,,2020-02-02T19:00Z
,5,Sat Feb 8 2020,16:00,-0300,Tombense MG,2-0,2-0,Atlético Patrocinense MG,,,2020-02-08T19:00Z
,5,Sun Feb 9 2020,16:00,-0300,Villa Nova MG,2-2,0-1,Tupynambás MG,,,2020-02-09T19:00Z
,5,Sun Feb 9 2020,18:00,-0300,U.R.T. MG,0-1,0-1,Atlético Mineiro,,,2020-02-09T21:00Z
,5,Sun Feb 9 2020,16:00,-0300,Cruzeiro,1-1,0-0,América MG,,,2020-02-09T19:00Z
,5,Sun Feb 9 2020,10:00,-0300,Uberlândia MG,1-0,0-0,Coimbra MG,,,2020-02-09T13:00Z
,5,Sun Feb 9 2020,10:30,-0300,Caldense MG,1-0,1-0,Boa Esporte MG,,,2020-02-09T13:30Z
,2,Wed Feb 12 2020,19:15,-0300,Villa Nova MG,1-2,1-0,América MG,,,2020-02-12T22:15Z
,6,Sat Feb 15 2020,16:00,-0300,Tombense MG,4-0,2-0,U.R.T. MG,,,2020-02-15T19:00Z
,6,Sat Feb 15 2020,16:00,-0300,Tupynambás MG,1-3,1-0,Uberlândia MG,,,2020-02-15T19:00Z
,6,Sun Feb 16 2020,16:00,-0300,Atlético Mineiro,1-2,0-1,Caldense MG,,,2020-02-16T19:00Z
,6,Sun Feb 16 2020,10:00,-0300,Boa Esporte MG,1-3,1-1,Villa Nova MG,,,2020-02-16T13:00Z
,6,Sun Feb 16 2020,19:00,-0300,Atlético Patrocinense MG,1-1,1-0,Cruzeiro,,,2020-02-16T22:00Z
,6,Mon Feb 17 2020,20:30,-0300,Coimbra MG,0-2,0-1,América MG,,,2020-02-17T23:30Z
,4,Wed Feb 19 2020,20:00,-0300,Boa Esporte MG,3-0,1-0,U.R.T. MG,,,2020-02-19T23:00Z
,2,Thu Feb 20 2020,19:15,-0300,Tombense MG,2-0,1-0,Cruzeiro,,,2020-02-20T22:15Z
,7,Sat Feb 29 2020,16:00,-0300,América MG,2-1,1-0,Tombense MG,,,2020-02-29T19:00Z
,7,Sun Mar 1 2020,10:30,-0300,Caldense MG,2-2,1-2,Atlético Patrocinense MG,,,2020-03-01T13:30Z
,7,Sun Mar 1 2020,16:00,-0300,Cruzeiro,2-1,1-0,Uberlândia MG,,,2020-03-01T19:00Z
,7,Sun Mar 1 2020,16:00,-0300,U.R.T. MG,2-1,1-0,Villa Nova MG,,,2020-03-01T19:00Z
,7,Sun Mar 1 2020,17:00,-0300,Coimbra MG,1-1,0-0,Tupynambás MG,,,2020-03-01T20:00Z
,7,Sun Mar 1 2020,19:00,-0300,Boa Esporte MG,1-1,0-1,Atlético Mineiro,,,2020-03-01T22:00Z
,8,Sat Mar 7 2020,19:00,-0300,Atlético Mineiro,2-1,1-0,Cruzeiro,,,2020-03-07T22:00Z
,8,Sat Mar 7 2020,16:00,-0300,Tupynambás MG,0-4,0-2,Atlético Patrocinense MG,,,2020-03-07T19:00Z
,8,Sun Mar 8 2020,10:30,-0300,Caldense MG,2-0,1-0,Coimbra MG,,,2020-03-08T13:30Z
,8,Sun Mar 8 2020,16:00,-0300,América MG,1-1,0-0,Boa Esporte MG,,,2020-03-08T19:00Z
,8,Sun Mar 8 2020,16:00,-0300,Villa Nova MG,1-2,1-1,Tombense MG,,,2020-03-08T19:00Z
,8,Sun Mar 8 2020,10:00,-0300,Uberlândia MG,2-0,1-0,U.R.T. MG,,,2020-03-08T13:00Z
,9,Sat Mar 14 2020,16:00,-0300,Tombense MG,2-1,1-1,Caldense MG,,,2020-03-14T19:00Z
,9,Sat Mar 14 2020,19:00,-0300,Villa Nova MG,1-3,0-2,Atlético Mineiro,,,2020-03-14T22:00Z
,9,Sun Mar 15 2020,16:00,-0300,Cruzeiro,0-1,0-0,Coimbra MG,,,2020-03-15T19:00Z
,9,Sun Mar 15 2020,16:00,-0300,Atlético Patrocinense MG,0-1,0-1,América MG,,,2020-03-15T19:00Z
,9,Sun Mar 15 2020,16:00,-0300,U.R.T. MG,0-0,0-0,Tupynambás MG,,,2020-03-15T19:00Z
,9,Sun Mar 15 2020,10:00,-0300,Boa Esporte MG,2-2,1-0,Uberlândia MG,,,2020-03-15T13:00Z
,10,Sun Jul 26 2020,10:00,-0300,Uberlândia MG,2-1,1-0,Villa Nova MG,,,2020-07-26T13:00Z
,10,Sun Jul 26 2020,10:00,-0300,Atlético Patrocinense MG,0-1,0-0,Boa Esporte MG,,,2020-07-26T13:00Z
,10,Sun Jul 26 2020,11:00,-0300,Cruzeiro,3-0,2-0,U.R.T. MG,,,2020-07-26T14:00Z
,10,Sun Jul 26 2020,16:00,-0300,Tupynambás MG,0-4,0-2,Caldense MG,,,2020-07-26T19:00Z
,10,Sun Jul 26 2020,16:00,-0300,América MG,1-1,0-1,Atlético Mineiro,,,2020-07-26T19:00Z
,10,Sun Jul 26 2020,21:30,-0300,Coimbra MG,1-2,1-1,Tombense MG,,,2020-07-27T00:30Z
,11,Wed Jul 29 2020,21:30,-0300,Tombense MG,1-0,0-0,Uberlândia MG,,,2020-07-30T00:30Z
,11,Wed Jul 29 2020,21:30,-0300,Caldense MG,0-1,0-1,Cruzeiro,,,2020-07-30T00:30Z
,11,Wed Jul 29 2020,21:30,-0300,Boa Esporte MG,1-0,0-0,Tupynambás MG,,,2020-07-30T00:30Z
,11,Wed Jul 29 2020,21:30,-0300,Atlético Mineiro,4-0,4-0,Atlético Patrocinense MG,,,2020-07-30T00:30Z
,11,Wed Jul 29 2020,21:30,-0300,U.R.T. MG,0-3,0-2,América MG,,,2020-07-30T00:30Z
,11,Wed Jul 29 2020,21:30,-0300,Villa Nova MG,1-2,1-1,Coimbra MG,,,2020-07-30T00:30Z
Taça Inconfidência,Semifinals,Sat Aug 1 2020,14:30,-0300,Cruzeiro,3-0,0-0,Atlético Patrocinense MG,,,2020-08-01T17:30Z
Taça Inconfidência,Semifinals,Sun Aug 2 2020,19:00,-0300,Uberlândia MG,2-2,0-1,Boa Esporte MG,5-4,,2020-08-02T22:00Z
Fase final,Semifinals,Sun Aug 2 2020,16:00,-0300,Atlético Mineiro,2-1,2-0,América MG,,,2020-08-02T19:00Z
Fase final,Semifinals,Sun Aug 2 2020,11:00,-0300,Caldense MG,0-1,0-1,Tombense MG,,,2020-08-02T14:00Z
Fase final,Semifinals,Wed Aug 5 2020,21:30,-0300,América MG,0-3,0-0,Atlético Mineiro,,,2020-08-06T00:30Z
Fase final,Semifinals,Wed Aug 5 2020,16:00,-0300,Tombense MG,2-0,1-0,Caldense MG,,,2020-08-05T19:00Z
Taça Inconfidência,Final,Thu Aug 6 2020,,,Cruzeiro,(*),,Uberlândia MG,,cancelled,
Fase final,Final,Wed Aug 26 2020,21:30,-0300,Atlético Mineiro,2-1,0-0,Tombense MG,,,2020-08-27T00:30Z
Fase final,Final,Sun Aug 30 2020,16:00,-0300,Tombense MG,0-1,0-1,Atlético Mineiro,,,2020-08-30T19:00Z
