Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,Gruppe D,Sun Nov 29 2020,21:30,-0300,Lanús,1-0,0-0,Talleres de Córdoba,,2020-11-30T00:30Z
,Gruppe D,Sun Nov 29 2020,19:20,-0300,Boca Juniors,2-0,2-0,Newell's Old Boys,,2020-11-29T22:20Z
,Gruppe B,Sun Nov 29 2020,17:10,-0300,Defensa y Justicia,2-3,1-2,Central Córdoba SdE,,2020-11-29T20:10Z
,Gruppe F,Sun Nov 29 2020,21:30,-0300,Huracán,1-0,1-0,Patronato de Paraná,,2020-11-30T00:30Z
,Gruppe E,Mon Nov 30 2020,21:30,-0300,Estudiantes,0-0,0-0,San Lorenzo,,2020-12-01T00:30Z
,Gruppe E,Mon Nov 30 2020,17:10,-0300,Aldosivi,1-4,0-2,Argentinos Juniors,,2020-11-30T20:10Z
,Gruppe A,Mon Nov 30 2020,19:20,-0300,Atlético Tucumán,3-2,0-0,Arsenal de Sarandí,,2020-11-30T22:20Z
,Gruppe B,Fri Dec 4 2020,19:20,-0300,Central Córdoba SdE,0-2,0-1,Colón de Santa Fe,,2020-12-04T22:20Z
,Gruppe C,Fri Dec 4 2020,21:30,-0300,Banfield,1-1,1-1,Rosario Central,,2020-12-05T00:30Z
,Gruppe C,Sat Dec 5 2020,21:30,-0300,River Plate,3-1,2-0,Godoy Cruz,,2020-12-06T00:30Z
,Gruppe A,Sat Dec 5 2020,17:10,-0300,Unión de Santa Fe,3-5,1-2,Atlético Tucumán,,2020-12-05T20:10Z
,Gruppe F,Sat Dec 5 2020,19:20,-0300,Patronato de Paraná,0-0,0-0,Vélez Sarsfield,,2020-12-05T22:20Z
,Gruppe F,Sat Dec 5 2020,19:20,-0300,Gimnasia de La Plata,0-0,0-0,Huracán,,2020-12-05T22:20Z
,Gruppe A,Sat Dec 5 2020,17:10,-0300,Arsenal de Sarandí,1-0,1-0,Racing Club,,2020-12-05T20:10Z
,Gruppe D,Sun Dec 6 2020,21:30,-0300,Newell's Old Boys,3-1,1-1,Lanús,,2020-12-07T00:30Z
,Gruppe B,Sun Dec 6 2020,19:10,-0300,Independiente,1-0,1-0,Defensa y Justicia,,2020-12-06T22:10Z
,Gruppe D,Sun Dec 6 2020,21:30,-0300,Talleres de Córdoba,0-0,0-0,Boca Juniors,,2020-12-07T00:30Z
,Gruppe E,Mon Dec 7 2020,19:10,-0300,San Lorenzo,0-0,0-0,Aldosivi,,2020-12-07T22:10Z
,Gruppe E,Mon Dec 7 2020,19:10,-0300,Argentinos Juniors,1-0,1-0,Estudiantes,,2020-12-07T22:10Z
Fase Complementación,Gruppe 2,Fri Dec 11 2020,21:10,-0300,Vélez Sarsfield,2-1,0-0,Racing Club,,2020-12-12T00:10Z
Fase Campeón,Gruppe 1,Sat Dec 12 2020,19:20,-0300,Boca Juniors,1-1,1-0,Arsenal de Sarandí,,2020-12-12T22:20Z
Fase Campeón,Gruppe 2,Sat Dec 12 2020,21:30,-0300,San Lorenzo,0-2,0-1,Talleres de Córdoba,,2020-12-13T00:30Z
Fase Campeón,Gruppe 2,Sat Dec 12 2020,17:10,-0300,Colón de Santa Fe,0-2,0-1,Gimnasia de La Plata,,2020-12-12T20:10Z
Fase Complementación,Gruppe 2,Sat Dec 12 2020,17:10,-0300,Newell's Old Boys,1-0,1-0,Estudiantes,,2020-12-12T20:10Z
Fase Campeón,Gruppe 1,Sun Dec 13 2020,21:30,-0300,Huracán,3-2,1-2,Independiente,,2020-12-14T00:30Z
Fase Complementación,Gruppe 1,Sun Dec 13 2020,17:10,-0300,Aldosivi,1-2,0-1,Lanús,,2020-12-13T20:10Z
Fase Complementación,Gruppe 1,Sun Dec 13 2020,17:10,-0300,Unión de Santa Fe,1-3,1-2,Defensa y Justicia,,2020-12-13T20:10Z
Fase Campeón,Gruppe 1,Sun Dec 13 2020,19:20,-0300,River Plate,1-1,1-0,Argentinos Juniors,,2020-12-13T22:20Z
Fase Campeón,Gruppe 2,Mon Dec 14 2020,21:30,-0300,Atlético Tucumán,0-2,0-2,Banfield,,2020-12-15T00:30Z
Fase Complementación,Gruppe 1,Mon Dec 14 2020,17:10,-0300,Rosario Central,4-0,1-0,Patronato de Paraná,,2020-12-14T20:10Z
Fase Complementación,Gruppe 2,Mon Dec 14 2020,19:20,-0300,Central Córdoba SdE,1-1,1-1,Godoy Cruz,,2020-12-14T22:20Z
Fase Campeón,Gruppe 1,Fri Dec 18 2020,21:10,-0300,Arsenal de Sarandí,0-1,0-1,Argentinos Juniors,,2020-12-19T00:10Z
Fase Complementación,Gruppe 2,Sat Dec 19 2020,19:10,-0300,Godoy Cruz,0-3,0-2,Newell's Old Boys,,2020-12-19T22:10Z
Fase Campeón,Gruppe 2,Sat Dec 19 2020,19:20,-0300,San Lorenzo,2-2,1-0,Colón de Santa Fe,,2020-12-19T22:20Z
Fase Complementación,Gruppe 1,Sat Dec 19 2020,17:10,-0300,Patronato de Paraná,0-1,0-0,Aldosivi,,2020-12-19T20:10Z
Fase Campeón,Gruppe 2,Sat Dec 19 2020,21:30,-0300,Talleres de Córdoba,1-1,0-1,Atlético Tucumán,,2020-12-20T00:30Z
Fase Campeón,Gruppe 1,Sun Dec 20 2020,21:30,-0300,Huracán,1-3,0-2,River Plate,,2020-12-21T00:30Z
Fase Complementación,Gruppe 1,Sun Dec 20 2020,17:10,-0300,Lanús,1-1,1-1,Defensa y Justicia,,2020-12-20T20:10Z
Fase Complementación,Gruppe 2,Sun Dec 20 2020,19:20,-0300,Estudiantes,1-1,0-1,Racing Club,,2020-12-20T22:20Z
Fase Campeón,Gruppe 1,Sun Dec 20 2020,19:20,-0300,Independiente,1-2,1-0,Boca Juniors,,2020-12-20T22:20Z
Fase Campeón,Gruppe 2,Mon Dec 21 2020,21:30,-0300,Banfield,2-1,1-0,Gimnasia de La Plata,,2020-12-22T00:30Z
Fase Complementación,Gruppe 2,Mon Dec 21 2020,19:20,-0300,Central Córdoba SdE,0-2,0-1,Vélez Sarsfield,,2020-12-21T22:20Z
Fase Complementación,Gruppe 1,Mon Dec 21 2020,19:20,-0300,Rosario Central,2-2,2-1,Unión de Santa Fe,,2020-12-21T22:20Z
Fase Campeón,Gruppe 1,Sun Dec 27 2020,19:20,-0300,Boca Juniors,3-0,2-0,Huracán,,2020-12-27T22:20Z
Fase Campeón,Gruppe 1,Sun Dec 27 2020,21:30,-0300,River Plate,2-1,0-0,Arsenal de Sarandí,,2020-12-28T00:30Z
Fase Complementación,Gruppe 1,Sun Dec 27 2020,17:10,-0300,Defensa y Justicia,2-1,2-1,Patronato de Paraná,,2020-12-27T20:10Z
Fase Complementación,Gruppe 2,Sun Dec 27 2020,17:10,-0300,Racing Club,6-1,0-1,Godoy Cruz,,2020-12-27T20:10Z
Fase Complementación,Gruppe 2,Mon Dec 28 2020,19:20,-0300,Vélez Sarsfield,2-3,2-3,Estudiantes,,2020-12-28T22:20Z
Fase Complementación,Gruppe 2,Mon Dec 28 2020,17:10,-0300,Newell's Old Boys,3-1,0-0,Central Córdoba SdE,,2020-12-28T20:10Z
Fase Campeón,Gruppe 2,Mon Dec 28 2020,21:30,-0300,Gimnasia de La Plata,2-2,0-1,Talleres de Córdoba,,2020-12-29T00:30Z
Fase Campeón,Gruppe 2,Mon Dec 28 2020,21:30,-0300,Colón de Santa Fe,1-2,1-0,Banfield,,2020-12-29T00:30Z
Fase Campeón,Gruppe 1,Mon Dec 28 2020,19:20,-0300,Argentinos Juniors,0-2,0-1,Independiente,,2020-12-28T22:20Z
Fase Complementación,Gruppe 1,Tue Dec 29 2020,19:20,-0300,Unión de Santa Fe,2-0,1-0,Lanús,,2020-12-29T22:20Z
Fase Complementación,Gruppe 1,Tue Dec 29 2020,17:10,-0300,Aldosivi,0-1,0-1,Rosario Central,,2020-12-29T20:10Z
Fase Campeón,Gruppe 2,Tue Dec 29 2020,21:30,-0300,Atlético Tucumán,1-3,0-1,San Lorenzo,,2020-12-30T00:30Z
Fase Complementación,Gruppe 1,Sat Jan 2 2021,17:30,-0300,Rosario Central,3-0,1-0,Defensa y Justicia,,2021-01-02T20:30Z
Fase Campeón,Gruppe 1,Sat Jan 2 2021,21:30,-0300,Boca Juniors,2-2,1-0,River Plate,,2021-01-03T00:30Z
Fase Complementación,Gruppe 1,Sun Jan 3 2021,19:20,-0300,Patronato de Paraná,1-1,0-0,Lanús,,2021-01-03T22:20Z
Fase Complementación,Gruppe 2,Sun Jan 3 2021,19:20,-0300,Newell's Old Boys,0-1,0-0,Vélez Sarsfield,,2021-01-03T22:20Z
Fase Complementación,Gruppe 2,Sun Jan 3 2021,21:30,-0300,Central Córdoba SdE,2-2,1-1,Racing Club,,2021-01-04T00:30Z
Fase Campeón,Gruppe 1,Sun Jan 3 2021,17:10,-0300,Independiente,3-4,1-1,Arsenal de Sarandí,,2021-01-03T20:10Z
Fase Complementación,Gruppe 1,Mon Jan 4 2021,17:10,-0300,Aldosivi,1-3,0-1,Unión de Santa Fe,,2021-01-04T20:10Z
Fase Campeón,Gruppe 2,Mon Jan 4 2021,21:30,-0300,Talleres de Córdoba,3-2,2-1,Banfield,,2021-01-05T00:30Z
Fase Campeón,Gruppe 2,Mon Jan 4 2021,19:20,-0300,San Lorenzo,1-2,0-0,Gimnasia de La Plata,,2021-01-04T22:20Z
Fase Complementación,Gruppe 2,Tue Jan 5 2021,19:20,-0300,Godoy Cruz,1-0,1-0,Estudiantes,,2021-01-05T22:20Z
Fase Campeón,Gruppe 1,Tue Jan 5 2021,19:20,-0300,Huracán,0-1,0-0,Argentinos Juniors,,2021-01-05T22:20Z
Fase Campeón,Gruppe 2,Tue Jan 5 2021,21:30,-0300,Atlético Tucumán,0-2,0-0,Colón de Santa Fe,,2021-01-06T00:30Z
Fase Campeón,Gruppe 1,Sat Jan 9 2021,21:30,-0300,River Plate,0-2,0-2,Independiente,,2021-01-10T00:30Z
Fase Complementación,Gruppe 1,Sat Jan 9 2021,17:10,-0300,Lanús,2-0,2-0,Rosario Central,,2021-01-09T20:10Z
Fase Complementación,Gruppe 1,Sat Jan 9 2021,17:10,-0300,Unión de Santa Fe,1-2,1-2,Patronato de Paraná,,2021-01-09T20:10Z
Fase Complementación,Gruppe 2,Sat Jan 9 2021,19:20,-0300,Racing Club,3-1,2-1,Newell's Old Boys,,2021-01-09T22:20Z
Fase Campeón,Gruppe 1,Sat Jan 9 2021,21:30,-0300,Argentinos Juniors,2-2,1-1,Boca Juniors,,2021-01-10T00:30Z
Fase Complementación,Gruppe 2,Sat Jan 9 2021,19:20,-0300,Vélez Sarsfield,3-2,2-1,Godoy Cruz,,2021-01-09T22:20Z
Fase Campeón,Gruppe 2,Sun Jan 10 2021,21:30,-0300,Banfield,4-1,1-0,San Lorenzo,,2021-01-11T00:30Z
Fase Campeón,Gruppe 2,Sun Jan 10 2021,21:30,-0300,Gimnasia de La Plata,0-1,0-0,Atlético Tucumán,,2021-01-11T00:30Z
Fase Campeón,Gruppe 1,Sun Jan 10 2021,19:20,-0300,Arsenal de Sarandí,1-0,1-0,Huracán,,2021-01-10T22:20Z
Fase Campeón,Gruppe 2,Sun Jan 10 2021,21:30,-0300,Colón de Santa Fe,1-2,0-1,Talleres de Córdoba,,2021-01-11T00:30Z
Fase Complementación,Gruppe 2,Mon Jan 11 2021,21:30,-0300,Estudiantes,1-2,1-0,Central Córdoba SdE,,2021-01-12T00:30Z
Fase Complementación,Gruppe 1,Thu Jan 14 2021,17:45,-0300,Defensa y Justicia,4-4,3-2,Aldosivi,,2021-01-14T20:45Z
Fase Complementación,Final,Sat Jan 16 2021,22:10,-0300,Rosario Central,1-3,1-1,Vélez Sarsfield,,2021-01-17T01:10Z
Fase Campeón,Final,Sun Jan 17 2021,22:10,-0300,Boca Juniors,1-1,0-0,Banfield,5-3,2021-01-18T01:10Z
Copa Sud,Final,Wed Mar 31 2021,20:15,-0300,Vélez Sarsfield,2-3,1-2,Banfield,,2021-03-31T23:15Z
