Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Quarterfinals,Wed Nov 11 2020,19:00,-0300,Cuiabá MT,1-2,1-2,Grêmio Porto Alegre,,2020-11-11T22:00Z
Quarterfinals,Wed Nov 11 2020,21:30,-0300,Flamengo RJ,1-2,0-0,São Paulo FC,,2020-11-12T00:30Z
Quarterfinals,Wed Nov 11 2020,21:30,-0300,Internacional,0-1,0-1,América MG,,2020-11-12T00:30Z
Quarterfinals,Wed Nov 11 2020,16:30,-0300,Palmeiras,3-0,3-0,Ceará CE,,2020-11-11T19:30Z
Quarterfinals,Wed Nov 18 2020,16:30,-0300,Grêmio Porto Alegre,2-0,2-0,Cuiabá MT,,2020-11-18T19:30Z
Quarterfinals,Wed Nov 18 2020,19:00,-0300,Ceará CE,2-2,0-2,Palmeiras,,2020-11-18T22:00Z
Quarterfinals,Wed Nov 18 2020,21:30,-0300,São Paulo FC,3-0,0-0,Flamengo RJ,,2020-11-19T00:30Z
Quarterfinals,Wed Nov 18 2020,21:30,-0300,América MG,0-1,0-0,Internacional,6-5,2020-11-19T00:30Z
Semifinals,Wed Dec 23 2020,21:30,-0300,Palmeiras,1-1,1-1,América MG,,2020-12-24T00:30Z
Semifinals,Wed Dec 23 2020,21:30,-0300,Grêmio Porto Alegre,1-0,0-0,São Paulo FC,,2020-12-24T00:30Z
Semifinals,Wed Dec 30 2020,21:30,-0300,América MG,0-2,0-0,Palmeiras,,2020-12-31T00:30Z
Semifinals,Wed Dec 30 2020,21:30,-0300,São Paulo FC,0-0,0-0,Grêmio Porto Alegre,,2020-12-31T00:30Z
Final,Sun Feb 28 2021,21:00,-0300,Grêmio Porto Alegre,0-1,0-1,Palmeiras,,2021-03-01T00:00Z
Final,Sun Mar 7 2021,18:00,-0300,Palmeiras,2-0,0-0,Grêmio Porto Alegre,,2021-03-07T21:00Z
