Stage,Round,Date,Time,Team 1,FT,HT,Team 2,Comments
Regular Season,9,Sun Sep 30 2018,20:00,Royal Antwerp FC,2-2,1-2,KAA Gent,
Regular Season,9,Sun Sep 30 2018,18:00,KV Oostende,1-3,0-1,Standard Liège,
Regular Season,10,Fri Oct 5 2018,20:30,Cercle Brugge,2-1,1-1,Sporting Charleroi,
Regular Season,10,Sat Oct 6 2018,20:30,Waasland-Beveren,1-1,0-0,KV Oostende,
Regular Season,10,Sat Oct 6 2018,18:00,AS Eupen,1-2,1-0,Royal Antwerp FC,
Regular Season,10,Sat Oct 6 2018,20:00,Sint-Truidense VV,3-1,1-1,Royal Excel Mouscron,
Regular Season,10,Sat Oct 6 2018,20:00,Sporting Lokeren,1-3,1-0,KV Kortrijk,
Regular Season,10,Sun Oct 7 2018,14:30,SV Zulte Waregem,1-2,0-1,RSC Anderlecht,
Regular Season,10,Sun Oct 7 2018,18:00,Standard Liège,3-1,1-0,Club Brugge KV,
Regular Season,10,Sun Oct 7 2018,20:00,KAA Gent,1-5,1-3,KRC Genk,
Regular Season,11,Fri Oct 19 2018,20:30,Club Brugge KV,1-1,0-0,Waasland-Beveren,
Regular Season,11,Sat Oct 20 2018,18:00,Royal Excel Mouscron,0-0,0-0,Standard Liège,
Regular Season,11,Sat Oct 20 2018,20:00,KV Kortrijk,3-1,2-1,Sint-Truidense VV,
Regular Season,11,Sat Oct 20 2018,20:30,KRC Genk,2-1,1-0,AS Eupen,
Regular Season,11,Sat Oct 20 2018,20:00,Royal Antwerp FC,2-1,1-0,Sporting Lokeren,
Regular Season,11,Sun Oct 21 2018,14:30,RSC Anderlecht,4-2,2-0,Cercle Brugge,
Regular Season,11,Sun Oct 21 2018,18:00,KV Oostende,0-4,0-2,KAA Gent,
Regular Season,11,Sun Oct 21 2018,20:00,Sporting Charleroi,3-2,1-0,SV Zulte Waregem,
Regular Season,12,Fri Oct 26 2018,20:30,KAA Gent,2-1,1-1,Sporting Charleroi,
Regular Season,12,Sat Oct 27 2018,18:00,SV Zulte Waregem,2-2,2-1,Royal Excel Mouscron,
Regular Season,12,Sat Oct 27 2018,20:00,Cercle Brugge,1-1,0-1,KV Kortrijk,
Regular Season,12,Sat Oct 27 2018,20:30,Sint-Truidense VV,2-2,1-2,Club Brugge KV,
Regular Season,12,Sat Oct 27 2018,20:00,Sporting Lokeren,0-0,0-0,KV Oostende,
Regular Season,12,Sun Oct 28 2018,14:30,Standard Liège,1-1,0-0,KRC Genk,
Regular Season,12,Sun Oct 28 2018,18:00,AS Eupen,2-1,2-0,RSC Anderlecht,
Regular Season,12,Sun Oct 28 2018,20:00,Waasland-Beveren,0-1,0-0,Royal Antwerp FC,
Regular Season,13,Tue Oct 30 2018,20:30,Sporting Charleroi,1-0,0-0,Sint-Truidense VV,
Regular Season,13,Tue Oct 30 2018,20:30,Royal Excel Mouscron,3-1,2-0,KAA Gent,
Regular Season,13,Tue Oct 30 2018,20:30,Club Brugge KV,4-0,3-0,KV Oostende,
Regular Season,13,Wed Oct 31 2018,20:30,KV Kortrijk,2-2,2-0,Waasland-Beveren,
Regular Season,13,Wed Oct 31 2018,20:30,AS Eupen,2-0,0-0,Cercle Brugge,
Regular Season,13,Wed Oct 31 2018,20:30,Royal Antwerp FC,2-4,2-0,KRC Genk,
Regular Season,13,Thu Nov 1 2018,14:30,RSC Anderlecht,1-1,0-0,Sporting Lokeren,
Regular Season,13,Thu Nov 1 2018,18:00,SV Zulte Waregem,3-1,1-1,Standard Liège,
Regular Season,14,Fri Nov 2 2018,20:30,KV Oostende,2-1,1-0,Sporting Charleroi,
Regular Season,14,Sat Nov 3 2018,18:00,KRC Genk,1-1,1-0,Club Brugge KV,
Regular Season,14,Sat Nov 3 2018,20:30,KAA Gent,3-1,0-1,KV Kortrijk,
Regular Season,14,Sat Nov 3 2018,20:00,Cercle Brugge,2-1,0-1,Royal Excel Mouscron,
Regular Season,14,Sun Nov 4 2018,14:30,Standard Liège,0-2,0-1,Royal Antwerp FC,
Regular Season,14,Sun Nov 4 2018,18:00,Waasland-Beveren,1-2,0-1,RSC Anderlecht,
Regular Season,14,Sun Nov 4 2018,20:00,Sporting Lokeren,2-0,2-0,AS Eupen,
Regular Season,14,Sun Nov 4 2018,20:00,Sint-Truidense VV,2-1,0-1,SV Zulte Waregem,
Regular Season,15,Fri Nov 9 2018,20:30,Royal Antwerp FC,2-0,1-0,KV Oostende,
Regular Season,15,Sat Nov 10 2018,20:30,Cercle Brugge,2-0,1-0,Waasland-Beveren,
Regular Season,15,Sat Nov 10 2018,20:00,AS Eupen,1-4,0-2,Sint-Truidense VV,
Regular Season,15,Sat Nov 10 2018,20:00,SV Zulte Waregem,2-0,0-0,Sporting Lokeren,
Regular Season,15,Sat Nov 10 2018,18:00,Sporting Charleroi,2-1,1-1,Club Brugge KV,
Regular Season,15,Sun Nov 11 2018,20:00,Royal Excel Mouscron,0-0,0-0,KRC Genk,
Regular Season,15,Sun Nov 11 2018,18:00,KV Kortrijk,0-2,0-1,Standard Liège,
Regular Season,15,Sun Nov 11 2018,14:30,RSC Anderlecht,2-0,1-0,KAA Gent,
Regular Season,16,Fri Nov 23 2018,20:30,Club Brugge KV,1-3,0-2,SV Zulte Waregem,
Regular Season,16,Sat Nov 24 2018,18:00,Standard Liège,3-0,2-0,AS Eupen,
Regular Season,16,Sat Nov 24 2018,20:00,KV Oostende,1-2,1-1,KV Kortrijk,
Regular Season,16,Sat Nov 24 2018,20:30,KRC Genk,1-2,0-2,Cercle Brugge,
Regular Season,16,Sat Nov 24 2018,20:00,Waasland-Beveren,1-2,0-1,Royal Excel Mouscron,
Regular Season,16,Sun Nov 25 2018,14:30,KAA Gent,0-0,0-0,Royal Antwerp FC,
Regular Season,16,Sun Nov 25 2018,20:00,Sporting Lokeren,2-4,1-1,Sporting Charleroi,
Regular Season,16,Sun Nov 25 2018,18:00,Sint-Truidense VV,4-2,1-1,RSC Anderlecht,
Regular Season,17,Fri Nov 30 2018,20:30,Sporting Lokeren,2-2,1-0,KAA Gent,
Regular Season,17,Sat Dec 1 2018,18:00,Sporting Charleroi,3-1,1-0,Cercle Brugge,
Regular Season,17,Sat Dec 1 2018,20:00,KV Kortrijk,1-0,1-0,Royal Excel Mouscron,
Regular Season,17,Sat Dec 1 2018,20:30,Royal Antwerp FC,1-3,1-2,Sint-Truidense VV,
Regular Season,17,Sat Dec 1 2018,20:00,SV Zulte Waregem,1-1,1-0,KV Oostende,
Regular Season,17,Sun Dec 2 2018,14:30,Club Brugge KV,3-0,3-0,Standard Liège,
Regular Season,17,Sun Dec 2 2018,20:00,AS Eupen,1-0,1-0,Waasland-Beveren,
Regular Season,17,Sun Dec 2 2018,18:00,RSC Anderlecht,0-1,0-0,KRC Genk,
Regular Season,18,Fri Dec 7 2018,20:30,Waasland-Beveren,2-1,0-0,Club Brugge KV,
Regular Season,18,Sat Dec 8 2018,20:30,Sint-Truidense VV,1-1,1-0,Standard Liège,
Regular Season,18,Sat Dec 8 2018,18:00,KRC Genk,1-1,1-1,KV Kortrijk,
Regular Season,18,Sat Dec 8 2018,20:00,KV Oostende,1-0,0-0,Sporting Lokeren,
Regular Season,18,Sat Dec 8 2018,20:00,Royal Excel Mouscron,0-0,0-0,SV Zulte Waregem,
Regular Season,18,Sun Dec 9 2018,14:30,Cercle Brugge,0-3,0-2,Royal Antwerp FC,
Regular Season,18,Sun Dec 9 2018,18:00,RSC Anderlecht,1-1,0-0,Sporting Charleroi,
Regular Season,18,Sun Dec 9 2018,20:00,KAA Gent,2-0,1-0,AS Eupen,
Regular Season,19,Fri Dec 14 2018,20:30,Sporting Charleroi,2-0,0-0,KAA Gent,
Regular Season,19,Sat Dec 15 2018,18:00,KV Kortrijk,0-0,0-0,Club Brugge KV,
Regular Season,19,Sat Dec 15 2018,20:00,AS Eupen,1-0,0-0,Royal Excel Mouscron,
Regular Season,19,Sat Dec 15 2018,20:30,Royal Antwerp FC,0-2,0-0,Waasland-Beveren,
Regular Season,19,Sat Dec 15 2018,20:00,Sporting Lokeren,2-0,1-0,Sint-Truidense VV,
Regular Season,19,Sun Dec 16 2018,14:30,Cercle Brugge,2-1,1-1,RSC Anderlecht,
Regular Season,19,Sun Dec 16 2018,18:00,KRC Genk,2-0,1-0,KV Oostende,
Regular Season,19,Sun Dec 16 2018,20:00,Standard Liège,4-1,2-0,SV Zulte Waregem,
Regular Season,20,Fri Dec 21 2018,20:30,KAA Gent,4-1,2-0,Cercle Brugge,
Regular Season,20,Sat Dec 22 2018,18:00,Royal Excel Mouscron,3-1,2-0,RSC Anderlecht,
Regular Season,20,Sat Dec 22 2018,20:30,Standard Liège,3-1,3-0,KV Oostende,
Regular Season,20,Sat Dec 22 2018,20:00,Sint-Truidense VV,0-0,0-0,KV Kortrijk,
Regular Season,20,Sat Dec 22 2018,20:00,Waasland-Beveren,2-1,1-0,Sporting Lokeren,
Regular Season,20,Sun Dec 23 2018,14:30,Club Brugge KV,5-1,2-0,Royal Antwerp FC,
Regular Season,20,Sun Dec 23 2018,20:00,SV Zulte Waregem,3-1,2-1,Sporting Charleroi,
Regular Season,20,Sun Dec 23 2018,18:00,AS Eupen,0-2,0-2,KRC Genk,
Regular Season,21,Wed Dec 26 2018,14:30,KV Kortrijk,4-2,0-1,SV Zulte Waregem,
Regular Season,21,Wed Dec 26 2018,14:30,KV Oostende,1-1,1-1,Sint-Truidense VV,
Regular Season,21,Wed Dec 26 2018,14:30,Cercle Brugge,0-1,0-1,AS Eupen,
Regular Season,21,Wed Dec 26 2018,20:30,KRC Genk,3-1,1-1,KAA Gent,
Regular Season,21,Wed Dec 26 2018,18:00,Sporting Charleroi,0-1,0-1,Standard Liège,
Regular Season,21,Wed Dec 26 2018,14:30,Royal Antwerp FC,2-1,1-0,Royal Excel Mouscron,
Regular Season,21,Thu Dec 27 2018,20:30,RSC Anderlecht,3-0,1-0,Waasland-Beveren,
Regular Season,21,Thu Dec 27 2018,18:00,Sporting Lokeren,0-1,0-0,Club Brugge KV,
Regular Season,22,Fri Jan 18 2019,20:30,Sint-Truidense VV,2-3,1-1,KRC Genk,
Regular Season,22,Sat Jan 19 2019,18:00,Standard Liège,2-1,0-1,KV Kortrijk,
Regular Season,22,Sat Jan 19 2019,20:00,AS Eupen,4-1,2-0,Sporting Lokeren,
Regular Season,22,Sat Jan 19 2019,20:30,SV Zulte Waregem,1-2,0-1,Royal Antwerp FC,
Regular Season,22,Sat Jan 19 2019,20:00,Waasland-Beveren,1-1,0-0,Cercle Brugge,
Regular Season,22,Sun Jan 20 2019,14:30,Club Brugge KV,0-1,0-1,Sporting Charleroi,
Regular Season,22,Sun Jan 20 2019,18:00,KAA Gent,1-0,0-0,RSC Anderlecht,
Regular Season,22,Sun Jan 20 2019,20:00,Royal Excel Mouscron,2-1,1-1,KV Oostende,
Regular Season,23,Fri Jan 25 2019,20:30,Royal Antwerp FC,1-1,0-0,Standard Liège,
Regular Season,23,Sat Jan 26 2019,18:00,Sporting Charleroi,2-2,1-2,Waasland-Beveren,
Regular Season,23,Sat Jan 26 2019,20:00,Cercle Brugge,1-2,1-1,Sint-Truidense VV,
Regular Season,23,Sat Jan 26 2019,20:30,KRC Genk,1-2,0-1,Royal Excel Mouscron,
Regular Season,23,Sat Jan 26 2019,20:00,Sporting Lokeren,0-3,0-2,SV Zulte Waregem,
Regular Season,23,Sun Jan 27 2019,14:30,KV Oostende,1-2,1-0,Club Brugge KV,
Regular Season,23,Sun Jan 27 2019,20:00,KV Kortrijk,1-2,1-1,KAA Gent,
Regular Season,23,Sun Jan 27 2019,18:00,RSC Anderlecht,2-1,0-1,AS Eupen,
Regular Season,24,Fri Feb 1 2019,20:30,Royal Excel Mouscron,3-0,1-0,Sporting Charleroi,
Regular Season,24,Sat Feb 2 2019,18:00,KV Oostende,0-2,0-1,Royal Antwerp FC,
Regular Season,24,Sat Feb 2 2019,20:00,KV Kortrijk,2-1,1-0,Sporting Lokeren,
Regular Season,24,Sat Feb 2 2019,20:30,Waasland-Beveren,1-2,1-0,KRC Genk,
Regular Season,24,Sat Feb 2 2019,20:00,SV Zulte Waregem,3-2,2-1,Cercle Brugge,
Regular Season,24,Sun Feb 3 2019,14:30,Club Brugge KV,1-1,0-1,KAA Gent,
Regular Season,24,Sun Feb 3 2019,20:00,Sint-Truidense VV,4-1,2-1,AS Eupen,
Regular Season,24,Sun Feb 3 2019,18:00,Standard Liège,2-1,1-1,RSC Anderlecht,
Regular Season,25,Fri Feb 8 2019,20:30,KRC Genk,2-0,0-0,Standard Liège,
Regular Season,25,Sat Feb 9 2019,20:30,Sporting Lokeren,2-1,1-0,Royal Antwerp FC,
Regular Season,25,Sat Feb 9 2019,18:00,Sporting Charleroi,1-1,0-0,KV Oostende,
Regular Season,25,Sat Feb 9 2019,20:00,Sint-Truidense VV,2-1,1-1,Waasland-Beveren,
Regular Season,25,Sat Feb 9 2019,20:00,AS Eupen,0-1,0-1,KV Kortrijk,
Regular Season,25,Sun Feb 10 2019,14:30,Cercle Brugge,2-2,1-2,Club Brugge KV,
Regular Season,25,Sun Feb 10 2019,18:00,RSC Anderlecht,0-0,0-0,SV Zulte Waregem,
Regular Season,25,Sun Feb 10 2019,20:00,KAA Gent,1-2,0-1,Royal Excel Mouscron,
Regular Season,26,Fri Feb 15 2019,20:30,Standard Liège,3-1,2-0,Sporting Lokeren,
Regular Season,26,Sat Feb 16 2019,18:00,KV Kortrijk,1-2,0-0,Sporting Charleroi,
Regular Season,26,Sat Feb 16 2019,20:30,Waasland-Beveren,2-1,1-0,KAA Gent,
Regular Season,26,Sat Feb 16 2019,20:00,SV Zulte Waregem,1-1,0-0,Sint-Truidense VV,
Regular Season,26,Sat Feb 16 2019,20:00,KV Oostende,1-1,1-0,AS Eupen,
Regular Season,26,Sun Feb 17 2019,14:30,Club Brugge KV,3-1,2-0,KRC Genk,
Regular Season,26,Sun Feb 17 2019,18:00,Royal Antwerp FC,0-1,0-0,RSC Anderlecht,
Regular Season,26,Sun Feb 17 2019,20:00,Royal Excel Mouscron,3-0,0-0,Cercle Brugge,
Regular Season,27,Fri Feb 22 2019,20:30,KAA Gent,2-1,2-0,Standard Liège,
Regular Season,27,Sat Feb 23 2019,18:00,AS Eupen,2-3,1-1,SV Zulte Waregem,
Regular Season,27,Sat Feb 23 2019,20:00,Cercle Brugge,2-2,0-0,KV Oostende,
Regular Season,27,Sat Feb 23 2019,20:00,Waasland-Beveren,2-6,0-2,KV Kortrijk,
Regular Season,27,Sat Feb 23 2019,20:30,Royal Excel Mouscron,1-0,0-0,Sporting Lokeren,
Regular Season,27,Sun Feb 24 2019,14:30,RSC Anderlecht,2-2,1-1,Club Brugge KV,
Regular Season,27,Sun Feb 24 2019,20:00,Sint-Truidense VV,3-1,2-1,Sporting Charleroi,
Regular Season,27,Sun Feb 24 2019,18:00,KRC Genk,0-0,0-0,Royal Antwerp FC,
Regular Season,28,Fri Mar 1 2019,20:30,Standard Liège,1-1,0-0,Royal Excel Mouscron,
Regular Season,28,Sat Mar 2 2019,20:00,KV Kortrijk,2-1,0-1,Cercle Brugge,
Regular Season,28,Sat Mar 2 2019,18:00,Sporting Charleroi,1-1,0-1,KRC Genk,
Regular Season,28,Sat Mar 2 2019,20:00,KV Oostende,1-1,0-0,Waasland-Beveren,
Regular Season,28,Sat Mar 2 2019,20:30,Club Brugge KV,1-0,0-0,Sint-Truidense VV,
Regular Season,28,Sun Mar 3 2019,14:30,SV Zulte Waregem,1-3,1-1,KAA Gent,
Regular Season,28,Sun Mar 3 2019,18:00,Sporting Lokeren,1-2,0-1,RSC Anderlecht,
Regular Season,28,Sun Mar 3 2019,20:00,Royal Antwerp FC,2-1,0-0,AS Eupen,
Regular Season,29,Sun Mar 10 2019,18:00,KRC Genk,1-0,0-0,Sporting Lokeren,
Regular Season,29,Sun Mar 10 2019,18:00,KAA Gent,2-1,1-1,KV Oostende,
Regular Season,29,Sun Mar 10 2019,18:00,RSC Anderlecht,2-0,1-0,KV Kortrijk,
Regular Season,29,Sun Mar 10 2019,18:00,Royal Excel Mouscron,1-1,1-1,Sint-Truidense VV,
Regular Season,29,Sun Mar 10 2019,18:00,AS Eupen,0-4,0-3,Club Brugge KV,
Regular Season,29,Sun Mar 10 2019,18:00,Cercle Brugge,1-2,0-2,Standard Liège,
Regular Season,29,Sun Mar 10 2019,18:00,Waasland-Beveren,1-1,0-0,SV Zulte Waregem,
Regular Season,29,Sun Mar 10 2019,18:00,Royal Antwerp FC,1-2,1-1,Sporting Charleroi,
Regular Season,30,Sun Mar 17 2019,18:00,Club Brugge KV,1-2,0-1,Royal Excel Mouscron,
Regular Season,30,Sun Mar 17 2019,18:00,Sint-Truidense VV,0-2,0-1,KAA Gent,
Regular Season,30,Sun Mar 17 2019,18:00,KV Kortrijk,2-0,0-0,Royal Antwerp FC,
Regular Season,30,Sun Mar 17 2019,18:00,KV Oostende,0-2,0-0,RSC Anderlecht,
Regular Season,30,Sun Mar 17 2019,18:00,SV Zulte Waregem,3-3,1-2,KRC Genk,
Regular Season,30,Sun Mar 17 2019,18:00,Sporting Lokeren,3-1,3-0,Cercle Brugge,
Regular Season,30,Sun Mar 17 2019,18:00,Sporting Charleroi,1-2,1-1,AS Eupen,
Regular Season,30,Sun Mar 17 2019,18:00,Standard Liège,4-3,0-2,Waasland-Beveren,
Playoffs - Championship,1,Fri Mar 29 2019,20:30,Standard Liège,3-1,0-1,Royal Antwerp FC,
Playoffs - Europa League,1,Sat Mar 30 2019,20:00,KV Oostende,1-2,1-1,AS Eupen,
Playoffs - Championship,1,Sat Mar 30 2019,20:30,KRC Genk,3-0,1-0,RSC Anderlecht,
Playoffs - Europa League,1,Sat Mar 30 2019,18:00,KV Kortrijk,3-1,2-0,Royal Excel Mouscron,
Playoffs - Europa League,1,Sat Mar 30 2019,20:00,SV Zulte Waregem,0-0,0-0,Waasland-Beveren,
Playoffs - Europa League,1,Sat Mar 30 2019,20:00,Union St. Gilloise,3-1,2-0,Cercle Brugge,
Playoffs - Europa League,1,Sun Mar 31 2019,20:00,KVC Westerlo,1-1,1-1,KFCO Beerschot Wilrijk,
Playoffs - Europa League,1,Sun Mar 31 2019,14:30,Sint-Truidense VV,3-1,1-1,Sporting Charleroi,
Playoffs - Championship,1,Sun Mar 31 2019,18:00,Club Brugge KV,3-0,2-0,KAA Gent,
Playoffs - Europa League,2,Tue Apr 2 2019,20:30,Royal Excel Mouscron,0-2,0-0,Union St. Gilloise,
Playoffs - Europa League,2,Tue Apr 2 2019,20:30,Waasland-Beveren,2-3,0-0,KV Kortrijk,
Playoffs - Championship,2,Tue Apr 2 2019,20:30,Royal Antwerp FC,1-0,1-0,KRC Genk,
Playoffs - Europa League,2,Tue Apr 2 2019,20:30,Cercle Brugge,3-3,1-2,SV Zulte Waregem,
Playoffs - Championship,2,Wed Apr 3 2019,20:30,KAA Gent,1-2,0-1,Standard Liège,
Playoffs - Europa League,2,Wed Apr 3 2019,20:30,Sporting Charleroi,1-2,1-1,KV Oostende,
Playoffs - Europa League,2,Wed Apr 3 2019,20:30,KFCO Beerschot Wilrijk,1-2,1-1,Sint-Truidense VV,
Playoffs - Europa League,2,Wed Apr 3 2019,20:30,AS Eupen,0-3,0-2,KVC Westerlo,
Playoffs - Championship,2,Thu Apr 4 2019,20:30,RSC Anderlecht,2-3,0-2,Club Brugge KV,
Playoffs - Europa League,3,Fri Apr 5 2019,20:30,KV Kortrijk,4-2,2-2,SV Zulte Waregem,
Playoffs - Europa League,3,Sat Apr 6 2019,18:00,KV Oostende,2-1,1-1,KFCO Beerschot Wilrijk,
Playoffs - Europa League,3,Sat Apr 6 2019,20:00,Royal Excel Mouscron,2-3,0-0,Cercle Brugge,
Playoffs - Europa League,3,Sat Apr 6 2019,20:00,Union St. Gilloise,5-1,2-1,Waasland-Beveren,
Playoffs - Championship,3,Sat Apr 6 2019,20:30,KRC Genk,2-1,2-0,KAA Gent,
Playoffs - Europa League,3,Sat Apr 6 2019,20:00,KVC Westerlo,2-2,1-0,Sint-Truidense VV,
Playoffs - Europa League,3,Sun Apr 7 2019,20:00,AS Eupen,0-1,0-0,Sporting Charleroi,
Playoffs - Championship,3,Sun Apr 7 2019,18:00,RSC Anderlecht,1-2,1-1,Royal Antwerp FC,
Playoffs - Championship,3,Mon Apr 8 2019,20:30,Club Brugge KV,4-0,3-0,Standard Liège,
Playoffs - Championship,4,Fri Apr 12 2019,20:30,Standard Liège,5-0 (*),,RSC Anderlecht,awd.
