Round,Date,Time,Team 1,FT,HT,Team 2,Comments
36,Wed May 1 2019,15:00,Calcio Padova,2-1,1-0,US Lecce,
36,Wed May 1 2019,15:00,AC Perugia Calcio,0-0,0-0,AS Cittadella,
36,Wed May 1 2019,15:00,Hellas Verona,2-3,1-2,AS Livorno,
36,Wed May 1 2019,15:00,Cosenza Calcio,1-1,1-0,Venezia FC,
37,Sat May 4 2019,18:00,AS Cittadella,3-0,3-0,Hellas Verona,
37,Sat May 4 2019,15:00,US Cremonese,0-0,0-0,Brescia Calcio,
37,Sat May 4 2019,15:00,Spezia Calcio,2-0,1-0,FC Crotone,
37,Sat May 4 2019,15:00,Venezia FC,2-2,1-1,Pescara Calcio,
37,Sat May 4 2019,15:00,Ascoli Calcio,1-2,0-0,US Palermo,
37,Sun May 5 2019,15:00,Benevento Calcio,3-3,1-1,Calcio Padova,
37,Sun May 5 2019,15:00,AS Livorno,1-0,0-0,Carpi FC,
37,Sun May 5 2019,21:00,US Salernitana 1919,1-2,0-1,Cosenza Calcio,
37,Mon May 6 2019,21:00,Foggia Calcio,1-0,0-0,AC Perugia Calcio,
38,Sat May 11 2019,15:00,FC Crotone,3-0,1-0,Ascoli Calcio,
38,Sat May 11 2019,15:00,Carpi FC,2-3,1-0,Venezia FC,
38,Sat May 11 2019,15:00,Brescia Calcio,2-3,2-2,Benevento Calcio,
38,Sat May 11 2019,15:00,US Lecce,2-1,2-0,Spezia Calcio,
38,Sat May 11 2019,15:00,Calcio Padova,1-1,0-1,AS Livorno,
38,Sat May 11 2019,15:00,US Palermo,2-2,2-0,AS Cittadella,
38,Sat May 11 2019,15:00,AC Perugia Calcio,3-1,1-1,US Cremonese,
38,Sat May 11 2019,15:00,Pescara Calcio,2-0,0-0,US Salernitana 1919,
38,Sat May 11 2019,15:00,Hellas Verona,2-1,0-0,Foggia Calcio,
