Stage,Round,Date,Time,Team 1,FT,HT,Team 2
Apertura,8,Sun Sep 2 2018,04:00,Deportivo Guadalajara,1-3,1-2,CF Pachuca
Apertura,8,Sun Sep 2 2018,19:00,Deportivo Toluca,2-1,1-1,Santos Laguna
Apertura,8,Sun Sep 2 2018,23:00,Lobos BUAP,0-2,0-1,CF América
Apertura,9,Sat Sep 15 2018,04:00,CD Veracruz,2-3,0-2,Deportivo Toluca
Apertura,9,Sun Sep 16 2018,00:00,Gallos Blancos,0-1,0-0,Puebla FC
Apertura,9,Sun Sep 16 2018,02:00,CF Pachuca,1-1,1-0,UANL Tigres
Apertura,9,Sun Sep 16 2018,02:00,CF América,2-1,1-0,Monarcas Morelia
Apertura,9,Sun Sep 16 2018,23:00,Santos Laguna,3-0,1-0,Club León
Apertura,9,Sun Sep 16 2018,04:06,CF Monterrey,2-4,0-1,Deportivo Guadalajara
Apertura,9,Sun Sep 16 2018,19:00,Pumas UNAM,4-2,1-0,Lobos BUAP
Apertura,9,Sun Sep 16 2018,03:45,Club Necaxa,2-0,1-0,Cruz Azul
Apertura,9,Mon Sep 17 2018,01:00,Atlas Guadalajara,0-1,0-0,Club Tijuana
Apertura,10,Sat Sep 22 2018,02:00,Monarcas Morelia,0-0,0-0,Pumas UNAM
Apertura,10,Sat Sep 22 2018,04:00,Puebla FC,2-3,1-2,CF América
Apertura,10,Sun Sep 23 2018,00:00,Deportivo Toluca,3-2,0-1,Club Necaxa
Apertura,10,Sun Sep 23 2018,23:00,Deportivo Guadalajara,1-1,0-0,Gallos Blancos
Apertura,10,Sun Sep 23 2018,04:00,Cruz Azul,2-0,1-0,Atlas Guadalajara
Apertura,10,Sun Sep 23 2018,04:06,Club Tijuana,1-0,0-0,CF Pachuca
Apertura,10,Sun Sep 23 2018,02:00,Club León,0-1,0-0,Lobos BUAP
Apertura,10,Mon Sep 24 2018,01:00,Santos Laguna,1-1,0-0,CD Veracruz
Apertura,10,Mon Sep 24 2018,03:00,UANL Tigres,0-0,0-0,CF Monterrey
Apertura,11,Sat Sep 29 2018,02:00,CD Veracruz,0-4,0-1,Club León
Apertura,11,Sat Sep 29 2018,04:00,Atlas Guadalajara,2-0,1-0,Deportivo Toluca
Apertura,11,Sun Sep 30 2018,00:00,Gallos Blancos,0-2,0-0,UANL Tigres
Apertura,11,Sun Sep 30 2018,02:00,CF Pachuca,3-1,3-1,Cruz Azul
Apertura,11,Sun Sep 30 2018,04:00,Club Necaxa,0-1,0-1,Santos Laguna
Apertura,11,Sun Sep 30 2018,04:06,CF Monterrey,3-0,1-0,Club Tijuana
Apertura,11,Sun Sep 30 2018,19:00,Pumas UNAM,2-2,2-0,Puebla FC
Apertura,11,Sun Sep 30 2018,23:00,Lobos BUAP,3-1,1-0,Monarcas Morelia
Apertura,11,Mon Oct 1 2018,01:00,CF América,1-1,0-0,Deportivo Guadalajara
Apertura,12,Sat Oct 6 2018,02:00,Santos Laguna,3-1,1-0,Atlas Guadalajara
Apertura,12,Sat Oct 6 2018,04:10,CD Veracruz,0-0,0-0,Club Necaxa
Apertura,12,Sun Oct 7 2018,02:00,Club León,1-2,0-0,Monarcas Morelia
Apertura,12,Sun Oct 7 2018,19:00,Deportivo Toluca,2-1,1-1,CF Pachuca
Apertura,12,Sun Oct 7 2018,02:00,UANL Tigres,2-3,1-1,CF América
Apertura,12,Sun Oct 7 2018,04:06,Deportivo Guadalajara,1-2,1-1,Pumas UNAM
Apertura,12,Sun Oct 7 2018,04:36,Club Tijuana,1-1,1-0,Gallos Blancos
Apertura,12,Sun Oct 7 2018,00:00,Cruz Azul,2-1,1-1,CF Monterrey
Apertura,12,Mon Oct 8 2018,01:00,Puebla FC,2-2,0-1,Lobos BUAP
Apertura,13,Sat Oct 20 2018,04:00,Atlas Guadalajara,4-3,2-2,CD Veracruz
Apertura,13,Sun Oct 21 2018,02:00,CF América,3-0,2-0,Club Tijuana
Apertura,13,Sun Oct 21 2018,23:30,Pumas UNAM,3-3,2-2,UANL Tigres
