Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
Round 1,Sun Nov 11 2018,13:45,Weston-super-Mare AFC,0-2,0-0,Wrexham AFC,,
Round 1,Sun Nov 11 2018,15:30,Port Vale FC,1-2,1-2,Sunderland AFC,,
Round 1,Mon Nov 12 2018,20:45,Hampton & Richmond Borough,1-2,1-0,Oldham Athletic,,
Round 1,Tue Nov 20 2018,20:45,Cheltenham Town,2-0,0-0,Ebbsfleet United,,
Round 1,Tue Nov 20 2018,20:45,Bradford City,0-0,0-0,Aldershot Town,1-1,4-1
Round 1,Tue Nov 20 2018,20:45,Billericay Town,1-3,0-1,Chesterfield FC,,
Round 1,Tue Nov 20 2018,20:45,Forest Green Rovers,0-3,0-1,Oxford United,,
Round 1,Tue Nov 20 2018,20:45,Oxford City,0-2,0-2,Tranmere Rovers,,
Round 1,Tue Nov 20 2018,20:45,Slough Town,1-1,0-1,Sutton United,1-1,8-7
Round 1,Tue Nov 20 2018,20:45,Halifax Town,1-0,1-0,Morecambe FC,,
Round 1,Tue Nov 20 2018,20:45,Crawley Town,2-2,0-2,Southend United,2-6,
Round 1,Tue Nov 20 2018,20:45,Charlton Athletic,5-0,1-0,Mansfield Town,,
Round 1,Tue Nov 20 2018,20:45,Doncaster Rovers,7-0,5-0,Chorley FC,,
Round 1,Wed Nov 21 2018,20:45,Hartlepool United,2-2,2-0,Gillingham FC,3-4,
Round 1,Wed Nov 21 2018,20:45,Salford City,1-3,0-1,Shrewsbury Town,,
Round 1,Wed Nov 21 2018,20:45,Bristol Rovers,1-2,0-0,Barnet FC,,
Round 2,Fri Nov 30 2018,20:55,Solihull Moors,0-0,0-0,Blackpool FC,,
Round 2,Sat Dec 1 2018,13:30,Halifax Town,1-3,0-1,AFC Wimbledon,,
Round 2,Sat Dec 1 2018,16:00,Southend United,2-4,1-1,Barnsley FC,,
Round 2,Sat Dec 1 2018,16:00,Peterborough United,2-2,2-0,Bradford City,,
Round 2,Sat Dec 1 2018,16:00,Maidstone United,0-2,0-1,Oldham Athletic,,
Round 2,Sat Dec 1 2018,16:00,Lincoln City,2-0,1-0,Carlisle United,,
Round 2,Sat Dec 1 2018,16:00,Plymouth Argyle,1-2,0-0,Oxford United,,
Round 2,Sat Dec 1 2018,16:00,Walsall FC,1-1,0-1,Sunderland AFC,,
Round 2,Sat Dec 1 2018,16:00,Accrington Stanley,3-1,0-0,Cheltenham Town,,
Round 2,Sat Dec 1 2018,16:00,Charlton Athletic,0-2,0-0,Doncaster Rovers,,
Round 2,Sat Dec 1 2018,21:00,Wrexham AFC,0-0,0-0,Newport County,,
Round 2,Sun Dec 2 2018,15:00,Bury FC,0-1,0-1,Luton Town,,
Round 2,Sun Dec 2 2018,15:00,Tranmere Rovers,1-1,1-0,Southport FC,,
Round 2,Sun Dec 2 2018,15:00,Shrewsbury Town,1-0,1-0,Scunthorpe United,,
Round 2,Sun Dec 2 2018,15:00,Chesterfield FC,0-2,0-1,Grimsby Town,,
Round 2,Sun Dec 2 2018,15:00,Swindon Town,0-1,0-0,Woking FC,,
Round 2,Sun Dec 2 2018,15:00,Barnet FC,1-0,1-0,Stockport County,,
Round 2,Sun Dec 2 2018,15:00,Rochdale AFC,0-1,0-0,Portsmouth FC,,
Round 2,Sun Dec 2 2018,15:00,Slough Town,0-1,0-0,Gillingham FC,,
Round 2,Mon Dec 3 2018,21:00,Guiseley AFC,1-2,1-2,Fleetwood Town,,
Round 2,Tue Dec 11 2018,20:45,Bradford City,4-4,1-3,Peterborough United,4-4,2-3
Round 2,Tue Dec 11 2018,20:45,Sunderland AFC,0-1,0-0,Walsall FC,,
Round 2,Tue Dec 11 2018,20:45,Newport County,4-0,0-0,Wrexham AFC,,
Round 2,Mon Dec 17 2018,20:45,Southport FC,0-2,0-2,Tranmere Rovers,,
Round 2,Tue Dec 18 2018,20:45,Blackpool FC,2-2,2-1,Solihull Moors,3-2,
Round 3,Fri Jan 4 2019,20:45,Tranmere Rovers,0-7,0-1,Tottenham Hotspur,,
Round 3,Sat Jan 5 2019,13:30,Sheffield Wednesday,0-0,0-0,Luton Town,,
Round 3,Sat Jan 5 2019,13:30,Manchester United,2-0,2-0,Reading FC,,
Round 3,Sat Jan 5 2019,13:30,West Bromwich Albion,1-0,1-0,Wigan Athletic,,
Round 3,Sat Jan 5 2019,13:30,Shrewsbury Town,1-1,1-0,Stoke City,,
Round 3,Sat Jan 5 2019,13:30,AFC Bournemouth,1-3,0-2,Brighton & Hove Albion,,
Round 3,Sat Jan 5 2019,13:30,West Ham United,2-0,1-0,Birmingham City,,
Round 3,Sat Jan 5 2019,13:30,Burnley FC,1-0,0-0,Barnsley FC,,
Round 3,Sat Jan 5 2019,16:00,Bolton Wanderers,5-2,0-1,Walsall FC,,
Round 3,Sat Jan 5 2019,16:00,Brentford FC,1-0,0-0,Oxford United,,
Round 3,Sat Jan 5 2019,16:00,Chelsea FC,2-0,0-0,Nottingham Forest,,
Round 3,Sat Jan 5 2019,16:00,Fleetwood Town,2-3,0-1,AFC Wimbledon,,
Round 3,Sat Jan 5 2019,16:00,Middlesbrough FC,5-0,0-0,Peterborough United,,
Round 3,Sat Jan 5 2019,16:00,Aston Villa,0-3,0-1,Swansea City,,
Round 3,Sat Jan 5 2019,16:00,Gillingham FC,1-0,0-0,Cardiff City,,
Round 3,Sat Jan 5 2019,16:00,Everton FC,2-1,2-1,Lincoln City,,
Round 3,Sat Jan 5 2019,16:00,Derby County,2-2,0-1,Southampton FC,,
Round 3,Sat Jan 5 2019,16:00,Accrington Stanley,1-0,0-0,Ipswich Town,,
Round 3,Sat Jan 5 2019,18:30,Newcastle United,1-1,0-0,Blackburn Rovers,,
Round 3,Sat Jan 5 2019,18:30,Crystal Palace,1-0,0-0,Grimsby Town,,
Round 3,Sat Jan 5 2019,18:30,Bristol City,1-0,0-0,Huddersfield Town,,
Round 3,Sat Jan 5 2019,18:30,Blackpool FC,0-3,0-2,Arsenal FC,,
Round 3,Sat Jan 5 2019,18:30,Norwich City,0-1,0-0,Portsmouth FC,,
Round 3,Sun Jan 6 2019,15:00,Millwall FC,2-1,0-0,Hull City,,
Round 3,Sun Jan 6 2019,15:00,Preston North End,1-3,0-1,Doncaster Rovers,,
Round 3,Sun Jan 6 2019,15:00,Fulham FC,1-2,0-0,Oldham Athletic,,
Round 3,Sun Jan 6 2019,15:00,Manchester City,7-0,3-0,Rotherham United,,
Round 3,Sun Jan 6 2019,15:00,Woking FC,0-2,0-1,Watford FC,,
Round 3,Sun Jan 6 2019,15:00,Queens Park Rangers,2-1,1-1,Leeds United,,
Round 3,Sun Jan 6 2019,15:00,Sheffield United,0-1,0-1,Barnet FC,,
Round 3,Sun Jan 6 2019,17:30,Newport County,2-1,1-0,Leicester City,,
Round 3,Mon Jan 7 2019,20:45,Wolverhampton Wanderers,2-1,1-0,Liverpool FC,,
Round 3,Tue Jan 15 2019,20:45,Luton Town,0-1,0-0,Sheffield Wednesday,,
Round 3,Tue Jan 15 2019,20:45,Blackburn Rovers,2-2,2-2,Newcastle United,2-4,
Round 3,Tue Jan 15 2019,21:00,Stoke City,2-3,2-0,Shrewsbury Town,,
Round 3,Wed Jan 16 2019,20:45,Southampton FC,2-2,0-0,Derby County,2-2,3-5
Round 4,Fri Jan 25 2019,20:45,Bristol City,2-1,2-1,Bolton Wanderers,,
Round 4,Fri Jan 25 2019,20:55,Arsenal FC,1-3,1-2,Manchester United,,
Round 4,Sat Jan 26 2019,13:30,Accrington Stanley,0-1,0-0,Derby County,,
Round 4,Sat Jan 26 2019,16:00,Swansea City,4-1,2-0,Gillingham FC,,
Round 4,Sat Jan 26 2019,16:00,Shrewsbury Town,2-2,0-0,Wolverhampton Wanderers,,
Round 4,Sat Jan 26 2019,16:00,Brighton & Hove Albion,0-0,0-0,West Bromwich Albion,,
Round 4,Sat Jan 26 2019,16:00,Doncaster Rovers,2-1,0-0,Oldham Athletic,,
Round 4,Sat Jan 26 2019,16:00,Newcastle United,0-2,0-0,Watford FC,,
Round 4,Sat Jan 26 2019,16:00,Middlesbrough FC,1-1,0-0,Newport County,,
Round 4,Sat Jan 26 2019,16:00,Manchester City,5-0,1-0,Burnley FC,,
Round 4,Sat Jan 26 2019,16:00,Portsmouth FC,1-1,0-0,Queens Park Rangers,,
Round 4,Sat Jan 26 2019,18:30,Millwall FC,3-2,1-1,Everton FC,,
Round 4,Sat Jan 26 2019,20:45,AFC Wimbledon,4-2,2-0,West Ham United,,
Round 4,Sun Jan 27 2019,17:00,Crystal Palace,2-0,2-0,Tottenham Hotspur,,
Round 4,Sun Jan 27 2019,19:00,Chelsea FC,3-0,1-0,Sheffield Wednesday,,
Round 4,Mon Jan 28 2019,20:45,Barnet FC,3-3,0-1,Brentford FC,,
Round 4,Tue Feb 5 2019,20:45,Wolverhampton Wanderers,3-2,2-2,Shrewsbury Town,,
Round 4,Tue Feb 5 2019,20:45,Newport County,2-0,0-0,Middlesbrough FC,,
Round 4,Tue Feb 5 2019,20:45,Queens Park Rangers,2-0,0-0,Portsmouth FC,,
Round 4,Tue Feb 5 2019,20:45,Brentford FC,3-1,2-0,Barnet FC,,
Round 4,Wed Feb 6 2019,21:05,West Bromwich Albion,1-1,0-0,Brighton & Hove Albion,1-3,
Round of 16,Fri Feb 15 2019,20:45,Queens Park Rangers,0-1,0-1,Watford FC,,
Round of 16,Sat Feb 16 2019,13:30,Brighton & Hove Albion,2-1,2-0,Derby County,,
Round of 16,Sat Feb 16 2019,16:00,AFC Wimbledon,0-1,0-1,Millwall FC,,
Round of 16,Sat Feb 16 2019,18:30,Newport County,1-4,0-0,Manchester City,,
Round of 16,Sun Feb 17 2019,14:00,Bristol City,0-1,0-1,Wolverhampton Wanderers,,
Round of 16,Sun Feb 17 2019,17:00,Doncaster Rovers,0-2,0-2,Crystal Palace,,
Round of 16,Sun Feb 17 2019,17:00,Swansea City,4-1,0-1,Brentford FC,,
Round of 16,Mon Feb 18 2019,20:30,Chelsea FC,0-2,0-2,Manchester United,,
Quarterfinals,Sat Mar 16 2019,13:15,Watford FC,2-1,1-0,Crystal Palace,,
Quarterfinals,Sat Mar 16 2019,18:20,Swansea City,2-3,2-0,Manchester City,,
Quarterfinals,Sat Mar 16 2019,20:55,Wolverhampton Wanderers,2-1,0-0,Manchester United,,
Quarterfinals,Sun Mar 17 2019,15:00,Millwall FC,2-2,0-0,Brighton & Hove Albion,2-2,4-5
Semifinals,Sat Apr 6 2019,18:30,Manchester City,1-0,1-0,Brighton & Hove Albion,,
Semifinals,Sun Apr 7 2019,17:00,Watford FC,2-2,0-1,Wolverhampton Wanderers,3-2,
Final,Sat May 18 2019,18:00,Manchester City,6-0,2-0,Watford FC,,
