Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
2. Runde,Tue Sep 24 2013,20:30,Hamburger SV,1-0,0-0,SpVgg Greuther Fürth,,
2. Runde,Tue Sep 24 2013,20:30,1899 Hoffenheim,0-0,0-0,Energie Cottbus,3-0,
2. Runde,Tue Sep 24 2013,20:30,1. FSV Mainz 05,0-1,0-0,1. FC Köln,,
2. Runde,Wed Sep 25 2013,19:00,1. FC Saarbrücken,2-1,2-0,SC Paderborn 07,,
2. Runde,Wed Sep 25 2013,19:00,Eintracht Frankfurt,2-0,2-0,VfL Bochum,,
2. Runde,Wed Sep 25 2013,19:00,FSV Frankfurt,0-2,0-1,FC Ingolstadt 04,,
2. Runde,Wed Sep 25 2013,19:00,1. FC Kaiserslautern,3-1,0-1,Hertha BSC,,
2. Runde,Wed Sep 25 2013,20:30,VfL Osnabrück,0-1,0-1,1. FC Union Berlin,,
2. Runde,Wed Sep 25 2013,20:30,SV Darmstadt 98,1-3,1-1,FC Schalke 04,,
2. Runde,Wed Sep 25 2013,20:30,Bayern München,4-1,2-1,Hannover 96,,
2. Runde,Wed Sep 25 2013,20:30,SC Freiburg,2-1,0-0,VfB Stuttgart,,
Achtelfinale,Tue Dec 3 2013,19:00,1. FC Union Berlin,0-3,0-2,1. FC Kaiserslautern,,
Achtelfinale,Tue Dec 3 2013,19:00,Hamburger SV,2-1,1-0,1. FC Köln,,
Achtelfinale,Tue Dec 3 2013,20:30,FC Schalke 04,1-3,0-3,1899 Hoffenheim,,
Achtelfinale,Tue Dec 3 2013,20:30,1. FC Saarbrücken,0-2,0-1,Borussia Dortmund,,
Achtelfinale,Wed Dec 4 2013,19:00,SC Freiburg,1-2,1-1,Bayer Leverkusen,,
Achtelfinale,Wed Dec 4 2013,19:00,VfL Wolfsburg,2-1,0-1,FC Ingolstadt 04,,
Achtelfinale,Wed Dec 4 2013,20:30,Eintracht Frankfurt,4-2,1-0,SV Sandhausen,,
Achtelfinale,Wed Dec 4 2013,20:30,FC Augsburg,0-2,0-1,Bayern München,,
Viertelfinale,Tue Feb 11 2014,20:45,Eintracht Frankfurt,0-1,0-0,Borussia Dortmund,,
Viertelfinale,Wed Feb 12 2014,19:00,1899 Hoffenheim,2-3,1-2,VfL Wolfsburg,,
Viertelfinale,Wed Feb 12 2014,19:00,Bayer Leverkusen,0-0,0-0,1. FC Kaiserslautern,0-1,
Viertelfinale,Wed Feb 12 2014,20:30,Hamburger SV,0-5,0-2,Bayern München,,
Halbfinale,Tue Apr 15 2014,20:30,Borussia Dortmund,2-0,2-0,VfL Wolfsburg,,
Halbfinale,Wed Apr 16 2014,20:30,Bayern München,5-1,2-0,1. FC Kaiserslautern,,
Finale,Sat May 17 2014,20:00,Borussia Dortmund,0-0,0-0,Bayern München,0-2,
