Round,Date,Time,Timezone,Team 1,FT,Team 2,UTC
4,Tue Aug 26 2003,19:45,BST/+0100,York City,2-0,Southend United,2003-08-26T18:45Z
4,Tue Aug 26 2003,19:45,BST/+0100,Mansfield Town,5-0,Scunthorpe United,2003-08-26T18:45Z
5,Sat Aug 30 2003,15:00,BST/+0100,Carlisle United,0-0,Cambridge United,2003-08-30T14:00Z
5,Sat Aug 30 2003,15:00,BST/+0100,Huddersfield Town,2-1,Bristol Rovers,2003-08-30T14:00Z
5,Sat Aug 30 2003,15:00,BST/+0100,Hull City,2-1,Boston United,2003-08-30T14:00Z
5,Sat Aug 30 2003,15:00,BST/+0100,Kidderminster Harriers,1-1,Oxford United,2003-08-30T14:00Z
5,Sat Aug 30 2003,15:00,BST/+0100,Leyton Orient,1-4,Cheltenham Town,2003-08-30T14:00Z
5,Sat Aug 30 2003,15:00,BST/+0100,Lincoln City,3-0,York City,2003-08-30T14:00Z
5,Sat Aug 30 2003,15:00,BST/+0100,Macclesfield Town,4-1,Yeovil Town,2003-08-30T14:00Z
5,Sat Aug 30 2003,15:00,BST/+0100,Northampton Town,1-0,Doncaster Rovers,2003-08-30T14:00Z
5,Sat Aug 30 2003,15:00,BST/+0100,Rochdale AFC,4-2,Darlington FC,2003-08-30T14:00Z
5,Sat Aug 30 2003,15:00,BST/+0100,Scunthorpe United,2-1,Torquay United,2003-08-30T14:00Z
5,Sat Aug 30 2003,15:00,BST/+0100,Southend United,1-0,Bury FC,2003-08-30T14:00Z
5,Sat Aug 30 2003,15:00,BST/+0100,Swansea City,4-1,Mansfield Town,2003-08-30T14:00Z
6,Fri Sep 5 2003,19:45,BST/+0100,Cheltenham Town,4-3,Northampton Town,2003-09-05T18:45Z
6,Fri Sep 5 2003,19:45,BST/+0100,Cambridge United,0-0,Lincoln City,2003-09-05T18:45Z
6,Sat Sep 6 2003,13:00,BST/+0100,Yeovil Town,2-0,Swansea City,2003-09-06T12:00Z
6,Sat Sep 6 2003,15:00,BST/+0100,Boston United,1-1,Scunthorpe United,2003-09-06T14:00Z
6,Sat Sep 6 2003,15:00,BST/+0100,Bristol Rovers,1-0,Kidderminster Harriers,2003-09-06T14:00Z
6,Sat Sep 6 2003,15:00,BST/+0100,Bury FC,2-1,Huddersfield Town,2003-09-06T14:00Z
6,Sat Sep 6 2003,15:00,BST/+0100,Darlington FC,2-0,Carlisle United,2003-09-06T14:00Z
6,Sat Sep 6 2003,15:00,BST/+0100,Mansfield Town,3-2,Macclesfield Town,2003-09-06T14:00Z
6,Sat Sep 6 2003,15:00,BST/+0100,Oxford United,2-0,Southend United,2003-09-06T14:00Z
6,Sat Sep 6 2003,15:00,BST/+0100,Torquay United,2-1,Leyton Orient,2003-09-06T14:00Z
6,Sat Sep 6 2003,15:00,BST/+0100,York City,1-2,Rochdale AFC,2003-09-06T14:00Z
6,Mon Sep 8 2003,20:00,BST/+0100,Doncaster Rovers,0-0,Hull City,2003-09-08T19:00Z
7,Sat Sep 13 2003,15:00,BST/+0100,Bristol Rovers,2-0,Boston United,2003-09-13T14:00Z
7,Sat Sep 13 2003,15:00,BST/+0100,Bury FC,1-1,Cheltenham Town,2003-09-13T14:00Z
7,Sat Sep 13 2003,15:00,BST/+0100,Cambridge United,1-1,Torquay United,2003-09-13T14:00Z
7,Sat Sep 13 2003,15:00,BST/+0100,Darlington FC,2-1,Doncaster Rovers,2003-09-13T14:00Z
7,Sat Sep 13 2003,15:00,BST/+0100,Huddersfield Town,3-0,Northampton Town,2003-09-13T14:00Z
7,Sat Sep 13 2003,15:00,BST/+0100,Hull City,3-2,Southend United,2003-09-13T14:00Z
7,Sat Sep 13 2003,15:00,BST/+0100,Lincoln City,0-0,Leyton Orient,2003-09-13T14:00Z
7,Sat Sep 13 2003,15:00,BST/+0100,Macclesfield Town,1-1,Kidderminster Harriers,2003-09-13T14:00Z
7,Sat Sep 13 2003,15:00,BST/+0100,Oxford United,1-1,Mansfield Town,2003-09-13T14:00Z
7,Sat Sep 13 2003,15:00,BST/+0100,Scunthorpe United,2-2,Swansea City,2003-09-13T14:00Z
7,Sat Sep 13 2003,15:00,BST/+0100,Yeovil Town,3-0,York City,2003-09-13T14:00Z
7,Sat Sep 13 2003,15:30,BST/+0100,Carlisle United,3-2,Rochdale AFC,2003-09-13T14:30Z
8,Tue Sep 16 2003,19:45,BST/+0100,Doncaster Rovers,0-1,Yeovil Town,2003-09-16T18:45Z
8,Tue Sep 16 2003,19:45,BST/+0100,Kidderminster Harriers,0-2,Scunthorpe United,2003-09-16T18:45Z
8,Tue Sep 16 2003,19:45,BST/+0100,Leyton Orient,1-1,Hull City,2003-09-16T18:45Z
8,Tue Sep 16 2003,19:45,BST/+0100,Mansfield Town,5-3,Bury FC,2003-09-16T18:45Z
8,Tue Sep 16 2003,19:45,BST/+0100,Northampton Town,2-0,Carlisle United,2003-09-16T18:45Z
8,Tue Sep 16 2003,19:45,BST/+0100,Rochdale AFC,1-1,Huddersfield Town,2003-09-16T18:45Z
8,Tue Sep 16 2003,19:45,BST/+0100,Southend United,0-2,Lincoln City,2003-09-16T18:45Z
8,Tue Sep 16 2003,19:45,BST/+0100,Swansea City,3-0,Macclesfield Town,2003-09-16T18:45Z
8,Tue Sep 16 2003,19:45,BST/+0100,Torquay United,2-1,Bristol Rovers,2003-09-16T18:45Z
8,Tue Sep 16 2003,19:45,BST/+0100,York City,1-1,Darlington FC,2003-09-16T18:45Z
8,Tue Sep 16 2003,20:15,BST/+0100,Cheltenham Town,0-0,Oxford United,2003-09-16T19:15Z
8,Wed Sep 17 2003,19:45,BST/+0100,Boston United,1-2,Cambridge United,2003-09-17T18:45Z
9,Sat Sep 20 2003,15:00,BST/+0100,Boston United,1-0,Bury FC,2003-09-20T14:00Z
9,Sat Sep 20 2003,15:00,BST/+0100,Cheltenham Town,0-3,Cambridge United,2003-09-20T14:00Z
9,Sat Sep 20 2003,15:00,BST/+0100,Doncaster Rovers,2-0,Oxford United,2003-09-20T14:00Z
9,Sat Sep 20 2003,15:00,BST/+0100,Kidderminster Harriers,1-2,Lincoln City,2003-09-20T14:00Z
9,Sat Sep 20 2003,15:00,BST/+0100,Leyton Orient,1-1,Scunthorpe United,2003-09-20T14:00Z
9,Sat Sep 20 2003,15:00,BST/+0100,Mansfield Town,0-1,Yeovil Town,2003-09-20T14:00Z
9,Sat Sep 20 2003,15:00,BST/+0100,Northampton Town,0-0,Macclesfield Town,2003-09-20T14:00Z
9,Sat Sep 20 2003,15:00,BST/+0100,Rochdale AFC,0-2,Hull City,2003-09-20T14:00Z
9,Sat Sep 20 2003,15:00,BST/+0100,Southend United,2-2,Carlisle United,2003-09-20T14:00Z
9,Sat Sep 20 2003,15:00,BST/+0100,Swansea City,2-0,Huddersfield Town,2003-09-20T14:00Z
9,Sat Sep 20 2003,15:00,BST/+0100,Torquay United,2-2,Darlington FC,2003-09-20T14:00Z
9,Sat Sep 20 2003,15:00,BST/+0100,York City,2-1,Bristol Rovers,2003-09-20T14:00Z
10,Sat Sep 27 2003,15:00,BST/+0100,Bristol Rovers,2-0,Cheltenham Town,2003-09-27T14:00Z
10,Sat Sep 27 2003,15:00,BST/+0100,Bury FC,1-3,Doncaster Rovers,2003-09-27T14:00Z
10,Sat Sep 27 2003,15:00,BST/+0100,Cambridge United,1-2,Mansfield Town,2003-09-27T14:00Z
10,Sat Sep 27 2003,15:00,BST/+0100,Carlisle United,1-2,Swansea City,2003-09-27T14:00Z
10,Sat Sep 27 2003,15:00,BST/+0100,Darlington FC,3-0,Boston United,2003-09-27T14:00Z
10,Sat Sep 27 2003,15:00,BST/+0100,Huddersfield Town,3-0,Leyton Orient,2003-09-27T14:00Z
10,Sat Sep 27 2003,15:00,BST/+0100,Hull City,6-1,Kidderminster Harriers,2003-09-27T14:00Z
10,Sat Sep 27 2003,15:00,BST/+0100,Lincoln City,1-1,Rochdale AFC,2003-09-27T14:00Z
10,Sat Sep 27 2003,15:00,BST/+0100,Macclesfield Town,0-0,York City,2003-09-27T14:00Z
10,Sat Sep 27 2003,15:00,BST/+0100,Oxford United,3-0,Northampton Town,2003-09-27T14:00Z
10,Sat Sep 27 2003,15:00,BST/+0100,Scunthorpe United,1-1,Southend United,2003-09-27T14:00Z
10,Sat Sep 27 2003,15:00,BST/+0100,Yeovil Town,0-2,Torquay United,2003-09-27T14:00Z
11,Tue Sep 30 2003,19:30,BST/+0100,Scunthorpe United,5-2,Cheltenham Town,2003-09-30T18:30Z
11,Tue Sep 30 2003,19:45,BST/+0100,Bristol Rovers,1-3,Mansfield Town,2003-09-30T18:45Z
11,Tue Sep 30 2003,19:45,BST/+0100,Bury FC,2-0,York City,2003-09-30T18:45Z
11,Tue Sep 30 2003,19:45,BST/+0100,Cambridge United,3-3,Doncaster Rovers,2003-09-30T18:45Z
11,Tue Sep 30 2003,19:45,BST/+0100,Carlisle United,0-1,Leyton Orient,2003-09-30T18:45Z
11,Tue Sep 30 2003,19:45,BST/+0100,Darlington FC,0-0,Southend United,2003-09-30T18:45Z
11,Tue Sep 30 2003,19:45,BST/+0100,Huddersfield Town,1-0,Kidderminster Harriers,2003-09-30T18:45Z
11,Tue Sep 30 2003,19:45,BST/+0100,Hull City,1-0,Swansea City,2003-09-30T18:45Z
11,Tue Sep 30 2003,19:45,BST/+0100,Lincoln City,0-0,Northampton Town,2003-09-30T18:45Z
11,Tue Sep 30 2003,19:45,BST/+0100,Macclesfield Town,2-1,Rochdale AFC,2003-09-30T18:45Z
11,Tue Sep 30 2003,19:45,BST/+0100,Yeovil Town,2-0,Boston United,2003-09-30T18:45Z
11,Wed Oct 1 2003,19:45,BST/+0100,Oxford United,1-0,Torquay United,2003-10-01T18:45Z
12,Sat Oct 4 2003,15:00,BST/+0100,Boston United,1-1,Oxford United,2003-10-04T14:00Z
12,Sat Oct 4 2003,15:00,BST/+0100,Cheltenham Town,3-1,Yeovil Town,2003-10-04T14:00Z
12,Sat Oct 4 2003,15:00,BST/+0100,Doncaster Rovers,5-1,Bristol Rovers,2003-10-04T14:00Z
12,Sat Oct 4 2003,15:00,BST/+0100,Kidderminster Harriers,2-1,Carlisle United,2003-10-04T14:00Z
12,Sat Oct 4 2003,15:00,BST/+0100,Leyton Orient,2-0,Macclesfield Town,2003-10-04T14:00Z
12,Sat Oct 4 2003,15:00,BST/+0100,Mansfield Town,3-1,Darlington FC,2003-10-04T14:00Z
12,Sat Oct 4 2003,15:00,BST/+0100,Northampton Town,1-5,Hull City,2003-10-04T14:00Z
12,Sat Oct 4 2003,15:00,BST/+0100,Rochdale AFC,2-0,Scunthorpe United,2003-10-04T14:00Z
12,Sat Oct 4 2003,15:00,BST/+0100,Southend United,1-2,Huddersfield Town,2003-10-04T14:00Z
12,Sat Oct 4 2003,15:00,BST/+0100,Swansea City,2-2,Lincoln City,2003-10-04T14:00Z
12,Sat Oct 4 2003,15:00,BST/+0100,Torquay United,3-1,Bury FC,2003-10-04T14:00Z
12,Sat Oct 4 2003,15:00,BST/+0100,York City,2-0,Cambridge United,2003-10-04T14:00Z
13,Sat Oct 11 2003,13:00,BST/+0100,Macclesfield Town,1-3,Doncaster Rovers,2003-10-11T12:00Z
13,Sat Oct 11 2003,15:00,BST/+0100,Boston United,3-1,Cheltenham Town,2003-10-11T14:00Z
13,Sat Oct 11 2003,15:00,BST/+0100,Cambridge United,1-2,Bury FC,2003-10-11T14:00Z
13,Sat Oct 11 2003,15:00,BST/+0100,Darlington FC,0-4,Bristol Rovers,2003-10-11T14:00Z
13,Sat Oct 11 2003,15:00,BST/+0100,Huddersfield Town,1-0,Torquay United,2003-10-11T14:00Z
13,Sat Oct 11 2003,15:00,BST/+0100,Kidderminster Harriers,1-2,Southend United,2003-10-11T14:00Z
13,Sat Oct 11 2003,15:00,BST/+0100,Leyton Orient,1-2,Swansea City,2003-10-11T14:00Z
13,Sat Oct 11 2003,15:00,BST/+0100,Mansfield Town,2-0,York City,2003-10-11T14:00Z
13,Sat Oct 11 2003,15:00,BST/+0100,Oxford United,1-0,Yeovil Town,2003-10-11T14:00Z
13,Sat Oct 11 2003,15:00,BST/+0100,Rochdale AFC,1-1,Northampton Town,2003-10-11T14:00Z
13,Sat Oct 11 2003,15:00,BST/+0100,Scunthorpe United,1-3,Lincoln City,2003-10-11T14:00Z
13,Sun Oct 12 2003,15:00,BST/+0100,Hull City,2-1,Carlisle United,2003-10-12T14:00Z
14,Fri Oct 17 2003,19:45,BST/+0100,Northampton Town,1-1,Scunthorpe United,2003-10-17T18:45Z
14,Sat Oct 18 2003,15:00,BST/+0100,Bristol Rovers,0-2,Cambridge United,2003-10-18T14:00Z
14,Sat Oct 18 2003,15:00,BST/+0100,Bury FC,0-4,Oxford United,2003-10-18T14:00Z
14,Sat Oct 18 2003,15:00,BST/+0100,Carlisle United,0-1,Macclesfield Town,2003-10-18T14:00Z
14,Sat Oct 18 2003,15:00,BST/+0100,Cheltenham Town,0-2,Rochdale AFC,2003-10-18T14:00Z
14,Sat Oct 18 2003,15:00,BST/+0100,Doncaster Rovers,4-2,Mansfield Town,2003-10-18T14:00Z
14,Sat Oct 18 2003,15:00,BST/+0100,Lincoln City,3-1,Huddersfield Town,2003-10-18T14:00Z
14,Sat Oct 18 2003,15:00,BST/+0100,Southend United,1-2,Leyton Orient,2003-10-18T14:00Z
14,Sat Oct 18 2003,15:00,BST/+0100,Swansea City,0-0,Kidderminster Harriers,2003-10-18T14:00Z
14,Sat Oct 18 2003,15:00,BST/+0100,Torquay United,1-1,Hull City,2003-10-18T14:00Z
14,Sat Oct 18 2003,15:00,BST/+0100,Yeovil Town,1-0,Darlington FC,2003-10-18T14:00Z
14,Sat Oct 18 2003,15:00,BST/+0100,York City,1-1,Boston United,2003-10-18T14:00Z
15,Tue Oct 21 2003,19:45,BST/+0100,Bristol Rovers,1-1,Leyton Orient,2003-10-21T18:45Z
15,Tue Oct 21 2003,19:45,BST/+0100,Bury FC,0-0,Hull City,2003-10-21T18:45Z
15,Tue Oct 21 2003,19:45,BST/+0100,Carlisle United,1-4,Scunthorpe United,2003-10-21T18:45Z
15,Tue Oct 21 2003,19:45,BST/+0100,Cheltenham Town,2-1,Darlington FC,2003-10-21T18:45Z
15,Tue Oct 21 2003,19:45,BST/+0100,Doncaster Rovers,2-1,Rochdale AFC,2003-10-21T18:45Z
15,Tue Oct 21 2003,19:45,BST/+0100,Lincoln City,3-2,Macclesfield Town,2003-10-21T18:45Z
15,Tue Oct 21 2003,19:45,BST/+0100,Northampton Town,0-1,Kidderminster Harriers,2003-10-21T18:45Z
15,Tue Oct 21 2003,19:45,BST/+0100,Southend United,0-2,Boston United,2003-10-21T18:45Z
15,Tue Oct 21 2003,19:45,BST/+0100,Swansea City,0-2,Cambridge United,2003-10-21T18:45Z
15,Tue Oct 21 2003,19:45,BST/+0100,Torquay United,1-0,Mansfield Town,2003-10-21T18:45Z
15,Tue Oct 21 2003,19:45,BST/+0100,Yeovil Town,2-1,Huddersfield Town,2003-10-21T18:45Z
15,Tue Oct 21 2003,19:45,BST/+0100,York City,2-2,Oxford United,2003-10-21T18:45Z
16,Sat Oct 25 2003,13:00,BST/+0100,Hull City,3-0,Lincoln City,2003-10-25T12:00Z
16,Sat Oct 25 2003,15:00,BST/+0100,Boston United,4-0,Torquay United,2003-10-25T14:00Z
16,Sat Oct 25 2003,15:00,BST/+0100,Cambridge United,1-4,Yeovil Town,2003-10-25T14:00Z
16,Sat Oct 25 2003,15:00,BST/+0100,Darlington FC,1-3,Bury FC,2003-10-25T14:00Z
16,Sat Oct 25 2003,15:00,BST/+0100,Huddersfield Town,2-1,Carlisle United,2003-10-25T14:00Z
16,Sat Oct 25 2003,15:00,BST/+0100,Kidderminster Harriers,0-2,Doncaster Rovers,2003-10-25T14:00Z
16,Sat Oct 25 2003,15:00,BST/+0100,Leyton Orient,1-1,Northampton Town,2003-10-25T14:00Z
16,Sat Oct 25 2003,15:00,BST/+0100,Macclesfield Town,1-2,Southend United,2003-10-25T14:00Z
16,Sat Oct 25 2003,15:00,BST/+0100,Mansfield Town,4-0,Cheltenham Town,2003-10-25T14:00Z
16,Sat Oct 25 2003,15:00,BST/+0100,Oxford United,0-0,Bristol Rovers,2003-10-25T14:00Z
16,Sat Oct 25 2003,15:00,BST/+0100,Rochdale AFC,0-1,Swansea City,2003-10-25T14:00Z
16,Sat Oct 25 2003,15:00,BST/+0100,Scunthorpe United,0-0,York City,2003-10-25T14:00Z
17,Sat Nov 1 2003,15:00,GMT/+0000,Bury FC,2-1,Yeovil Town,2003-11-01T15:00Z
17,Sat Nov 1 2003,15:00,GMT/+0000,Cheltenham Town,1-1,York City,2003-11-01T15:00Z
17,Sat Nov 1 2003,15:00,GMT/+0000,Doncaster Rovers,1-0,Torquay United,2003-11-01T15:00Z
17,Sat Nov 1 2003,15:00,GMT/+0000,Hull City,2-2,Macclesfield Town,2003-11-01T15:00Z
17,Sat Nov 1 2003,15:00,GMT/+0000,Kidderminster Harriers,2-2,Cambridge United,2003-11-01T15:00Z
17,Sat Nov 1 2003,15:00,GMT/+0000,Leyton Orient,2-1,Rochdale AFC,2003-11-01T15:00Z
17,Sat Nov 1 2003,15:00,GMT/+0000,Lincoln City,2-0,Carlisle United,2003-11-01T15:00Z
17,Sat Nov 1 2003,15:00,GMT/+0000,Mansfield Town,2-1,Boston United,2003-11-01T15:00Z
17,Sat Nov 1 2003,15:00,GMT/+0000,Oxford United,3-1,Darlington FC,2003-11-01T15:00Z
17,Sat Nov 1 2003,15:00,GMT/+0000,Scunthorpe United,6-2,Huddersfield Town,2003-11-01T15:00Z
17,Sat Nov 1 2003,15:00,GMT/+0000,Southend United,0-1,Northampton Town,2003-11-01T15:00Z
17,Sat Nov 1 2003,15:00,GMT/+0000,Swansea City,0-0,Bristol Rovers,2003-11-01T15:00Z
18,Sat Nov 15 2003,15:00,GMT/+0000,Boston United,3-0,Leyton Orient,2003-11-15T15:00Z
18,Sat Nov 15 2003,15:00,GMT/+0000,Bristol Rovers,1-2,Bury FC,2003-11-15T15:00Z
18,Sat Nov 15 2003,15:00,GMT/+0000,Cambridge United,1-1,Oxford United,2003-11-15T15:00Z
18,Sat Nov 15 2003,15:00,GMT/+0000,Carlisle United,0-2,Mansfield Town,2003-11-15T15:00Z
18,Sat Nov 15 2003,15:00,GMT/+0000,Darlington FC,0-0,Lincoln City,2003-11-15T15:00Z
18,Sat Nov 15 2003,15:00,GMT/+0000,Huddersfield Town,3-1,Hull City,2003-11-15T15:00Z
18,Sat Nov 15 2003,15:00,GMT/+0000,Macclesfield Town,2-2,Scunthorpe United,2003-11-15T15:00Z
18,Sat Nov 15 2003,15:00,GMT/+0000,Rochdale AFC,0-1,Kidderminster Harriers,2003-11-15T15:00Z
18,Sat Nov 15 2003,15:00,GMT/+0000,Torquay United,3-1,Cheltenham Town,2003-11-15T15:00Z
18,Sat Nov 15 2003,15:00,GMT/+0000,Yeovil Town,4-0,Southend United,2003-11-15T15:00Z
18,Sat Nov 15 2003,15:00,GMT/+0000,York City,1-0,Doncaster Rovers,2003-11-15T15:00Z
18,Mon Nov 17 2003,19:45,GMT/+0000,Northampton Town,2-1,Swansea City,2003-11-17T19:45Z
19,Sat Nov 22 2003,15:00,GMT/+0000,Bury FC,1-0,Northampton Town,2003-11-22T15:00Z
19,Sat Nov 22 2003,15:00,GMT/+0000,Cheltenham Town,2-1,Carlisle United,2003-11-22T15:00Z
19,Sat Nov 22 2003,15:00,GMT/+0000,Doncaster Rovers,3-0,Boston United,2003-11-22T15:00Z
19,Sat Nov 22 2003,15:00,GMT/+0000,Hull City,0-0,Yeovil Town,2003-11-22T15:00Z
19,Sat Nov 22 2003,15:00,GMT/+0000,Kidderminster Harriers,1-2,Torquay United,2003-11-22T15:00Z
19,Sat Nov 22 2003,15:00,GMT/+0000,Leyton Orient,2-2,York City,2003-11-22T15:00Z
19,Sat Nov 22 2003,15:00,GMT/+0000,Lincoln City,3-1,Bristol Rovers,2003-11-22T15:00Z
19,Sat Nov 22 2003,15:00,GMT/+0000,Mansfield Town,3-3,Huddersfield Town,2003-11-22T15:00Z
19,Sat Nov 22 2003,15:00,GMT/+0000,Oxford United,3-1,Macclesfield Town,2003-11-22T15:00Z
19,Sat Nov 22 2003,15:00,GMT/+0000,Scunthorpe United,4-0,Cambridge United,2003-11-22T15:00Z
19,Sat Nov 22 2003,15:00,GMT/+0000,Southend United,4-0,Rochdale AFC,2003-11-22T15:00Z
19,Sat Nov 22 2003,15:00,GMT/+0000,Swansea City,1-0,Darlington FC,2003-11-22T15:00Z
20,Sat Nov 29 2003,15:00,GMT/+0000,Boston United,2-2,Kidderminster Harriers,2003-11-29T15:00Z
20,Sat Nov 29 2003,15:00,GMT/+0000,Bristol Rovers,2-1,Hull City,2003-11-29T15:00Z
20,Sat Nov 29 2003,15:00,GMT/+0000,Cambridge United,1-4,Leyton Orient,2003-11-29T15:00Z
20,Sat Nov 29 2003,15:00,GMT/+0000,Carlisle United,0-1,Doncaster Rovers,2003-11-29T15:00Z
20,Sat Nov 29 2003,15:00,GMT/+0000,Darlington FC,2-2,Scunthorpe United,2003-11-29T15:00Z
20,Sat Nov 29 2003,15:00,GMT/+0000,Huddersfield Town,0-0,Cheltenham Town,2003-11-29T15:00Z
20,Sat Nov 29 2003,15:00,GMT/+0000,Macclesfield Town,1-0,Bury FC,2003-11-29T15:00Z
20,Sat Nov 29 2003,15:00,GMT/+0000,Northampton Town,0-3,Mansfield Town,2003-11-29T15:00Z
20,Sat Nov 29 2003,15:00,GMT/+0000,Rochdale AFC,1-2,Oxford United,2003-11-29T15:00Z
20,Sat Nov 29 2003,15:00,GMT/+0000,Torquay United,3-0,Southend United,2003-11-29T15:00Z
20,Sat Nov 29 2003,15:00,GMT/+0000,Yeovil Town,3-1,Lincoln City,2003-11-29T15:00Z
20,Sat Nov 29 2003,15:00,GMT/+0000,York City,0-0,Swansea City,2003-11-29T15:00Z
37,Sat Dec 6 2003,15:00,GMT/+0000,Darlington FC,3-0,York City,2003-12-06T15:00Z
34,Sat Dec 6 2003,15:00,GMT/+0000,Hull City,2-0,Bury FC,2003-12-06T15:00Z
21,Sat Dec 13 2003,15:00,GMT/+0000,Bury FC,1-2,Rochdale AFC,2003-12-13T15:00Z
21,Sat Dec 13 2003,15:00,GMT/+0000,Cambridge United,1-0,Darlington FC,2003-12-13T15:00Z
21,Sat Dec 13 2003,15:00,GMT/+0000,Cheltenham Town,1-3,Doncaster Rovers,2003-12-13T15:00Z
