Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,UTC
,18,Sun Feb 19 2023,14:30,CET/+0100,Austria Lustenau,1-0,1-0,Austria Wien,,2023-02-19T13:30Z
,18,Sun Feb 19 2023,17:00,CET/+0100,Rapid Wien,3-0,0-0,SCR Altach,,2023-02-19T16:00Z
,18,Sun Feb 19 2023,14:30,CET/+0100,WSG Tirol,1-3,0-1,RB Salzburg,,2023-02-19T13:30Z
,19,Fri Feb 24 2023,20:30,CET/+0100,LASK,1-0,0-0,Austria Lustenau,,2023-02-24T19:30Z
,19,Sat Feb 25 2023,17:00,CET/+0100,Austria Wien,3-0,1-0,TSV Hartberg,,2023-02-25T16:00Z
,19,Sat Feb 25 2023,17:00,CET/+0100,Sturm Graz,1-2,1-1,SK Austria Klagenfurt,,2023-02-25T16:00Z
,19,Sun Feb 26 2023,14:30,CET/+0100,SCR Altach,0-0,0-0,WSG Tirol,,2023-02-26T13:30Z
,19,Sun Feb 26 2023,17:00,CET/+0100,RB Salzburg,2-0,1-0,SV Ried,,2023-02-26T16:00Z
,19,Sun Feb 26 2023,14:30,CET/+0100,Wolfsberger AC,1-2,0-2,Rapid Wien,,2023-02-26T13:30Z
,20,Sat Mar 4 2023,17:00,CET/+0100,SV Ried,1-3,1-1,Austria Wien,,2023-03-04T16:00Z
,20,Sat Mar 4 2023,17:00,CET/+0100,Austria Lustenau,0-2,0-0,Sturm Graz,,2023-03-04T16:00Z
,20,Sat Mar 4 2023,17:00,CET/+0100,TSV Hartberg,2-1,1-1,Wolfsberger AC,,2023-03-04T16:00Z
,20,Sun Mar 5 2023,14:30,CET/+0100,WSG Tirol,2-3,1-2,LASK,,2023-03-05T13:30Z
,20,Sun Mar 5 2023,14:30,CET/+0100,SK Austria Klagenfurt,3-0,3-0,SCR Altach,,2023-03-05T13:30Z
,20,Sun Mar 5 2023,17:00,CET/+0100,Rapid Wien,2-4,1-1,RB Salzburg,,2023-03-05T16:00Z
,21,Sun Mar 12 2023,17:00,CET/+0100,Sturm Graz,3-1,1-1,Austria Wien,,2023-03-12T16:00Z
,21,Sun Mar 12 2023,17:00,CET/+0100,SCR Altach,1-2,1-1,SV Ried,,2023-03-12T16:00Z
,21,Sun Mar 12 2023,17:00,CET/+0100,Wolfsberger AC,0-1,0-0,Austria Lustenau,,2023-03-12T16:00Z
,21,Sun Mar 12 2023,17:00,CET/+0100,SK Austria Klagenfurt,1-0,1-0,TSV Hartberg,,2023-03-12T16:00Z
,21,Sun Mar 12 2023,17:00,CET/+0100,Rapid Wien,2-0,0-0,WSG Tirol,,2023-03-12T16:00Z
,21,Sun Mar 12 2023,17:00,CET/+0100,LASK,0-2,0-0,RB Salzburg,,2023-03-12T16:00Z
,22,Sun Mar 19 2023,17:00,CET/+0100,TSV Hartberg,2-2,1-1,LASK,,2023-03-19T16:00Z
