Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,8,Sun Feb 24 2019,17:00,-0300,Aimoré RS,4-2,,Novo Hamburgo RS,,2019-02-24T20:00Z
,8,Sun Feb 24 2019,17:00,-0300,Avenida RS,0-1,,Internacional,,2019-02-24T20:00Z
,8,Sun Feb 24 2019,17:00,-0300,S.E.R. Caxias RS,2-0,,Pelotas RS,,2019-02-24T20:00Z
,8,Mon Feb 25 2019,20:00,-0300,Grêmio Porto Alegre,2-0,,Veranópolis RS,,2019-02-25T23:00Z
,8,Tue Feb 26 2019,19:15,-0300,São José RS,1-3,,Brasil de Pelotas RS,,2019-02-26T22:15Z
,9,Sat Mar 9 2019,19:00,-0300,Grêmio Porto Alegre,3-0,,São José RS,,2019-03-09T22:00Z
,9,Sat Mar 9 2019,16:30,-0300,Juventude RS,0-3,,S.E.R. Caxias RS,,2019-03-09T19:30Z
,9,Sun Mar 10 2019,16:00,-0300,Internacional,2-0,,Aimoré RS,,2019-03-10T19:00Z
,9,Sun Mar 10 2019,18:00,-0300,Veranópolis RS,0-0,,Pelotas RS,,2019-03-10T21:00Z
,9,Mon Mar 11 2019,20:00,-0300,Novo Hamburgo RS,4-1,2-1,Avenida RS,,2019-03-11T23:00Z
,9,Tue Mar 12 2019,20:30,-0300,Brasil de Pelotas RS,1-4,1-0,São Luiz RS,,2019-03-12T23:30Z
,10,Sat Mar 16 2019,18:00,-0300,Novo Hamburgo RS,1-1,1-1,Juventude RS,,2019-03-16T21:00Z
,10,Sun Mar 17 2019,16:00,-0300,Avenida RS,1-3,0-2,São José RS,,2019-03-17T19:00Z
,10,Sun Mar 17 2019,16:00,-0300,S.E.R. Caxias RS,3-0,1-0,Aimoré RS,,2019-03-17T19:00Z
,10,Sun Mar 17 2019,16:00,-0300,São Luiz RS,1-0,0-0,Veranópolis RS,,2019-03-17T19:00Z
,10,Sun Mar 17 2019,19:00,-0300,Grêmio Porto Alegre,1-0,1-0,Internacional,,2019-03-17T22:00Z
,10,Sun Mar 17 2019,16:00,-0300,Brasil de Pelotas RS,2-1,1-1,Pelotas RS,,2019-03-17T19:00Z
,11,Wed Mar 20 2019,21:30,-0300,Aimoré RS,2-1,2-0,São Luiz RS,,2019-03-21T00:30Z
,11,Wed Mar 20 2019,21:30,-0300,Internacional,2-0,0-0,Novo Hamburgo RS,,2019-03-21T00:30Z
,11,Wed Mar 20 2019,21:30,-0300,Juventude RS,1-0,1-0,Avenida RS,,2019-03-21T00:30Z
,11,Wed Mar 20 2019,21:30,-0300,Pelotas RS,0-2,0-0,Grêmio Porto Alegre,,2019-03-21T00:30Z
,11,Wed Mar 20 2019,21:30,-0300,São José RS,2-2,0-0,S.E.R. Caxias RS,,2019-03-21T00:30Z
,11,Wed Mar 20 2019,21:30,-0300,Veranópolis RS,3-3,1-1,Brasil de Pelotas RS,,2019-03-21T00:30Z
Playoffs,Quarterfinals,Sat Mar 23 2019,21:00,-0300,São José RS,0-0,,São Luiz RS,,2019-03-24T00:00Z
Playoffs,Quarterfinals,Sat Mar 23 2019,19:00,-0300,Novo Hamburgo RS,0-2,,Internacional,,2019-03-23T22:00Z
Playoffs,Quarterfinals,Sun Mar 24 2019,19:00,-0300,Aimoré RS,1-1,,S.E.R. Caxias RS,,2019-03-24T22:00Z
Playoffs,Quarterfinals,Sun Mar 24 2019,16:00,-0300,Juventude RS,0-6,,Grêmio Porto Alegre,,2019-03-24T19:00Z
Playoffs,Quarterfinals,Wed Mar 27 2019,21:30,-0300,Internacional,0-1,0-1,Novo Hamburgo RS,,2019-03-28T00:30Z
Playoffs,Quarterfinals,Wed Mar 27 2019,19:15,-0300,São Luiz RS,2-1,0-1,São José RS,,2019-03-27T22:15Z
Playoffs,Quarterfinals,Thu Mar 28 2019,19:15,-0300,S.E.R. Caxias RS,1-0,0-0,Aimoré RS,,2019-03-28T22:15Z
Playoffs,Quarterfinals,Thu Mar 28 2019,21:00,-0300,Grêmio Porto Alegre,0-0,0-0,Juventude RS,,2019-03-29T00:00Z
Playoffs,Semifinals,Sun Mar 31 2019,19:00,-0300,São Luiz RS,0-0,0-0,Grêmio Porto Alegre,,2019-03-31T22:00Z
Playoffs,Semifinals,Sun Mar 31 2019,16:00,-0300,S.E.R. Caxias RS,1-2,1-1,Internacional,,2019-03-31T19:00Z
Playoffs,Semifinals,Sat Apr 6 2019,16:30,-0300,Internacional,2-0,1-0,S.E.R. Caxias RS,,2019-04-06T19:30Z
Playoffs,Semifinals,Sun Apr 7 2019,16:00,-0300,Grêmio Porto Alegre,3-0,2-0,São Luiz RS,,2019-04-07T19:00Z
Playoffs,Final,Sun Apr 14 2019,16:00,-0300,Internacional,0-0,0-0,Grêmio Porto Alegre,,2019-04-14T19:00Z
Playoffs,Final,Wed Apr 17 2019,21:30,-0300,Grêmio Porto Alegre,0-0,0-0,Internacional,3-2,2019-04-18T00:30Z
