Round,Date,Time,Team 1,FT,HT,Team 2,Comments
13,Fri Apr 26 2019,21:00,Dundalk FC,2-1,1-0,Shamrock Rovers,
13,Fri Apr 26 2019,20:45,Bohemian FC,0-0,0-0,Waterford FC,
14,Mon Apr 29 2019,20:45,Derry City,0-2,0-0,Bohemian FC,
14,Mon Apr 29 2019,20:45,UC Dublin,0-2,0-0,Sligo Rovers,
14,Mon Apr 29 2019,20:45,Waterford FC,0-3,0-1,Dundalk FC,
14,Mon Apr 29 2019,21:00,Shamrock Rovers,1-0,1-0,St Patrick's Athletic,
14,Mon Apr 29 2019,20:45,Cork City,1-1,0-0,Finn Harps,
15,Fri May 3 2019,20:45,Bohemian FC,0-1,0-1,Cork City,
15,Fri May 3 2019,20:45,St Patrick's Athletic,0-3,0-0,Waterford FC,
15,Fri May 3 2019,21:00,Finn Harps,3-0,1-0,UC Dublin,
15,Fri May 3 2019,20:45,Dundalk FC,2-2,0-0,Derry City,
15,Sat May 4 2019,20:45,Sligo Rovers,2-1,0-0,Shamrock Rovers,
16,Fri May 10 2019,20:45,Cork City,2-0,1-0,UC Dublin,
16,Fri May 10 2019,20:45,Bohemian FC,0-2,0-1,Dundalk FC,
16,Fri May 10 2019,20:45,Derry City,1-1,1-1,St Patrick's Athletic,
16,Sat May 11 2019,20:00,Waterford FC,3-3,2-1,Sligo Rovers,
17,Fri May 17 2019,20:45,Cork City,0-2,0-1,Dundalk FC,
17,Fri May 17 2019,21:00,Finn Harps,3-2,2-1,Waterford FC,
17,Fri May 17 2019,20:45,UC Dublin,0-1,0-1,Shamrock Rovers,
17,Fri May 17 2019,20:45,St Patrick's Athletic,1-1,1-0,Bohemian FC,
17,Sat May 18 2019,20:45,Sligo Rovers,0-0,0-0,Derry City,
25,Mon May 20 2019,20:45,Dundalk FC,2-1,0-1,Bohemian FC,
25,Mon May 20 2019,21:00,Finn Harps,0-3,0-2,Shamrock Rovers,
25,Mon May 20 2019,20:45,UC Dublin,0-1,0-0,Cork City,
25,Tue May 21 2019,20:45,St Patrick's Athletic,1-0,1-0,Derry City,
18,Fri May 24 2019,20:45,Dundalk FC,1-0,0-0,St Patrick's Athletic,
18,Fri May 24 2019,21:00,Shamrock Rovers,2-0,0-0,Cork City,
18,Fri May 24 2019,20:45,Derry City,4-0,2-0,Finn Harps,
18,Fri May 24 2019,20:45,Waterford FC,1-0,1-0,UC Dublin,
18,Fri May 24 2019,20:45,Bohemian FC,1-2,0-0,Sligo Rovers,
19,Fri May 31 2019,20:45,Dundalk FC,4-0,1-0,Sligo Rovers,
19,Fri May 31 2019,20:45,St Patrick's Athletic,1-1,0-0,Cork City,
19,Fri May 31 2019,20:45,Bohemian FC,5-3,2-1,Finn Harps,
20,Sat Jun 8 2019,21:00,Finn Harps,0-3,0-2,Dundalk FC,
20,Sat Jun 8 2019,20:00,Shamrock Rovers,2-2,0-0,Derry City,
20,Sat Jun 8 2019,20:45,Sligo Rovers,1-1,0-0,St Patrick's Athletic,
21,Fri Jun 14 2019,20:45,St Patrick's Athletic,1-0,0-0,Finn Harps,
21,Fri Jun 14 2019,20:45,Sligo Rovers,1-1,1-1,Cork City,
21,Fri Jun 14 2019,21:00,Bohemian FC,2-1,1-0,Shamrock Rovers,
22,Fri Jun 28 2019,21:00,Shamrock Rovers,0-1,0-0,Dundalk FC,
22,Fri Jun 28 2019,21:00,Finn Harps,2-0,1-0,Sligo Rovers,
22,Fri Jun 28 2019,20:45,Cork City,1-4,0-3,Derry City,
22,Fri Jun 28 2019,20:45,UC Dublin,0-1,0-1,St Patrick's Athletic,
22,Fri Jun 28 2019,20:45,Waterford FC,1-2,1-1,Bohemian FC,
23,Mon Jul 1 2019,20:45,Sligo Rovers,5-1,3-1,UC Dublin,
23,Mon Jul 1 2019,21:00,Finn Harps,0-0,0-0,Cork City,
23,Mon Jul 1 2019,20:45,Dundalk FC,3-0,2-0,Waterford FC,
23,Mon Jul 1 2019,20:45,St Patrick's Athletic,0-2,0-1,Shamrock Rovers,
23,Mon Jul 1 2019,21:00,Bohemian FC,0-0,0-0,Derry City,
24,Fri Jul 5 2019,21:00,Cork City,0-0,0-0,Bohemian FC,
24,Fri Jul 5 2019,20:45,Waterford FC,1-2,1-1,St Patrick's Athletic,
24,Fri Jul 5 2019,20:45,Derry City,2-2,1-0,Dundalk FC,
24,Fri Jul 5 2019,20:45,UC Dublin,1-0,1-0,Finn Harps,
24,Fri Jul 5 2019,21:00,Shamrock Rovers,0-0,0-0,Sligo Rovers,
19,Fri Jul 12 2019,20:45,Derry City,0-0,0-0,UC Dublin,
25,Sat Jul 13 2019,21:00,Sligo Rovers,0-0,0-0,Waterford FC,
20,Mon Jul 15 2019,20:45,UC Dublin,3-0 (*),,Bohemian FC,awd.
26,Fri Jul 19 2019,21:00,Waterford FC,0-1,0-0,Finn Harps,
26,Fri Jul 19 2019,20:45,Derry City,3-0,1-0,Sligo Rovers,
26,Sun Jul 21 2019,17:00,Shamrock Rovers,7-0,4-0,UC Dublin,
26,Sun Jul 21 2019,16:00,Bohemian FC,3-0,1-0,St Patrick's Athletic,
27,Fri Jul 26 2019,21:00,Finn Harps,1-0,0-0,Derry City,
27,Fri Jul 26 2019,20:45,UC Dublin,1-2,0-1,Waterford FC,
27,Sat Jul 27 2019,18:30,St Patrick's Athletic,0-1,0-0,Dundalk FC,
27,Sat Jul 27 2019,21:00,Sligo Rovers,1-1,1-1,Bohemian FC,
27,Sun Jul 28 2019,17:00,Cork City,1-1,1-0,Shamrock Rovers,
21,Mon Jul 29 2019,20:45,Derry City,2-0,2-0,Waterford FC,
28,Fri Aug 2 2019,20:45,UC Dublin,1-3,1-1,Derry City,
28,Fri Aug 2 2019,21:00,Cork City,0-1,0-0,St Patrick's Athletic,
28,Fri Aug 2 2019,21:00,Finn Harps,1-0,1-0,Bohemian FC,
29,Fri Aug 16 2019,20:45,Derry City,0-2,0-0,Shamrock Rovers,
29,Fri Aug 16 2019,20:45,St Patrick's Athletic,2-1,0-1,Sligo Rovers,
29,Fri Aug 16 2019,21:00,Dundalk FC,5-0,1-0,Finn Harps,
29,Fri Aug 16 2019,20:45,Bohemian FC,10-1,2-0,UC Dublin,
29,Fri Aug 16 2019,20:45,Waterford FC,1-2,0-0,Cork City,
19,Mon Aug 19 2019,21:00,Waterford FC,1-5,0-2,Shamrock Rovers,
21,Mon Aug 26 2019,20:45,Dundalk FC,3-0,3-0,UC Dublin,
28,Tue Aug 27 2019,21:00,Shamrock Rovers,2-1,1-1,Waterford FC,
30,Fri Aug 30 2019,20:45,Waterford FC,1-1,1-1,Derry City,
30,Fri Aug 30 2019,21:00,Shamrock Rovers,1-0,1-0,Bohemian FC,
30,Fri Aug 30 2019,20:45,UC Dublin,0-5,0-2,Dundalk FC,
30,Fri Aug 30 2019,20:45,Cork City,2-4,1-2,Sligo Rovers,
28,Mon Sep 2 2019,20:45,Sligo Rovers,0-2,0-1,Dundalk FC,
20,Mon Sep 2 2019,20:45,Cork City,1-2,1-0,Waterford FC,
26,Fri Sep 6 2019,20:45,Dundalk FC,1-0,0-0,Cork City,
30,Fri Sep 6 2019,21:00,Finn Harps,1-2,1-0,St Patrick's Athletic,
31,Fri Sep 13 2019,20:45,Bohemian FC,1-2,0-1,Waterford FC,
31,Fri Sep 13 2019,20:45,St Patrick's Athletic,0-0,0-0,UC Dublin,
31,Fri Sep 13 2019,21:00,Sligo Rovers,3-1,3-0,Finn Harps,
32,Fri Sep 20 2019,20:45,Waterford FC,0-1,0-1,Dundalk FC,
32,Fri Sep 20 2019,21:00,Shamrock Rovers,0-0,0-0,St Patrick's Athletic,
32,Fri Sep 20 2019,20:45,Cork City,0-0,0-0,Finn Harps,
32,Fri Sep 20 2019,20:45,Derry City,0-0,0-0,Bohemian FC,
32,Fri Sep 20 2019,20:45,UC Dublin,0-2,0-2,Sligo Rovers,
31,Mon Sep 23 2019,20:20,Dundalk FC,3-2,2-0,Shamrock Rovers,
31,Fri Sep 27 2019,20:45,Derry City,4-0,2-0,Cork City,
33,Fri Oct 4 2019,21:00,Finn Harps,0-0,0-0,UC Dublin,
33,Fri Oct 4 2019,20:45,Bohemian FC,1-0,0-0,Cork City,
33,Fri Oct 4 2019,20:45,St Patrick's Athletic,0-2,0-1,Waterford FC,
33,Fri Oct 4 2019,20:45,Dundalk FC,1-0,0-0,Derry City,
33,Sat Oct 5 2019,20:45,Sligo Rovers,0-0,0-0,Shamrock Rovers,
34,Tue Oct 8 2019,20:45,Waterford FC,2-0,1-0,Sligo Rovers,
34,Fri Oct 11 2019,20:45,Bohemian FC,2-1,1-0,Dundalk FC,
34,Fri Oct 11 2019,20:45,Cork City,3-2,1-0,UC Dublin,
34,Fri Oct 11 2019,21:00,Shamrock Rovers,1-0,0-0,Finn Harps,
35,Fri Oct 18 2019,21:00,Finn Harps,1-0,1-0,Waterford FC,
35,Fri Oct 18 2019,20:45,Cork City,1-0,1-0,Dundalk FC,
35,Fri Oct 18 2019,20:45,St Patrick's Athletic,0-0,0-0,Bohemian FC,
35,Fri Oct 18 2019,20:45,UC Dublin,0-3,0-2,Shamrock Rovers,
35,Sat Oct 19 2019,20:45,Sligo Rovers,1-2,1-2,Derry City,
34,Tue Oct 22 2019,20:45,Derry City,1-3,0-0,St Patrick's Athletic,
36,Fri Oct 25 2019,20:45,Derry City,4-0,2-0,Finn Harps,
36,Fri Oct 25 2019,20:45,Bohemian FC,2-1,0-1,Sligo Rovers,
36,Fri Oct 25 2019,20:45,Dundalk FC,4-0,2-0,St Patrick's Athletic,
36,Fri Oct 25 2019,20:45,Shamrock Rovers,3-0,2-0,Cork City,
36,Fri Oct 25 2019,20:45,Waterford FC,4-2,2-1,UC Dublin,
