Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Taça Guanabara Finals,Semifinals,Wed Feb 13 2019,21:30,-0200,Vasco da Gama RJ,3-0,2-0,Resende FC RJ,,2019-02-13T23:30Z
Taça Guanabara Finals,Semifinals,Thu Feb 14 2019,20:30,-0200,Flamengo RJ,0-1,0-0,Fluminense RJ,,2019-02-14T22:30Z
Taça Guanabara Finals,Final,Sun Feb 17 2019,17:00,-0300,Vasco da Gama RJ,1-0,,Fluminense RJ,,2019-02-17T20:00Z
Taça Rio,1,Fri Feb 22 2019,16:30,-0300,Resende FC RJ,0-1,0-0,Volta Redonda RJ,,2019-02-22T19:30Z
Taça Rio,1,Fri Feb 22 2019,21:00,-0300,Bangu RJ,0-2,0-1,Fluminense RJ,,2019-02-23T00:00Z
Taça Rio,1,Sat Feb 23 2019,19:00,-0300,Boavista RJ,1-1,0-0,Madureira RJ,,2019-02-23T22:00Z
Taça Rio,1,Sat Feb 23 2019,19:30,-0300,Botafogo RJ,1-1,0-1,Vasco da Gama RJ,,2019-02-23T22:30Z
Taça Rio,1,Sun Feb 24 2019,19:30,-0300,Cabofriense RJ,2-0,2-0,Portuguesa RJ,,2019-02-24T22:30Z
Taça Rio,1,Sun Feb 24 2019,17:00,-0300,Flamengo RJ,4-1,1-0,Americano RJ,,2019-02-24T20:00Z
Taça Rio,2,Thu Feb 28 2019,21:00,-0300,Portuguesa RJ,1-3,0-2,Flamengo RJ,,2019-03-01T00:00Z
Taça Rio,2,Fri Mar 1 2019,16:00,-0300,Fluminense RJ,1-1,0-1,Resende FC RJ,,2019-03-01T19:00Z
Taça Rio,2,Fri Mar 1 2019,16:00,-0300,Madureira RJ,0-1,0-0,Bangu RJ,,2019-03-01T19:00Z
Taça Rio,2,Sat Mar 2 2019,19:00,-0300,Volta Redonda RJ,1-0,0-0,Botafogo RJ,,2019-03-02T22:00Z
Taça Rio,2,Sat Mar 2 2019,16:30,-0300,Americano RJ,1-4,1-2,Cabofriense RJ,,2019-03-02T19:30Z
Taça Rio,2,Sat Mar 2 2019,16:30,-0300,Vasco da Gama RJ,2-0,1-0,Boavista RJ,,2019-03-02T19:30Z
Taça Rio,3,Fri Mar 8 2019,16:30,-0300,Volta Redonda RJ,0-1,0-1,Bangu RJ,,2019-03-08T19:30Z
Taça Rio,3,Sat Mar 9 2019,19:00,-0300,Vasco da Gama RJ,1-1,0-0,Flamengo RJ,,2019-03-09T22:00Z
Taça Rio,3,Sat Mar 9 2019,16:30,-0300,Portuguesa RJ,1-1,0-1,Boavista RJ,,2019-03-09T19:30Z
Taça Rio,3,Sun Mar 10 2019,16:00,-0300,Fluminense RJ,2-1,1-0,Cabofriense RJ,,2019-03-10T19:00Z
Taça Rio,3,Sun Mar 10 2019,16:30,-0300,Americano RJ,1-1,1-0,Resende FC RJ,,2019-03-10T19:30Z
Taça Rio,3,Mon Mar 11 2019,20:00,-0300,Botafogo RJ,2-1,0-1,Madureira RJ,,2019-03-11T23:00Z
Taça Rio,5,Thu Mar 14 2019,20:00,-0300,Boavista RJ,0-3,0-2,Fluminense RJ,,2019-03-14T23:00Z
Taça Rio,4,Fri Mar 15 2019,16:30,-0300,Bangu RJ,3-0,0-0,Portuguesa RJ,,2019-03-15T19:30Z
Taça Rio,4,Sat Mar 16 2019,16:30,-0300,Resende FC RJ,0-2,0-1,Madureira RJ,,2019-03-16T19:30Z
Taça Rio,4,Sat Mar 16 2019,19:00,-0300,Flamengo RJ,0-0,0-0,Volta Redonda RJ,,2019-03-16T22:00Z
Taça Rio,4,Sun Mar 17 2019,16:00,-0300,Cabofriense RJ,2-0,1-0,Vasco da Gama RJ,,2019-03-17T19:00Z
Taça Rio,4,Sun Mar 17 2019,20:00,-0300,Boavista RJ,1-0,1-0,Americano RJ,,2019-03-17T23:00Z
Taça Rio,4,Sun Mar 17 2019,19:00,-0300,Fluminense RJ,1-1,1-0,Botafogo RJ,,2019-03-17T22:00Z
Taça Rio,5,Tue Mar 19 2019,20:30,-0300,Madureira RJ,0-2,0-1,Flamengo RJ,,2019-03-19T23:30Z
Taça Rio,5,Wed Mar 20 2019,16:30,-0300,Bangu RJ,2-0,0-0,Americano RJ,,2019-03-20T19:30Z
Taça Rio,5,Wed Mar 20 2019,21:30,-0300,Resende FC RJ,0-2,0-2,Vasco da Gama RJ,,2019-03-21T00:30Z
Taça Rio,5,Thu Mar 21 2019,21:30,-0300,Botafogo RJ,4-1,0-0,Portuguesa RJ,,2019-03-22T00:30Z
Taça Rio,5,Thu Mar 21 2019,19:30,-0300,Cabofriense RJ,1-1,0-0,Volta Redonda RJ,,2019-03-21T22:30Z
Taça Rio,6,Sat Mar 23 2019,19:00,-0300,Vasco da Gama RJ,1-2,1-0,Bangu RJ,,2019-03-23T22:00Z
Taça Rio,6,Sun Mar 24 2019,16:00,-0300,Volta Redonda RJ,2-4,0-2,Boavista RJ,,2019-03-24T19:00Z
Taça Rio,6,Sun Mar 24 2019,16:00,-0300,Madureira RJ,0-0,0-0,Cabofriense RJ,,2019-03-24T19:00Z
Taça Rio,6,Sun Mar 24 2019,16:00,-0300,Flamengo RJ,3-2,1-0,Fluminense RJ,,2019-03-24T19:00Z
Taça Rio,6,Sun Mar 24 2019,16:00,-0300,Portuguesa RJ,2-1,0-0,Resende FC RJ,,2019-03-24T19:00Z
Taça Rio,6,Sun Mar 24 2019,16:00,-0300,Americano RJ,2-2,0-0,Botafogo RJ,,2019-03-24T19:00Z
Taça Rio Finals,Semifinals,Wed Mar 27 2019,21:30,-0300,Fluminense RJ,1-2,0-1,Flamengo RJ,,2019-03-28T00:30Z
Taça Rio Finals,Semifinals,Thu Mar 28 2019,21:30,-0300,Bangu RJ,0-1,0-0,Vasco da Gama RJ,,2019-03-29T00:30Z
Taça Rio Finals,Final,Sun Mar 31 2019,16:00,-0300,Vasco da Gama RJ,1-1,0-0,Flamengo RJ,1-3,2019-03-31T19:00Z
Finals,Semifinals,Sat Apr 6 2019,19:00,-0300,Flamengo RJ,1-1,0-1,Fluminense RJ,,2019-04-06T22:00Z
Finals,Semifinals,Sun Apr 7 2019,16:00,-0300,Vasco da Gama RJ,2-1,,Bangu RJ,,2019-04-07T19:00Z
Finals,Final,Sun Apr 14 2019,16:00,-0300,Vasco da Gama RJ,0-2,0-0,Flamengo RJ,,2019-04-14T19:00Z
Finals,Final,Sun Apr 21 2019,16:00,-0300,Flamengo RJ,2-0,1-0,Vasco da Gama RJ,,2019-04-21T19:00Z
