Stage,Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
Regular Season,5,Sun Aug 4 2019,16:00,Ilves Tampere,2-2,0-1,Rovaniemi PS,,
Regular Season,5,Sun Aug 4 2019,16:00,FC Lahti,1-0,0-0,KPV Kokkola,,
Regular Season,5,Sun Aug 4 2019,17:00,Inter Turku,1-0,0-0,IFK Mariehamn,,
Regular Season,5,Sun Aug 4 2019,16:00,Kuopion PS,1-1,0-1,Helsingfors IFK,,
Regular Season,5,Fri Aug 9 2019,17:30,Helsingfors IFK,3-2,0-2,KPV Kokkola,,
Regular Season,5,Sat Aug 10 2019,16:00,FC Honka,0-0,0-0,SJK Seinäjoki,,
Regular Season,5,Sat Aug 10 2019,16:00,Kuopion PS,2-0,0-0,Inter Turku,,
Regular Season,5,Sat Aug 10 2019,16:00,HJK Helsinki,4-0,3-0,FC Lahti,,
Regular Season,5,Sun Aug 11 2019,16:00,Rovaniemi PS,2-1,1-1,Vaasan PS,,
Regular Season,5,Sun Aug 11 2019,16:00,IFK Mariehamn,0-1,0-0,Ilves Tampere,,
Regular Season,5,Thu Aug 15 2019,17:30,SJK Seinäjoki,0-2,0-0,IFK Mariehamn,,
Regular Season,5,Fri Aug 16 2019,17:30,Ilves Tampere,0-2,0-0,Kuopion PS,,
Regular Season,5,Fri Aug 16 2019,17:30,Inter Turku,3-2,2-2,Helsingfors IFK,,
Regular Season,5,Sun Aug 18 2019,16:00,KPV Kokkola,2-1,1-0,HJK Helsinki,,
Regular Season,5,Mon Aug 19 2019,17:30,SJK Seinäjoki,0-0,0-0,Rovaniemi PS,,
Regular Season,5,Mon Aug 19 2019,17:30,Vaasan PS,2-1,1-0,IFK Mariehamn,,
Regular Season,5,Mon Aug 19 2019,17:30,FC Lahti,3-2,3-0,FC Honka,,
Regular Season,5,Fri Aug 23 2019,17:30,Helsingfors IFK,2-2,1-1,Ilves Tampere,,
Regular Season,5,Sat Aug 24 2019,16:00,Kuopion PS,5-0,4-0,Vaasan PS,,
Regular Season,5,Sat Aug 24 2019,12:00,FC Honka,0-1,0-0,HJK Helsinki,,
Regular Season,5,Sun Aug 25 2019,17:30,IFK Mariehamn,1-0,0-0,SJK Seinäjoki,,
Regular Season,5,Sun Aug 25 2019,17:30,Rovaniemi PS,3-0,3-0,FC Lahti,,
Regular Season,5,Mon Aug 26 2019,17:30,Inter Turku,2-1,1-0,KPV Kokkola,,
Regular Season,5,Tue Aug 27 2019,17:30,Ilves Tampere,3-1,0-0,Helsingfors IFK,,
Regular Season,5,Sat Aug 31 2019,14:00,KPV Kokkola,0-1,0-0,FC Honka,,
Regular Season,5,Sat Aug 31 2019,15:00,SJK Seinäjoki,1-3,0-0,Kuopion PS,,
Regular Season,5,Sat Aug 31 2019,16:00,Ilves Tampere,0-1,0-0,Inter Turku,,
Regular Season,5,Sat Aug 31 2019,16:00,Vaasan PS,3-2,1-1,Helsingfors IFK,,
Regular Season,6,Sun Sep 1 2019,16:00,FC Lahti,0-1,0-0,IFK Mariehamn,,
Regular Season,6,Sun Sep 1 2019,17:30,HJK Helsinki,2-2,1-1,Rovaniemi PS,,
Playoffs - Challenger,1,Fri Sep 13 2019,17:30,Helsingfors IFK,3-1,0-0,KPV Kokkola,,
Playoffs - Challenger,1,Fri Sep 13 2019,17:30,SJK Seinäjoki,1-1,0-1,Vaasan PS,,
Playoffs - Challenger,1,Sat Sep 14 2019,16:00,FC Lahti,3-0,1-0,Rovaniemi PS,,
Playoffs - Championship,1,Sun Sep 15 2019,17:30,Ilves Tampere,0-2,0-1,FC Honka,,
Playoffs - Championship,1,Sun Sep 15 2019,17:30,Kuopion PS,1-0,1-0,HJK Helsinki,,
Playoffs - Championship,1,Sun Sep 15 2019,16:00,Inter Turku,2-0,0-0,IFK Mariehamn,,
Playoffs - Challenger,2,Fri Sep 20 2019,17:30,Vaasan PS,1-2,1-0,FC Lahti,,
Playoffs - Championship,2,Sat Sep 21 2019,12:00,FC Honka,3-1,0-1,HJK Helsinki,,
Playoffs - Challenger,2,Sat Sep 21 2019,14:00,KPV Kokkola,4-1,1-1,Rovaniemi PS,,
Playoffs - Challenger,2,Sat Sep 21 2019,17:00,Helsingfors IFK,2-0,2-0,SJK Seinäjoki,,
Playoffs - Championship,2,Sun Sep 22 2019,17:30,IFK Mariehamn,0-1,0-0,Kuopion PS,,
Playoffs - Championship,2,Sun Sep 22 2019,17:30,Ilves Tampere,1-0,0-0,Inter Turku,,
Playoffs - Championship,3,Fri Sep 27 2019,17:30,Kuopion PS,2-0,0-0,Ilves Tampere,,
Playoffs - Challenger,3,Fri Sep 27 2019,17:30,SJK Seinäjoki,0-2,0-2,KPV Kokkola,,
Playoffs - Championship,3,Sat Sep 28 2019,17:30,HJK Helsinki,3-0,0-0,IFK Mariehamn,,
Playoffs - Challenger,3,Sat Sep 28 2019,13:00,FC Lahti,2-2,1-0,Helsingfors IFK,,
Playoffs - Championship,3,Sat Sep 28 2019,16:00,Inter Turku,0-1,0-1,FC Honka,,
Playoffs - Challenger,3,Sat Sep 28 2019,16:00,Rovaniemi PS,2-1,0-0,Vaasan PS,,
Playoffs - Championship,4,Sun Oct 6 2019,15:00,HJK Helsinki,0-1,0-0,Inter Turku,,
Playoffs - Championship,4,Sun Oct 6 2019,15:00,Kuopion PS,1-1,1-0,FC Honka,,
Playoffs - Challenger,4,Sun Oct 6 2019,15:00,Rovaniemi PS,1-0,1-0,SJK Seinäjoki,,
Playoffs - Challenger,4,Sun Oct 6 2019,15:00,Vaasan PS,2-3,1-0,Helsingfors IFK,,
Playoffs - Challenger,4,Sun Oct 6 2019,15:00,FC Lahti,1-4,1-0,KPV Kokkola,,
Playoffs - Championship,4,Sun Oct 6 2019,15:00,IFK Mariehamn,2-2,0-0,Ilves Tampere,,
Playoffs - Challenger,5,Sat Oct 19 2019,14:00,KPV Kokkola,2-3,1-1,Vaasan PS,,
Playoffs - Championship,5,Sat Oct 19 2019,14:00,Ilves Tampere,2-1,0-1,HJK Helsinki,,
Playoffs - Championship,5,Sat Oct 19 2019,14:00,Inter Turku,0-2,0-0,Kuopion PS,,
Playoffs - Challenger,5,Sat Oct 19 2019,14:00,SJK Seinäjoki,0-0,0-0,FC Lahti,,
Playoffs - Challenger,5,Sat Oct 19 2019,14:00,Helsingfors IFK,2-0,1-0,Rovaniemi PS,,
Playoffs - Championship,5,Sat Oct 19 2019,14:00,FC Honka,3-0,1-0,IFK Mariehamn,,
Europa League Finals,Round 1,Wed Oct 23 2019,17:30,HJK Helsinki,2-2,2-0,FC Lahti,2-2,4-1
Europa League Finals,Round 1,Wed Oct 23 2019,17:30,IFK Mariehamn,0-0,0-0,Helsingfors IFK,0-0,4-2
Europa League Finals,Round 2,Sun Oct 27 2019,17:30,HJK Helsinki,1-1,1-0,IFK Mariehamn,1-2,
Europa League Finals,Final,Wed Oct 30 2019,17:30,IFK Mariehamn,1-2,1-2,FC Honka,,
Europa League Finals,Final,Sun Nov 3 2019,12:00,FC Honka,1-0,1-0,IFK Mariehamn,,
