Round,Date,Time,Timezone,Team 1,FT,Team 2,UTC
2,Sat Aug 19 2000,15:00,BST/+0100,Leyton Orient,1-0,Carlisle United,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Barnet FC,3-3,Mansfield Town,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Scunthorpe United,2-0,Kidderminster Harriers,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Shrewsbury Town,2-2,Macclesfield Town,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Torquay United,1-1,Southend United,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,York City,0-2,Cheltenham Town,2000-08-19T14:00Z
3,Fri Aug 25 2000,19:45,BST/+0100,Carlisle United,1-1,York City,2000-08-25T18:45Z
3,Sat Aug 26 2000,15:00,BST/+0100,Barnet FC,2-2,Cardiff City,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Blackpool FC,2-2,Leyton Orient,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Cheltenham Town,2-0,Torquay United,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Chesterfield FC,3-0,Shrewsbury Town,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Exeter City,1-1,Hartlepool United,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Kidderminster Harriers,2-1,Halifax Town,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Lincoln City,2-0,Brighton & Hove Albion,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Macclesfield Town,0-0,Hull City,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Plymouth Argyle,2-0,Mansfield Town,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Rochdale AFC,3-2,Scunthorpe United,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Southend United,0-2,Darlington FC,2000-08-26T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Brighton & Hove Albion,0-2,Kidderminster Harriers,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Cardiff City,2-2,Southend United,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Halifax Town,1-2,Rochdale AFC,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Hartlepool United,0-0,Cheltenham Town,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Hull City,1-1,Lincoln City,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Leyton Orient,2-1,Exeter City,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Mansfield Town,4-4,Macclesfield Town,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Scunthorpe United,1-1,Chesterfield FC,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Torquay United,3-2,Blackpool FC,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,York City,1-0,Barnet FC,2000-08-28T14:00Z
4,Tue Aug 29 2000,19:45,BST/+0100,Shrewsbury Town,0-1,Carlisle United,2000-08-29T18:45Z
4,Tue Aug 29 2000,19:30,BST/+0100,Darlington FC,1-0,Plymouth Argyle,2000-08-29T18:30Z
5,Sat Sep 2 2000,15:00,BST/+0100,Brighton & Hove Albion,6-2,Torquay United,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Chesterfield FC,1-2,Barnet FC,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Darlington FC,1-1,York City,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Exeter City,0-0,Mansfield Town,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Halifax Town,2-2,Leyton Orient,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Hartlepool United,1-3,Shrewsbury Town,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Hull City,0-2,Cheltenham Town,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Kidderminster Harriers,0-1,Carlisle United,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Lincoln City,3-0,Southend United,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Plymouth Argyle,0-1,Macclesfield Town,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Rochdale AFC,1-1,Cardiff City,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Scunthorpe United,1-0,Blackpool FC,2000-09-02T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Barnet FC,0-0,Kidderminster Harriers,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Blackpool FC,1-2,Hartlepool United,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Cardiff City,1-1,Brighton & Hove Albion,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Carlisle United,1-2,Rochdale AFC,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Cheltenham Town,0-1,Chesterfield FC,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Leyton Orient,2-2,Hull City,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Macclesfield Town,0-2,Exeter City,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Mansfield Town,5-1,Halifax Town,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Shrewsbury Town,1-0,Darlington FC,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Southend United,2-2,Plymouth Argyle,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Torquay United,1-1,Lincoln City,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,York City,2-0,Scunthorpe United,2000-09-09T14:00Z
7,Tue Sep 12 2000,18:45,BST/+0100,Barnet FC,1-1,Exeter City,2000-09-12T17:45Z
7,Tue Sep 12 2000,18:45,BST/+0100,Blackpool FC,0-2,Brighton & Hove Albion,2000-09-12T17:45Z
7,Tue Sep 12 2000,18:45,BST/+0100,Cardiff City,4-2,Halifax Town,2000-09-12T17:45Z
7,Tue Sep 12 2000,18:45,BST/+0100,Carlisle United,2-4,Chesterfield FC,2000-09-12T17:45Z
7,Tue Sep 12 2000,18:45,BST/+0100,Cheltenham Town,1-0,Darlington FC,2000-09-12T17:45Z
7,Tue Sep 12 2000,18:45,BST/+0100,Leyton Orient,1-1,Scunthorpe United,2000-09-12T17:45Z
7,Tue Sep 12 2000,18:45,BST/+0100,Macclesfield Town,2-0,Lincoln City,2000-09-12T17:45Z
7,Tue Sep 12 2000,18:45,BST/+0100,Mansfield Town,1-1,Hull City,2000-09-12T17:45Z
7,Tue Sep 12 2000,18:45,BST/+0100,Shrewsbury Town,4-1,Plymouth Argyle,2000-09-12T17:45Z
7,Tue Sep 12 2000,18:45,BST/+0100,Southend United,1-1,Kidderminster Harriers,2000-09-12T17:45Z
7,Tue Sep 12 2000,18:45,BST/+0100,Torquay United,1-0,Hartlepool United,2000-09-12T17:45Z
7,Tue Sep 12 2000,18:45,BST/+0100,York City,0-2,Rochdale AFC,2000-09-12T17:45Z
8,Sat Sep 16 2000,15:00,BST/+0100,Brighton & Hove Albion,3-0,Cheltenham Town,2000-09-16T14:00Z
8,Sat Sep 16 2000,15:00,BST/+0100,Chesterfield FC,4-0,Mansfield Town,2000-09-16T14:00Z
8,Sat Sep 16 2000,15:00,BST/+0100,Darlington FC,1-0,Barnet FC,2000-09-16T14:00Z
8,Sat Sep 16 2000,15:00,BST/+0100,Exeter City,3-1,York City,2000-09-16T14:00Z
8,Sat Sep 16 2000,15:00,BST/+0100,Halifax Town,0-1,Southend United,2000-09-16T14:00Z
8,Sat Sep 16 2000,15:00,BST/+0100,Hartlepool United,2-2,Macclesfield Town,2000-09-16T14:00Z
8,Sat Sep 16 2000,15:00,BST/+0100,Hull City,1-0,Shrewsbury Town,2000-09-16T14:00Z
8,Sat Sep 16 2000,15:00,BST/+0100,Kidderminster Harriers,2-1,Leyton Orient,2000-09-16T14:00Z
8,Sat Sep 16 2000,15:00,BST/+0100,Lincoln City,1-1,Blackpool FC,2000-09-16T14:00Z
8,Sat Sep 16 2000,15:00,BST/+0100,Plymouth Argyle,2-0,Carlisle United,2000-09-16T14:00Z
8,Sat Sep 16 2000,15:00,BST/+0100,Rochdale AFC,2-1,Torquay United,2000-09-16T14:00Z
8,Sat Sep 16 2000,15:00,BST/+0100,Scunthorpe United,0-2,Cardiff City,2000-09-16T14:00Z
9,Fri Sep 22 2000,19:45,BST/+0100,Macclesfield Town,1-1,Darlington FC,2000-09-22T18:45Z
9,Sat Sep 23 2000,15:00,BST/+0100,Barnet FC,1-1,Hull City,2000-09-23T14:00Z
9,Sat Sep 23 2000,15:00,BST/+0100,Blackpool FC,1-3,Chesterfield FC,2000-09-23T14:00Z
9,Sat Sep 23 2000,15:00,BST/+0100,Cardiff City,0-0,Kidderminster Harriers,2000-09-23T14:00Z
9,Sat Sep 23 2000,15:00,BST/+0100,Carlisle United,0-1,Exeter City,2000-09-23T14:00Z
9,Sat Sep 23 2000,15:00,BST/+0100,Cheltenham Town,5-2,Plymouth Argyle,2000-09-23T14:00Z
9,Sat Sep 23 2000,15:00,BST/+0100,Leyton Orient,1-0,Lincoln City,2000-09-23T14:00Z
9,Sat Sep 23 2000,15:00,BST/+0100,Mansfield Town,4-3,Hartlepool United,2000-09-23T14:00Z
9,Sat Sep 23 2000,15:00,BST/+0100,Shrewsbury Town,0-4,Rochdale AFC,2000-09-23T14:00Z
9,Sat Sep 23 2000,15:00,BST/+0100,Southend United,1-0,Scunthorpe United,2000-09-23T14:00Z
9,Sat Sep 23 2000,15:00,BST/+0100,Torquay United,1-2,Halifax Town,2000-09-23T14:00Z
9,Sat Sep 23 2000,15:00,BST/+0100,York City,0-1,Brighton & Hove Albion,2000-09-23T14:00Z
10,Fri Sep 29 2000,19:45,BST/+0100,Kidderminster Harriers,1-4,Blackpool FC,2000-09-29T18:45Z
10,Sat Sep 30 2000,15:00,BST/+0100,Brighton & Hove Albion,2-0,Leyton Orient,2000-09-30T14:00Z
10,Sat Sep 30 2000,15:00,BST/+0100,Chesterfield FC,4-1,Macclesfield Town,2000-09-30T14:00Z
10,Sat Sep 30 2000,15:00,BST/+0100,Darlington FC,1-0,Carlisle United,2000-09-30T14:00Z
10,Sat Sep 30 2000,15:00,BST/+0100,Exeter City,0-2,Cheltenham Town,2000-09-30T14:00Z
10,Sat Sep 30 2000,15:00,BST/+0100,Halifax Town,0-0,Shrewsbury Town,2000-09-30T14:00Z
10,Sat Sep 30 2000,15:00,BST/+0100,Hartlepool United,1-0,York City,2000-09-30T14:00Z
10,Sat Sep 30 2000,15:00,BST/+0100,Hull City,2-0,Cardiff City,2000-09-30T14:00Z
10,Sat Sep 30 2000,15:00,BST/+0100,Lincoln City,0-2,Mansfield Town,2000-09-30T14:00Z
10,Sat Sep 30 2000,15:00,BST/+0100,Plymouth Argyle,2-3,Barnet FC,2000-09-30T14:00Z
10,Sat Sep 30 2000,15:00,BST/+0100,Rochdale AFC,0-1,Southend United,2000-09-30T14:00Z
10,Sat Sep 30 2000,15:00,BST/+0100,Scunthorpe United,3-0,Torquay United,2000-09-30T14:00Z
11,Fri Oct 6 2000,19:45,BST/+0100,Hull City,0-2,Brighton & Hove Albion,2000-10-06T18:45Z
11,Fri Oct 6 2000,19:45,BST/+0100,Kidderminster Harriers,0-0,Rochdale AFC,2000-10-06T18:45Z
11,Fri Oct 6 2000,19:45,BST/+0100,Shrewsbury Town,2-0,Exeter City,2000-10-06T18:45Z
11,Fri Oct 6 2000,19:45,BST/+0100,York City,2-1,Mansfield Town,2000-10-06T18:45Z
11,Fri Oct 6 2000,19:45,BST/+0100,Cheltenham Town,1-0,Carlisle United,2000-10-06T18:45Z
11,Sat Oct 7 2000,12:30,BST/+0100,Chesterfield FC,2-1,Plymouth Argyle,2000-10-07T11:30Z
11,Sat Oct 7 2000,15:00,BST/+0100,Hartlepool United,2-1,Darlington FC,2000-10-07T14:00Z
11,Sat Oct 7 2000,15:00,BST/+0100,Scunthorpe United,1-0,Halifax Town,2000-10-07T14:00Z
11,Sun Oct 8 2000,15:00,BST/+0100,Blackpool FC,2-2,Southend United,2000-10-08T14:00Z
11,Sun Oct 8 2000,15:00,BST/+0100,Torquay United,1-2,Leyton Orient,2000-10-08T14:00Z
11,Sun Oct 8 2000,15:00,BST/+0100,Barnet FC,0-2,Macclesfield Town,2000-10-08T14:00Z
12,Sat Oct 14 2000,15:00,BST/+0100,Southend United,1-0,York City,2000-10-14T14:00Z
12,Sat Oct 14 2000,15:00,BST/+0100,Brighton & Hove Albion,0-0,Scunthorpe United,2000-10-14T14:00Z
12,Sat Oct 14 2000,15:00,BST/+0100,Carlisle United,0-2,Barnet FC,2000-10-14T14:00Z
12,Sat Oct 14 2000,15:00,BST/+0100,Darlington FC,2-0,Torquay United,2000-10-14T14:00Z
12,Sat Oct 14 2000,15:00,BST/+0100,Exeter City,1-1,Chesterfield FC,2000-10-14T14:00Z
12,Sat Oct 14 2000,15:00,BST/+0100,Halifax Town,0-2,Hull City,2000-10-14T14:00Z
12,Sat Oct 14 2000,15:00,BST/+0100,Leyton Orient,2-1,Cardiff City,2000-10-14T14:00Z
12,Sat Oct 14 2000,15:00,BST/+0100,Lincoln City,3-3,Kidderminster Harriers,2000-10-14T14:00Z
12,Sat Oct 14 2000,15:00,BST/+0100,Macclesfield Town,2-1,Cheltenham Town,2000-10-14T14:00Z
12,Sat Oct 14 2000,15:00,BST/+0100,Mansfield Town,1-0,Shrewsbury Town,2000-10-14T14:00Z
12,Sat Oct 14 2000,15:00,BST/+0100,Plymouth Argyle,2-0,Blackpool FC,2000-10-14T14:00Z
12,Sat Oct 14 2000,15:00,BST/+0100,Rochdale AFC,2-1,Hartlepool United,2000-10-14T14:00Z
13,Tue Oct 17 2000,19:45,BST/+0100,Lincoln City,2-1,York City,2000-10-17T18:45Z
13,Tue Oct 17 2000,19:30,BST/+0100,Darlington FC,1-2,Kidderminster Harriers,2000-10-17T18:30Z
13,Tue Oct 17 2000,19:45,BST/+0100,Carlisle United,2-2,Cardiff City,2000-10-17T18:45Z
13,Tue Oct 17 2000,19:45,BST/+0100,Exeter City,0-1,Hull City,2000-10-17T18:45Z
13,Tue Oct 17 2000,19:45,BST/+0100,Halifax Town,1-2,Cheltenham Town,2000-10-17T18:45Z
13,Tue Oct 17 2000,19:45,BST/+0100,Leyton Orient,2-0,Shrewsbury Town,2000-10-17T18:45Z
13,Tue Oct 17 2000,19:45,BST/+0100,Southend United,2-0,Barnet FC,2000-10-17T18:45Z
13,Tue Oct 17 2000,19:45,BST/+0100,Macclesfield Town,2-1,Torquay United,2000-10-17T18:45Z
13,Tue Oct 17 2000,19:45,BST/+0100,Mansfield Town,0-1,Blackpool FC,2000-10-17T18:45Z
13,Tue Oct 17 2000,19:45,BST/+0100,Plymouth Argyle,1-0,Scunthorpe United,2000-10-17T18:45Z
13,Tue Oct 17 2000,19:45,BST/+0100,Rochdale AFC,2-2,Chesterfield FC,2000-10-17T18:45Z
13,Wed Oct 18 2000,19:45,BST/+0100,Brighton & Hove Albion,4-2,Hartlepool United,2000-10-18T18:45Z
14,Sat Oct 21 2000,15:00,BST/+0100,York City,1-1,Leyton Orient,2000-10-21T14:00Z
14,Sat Oct 21 2000,15:00,BST/+0100,Barnet FC,1-0,Halifax Town,2000-10-21T14:00Z
14,Sat Oct 21 2000,15:00,BST/+0100,Blackpool FC,2-1,Macclesfield Town,2000-10-21T14:00Z
14,Sat Oct 21 2000,15:00,BST/+0100,Cardiff City,2-0,Mansfield Town,2000-10-21T14:00Z
14,Sat Oct 21 2000,15:00,BST/+0100,Cheltenham Town,0-2,Rochdale AFC,2000-10-21T14:00Z
14,Sat Oct 21 2000,15:00,BST/+0100,Chesterfield FC,1-0,Brighton & Hove Albion,2000-10-21T14:00Z
14,Sat Oct 21 2000,15:00,BST/+0100,Hartlepool United,1-1,Plymouth Argyle,2000-10-21T14:00Z
14,Sat Oct 21 2000,15:00,BST/+0100,Hull City,1-1,Southend United,2000-10-21T14:00Z
14,Sat Oct 21 2000,15:00,BST/+0100,Kidderminster Harriers,0-0,Exeter City,2000-10-21T14:00Z
14,Sat Oct 21 2000,15:00,BST/+0100,Scunthorpe United,1-1,Darlington FC,2000-10-21T14:00Z
14,Sat Oct 21 2000,15:00,BST/+0100,Shrewsbury Town,3-2,Lincoln City,2000-10-21T14:00Z
14,Sat Oct 21 2000,15:00,BST/+0100,Torquay United,4-2,Carlisle United,2000-10-21T14:00Z
15,Tue Oct 24 2000,19:45,BST/+0100,Southend United,1-1,Exeter City,2000-10-24T18:45Z
15,Tue Oct 24 2000,19:30,BST/+0100,Scunthorpe United,2-0,Shrewsbury Town,2000-10-24T18:30Z
15,Tue Oct 24 2000,19:45,BST/+0100,Blackpool FC,3-2,Carlisle United,2000-10-24T18:45Z
15,Tue Oct 24 2000,19:45,BST/+0100,Brighton & Hove Albion,2-0,Plymouth Argyle,2000-10-24T18:45Z
15,Tue Oct 24 2000,19:45,BST/+0100,Cardiff City,2-0,Darlington FC,2000-10-24T18:45Z
15,Tue Oct 24 2000,19:45,BST/+0100,Halifax Town,1-3,York City,2000-10-24T18:45Z
15,Tue Oct 24 2000,19:45,BST/+0100,Hull City,0-0,Hartlepool United,2000-10-24T18:45Z
15,Tue Oct 24 2000,19:45,BST/+0100,Kidderminster Harriers,0-2,Chesterfield FC,2000-10-24T18:45Z
15,Tue Oct 24 2000,19:45,BST/+0100,Leyton Orient,3-1,Barnet FC,2000-10-24T18:45Z
15,Tue Oct 24 2000,19:45,BST/+0100,Lincoln City,1-0,Cheltenham Town,2000-10-24T18:45Z
15,Tue Oct 24 2000,19:45,BST/+0100,Rochdale AFC,2-2,Macclesfield Town,2000-10-24T18:45Z
15,Tue Oct 24 2000,19:45,BST/+0100,Torquay United,2-2,Mansfield Town,2000-10-24T18:45Z
16,Sat Oct 28 2000,15:00,BST/+0100,Exeter City,0-1,Rochdale AFC,2000-10-28T14:00Z
16,Sat Oct 28 2000,15:00,BST/+0100,Barnet FC,4-3,Lincoln City,2000-10-28T14:00Z
16,Sat Oct 28 2000,15:00,BST/+0100,Carlisle United,1-2,Scunthorpe United,2000-10-28T14:00Z
16,Sat Oct 28 2000,15:00,BST/+0100,Cheltenham Town,0-1,Blackpool FC,2000-10-28T14:00Z
16,Sat Oct 28 2000,15:00,BST/+0100,Chesterfield FC,2-2,Cardiff City,2000-10-28T14:00Z
16,Sat Oct 28 2000,15:00,BST/+0100,Darlington FC,1-2,Brighton & Hove Albion,2000-10-28T14:00Z
16,Sat Oct 28 2000,15:00,BST/+0100,York City,0-0,Hull City,2000-10-28T14:00Z
16,Sat Oct 28 2000,15:00,BST/+0100,Hartlepool United,2-1,Leyton Orient,2000-10-28T14:00Z
16,Sat Oct 28 2000,15:00,BST/+0100,Macclesfield Town,0-0,Halifax Town,2000-10-28T14:00Z
16,Sat Oct 28 2000,15:00,BST/+0100,Mansfield Town,1-1,Southend United,2000-10-28T14:00Z
16,Sat Oct 28 2000,15:00,BST/+0100,Shrewsbury Town,1-1,Torquay United,2000-10-28T14:00Z
17,Sat Nov 4 2000,15:00,GMT/+0000,Southend United,3-1,Macclesfield Town,2000-11-04T15:00Z
17,Sat Nov 4 2000,15:00,GMT/+0000,Scunthorpe United,3-0,Hartlepool United,2000-11-04T15:00Z
17,Sat Nov 4 2000,12:00,GMT/+0000,Torquay United,1-1,Plymouth Argyle,2000-11-04T12:00Z
17,Sat Nov 4 2000,15:00,GMT/+0000,Blackpool FC,0-1,Shrewsbury Town,2000-11-04T15:00Z
17,Sat Nov 4 2000,15:00,GMT/+0000,Brighton & Hove Albion,4-1,Carlisle United,2000-11-04T15:00Z
17,Sat Nov 4 2000,15:00,GMT/+0000,Cardiff City,4-0,York City,2000-11-04T15:00Z
17,Sat Nov 4 2000,15:00,GMT/+0000,Halifax Town,3-1,Exeter City,2000-11-04T15:00Z
17,Sat Nov 4 2000,15:00,GMT/+0000,Hull City,2-0,Darlington FC,2000-11-04T15:00Z
17,Sat Nov 4 2000,15:00,GMT/+0000,Kidderminster Harriers,1-1,Cheltenham Town,2000-11-04T15:00Z
17,Sat Nov 4 2000,15:00,GMT/+0000,Leyton Orient,2-1,Mansfield Town,2000-11-04T15:00Z
17,Sat Nov 4 2000,15:00,GMT/+0000,Lincoln City,1-1,Chesterfield FC,2000-11-04T15:00Z
17,Sat Nov 4 2000,15:00,GMT/+0000,Rochdale AFC,0-0,Barnet FC,2000-11-04T15:00Z
18,Sat Nov 11 2000,15:00,GMT/+0000,York City,3-2,Torquay United,2000-11-11T15:00Z
18,Sat Nov 11 2000,15:00,GMT/+0000,Chesterfield FC,1-0,Hull City,2000-11-11T15:00Z
18,Sat Nov 11 2000,15:00,GMT/+0000,Barnet FC,7-0,Blackpool FC,2000-11-11T15:00Z
18,Sat Nov 11 2000,15:00,GMT/+0000,Carlisle United,3-1,Southend United,2000-11-11T15:00Z
18,Sat Nov 11 2000,15:00,GMT/+0000,Cheltenham Town,1-1,Leyton Orient,2000-11-11T15:00Z
18,Sat Nov 11 2000,15:00,GMT/+0000,Macclesfield Town,0-0,Brighton & Hove Albion,2000-11-11T15:00Z
18,Sat Nov 11 2000,15:00,GMT/+0000,Darlington FC,0-1,Halifax Town,2000-11-11T15:00Z
18,Sat Nov 11 2000,15:00,GMT/+0000,Exeter City,2-1,Scunthorpe United,2000-11-11T15:00Z
18,Sat Nov 11 2000,15:00,GMT/+0000,Hartlepool United,3-1,Kidderminster Harriers,2000-11-11T15:00Z
18,Sat Nov 11 2000,15:00,GMT/+0000,Mansfield Town,1-0,Rochdale AFC,2000-11-11T15:00Z
11,Wed Nov 22 2000,19:45,GMT/+0000,Cardiff City,3-2,Lincoln City,2000-11-22T19:45Z
19,Sat Nov 25 2000,15:00,GMT/+0000,Torquay United,2-1,Barnet FC,2000-11-25T15:00Z
19,Sat Nov 25 2000,15:00,GMT/+0000,Scunthorpe United,6-0,Mansfield Town,2000-11-25T15:00Z
19,Sat Nov 25 2000,15:00,GMT/+0000,Lincoln City,3-1,Exeter City,2000-11-25T15:00Z
19,Sat Nov 25 2000,15:00,GMT/+0000,Blackpool FC,2-1,Darlington FC,2000-11-25T15:00Z
19,Sat Nov 25 2000,15:00,GMT/+0000,Brighton & Hove Albion,4-0,Shrewsbury Town,2000-11-25T15:00Z
19,Sat Nov 25 2000,15:00,GMT/+0000,Cardiff City,3-2,Hartlepool United,2000-11-25T15:00Z
19,Sat Nov 25 2000,15:00,GMT/+0000,Halifax Town,2-2,Chesterfield FC,2000-11-25T15:00Z
19,Sat Nov 25 2000,15:00,GMT/+0000,Hull City,2-1,Carlisle United,2000-11-25T15:00Z
19,Sat Nov 25 2000,15:00,GMT/+0000,Kidderminster Harriers,3-1,York City,2000-11-25T15:00Z
19,Sat Nov 25 2000,15:00,GMT/+0000,Leyton Orient,2-1,Macclesfield Town,2000-11-25T15:00Z
19,Sat Nov 25 2000,15:00,GMT/+0000,Southend United,0-1,Cheltenham Town,2000-11-25T15:00Z
20,Sat Dec 2 2000,15:00,GMT/+0000,Scunthorpe United,0-1,Hull City,2000-12-02T15:00Z
20,Sat Dec 2 2000,15:00,GMT/+0000,Rochdale AFC,1-0,Blackpool FC,2000-12-02T15:00Z
20,Sat Dec 2 2000,15:00,GMT/+0000,York City,2-1,Shrewsbury Town,2000-12-02T15:00Z
20,Sat Dec 2 2000,15:00,GMT/+0000,Kidderminster Harriers,2-1,Macclesfield Town,2000-12-02T15:00Z
20,Sat Dec 2 2000,12:00,GMT/+0000,Torquay United,1-4,Cardiff City,2000-12-02T12:00Z
20,Sat Dec 2 2000,13:00,GMT/+0000,Exeter City,0-2,Plymouth Argyle,2000-12-02T13:00Z
20,Sat Dec 2 2000,15:00,GMT/+0000,Brighton & Hove Albion,2-1,Halifax Town,2000-12-02T15:00Z
20,Sat Dec 2 2000,15:00,GMT/+0000,Carlisle United,1-1,Lincoln City,2000-12-02T15:00Z
20,Sat Dec 2 2000,15:00,GMT/+0000,Cheltenham Town,4-3,Barnet FC,2000-12-02T15:00Z
20,Sat Dec 2 2000,15:00,GMT/+0000,Chesterfield FC,4-1,Leyton Orient,2000-12-02T15:00Z
20,Sat Dec 2 2000,15:00,GMT/+0000,Darlington FC,2-1,Mansfield Town,2000-12-02T15:00Z
20,Sat Dec 2 2000,15:00,GMT/+0000,Hartlepool United,1-0,Southend United,2000-12-02T15:00Z
36,Sat Dec 9 2000,15:00,GMT/+0000,Chesterfield FC,2-0,Exeter City,2000-12-09T15:00Z
21,Sat Dec 16 2000,15:00,GMT/+0000,Southend United,3-2,Chesterfield FC,2000-12-16T15:00Z
21,Sat Dec 16 2000,15:00,GMT/+0000,Plymouth Argyle,1-0,York City,2000-12-16T15:00Z
21,Sat Dec 16 2000,15:00,GMT/+0000,Mansfield Town,2-0,Brighton & Hove Albion,2000-12-16T15:00Z
21,Sat Dec 16 2000,15:00,GMT/+0000,Barnet FC,4-2,Scunthorpe United,2000-12-16T15:00Z
